City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Parbhani,Moderate,112,"PM
10",1,2023-06-20
Parbhani,Satisfactory,96,"PM
10",1,2023-06-21
Parbhani,Satisfactory,96,"O
3",1,2023-06-22
Parbhani,Satisfactory,75,"O
3",1,2023-06-23
Parbhani,Satisfactory,93,"PM
10",1,2023-06-24
Parbhani,Moderate,103,"PM
10",1,2023-06-25
Parbhani,Satisfactory,67,"PM
10",1,2023-06-27
Parbhani,Very Poor,304,"O
3",1,2023-06-28
Parbhani,Good,44,"O
3",1,2023-06-29
Parbhani,Satisfactory,57,"O
3",1,2023-06-30
Parbhani,Good,35,"O
3",1,2023-07-01
Parbhani,Good,30,"O
3",1,2023-07-02
Parbhani,Good,29,"O
3",1,2023-07-03
Parbhani,Good,33,"O
3",1,2023-07-04
Parbhani,Good,33,"O
3",1,2023-07-05
Parbhani,Good,33,"PM
10",1,2023-07-06
Parbhani,Good,36,"PM
10",1,2023-07-07
Parbhani,Satisfactory,62,"PM
10",1,2023-07-09
Parbhani,Satisfactory,68,"PM
10",1,2023-07-10
Parbhani,Satisfactory,67,"PM
10",1,2023-07-11
Parbhani,Good,50,"O
3",1,2023-07-12
Parbhani,Satisfactory,58,"O
3",1,2023-07-13
Parbhani,Good,44,"O
3",1,2023-07-14
Parbhani,Satisfactory,51,"O
3",1,2023-07-15
Parbhani,Good,24,"O
3",1,2023-07-19
Parbhani,Good,49,CO,1,2023-07-20
Parbhani,Good,43,"O
3",1,2023-07-23
Parbhani,Good,39,"PM
10",1,2023-07-24
Parbhani,Good,37,"PM
10",1,2023-07-25
Parbhani,Good,36,"PM
10",1,2023-07-26
Parbhani,Good,36,"PM
10",1,2023-07-27
Parbhani,Good,38,"O
3",1,2023-07-28
Parbhani,Good,36,"PM
10",1,2023-07-29
Parbhani,Good,44,"PM
10",1,2023-07-30
Parbhani,Satisfactory,62,"PM
10",1,2023-07-31
Parbhani,Good,46,"PM
10",1,2023-08-01
Parbhani,Satisfactory,53,"PM
10",1,2023-08-02
Parbhani,Satisfactory,53,"PM
10",1,2023-08-03
Parbhani,Satisfactory,62,"PM
10",1,2023-08-04
Parbhani,Satisfactory,63,"PM
10",1,2023-08-05
Parbhani,Good,42,"PM
10",1,2023-08-06
Parbhani,Good,46,"PM
10",1,2023-08-07
Parbhani,Satisfactory,65,"PM
10",1,2023-08-08
Parbhani,Satisfactory,56,"PM
10",1,2023-08-09
Parbhani,Satisfactory,74,"PM
10",1,2023-08-10
Parbhani,Good,49,"PM
10",1,2023-08-11
Parbhani,Good,49,"PM
10",1,2023-08-13
Parbhani,Good,44,"PM
10",1,2023-08-19
Parbhani,Good,37,"PM
10",1,2023-08-20
Parbhani,Satisfactory,70,"O
3",1,2023-08-21
Parbhani,Satisfactory,52,"PM
10",1,2023-08-22
Parbhani,Good,45,"O
3",1,2023-08-23
Parbhani,Satisfactory,51,"O
3",1,2023-08-24
Parbhani,Good,41,"O
3",1,2023-08-25
Parbhani,Good,43,"O
3",1,2023-08-26
Parbhani,Good,41,"O
3",1,2023-08-27
Parbhani,Satisfactory,76,"PM
10",1,2023-08-29
Parbhani,Satisfactory,83,"PM
10",1,2023-08-30
Parbhani,Satisfactory,92,"PM
10",1,2023-08-31
Parbhani,Satisfactory,94,"PM
10",1,2023-09-01
