City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Pathardih,Moderate,125,CO,1/1,2024-03-01
Pathardih,Moderate,130,CO,1/1,2024-03-02
Pathardih,Moderate,120,CO,1/1,2024-03-03
Pathardih,Moderate,129,CO,1/1,2024-03-09
Pathardih,Moderate,131,CO,1/1,2024-03-10
Pathardih,Moderate,104,"PM
10",1/1,2024-03-13
Pathardih,Moderate,130,"PM
10",1/1,2024-03-14
Pathardih,Moderate,145,"PM
10",1/1,2024-03-16
Pathardih,Moderate,118,"NO
2",1/1,2024-03-19
Pathardih,Moderate,121,"NO
2",1/1,2024-03-21
Pathardih,Moderate,183,"NO
2",1/1,2024-04-06
Pathardih,Moderate,102,"PM
10",1/1,2024-04-09
Pathardih,Moderate,190,"PM
10",1/1,2024-04-11
Pathardih,Moderate,142,"PM
10",1/1,2024-04-12
Pathardih,Moderate,160,"NO
2",1/1,2024-06-25
Pathardih,Moderate,140,"NO
2",1/1,2024-06-29
Pathardih,Satisfactory,92,"NO
2",1/1,2024-06-30
Pathardih,Satisfactory,72,"PM
10",1/1,2024-07-05
Pathardih,Good,22,"NO
2",1/1,2024-07-06
Pathardih,Good,22,"NO
2",1/1,2024-07-07
Pathardih,Good,22,"O
3",1/1,2024-07-08
Pathardih,Good,46,"PM
10",1/1,2024-07-09
Pathardih,Satisfactory,89,"PM
10",1/1,2024-07-10
Pathardih,Moderate,116,"PM
2.5",1/1,2024-08-18
Pathardih,Good,23,"O
3",1/1,2024-08-22
Pathardih,Good,20,CO,1/1,2024-08-23
