City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Patiala,Moderate,109,"PM
10",1,2018-02-08
Patiala,Moderate,105,"PM
10",1,2018-02-09
Patiala,Very Poor,367,"PM
10",1,2018-02-10
Patiala,Satisfactory,84,"PM
10",1,2018-02-12
Patiala,Satisfactory,87,"PM
10",1,2018-02-15
Patiala,Satisfactory,85,"PM
10",1,2018-02-16
Patiala,Moderate,101,"PM
10",1,2018-02-17
Patiala,Moderate,111,"PM
10",1,2018-02-18
Patiala,Moderate,120,"PM
10",1,2018-02-19
Patiala,Moderate,119,"PM
10",1,2018-02-20
Patiala,Moderate,132,"PM
10",1,2018-02-21
Patiala,Moderate,131,"PM
10",1,2018-02-22
Patiala,Moderate,135,"PM
10",1,2018-02-23
Patiala,Moderate,108,"PM
10",1,2018-02-24
Patiala,Satisfactory,64,"PM
10",1,2018-02-25
Patiala,Satisfactory,60,"PM
10",1,2018-02-26
Patiala,Satisfactory,77,"PM
10",1,2018-02-27
Patiala,Satisfactory,92,"PM
10",1,2018-02-28
Patiala,Satisfactory,96,"PM
10",1,2018-03-01
Patiala,Satisfactory,82,"PM
10",1,2018-03-02
Patiala,Satisfactory,51,"PM
10",1,2018-03-03
Patiala,Satisfactory,55,"PM
10",1,2018-03-04
Patiala,Satisfactory,64,"PM
10",1,2018-03-05
Patiala,Satisfactory,68,"PM
10",1,2018-03-06
Patiala,Satisfactory,74,"PM
10",1,2018-03-07
Patiala,Satisfactory,79,"PM
10",1,2018-03-08
Patiala,Satisfactory,76,"PM
10",1,2018-03-09
Patiala,Satisfactory,66,"PM
10",1,2018-03-10
Patiala,Satisfactory,74,"PM
10",1,2018-03-11
Patiala,Satisfactory,83,"PM
10",1,2018-03-12
Patiala,Satisfactory,99,"PM
10",1,2018-03-14
Patiala,Moderate,134,"PM
10",1,2018-03-15
Patiala,Moderate,116,"PM
10",1,2018-03-16
Patiala,Satisfactory,80,"PM
10",1,2018-03-17
Patiala,Satisfactory,72,"PM
10",1,2018-03-18
Patiala,Satisfactory,83,"PM
10",1,2018-03-19
Patiala,Satisfactory,88,"PM
10",1,2018-03-20
Patiala,Satisfactory,65,"PM
10",1,2018-03-21
Patiala,Satisfactory,50,"PM
10",1,2018-03-22
Patiala,Satisfactory,70,"PM
10",1,2018-03-23
Patiala,Satisfactory,86,"PM
10",1,2018-03-24
Patiala,Satisfactory,84,"PM
10",1,2018-03-25
Patiala,Satisfactory,84,"PM
10",1,2018-03-26
Patiala,Moderate,110,"PM
10",1,2018-03-27
Patiala,Moderate,100,"PM
10",1,2018-03-28
Patiala,Satisfactory,92,"PM
10",1,2018-03-29
Patiala,Moderate,110,"PM
10",1,2018-03-30
Patiala,Moderate,113,"PM
10",1,2018-03-31
