City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Patna,Moderate,107,"PM
10",1,2015-09-18
Patna,Moderate,136,"PM
10",1,2015-09-19
Patna,Satisfactory,93,"PM
10",1,2015-09-22
Patna,Moderate,102,"PM
10",1,2015-09-23
Patna,Moderate,136,"PM
10",1,2015-09-25
Patna,Moderate,153,"PM
10",1,2015-09-26
Patna,Moderate,163,"PM
10",1,2015-09-28
Patna,Poor,221,"PM
10",1,2015-09-29
Patna,Poor,247,"PM
10",1#,2015-10-01
Patna,Moderate,165,"PM
2.5",1,2015-10-03
Patna,Poor,258,"PM
2.5",1,2015-10-06
Patna,Poor,239,"PM
2.5",1,2015-10-07
Patna,Poor,258,"PM
2.5",1,2015-10-08
Patna,Moderate,177,"PM
2.5",1,2015-10-17
Patna,Poor,210,"PM
2.5",1,2015-10-21
Patna,Very Poor,301,"PM
2.5",1,2015-10-23
Patna,Poor,284,"PM
2.5",1,2015-10-27
Patna,Moderate,117,"PM
2.5",1,2015-10-30
Patna,Moderate,197,"PM
2.5",1,2015-10-31
Patna,Poor,266,"PM
2.5",1,2015-11-04
Patna,Poor,271,"PM
2.5",1,2015-11-05
Patna,Very Poor,313,"PM
2.5",1,2015-11-06
Patna,Very Poor,366,"PM
2.5",1,2015-11-07
Patna,Very Poor,342,"PM
2.5",1,2015-11-09
Patna,Very Poor,375,"PM
2.5",1,2015-11-10
Patna,Very Poor,360,"PM
2.5",1,2015-11-11
Patna,Very Poor,386,"PM
2.5",1,2015-11-12
Patna,Very Poor,359,"PM
2.5",1,2015-11-13
Patna,Very Poor,384,"PM
2.5",1,2015-11-14
Patna,Severe,425,"PM
2.5",1,2015-11-21
Patna,Severe,439,"PM
2.5",1,2015-11-24
Patna,Severe,405,"PM
2.5",1,2015-11-25
Patna,Severe,401,"PM
2.5",1,2015-11-26
Patna,Very Poor,396,"PM
2.5",1,2015-12-01
Patna,Severe,403,"PM
2.5",1,2015-12-02
Patna,Poor,245,"PM
2.5",1,2015-12-03
Patna,Severe,410,"PM
2.5",1,2015-12-05
Patna,Very Poor,338,"PM
2.5",1,2015-12-07
Patna,Very Poor,335,"PM
2.5",1,2015-12-09
Patna,Very Poor,340,"PM
2.5",1#,2015-12-11
Patna,Very Poor,383,"PM
2.5",1,2015-12-12
Patna,Very Poor,378,"PM
2.5",1,2015-12-14
Patna,Very Poor,336,"PM
2.5",1,2015-12-15
Patna,Severe,405,"PM
2.5",1,2015-12-16
Patna,Severe,402,"PM
2.5",1,2015-12-17
Patna,Severe,406,"PM
2.5",1,2015-12-19
Patna,Severe,415,"PM
2.5",1,2015-12-23
Patna,Severe,421,"PM
2.5",1#,2015-12-24
Patna,Very Poor,357,"PM
2.5",1,2015-12-26
Patna,Severe,488,"PM
2.5",1,2016-01-01
Patna,Severe,466,"PM
2.5",1,2016-01-02
Patna,Severe,424,"PM
2.5",1,2016-01-04
Patna,Severe,439,"PM
2.5",1,2016-01-05
Patna,Severe,453,"PM
2.5",1,2016-01-06
Patna,Severe,434,"PM
2.5",1,2016-01-07
Patna,Very Poor,379,"PM
2.5",1,2016-01-09
Patna,Poor,297,"PM
2.5",1,2016-01-10
Patna,Very Poor,347,"PM
2.5",1,2016-01-11
Patna,Severe,404,"PM
2.5",1,2016-01-12
Patna,Severe,429,"PM
2.5",1,2016-01-13
Patna,Severe,440,"PM
2.5",1,2016-01-14
Patna,Severe,443,"PM
2.5",1,2016-01-15
Patna,Very Poor,370,"PM
2.5",1#,2016-01-16
Patna,Very Poor,368,"PM
2.5",1,2016-01-18
Patna,Very Poor,348,"PM
2.5",1,2016-01-20
Patna,Very Poor,362,"PM
2.5",1,2016-01-21
Patna,Very Poor,331,"PM
2.5",1,2016-01-22
Patna,Very Poor,349,"PM
2.5",1,2016-01-23
Patna,Severe,421,"PM
2.5",1,2016-01-25
Patna,Very Poor,384,"PM
2.5",1,2016-01-27
Patna,Severe,441,"PM
2.5",1,2016-01-30
Patna,Severe,426,"PM
2.5",1,2016-02-01
Patna,Poor,285,"PM
2.5",1,2016-02-03
Patna,Poor,273,"PM
2.5",1,2016-02-04
Patna,Very Poor,342,"PM
2.5",1,2016-02-12
Patna,Very Poor,327,"PM
2.5",1,2016-02-15
Patna,Poor,287,"PM
2.5",1,2016-02-18
Patna,Poor,270,"PM
2.5",1,2016-02-20
Patna,Moderate,178,"PM
2.5",1,2016-02-23
Patna,Poor,294,"PM
2.5",1,2016-02-25
Patna,Poor,269,"PM
2.5",1,2016-02-26
Patna,Poor,233,"PM
2.5",1,2016-02-27
Patna,Poor,290,"PM
2.5",1,2016-02-29
Patna,Poor,281,"PM
2.5",1#,2016-03-02
Patna,Very Poor,321,"PM
2.5",1,2016-03-03
Patna,Very Poor,364,"PM
2.5",1,2016-03-05
Patna,Moderate,123,"PM
2.5",1,2016-03-08
Patna,Moderate,186,"PM
2.5",1#,2016-03-09
Patna,Moderate,155,"PM
2.5",1,2016-03-12
Patna,Moderate,116,"PM
2.5",1,2016-03-14
Patna,Moderate,150,"PM
2.5",1,2016-03-15
Patna,Satisfactory,83,"PM
2.5",1,2016-03-22
Patna,Moderate,192,"PM
2.5",1,2016-03-28
Patna,Moderate,159,"PM
2.5",1,2016-03-29
Patna,Poor,246,"PM
2.5",1,2016-03-31
Patna,Poor,246,"PM
2.5",1,2016-04-01
Patna,Moderate,170,"PM
2.5",1,2016-04-03
Patna,Moderate,186,"PM
2.5",1,2016-04-04
Patna,Poor,225,"PM
2.5",1,2016-04-05
Patna,Moderate,115,"PM
2.5",1#,2016-04-07
Patna,Moderate,118,"PM
2.5",1#,2016-04-08
Patna,Moderate,133,"PM
2.5",1,2016-04-09
Patna,Moderate,126,"PM
2.5",1,2016-04-11
Patna,Moderate,112,"PM
2.5",1,2016-04-12
Patna,Satisfactory,84,"PM
2.5",1,2016-04-13
Patna,Moderate,137,"PM
2.5",1#,2016-04-14
Patna,Moderate,167,"PM
2.5",1,2016-04-16
Patna,Moderate,182,"PM
2.5",1,2016-04-20
Patna,Moderate,128,"PM
2.5",1,2016-04-21
Patna,Moderate,126,"PM
2.5",1,2016-04-22
Patna,Moderate,157,"PM
2.5",1,2016-04-23
Patna,Poor,222,"PM
2.5",1,2016-04-27
Patna,Poor,233,"PM
2.5",1,2016-04-29
Patna,Moderate,189,"PM
2.5",1,2016-04-30
Patna,Moderate,199,"PM
2.5",1#,2016-05-02
Patna,Moderate,134,"PM
2.5",1#,2016-05-03
Patna,Moderate,143,"PM
2.5",1,2016-05-04
Patna,Moderate,115,"PM
2.5",1,2016-05-05
Patna,Poor,260,"PM
2.5",1,2016-05-06
Patna,Moderate,188,"PM
2.5",1,2016-05-07
Patna,Moderate,111,"PM
2.5",1,2016-05-11
Patna,Moderate,114,"PM
2.5",1,2016-05-12
Patna,Moderate,125,"PM
2.5",1,2016-05-13
Patna,Moderate,115,"PM
2.5",1,2016-05-14
Patna,Moderate,120,"PM
2.5",1,2016-05-16
Patna,Moderate,105,"PM
2.5",1,2016-05-18
Patna,Satisfactory,80,"PM
2.5",1,2016-05-19
Patna,Satisfactory,64,"PM
2.5",1,2016-05-20
Patna,Satisfactory,97,"PM
2.5",1,2016-05-23
Patna,Moderate,110,"PM
2.5",1,2016-05-24
Patna,Poor,251,"PM
2.5",1,2016-05-28
Patna,Moderate,147,"PM
2.5",1,2016-06-02
Patna,Moderate,144,"PM
2.5",1,2016-06-09
Patna,Satisfactory,82,"PM
2.5",1#,2016-06-20
Patna,Satisfactory,84,"PM
2.5",1,2016-06-21
Patna,Satisfactory,67,"PM
2.5",1,2016-06-22
Patna,Moderate,111,"PM
2.5",1,2016-06-23
Patna,Moderate,104,"PM
2.5",1,2016-06-24
Patna,Moderate,132,"PM
2.5",1,2016-06-27
Patna,Satisfactory,99,"PM
2.5",1,2016-06-28
Patna,Satisfactory,73,"PM
2.5",1,2016-06-29
Patna,Satisfactory,66,"PM
2.5",1,2016-07-02
Patna,Satisfactory,60,"PM
2.5",1,2016-07-05
Patna,Satisfactory,71,"PM
2.5",1,2016-07-06
Patna,Satisfactory,80,"PM
2.5",1,2016-07-07
Patna,Satisfactory,62,"PM
2.5",1,2016-07-10
Patna,Satisfactory,63,"PM
2.5",1,2016-07-11
Patna,Satisfactory,54,"PM
2.5",1,2016-07-12
Patna,Moderate,118,"PM
2.5",1,2016-07-14
Patna,Satisfactory,76,"PM
2.5",1#,2016-07-15
Patna,Good,50,"PM
2.5",1,2016-07-18
Patna,Satisfactory,80,"PM
2.5",1,2016-07-19
Patna,Satisfactory,78,"PM
2.5",1,2016-07-20
Patna,Satisfactory,77,"PM
2.5",1#,2016-07-25
Patna,Satisfactory,79,"PM
2.5",1,2016-07-26
Patna,Satisfactory,63,"PM
2.5",1,2016-07-27
Patna,Moderate,114,"PM
2.5",1,2016-07-28
Patna,Satisfactory,83,"PM
2.5",1#,2016-07-29
Patna,Satisfactory,98,"PM
2.5",1#,2016-07-30
Patna,Satisfactory,85,"PM
2.5",1,2016-08-01
Patna,Moderate,137,"PM
2.5",1,2016-08-02
Patna,Good,48,"PM
2.5",1#,2016-08-03
Patna,Good,47,"PM
2.5",1#,2016-08-04
Patna,Satisfactory,70,"PM
2.5",1,2016-08-05
Patna,Satisfactory,70,"PM
2.5",1,2016-08-06
Patna,Good,41,"PM
2.5",1,2016-08-07
Patna,Good,48,"PM
2.5",1,2016-08-08
Patna,Satisfactory,74,"PM
2.5",1,2016-08-09
Patna,Moderate,101,"PM
2.5",1#,2016-08-10
Patna,Satisfactory,59,CO,1,2016-08-11
Patna,Satisfactory,53,CO,1,2016-08-12
Patna,Satisfactory,58,"PM
2.5",1,2016-08-13
Patna,Moderate,105,"PM
2.5",1,2016-08-14
Patna,Moderate,106,"PM
2.5",1,2016-08-15
Patna,Satisfactory,52,"PM
2.5",1,2016-08-16
Patna,Satisfactory,55,"PM
2.5",1,2016-08-17
Patna,Good,43,"PM
2.5",1,2016-08-18
Patna,Satisfactory,57,"PM
2.5",1,2016-08-19
Patna,Satisfactory,97,"PM
2.5",1,2016-08-20
