City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Perundurai,Good,28,"O
3",1/1,2025-06-13
Perundurai,Good,38,"O
3",1/1,2025-06-14
Perundurai,Good,40,"O
3",1/1,2025-06-15
Perundurai,Good,36,"O
3",1/1,2025-06-16
Perundurai,Good,29,"O
3",1/1,2025-06-17
Perundurai,Good,27,"PM
2.5",1/1,2025-06-18
Perundurai,Good,27,"PM
2.5",1/1,2025-06-19
Perundurai,Good,22,"SO
2",1/1,2025-06-21
Perundurai,Good,25,"SO
2",1/1,2025-06-22
Perundurai,Good,25,"SO
2",1/1,2025-06-23
Perundurai,Good,32,"PM
2.5",1/1,2025-06-24
Perundurai,Good,32,"PM
2.5",1/1,2025-06-25
Perundurai,Good,34,"PM
2.5",1/1,2025-06-26
Perundurai,Good,36,"O
3",1/1,2025-06-27
Perundurai,Good,49,"O
3",1/1,2025-06-28
Perundurai,Satisfactory,51,"O
3",1/1,2025-06-29
Perundurai,Good,49,"O
3",1/1,2025-06-30
Perundurai,Good,26,"PM
2.5",1/1,2025-07-01
Perundurai,Good,38,"PM
2.5",1/1,2025-07-02
Perundurai,Good,32,CO,1/1,2025-07-03
Perundurai,Good,38,CO,1/1,2025-07-04
Perundurai,Good,46,CO,1/1,2025-07-05
Perundurai,Good,45,CO,1/1,2025-07-06
Perundurai,Good,43,CO,1/1,2025-07-07
Perundurai,Good,36,CO,1/1,2025-07-08
Perundurai,Good,40,"PM
2.5",1/1,2025-07-09
Perundurai,Good,39,CO,1/1,2025-07-10
Perundurai,Good,39,"PM
2.5",1/1,2025-07-11
Perundurai,Good,42,CO,1/1,2025-07-12
Perundurai,Good,42,CO,1/1,2025-07-13
Perundurai,Good,42,CO,1/1,2025-07-14
Perundurai,Good,39,CO,1/1,2025-07-15
Perundurai,Good,42,CO,1/1,2025-07-16
Perundurai,Good,44,CO,1/1,2025-07-17
Perundurai,Good,48,CO,1/1,2025-07-18
Perundurai,Good,34,CO,1/1,2025-07-22
Perundurai,Good,26,CO,1/1,2025-07-23
Perundurai,Good,38,"PM
2.5",1/1,2025-07-24
Perundurai,Good,29,"PM
2.5",1/1,2025-07-26
Perundurai,Good,30,CO,1/1,2025-07-27
Perundurai,Good,29,CO,1/1,2025-07-28
Perundurai,Good,30,CO,1/1,2025-07-29
Perundurai,Good,34,"PM
2.5",1/1,2025-07-30
Perundurai,Good,36,"PM
2.5",1/1,2025-08-01
Perundurai,Good,38,CO,1/1,2025-08-02
Perundurai,Good,40,CO,1/1,2025-08-03
Perundurai,Good,35,CO,1/1,2025-08-04
Perundurai,Good,37,CO,1/1,2025-08-06
Perundurai,Good,34,CO,1/1,2025-08-07
Perundurai,Good,36,CO,1/1,2025-08-08
Perundurai,Good,37,CO,1/1,2025-08-09
Perundurai,Good,39,CO,1/1,2025-08-10
Perundurai,Good,35,CO,1/1,2025-08-11
Perundurai,Good,32,CO,1/1,2025-08-13
Perundurai,Good,35,CO,1/1,2025-08-14
Perundurai,Good,34,CO,1/1,2025-08-15
Perundurai,Good,34,CO,1/1,2025-08-16
Perundurai,Good,34,CO,1/1,2025-08-17
Perundurai,Good,34,CO,1/1,2025-08-18
Perundurai,Good,31,CO,1/1,2025-08-19
Perundurai,Good,34,CO,1/1,2025-08-20
Perundurai,Good,35,CO,1/1,2025-08-21
Perundurai,Good,34,CO,1/1,2025-08-22
Perundurai,Good,37,"PM
2.5",1/1,2025-08-23
Perundurai,Good,35,CO,1/1,2025-08-24
Perundurai,Good,34,"O
3",1/1,2025-08-25
Perundurai,Good,27,CO,1/1,2025-08-26
