City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Prayagraj,Moderate,169,"PM
10",1,2021-06-03
Prayagraj,Moderate,128,"PM
10",2,2021-06-04
Prayagraj,Moderate,126,"O , PM
3 10",2,2021-06-05
Prayagraj,Satisfactory,73,"PM
10",1,2021-06-07
Prayagraj,Satisfactory,92,"O , PM
3 10",2,2021-06-08
Prayagraj,Satisfactory,96,"PM
10",2,2021-06-09
Prayagraj,Poor,297,"PM
10",1,2021-06-10
Prayagraj,Very Poor,387,"PM
10",1,2021-06-11
Prayagraj,Good,49,"PM
10",2,2021-06-12
Prayagraj,Good,29,"PM
10",2,2021-06-13
Prayagraj,Good,26,"PM
2.5",2,2021-06-14
Prayagraj,Good,30,"PM
10",2,2021-06-15
Prayagraj,Good,44,"PM
10",2,2021-06-16
Prayagraj,Good,29,"PM
2.5",1,2021-06-18
Prayagraj,Good,21,CO,2,2021-06-19
Prayagraj,Good,40,"PM
10",2,2021-06-20
Prayagraj,Satisfactory,64,"PM , PM
2.5 10",2,2021-06-21
Prayagraj,Satisfactory,71,"PM
10",2,2021-06-22
Prayagraj,Satisfactory,64,"PM , PM
10 2.5",2,2021-06-23
Prayagraj,Satisfactory,60,"PM
2.5",2,2021-06-24
Prayagraj,Good,43,"PM
2.5",1,2021-06-25
Prayagraj,Good,42,"PM , PM
10 2.5",2,2021-06-26
Prayagraj,Good,42,"PM , PM
10 2.5",2,2021-06-27
Prayagraj,Satisfactory,88,"PM
2.5",2,2021-06-28
Prayagraj,Moderate,120,"PM
2.5",2,2021-06-29
Prayagraj,Satisfactory,85,"PM
10",1,2021-06-30
Prayagraj,Satisfactory,80,"PM
10",2,2021-07-01
Prayagraj,Satisfactory,56,"PM
10",2,2021-07-02
Prayagraj,Satisfactory,60,"PM
10",2,2021-07-03
Prayagraj,Satisfactory,85,"PM
10",2,2021-07-04
Prayagraj,Satisfactory,96,"PM
10",2,2021-07-05
Prayagraj,Satisfactory,80,"PM
10",2,2021-07-06
Prayagraj,Satisfactory,80,"PM
10",2,2021-07-07
Prayagraj,Satisfactory,98,"PM
10",2,2021-07-08
Prayagraj,Satisfactory,64,"PM
10",2,2021-07-09
Prayagraj,Satisfactory,98,"PM , PM
10 2.5",2,2021-07-10
Prayagraj,Moderate,138,"PM , PM
10 2.5",2,2021-07-11
Prayagraj,Satisfactory,67,"PM
2.5",2,2021-07-12
Prayagraj,Satisfactory,60,"PM
10",2,2021-07-13
Prayagraj,Satisfactory,51,"PM
10",2,2021-07-14
Prayagraj,Satisfactory,52,"PM
10",2,2021-07-15
Prayagraj,Satisfactory,52,"PM
10",2,2021-07-16
Prayagraj,Satisfactory,62,"PM
10",2,2021-07-17
Prayagraj,Good,36,"PM
10",2,2021-07-18
Prayagraj,Good,40,"PM
10",1,2021-07-19
Prayagraj,Good,26,"PM , CO
10",2,2021-07-20
Prayagraj,Good,12,CO,1,2021-07-21
Prayagraj,Good,37,"PM
10",1,2021-07-22
Prayagraj,Good,41,"PM
10",1,2021-07-24
Prayagraj,Good,41,"PM
10",2,2021-07-25
Prayagraj,Good,44,"PM
10",2,2021-07-26
Prayagraj,Good,28,"PM
10",3,2021-07-27
Prayagraj,Good,33,"PM
10",3,2021-07-28
Prayagraj,Good,28,"PM
10",3,2021-07-29
Prayagraj,Good,30,"PM
10",3,2021-07-30
Prayagraj,Good,32,"PM
10",3,2021-07-31
Prayagraj,Satisfactory,66,"PM
10",1,2021-08-01
Prayagraj,Good,21,"PM , CO
10",3,2021-08-02
Prayagraj,Good,36,"PM
10",3,2021-08-03
Prayagraj,Good,48,"PM
10",3,2021-08-04
Prayagraj,Good,46,"PM
10",3,2021-08-05
Prayagraj,Good,35,"PM , O
10 3",3,2021-08-06
Prayagraj,Good,48,"PM
10",3,2021-08-07
Prayagraj,Good,44,"PM
10",3,2021-08-08
Prayagraj,Good,29,"PM , CO
2.5",2,2021-08-09
Prayagraj,Good,20,CO,2,2021-08-10
Prayagraj,Good,30,"PM , NH
10 3",2,2021-08-11
Prayagraj,Satisfactory,59,"PM
10",3,2021-08-12
Prayagraj,Satisfactory,82,"PM
10",3,2021-08-13
Prayagraj,Satisfactory,77,"PM
10",3,2021-08-14
Prayagraj,Satisfactory,77,"PM
10",3,2021-08-15
Prayagraj,Satisfactory,85,"PM
10",3,2021-08-16
Prayagraj,Satisfactory,76,"PM
10",3,2021-08-17
Prayagraj,Satisfactory,64,"PM
10",3,2021-08-18
Prayagraj,Good,45,"PM , O
2.5 3",2,2021-08-19
Prayagraj,Good,38,"PM , PM
10 2.5",3,2021-08-20
Prayagraj,Good,39,"PM , PM
10 2.5",3,2021-08-21
Prayagraj,Good,37,"PM , PM
10 2.5",3,2021-08-22
Prayagraj,Good,39,"PM
10",3,2021-08-23
Prayagraj,Satisfactory,53,"PM
10",3,2021-08-24
Prayagraj,Good,34,"PM
10",3,2021-08-25
Prayagraj,Good,44,"PM
10",3,2021-08-26
Prayagraj,Satisfactory,62,"PM
10",3,2021-08-27
Prayagraj,Satisfactory,60,"PM
10",3,2021-08-28
Prayagraj,Satisfactory,66,"PM
10",3,2021-08-29
Prayagraj,Good,26,"PM , O
2.5 3",2,2021-08-30
Prayagraj,Good,28,"PM
2.5",2,2021-08-31
Prayagraj,Good,45,"PM
10",3,2021-09-01
Prayagraj,Satisfactory,66,"PM , PM
10 2.5",3,2021-09-02
Prayagraj,Good,49,"PM , PM
10 2.5",3,2021-09-03
Prayagraj,Good,42,"PM
10",2,2021-09-04
Prayagraj,Good,46,"PM
10",3,2021-09-05
Prayagraj,Moderate,138,"PM
2.5",3,2021-09-06
Prayagraj,Good,39,"PM , PM
10 2.5",3,2021-09-07
Prayagraj,Good,32,"PM , CO
10",3,2021-09-08
Prayagraj,Good,29,"PM , O , NO
10 3 2",3,2021-09-09
Prayagraj,Good,46,"PM
10",3,2021-09-10
Prayagraj,Satisfactory,52,"PM , PM
10 2.5",3,2021-09-11
Prayagraj,Good,38,"PM
10",2,2021-09-12
Prayagraj,Satisfactory,52,"PM
10",3,2021-09-13
Prayagraj,Good,25,"PM , NO
10 2",3,2021-09-14
Prayagraj,Good,19,"PM , O , CO
10 3",3,2021-09-15
Prayagraj,Good,22,"PM , SO , NO
10 2 2",3,2021-09-16
Prayagraj,Good,23,"PM , NO
10 2",3,2021-09-17
Prayagraj,Good,22,"PM , NO
10 2",2,2021-09-18
Prayagraj,Satisfactory,70,"PM , PM
2.5 10",3,2021-09-19
Prayagraj,Satisfactory,54,"PM , PM
2.5 10",2,2021-09-20
Prayagraj,Satisfactory,52,"PM , PM
10 2.5",3,2021-09-21
Prayagraj,Satisfactory,61,"PM , PM
10 2.5",3,2021-09-22
Prayagraj,Satisfactory,52,"PM
10",2,2021-09-23
Prayagraj,Good,36,"PM , PM
10 2.5",3,2021-09-24
Prayagraj,Good,38,"PM
10",3,2021-09-25
Prayagraj,Satisfactory,54,"PM
10",3,2021-09-26
Prayagraj,Satisfactory,68,"PM , PM
10 2.5",2,2021-09-27
Prayagraj,Good,38,"PM , PM
10 2.5",3,2021-09-28
Prayagraj,Good,48,"PM , PM
10 2.5",3,2021-09-29
Prayagraj,Good,44,"PM
10",2,2021-09-30
Prayagraj,Good,47,"PM
10",3,2021-10-01
Prayagraj,Good,38,"PM
10",3,2021-10-02
Prayagraj,Good,44,"PM , PM
10 2.5",3,2021-10-03
Prayagraj,Good,44,"PM
10",3,2021-10-04
Prayagraj,Satisfactory,71,"PM , PM
10 2.5",2,2021-10-05
Prayagraj,Satisfactory,76,"PM , PM
10 2.5",3,2021-10-06
Prayagraj,Satisfactory,69,"PM , PM
10 2.5",3,2021-10-07
Prayagraj,Moderate,103,"PM , PM
10 2.5",3,2021-10-08
Prayagraj,Moderate,138,"PM , PM
10 2.5",2,2021-10-09
Prayagraj,Moderate,145,"PM , PM
2.5 10",3,2021-10-10
Prayagraj,Moderate,146,"PM , PM
2.5 10",3,2021-10-11
Prayagraj,Moderate,179,"PM
2.5",3,2021-10-12
Prayagraj,Moderate,186,"PM
2.5",2,2021-10-13
Prayagraj,Moderate,161,"PM
2.5",3,2021-10-14
Prayagraj,Poor,217,"PM
2.5",3,2021-10-15
Prayagraj,Moderate,193,"PM
2.5",3,2021-10-16
Prayagraj,Satisfactory,92,"PM , PM
10 2.5",2,2021-10-17
Prayagraj,Satisfactory,57,"PM , O
10 3",2,2021-10-18
Prayagraj,Good,30,"PM , CO
10",3,2021-10-19
Prayagraj,Good,46,"PM , PM
10 2.5",3,2021-10-20
Prayagraj,Satisfactory,88,"PM , PM
2.5 10",3,2021-10-21
Prayagraj,Moderate,109,"PM , PM
10 2.5",3,2021-10-22
Prayagraj,Moderate,115,"PM , PM
2.5 10",3,2021-10-23
Prayagraj,Moderate,122,"PM , PM
2.5 10",3,2021-10-24
Prayagraj,Moderate,185,"PM
2.5",3,2021-10-25
Prayagraj,Moderate,175,"PM
2.5",3,2021-10-26
Prayagraj,Moderate,144,"PM , PM
2.5 10",3,2021-10-27
Prayagraj,Moderate,168,"PM , PM
2.5 10",3,2021-10-28
Prayagraj,Poor,223,"PM
2.5",3,2021-10-29
Prayagraj,Poor,213,"PM
2.5",3,2021-10-30
Prayagraj,Moderate,143,"PM
2.5",3,2021-10-31
Prayagraj,Moderate,172,"PM
2.5",3,2021-11-01
Prayagraj,Poor,255,"PM
2.5",3,2021-11-02
Prayagraj,Poor,232,"PM
2.5",3,2021-11-03
Prayagraj,Poor,267,"PM
2.5",3,2021-11-04
Prayagraj,Very Poor,311,"PM
2.5",3,2021-11-05
Prayagraj,Poor,259,"PM
2.5",3,2021-11-06
Prayagraj,Very Poor,301,"PM
2.5",3,2021-11-07
Prayagraj,Very Poor,387,"PM
2.5",3,2021-11-08
Prayagraj,Very Poor,368,"PM
2.5",3,2021-11-09
Prayagraj,Very Poor,356,"PM
2.5",3,2021-11-10
Prayagraj,Poor,247,"PM
2.5",3,2021-11-11
Prayagraj,Poor,237,"PM
2.5",3,2021-11-12
Prayagraj,Poor,268,"PM
2.5",3,2021-11-13
Prayagraj,Poor,259,"PM
2.5",3,2021-11-14
Prayagraj,Poor,266,"PM
2.5",3,2021-11-15
Prayagraj,Poor,274,"PM
2.5",3,2021-11-16
Prayagraj,Poor,232,"PM
2.5",3,2021-11-17
Prayagraj,Poor,255,"PM
2.5",3,2021-11-18
Prayagraj,Poor,250,"PM
2.5",3,2021-11-19
Prayagraj,Poor,259,"PM
2.5",3,2021-11-20
Prayagraj,Poor,224,"PM
2.5",3,2021-11-21
Prayagraj,Poor,230,"O , PM
3 2.5",3,2021-11-22
Prayagraj,Moderate,115,"PM , PM
2.5 10",2,2021-11-23
Prayagraj,Moderate,175,"PM
2.5",3,2021-11-24
Prayagraj,Poor,231,"PM
2.5",3,2021-11-25
Prayagraj,Poor,247,"PM
2.5",3,2021-11-26
Prayagraj,Very Poor,312,"PM
2.5",2,2021-11-27
