City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Puducherry,Satisfactory,86,"PM
2.5",1,2021-01-13
Puducherry,Satisfactory,58,"PM
2.5",1,2021-01-14
Puducherry,Satisfactory,57,"PM
2.5",1,2021-01-15
Puducherry,Satisfactory,55,"O
3",1,2021-01-16
Puducherry,Good,49,"PM
10",1,2021-01-17
Puducherry,Good,46,"PM
10",1,2021-01-18
Puducherry,Satisfactory,59,"PM
10",1,2021-01-19
Puducherry,Satisfactory,80,"PM
10",1,2021-01-20
Puducherry,Satisfactory,81,"PM
10",1,2021-01-21
Puducherry,Good,32,"PM
10",1,2021-01-22
Puducherry,Good,34,CO,1,2021-01-23
Puducherry,Satisfactory,54,"PM
10",1,2021-01-24
Puducherry,Satisfactory,52,"PM
10",1,2021-01-25
Puducherry,Satisfactory,58,"PM
10",1,2021-01-26
Puducherry,Satisfactory,69,"PM
10",1,2021-01-27
Puducherry,Moderate,108,"PM
2.5",1,2021-01-28
Puducherry,Moderate,122,"PM
2.5",1,2021-01-29
Puducherry,Moderate,101,"PM
2.5",1,2021-01-30
Puducherry,Satisfactory,74,"PM
10",1,2021-01-31
Puducherry,Good,48,"PM
10",1,2021-02-01
Puducherry,Satisfactory,66,"PM
10",1,2021-02-02
Puducherry,Satisfactory,84,"PM
10",1,2021-02-03
Puducherry,Satisfactory,73,"PM
10",1,2021-02-04
Puducherry,Satisfactory,78,"PM
10",1,2021-02-05
Puducherry,Satisfactory,84,"PM
10",1,2021-02-06
Puducherry,Satisfactory,74,"O
3",1,2021-02-07
Puducherry,Satisfactory,67,"O
3",1,2021-02-08
Puducherry,Satisfactory,73,"O
3",1,2021-02-09
Puducherry,Satisfactory,80,"O
3",1,2021-02-10
Puducherry,Satisfactory,64,"O
3",1,2021-02-11
Puducherry,Satisfactory,53,"O
3",1,2021-02-12
Puducherry,Good,47,"PM
10",1,2021-02-13
Puducherry,Good,43,"O
3",1,2021-02-14
Puducherry,Good,39,"O
3",1,2021-02-15
Puducherry,Good,38,"PM
10",1,2021-02-16
Puducherry,Satisfactory,56,"PM
10",1,2021-02-17
Puducherry,Satisfactory,71,"PM
10",1,2021-02-18
Puducherry,Satisfactory,63,"PM
2.5",1,2021-02-19
Puducherry,Satisfactory,52,"O
3",1,2021-02-20
Puducherry,Satisfactory,51,"O
3",1,2021-02-21
Puducherry,Good,38,"O
3",1,2021-02-22
Puducherry,Good,50,"PM
10",1,2021-02-23
Puducherry,Good,43,"PM
10",1,2021-02-24
Puducherry,Good,49,"PM
2.5",1,2021-02-25
Puducherry,Satisfactory,58,"PM
2.5",1,2021-02-26
Puducherry,Good,49,"PM
2.5",1,2021-02-27
Puducherry,Good,31,"PM
2.5",1,2021-02-28
Puducherry,Good,47,"PM
2.5",1,2021-03-01
Puducherry,Good,46,"PM
10",1,2021-03-02
Puducherry,Moderate,109,"PM
2.5",1,2021-03-03
Puducherry,Satisfactory,52,"PM
10",1,2021-03-04
Puducherry,Good,43,"PM
10",1,2021-03-05
Puducherry,Satisfactory,60,"PM
10",1,2021-03-06
Puducherry,Good,46,"PM
10",1,2021-03-07
Puducherry,Good,27,"PM
10",1,2021-03-08
Puducherry,Good,25,CO,1,2021-03-09
Puducherry,Good,22,CO,1,2021-03-10
Puducherry,Good,27,"O
3",1,2021-03-11
Puducherry,Good,31,"PM
10",1,2021-03-12
Puducherry,Good,43,"PM
2.5",1,2021-03-13
Puducherry,Good,38,"O
3",1,2021-03-14
Puducherry,Good,39,"O
3",1,2021-03-15
Puducherry,Good,33,"O
3",1,2021-03-16
Puducherry,Good,40,"O
3",1,2021-03-17
Puducherry,Satisfactory,59,"PM
10",1,2021-03-18
Puducherry,Satisfactory,58,"PM
10",1,2021-03-19
Puducherry,Satisfactory,83,"PM
2.5",1,2021-03-20
Puducherry,Satisfactory,78,"PM
2.5",1,2021-03-21
Puducherry,Good,50,"PM
10",1,2021-03-22
Puducherry,Satisfactory,74,"PM
10",1,2021-03-23
Puducherry,Satisfactory,100,"PM
10",1,2021-03-24
Puducherry,Satisfactory,99,"PM
10",1,2021-03-25
Puducherry,Satisfactory,92,"PM
10",1,2021-03-26
Puducherry,Satisfactory,66,"PM
10",1,2021-03-27
Puducherry,Satisfactory,53,"PM
10",1,2021-03-28
Puducherry,Good,38,"O
3",1,2021-03-29
Puducherry,Satisfactory,60,"O
3",1,2021-03-30
Puducherry,Good,45,"O
3",1,2021-03-31
Puducherry,Satisfactory,57,"O
3",1,2021-04-01
Puducherry,Satisfactory,80,"O
3",1,2021-04-02
Puducherry,Satisfactory,75,"PM
10",1,2021-04-03
Puducherry,Satisfactory,76,"PM
10",1,2021-04-04
Puducherry,Satisfactory,76,"PM
10",1,2021-04-05
Puducherry,Satisfactory,68,"PM
10",1,2021-04-06
Puducherry,Satisfactory,67,"PM
10",1,2021-04-07
Puducherry,Satisfactory,80,"PM
10",1,2021-04-08
Puducherry,Satisfactory,67,"PM
10",1,2021-04-09
Puducherry,Satisfactory,60,"PM
10",1,2021-04-10
Puducherry,Satisfactory,57,"PM
10",1,2021-04-11
Puducherry,Good,26,"PM
10",1,2021-04-12
Puducherry,Good,40,"PM
10",1,2021-04-13
Puducherry,Good,33,"PM
10",1,2021-04-14
Puducherry,Good,29,CO,1,2021-04-15
Puducherry,Good,45,"O
3",1,2021-04-16
Puducherry,Good,45,"O
3",1,2021-04-17
Puducherry,Good,40,"O
3",1,2021-04-18
Puducherry,Satisfactory,63,"O
3",1,2021-04-19
Puducherry,Good,45,"O
3",1,2021-04-20
Puducherry,Good,47,"O
3",1,2021-04-21
Puducherry,Good,47,"O
3",1,2021-04-22
Puducherry,Satisfactory,54,"O
3",1,2021-04-23
Puducherry,Satisfactory,53,"O
3",1,2021-04-24
Puducherry,Good,44,"PM
10",1,2021-04-25
Puducherry,Good,46,"PM
10",1,2021-04-26
Puducherry,Good,47,"PM
10",1,2021-04-27
Puducherry,Good,50,"PM
10",1,2021-04-28
Puducherry,Good,48,"PM
10",1,2021-04-29
Puducherry,Good,38,"PM
10",1,2021-04-30
Puducherry,Good,33,"PM
10",1,2021-05-01
Puducherry,Good,25,"PM
2.5",1,2021-05-02
Puducherry,Good,18,"O
3",1,2021-05-03
Puducherry,Good,19,"O
3",1,2021-05-04
Puducherry,Good,39,"PM
2.5",1,2021-05-05
Puducherry,Good,17,"O
3",1,2021-05-06
Puducherry,Good,17,"O
3",1,2021-05-07
Puducherry,Good,28,"O
3",1,2021-05-08
Puducherry,Good,29,"PM
2.5",1,2021-05-09
Puducherry,Good,26,"O
3",1,2021-05-10
Puducherry,Good,44,"O
3",1,2021-05-11
Puducherry,Good,32,"O
3",1,2021-05-12
Puducherry,Good,35,"O
3",1,2021-05-13
Puducherry,Satisfactory,63,"O
3",1,2021-05-14
Puducherry,Good,45,"O
3",1,2021-05-15
Puducherry,Good,38,"O
3",1,2021-05-16
Puducherry,Good,40,"O
3",1,2021-05-17
Puducherry,Good,34,"O
3",1,2021-05-18
Puducherry,Good,36,"O
3",1,2021-05-19
Puducherry,Satisfactory,54,"O
3",1,2021-05-20
Puducherry,Good,39,"O
3",1,2021-05-21
Puducherry,Good,34,"O
3",1,2021-05-22
Puducherry,Good,49,"O
3",1,2021-05-23
Puducherry,Good,42,"O
3",1,2021-05-24
Puducherry,Satisfactory,53,"PM
10",1,2021-05-25
Puducherry,Good,42,"O
3",1,2021-05-26
Puducherry,Good,46,"O
3",1,2021-05-27
Puducherry,Satisfactory,54,"PM
10",1,2021-05-28
Puducherry,Good,50,"O
3",1,2021-05-29
Puducherry,Good,46,"O
3",1,2021-05-30
Puducherry,Satisfactory,52,"O
3",1,2021-05-31
Puducherry,Satisfactory,52,"O
3",1,2021-06-01
Puducherry,Satisfactory,60,"O
3",1,2021-06-02
Puducherry,Satisfactory,52,"O
3",1,2021-06-03
Puducherry,Good,31,"O
3",1,2021-06-04
Puducherry,Good,45,"O
3",1,2021-06-05
Puducherry,Good,47,"O
3",1,2021-06-06
Puducherry,Satisfactory,52,"O
3",1,2021-06-07
Puducherry,Good,50,"O
3",1,2021-06-08
Puducherry,Good,40,"O
3",1,2021-06-09
Puducherry,Good,45,"PM
10",1,2021-06-10
Puducherry,Good,42,"PM
10",1,2021-06-11
Puducherry,Good,43,"PM
10",1,2021-06-12
Puducherry,Good,37,"O
3",1,2021-06-13
Puducherry,Good,31,"O
3",1,2021-06-14
Puducherry,Good,30,"O
3",1,2021-06-15
Puducherry,Satisfactory,54,"PM
10",1,2021-06-16
Puducherry,Satisfactory,64,"PM
10",1,2021-06-17
Puducherry,Satisfactory,73,"PM
10",1,2021-06-18
Puducherry,Satisfactory,81,"PM
10",1,2021-06-19
Puducherry,Satisfactory,71,"PM
10",1,2021-06-20
Puducherry,Satisfactory,73,"PM
10",1,2021-06-21
Puducherry,Good,47,"PM
10",1,2021-06-22
Puducherry,Satisfactory,55,"PM
10",1,2021-06-23
Puducherry,Satisfactory,58,"O
3",1,2021-06-24
Puducherry,Good,45,"PM
2.5",1,2021-06-25
Puducherry,Good,42,"PM
2.5",1,2021-06-26
Puducherry,Good,30,"O
3",1,2021-06-27
Puducherry,Good,48,"O
3",1,2021-06-28
Puducherry,Good,39,"O
3",1,2021-07-01
Puducherry,Satisfactory,55,"O
3",1,2021-07-02
Puducherry,Moderate,112,"NO
2",1,2021-07-03
Puducherry,Satisfactory,97,"NO
2",1,2021-07-04
Puducherry,Satisfactory,96,"NO
2",1,2021-07-05
Puducherry,Satisfactory,88,"NO
2",1,2021-07-06
Puducherry,Satisfactory,54,"O
3",1,2021-07-07
Puducherry,Satisfactory,52,"O
3",1,2021-07-08
Puducherry,Good,37,"O
3",1,2021-07-09
Puducherry,Good,28,"O
3",1,2021-07-10
Puducherry,Good,33,"O
3",1,2021-07-11
Puducherry,Good,38,"O
3",1,2021-07-12
Puducherry,Good,44,"PM
10",1,2021-07-13
Puducherry,Good,42,"PM
10",1,2021-07-14
Puducherry,Good,27,"PM
10",1,2021-07-15
Puducherry,Good,32,"O
3",1,2021-07-17
Puducherry,Good,37,"PM
2.5",1,2021-07-18
Puducherry,Good,34,"O
3",1,2021-07-19
Puducherry,Good,44,"PM
10",1,2021-07-22
Puducherry,Good,49,"PM
10",1,2021-07-23
Puducherry,Good,44,"PM
10",1,2021-07-24
Puducherry,Good,38,"PM
10",1,2021-07-25
Puducherry,Good,36,"O
3",1,2021-07-26
Puducherry,Good,40,"O
3",1,2021-07-27
Puducherry,Good,36,"O
3",1,2021-07-28
Puducherry,Good,36,"PM
10",1,2021-07-29
Puducherry,Good,47,"O
3",1,2021-08-02
Puducherry,Good,42,"PM
10",1,2021-08-03
Puducherry,Good,41,"PM
10",1,2021-08-04
Puducherry,Satisfactory,54,"PM
10",1,2021-08-05
Puducherry,Good,44,"O
3",1,2021-08-06
Puducherry,Satisfactory,64,"O
3",1,2021-08-07
Puducherry,Satisfactory,62,"O
3",1,2021-08-08
Puducherry,Satisfactory,70,"O
3",1,2021-08-09
Puducherry,Satisfactory,52,"O
3",1,2021-08-10
Puducherry,Good,44,"O
3",1,2021-08-11
Puducherry,Good,45,"O
3",1,2021-08-12
Puducherry,Good,44,"O
3",1,2021-08-13
Puducherry,Good,47,"PM
10",1,2021-08-14
Puducherry,Good,36,CO,1,2021-08-15
Puducherry,Satisfactory,51,"PM
10",1,2021-08-16
Puducherry,Satisfactory,55,"O
3",1,2021-08-17
Puducherry,Satisfactory,51,"O
3",1,2021-08-18
Puducherry,Good,48,"O
3",1,2021-08-19
Puducherry,Good,45,"O
3",1,2021-08-20
Puducherry,Satisfactory,61,"O
3",1,2021-08-22
Puducherry,Good,41,"O
3",1,2021-08-23
Puducherry,Satisfactory,60,"O
3",1,2021-08-24
Puducherry,Satisfactory,64,"O
3",1,2021-08-25
Puducherry,Satisfactory,77,"O
3",1,2021-08-26
Puducherry,Satisfactory,56,"O
3",1,2021-08-27
Puducherry,Good,39,"O
3",1,2021-08-28
Puducherry,Good,34,"O
3",1,2021-08-29
Puducherry,Good,41,"O
3",1,2021-08-30
Puducherry,Good,48,"PM
10",1,2021-08-31
Puducherry,Good,41,"PM
10",1,2021-09-01
Puducherry,Good,37,CO,1,2021-09-03
Puducherry,Good,38,"O
3",1,2021-09-04
Puducherry,Satisfactory,57,"O
3",1,2021-09-05
Puducherry,Good,36,"O
3",1,2021-09-06
Puducherry,Good,48,"O
3",1,2021-09-07
Puducherry,Good,48,"O
3",1,2021-09-08
Puducherry,Good,50,"O
3",1,2021-09-09
Puducherry,Good,43,"PM
10",1,2021-09-10
Puducherry,Satisfactory,58,"O
3",1,2021-09-11
Puducherry,Good,49,"O
3",1,2021-09-12
Puducherry,Good,47,"O
3",1,2021-09-13
Puducherry,Satisfactory,54,"O
3",1,2021-09-14
Puducherry,Satisfactory,84,"O
3",1,2021-09-15
Puducherry,Satisfactory,79,"O
3",1,2021-09-16
Puducherry,Satisfactory,83,"O
3",1,2021-09-17
Puducherry,Satisfactory,63,"O
3",1,2021-09-18
Puducherry,Satisfactory,73,"O
3",1,2021-09-19
Puducherry,Satisfactory,76,"O
3",1,2021-09-20
Puducherry,Satisfactory,61,"O
3",1,2021-09-21
Puducherry,Good,49,"O
3",1,2021-09-22
Puducherry,Satisfactory,62,"O
3",1,2021-09-23
Puducherry,Good,50,"O
3",1,2021-09-24
Puducherry,Satisfactory,81,"O
3",1,2021-09-25
Puducherry,Good,43,"O
3",1,2021-09-26
Puducherry,Good,41,"O
3",1,2021-09-27
Puducherry,Satisfactory,53,"O
3",1,2021-09-28
Puducherry,Satisfactory,52,"O
3",1,2021-09-29
