City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Pudukottai,Good,30,"PM
10",1/1,2024-10-09
Pudukottai,Good,41,"PM
10",1/1,2024-10-10
Pudukottai,Good,34,"PM
10",1/1,2024-10-11
Pudukottai,Good,28,CO,1/1,2024-10-12
Pudukottai,Good,23,"PM
10",1/1,2024-10-13
Pudukottai,Good,36,"PM
10",1/1,2024-10-14
Pudukottai,Good,31,"PM
10",1/1,2024-10-17
Pudukottai,Good,37,"PM
10",1/1,2024-10-18
Pudukottai,Good,32,"PM
10",1/1,2024-10-19
Pudukottai,Good,49,"PM
10",1/1,2024-10-21
Pudukottai,Satisfactory,58,"PM
10",1/1,2024-10-22
Pudukottai,Satisfactory,54,"PM
10",1/1,2024-10-27
Pudukottai,Satisfactory,64,"PM
10",1/1,2024-10-28
Pudukottai,Satisfactory,65,"PM
10",1/1,2024-10-29
Pudukottai,Satisfactory,55,"PM
10",1/1,2024-10-30
Pudukottai,Satisfactory,80,"PM
10",1/1,2024-10-31
Pudukottai,Satisfactory,70,"PM
10",1/1,2024-11-01
Pudukottai,Satisfactory,72,"PM
10",1/1,2024-11-02
Pudukottai,Good,38,"PM
10",1/1,2024-11-03
Pudukottai,Good,46,"PM
10",1/1,2024-11-04
Pudukottai,Satisfactory,54,"PM
10",1/1,2024-11-05
Pudukottai,Moderate,101,"PM
10",1/1,2024-11-06
Pudukottai,Satisfactory,84,"PM
10",1/1,2024-11-07
Pudukottai,Good,46,"PM
10",1/1,2024-11-08
Pudukottai,Satisfactory,55,"PM
10",1/1,2024-11-09
Pudukottai,Satisfactory,67,"PM
10",1/1,2024-11-10
Pudukottai,Satisfactory,92,"PM
10",1/1,2024-11-11
Pudukottai,Moderate,117,"PM
10",1/1,2024-11-12
Pudukottai,Satisfactory,76,"PM
10",1/1,2024-11-13
Pudukottai,Good,35,"PM
10",1/1,2024-11-14
Pudukottai,Good,38,"PM
10",1/1,2024-11-16
Pudukottai,Good,39,"PM
10",1/1,2024-11-17
Pudukottai,Moderate,124,"PM
10",1/1,2024-11-18
Pudukottai,Moderate,118,"PM
10",1/1,2024-11-19
Pudukottai,Satisfactory,93,"PM
10",1/1,2024-11-20
Pudukottai,Satisfactory,63,"PM
10",1/1,2024-11-21
