City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Raichur,Satisfactory,76,"PM
10",1,2020-12-17
Raichur,Moderate,112,"PM
10",1,2020-12-18
Raichur,Moderate,130,"PM
2.5",1,2020-12-19
Raichur,Moderate,121,"PM
2.5",1,2020-12-20
Raichur,Moderate,123,"PM
2.5",1,2020-12-21
Raichur,Satisfactory,95,"PM
2.5",1,2020-12-23
Raichur,Moderate,116,"PM
10",1,2020-12-24
Raichur,Moderate,126,"PM
10",1,2020-12-25
Raichur,Moderate,131,"PM
10",1,2020-12-26
Raichur,Moderate,196,"PM
2.5",1,2020-12-28
Raichur,Moderate,194,"PM
2.5",1,2020-12-29
Raichur,Moderate,150,"PM
2.5",1,2020-12-30
Raichur,Moderate,119,"PM
10",1,2020-12-31
Raichur,Moderate,143,"PM
2.5",1,2021-01-01
Raichur,Moderate,151,"PM
2.5",1,2021-01-02
Raichur,Moderate,136,"PM
2.5",1,2021-01-03
Raichur,Satisfactory,94,"PM
10",1,2021-01-05
Raichur,Satisfactory,83,"PM
10",1,2021-01-06
Raichur,Moderate,112,"PM
10",1,2021-01-08
Raichur,Satisfactory,81,"PM
10",1,2021-01-09
Raichur,Satisfactory,90,"PM
10",1,2021-01-10
Raichur,Moderate,111,"PM
10",1,2021-01-11
Raichur,Moderate,124,"PM
10",1,2021-01-12
Raichur,Moderate,124,"PM
10",1,2021-01-13
Raichur,Moderate,110,"PM
10",1,2021-01-14
Raichur,Moderate,108,"PM
10",1,2021-01-15
Raichur,Moderate,123,"PM
10",1,2021-01-16
Raichur,Moderate,141,"PM
10",1,2021-01-17
Raichur,Satisfactory,93,"PM
10",1,2021-01-18
Raichur,Satisfactory,100,"PM
10",1,2021-01-19
Raichur,Moderate,161,"PM
10",1,2021-01-20
Raichur,Poor,212,"PM
10",1,2021-01-21
Raichur,Poor,213,"PM
10",1,2021-01-22
Raichur,Moderate,148,"PM
10",1,2021-01-23
Raichur,Moderate,145,"PM
10",1,2021-01-24
Raichur,Moderate,156,"PM
10",1,2021-01-25
Raichur,Moderate,142,"PM
10",1,2021-01-26
Raichur,Moderate,131,"PM
10",1,2021-01-27
Raichur,Moderate,141,"PM
10",1,2021-01-28
Raichur,Moderate,128,"PM
10",1,2021-01-29
Raichur,Moderate,128,"PM
10",1,2021-02-09
Raichur,Moderate,136,"PM
10",1,2021-02-10
Raichur,Moderate,167,"PM
10",1,2021-02-11
Raichur,Moderate,121,"PM
10",1,2021-02-12
Raichur,Moderate,131,"PM
10",1,2021-02-13
Raichur,Moderate,117,"PM
10",1,2021-02-14
Raichur,Moderate,112,"PM
10",1,2021-02-15
Raichur,Moderate,173,"PM
10",1,2021-02-16
Raichur,Moderate,124,"PM
10",1,2021-02-17
Raichur,Moderate,117,"PM
10",1,2021-02-18
Raichur,Moderate,117,"PM
10",1,2021-02-19
Raichur,Moderate,112,"PM
10",1,2021-02-20
Raichur,Satisfactory,78,"PM
10",1,2021-02-21
Raichur,Satisfactory,58,"PM
2.5",1,2021-02-23
Raichur,Moderate,121,"PM
10",1,2021-02-24
Raichur,Moderate,134,"PM
10",1,2021-02-25
Raichur,Moderate,159,"PM
10",1,2021-02-26
Raichur,Moderate,146,"PM
10",1,2021-02-27
Raichur,Moderate,142,"PM
10",1,2021-02-28
Raichur,Moderate,146,"PM
10",1,2021-03-01
Raichur,Moderate,134,"PM
10",1,2021-03-02
Raichur,Moderate,134,"PM
10",1,2021-03-03
Raichur,Moderate,159,"PM
10",1,2021-03-07
Raichur,Moderate,133,"PM
10",1,2021-03-08
Raichur,Satisfactory,98,"PM
10",1,2021-03-09
Raichur,Moderate,103,"PM
10",1,2021-03-10
Raichur,Moderate,108,"PM
10",1,2021-03-11
Raichur,Satisfactory,71,"PM
10",1,2021-03-12
Raichur,Satisfactory,72,"PM
10",1,2021-03-13
Raichur,Satisfactory,87,"PM
10",1,2021-03-14
Raichur,Moderate,126,"PM
10",1,2021-03-15
Raichur,Moderate,144,"PM
10",1,2021-03-16
Raichur,Moderate,136,"PM
10",1,2021-03-17
Raichur,Moderate,134,"PM
2.5",1,2021-03-18
Raichur,Moderate,121,"PM
10",1,2021-03-19
Raichur,Moderate,135,"PM
10",1,2021-03-20
Raichur,Moderate,123,"PM
10",1,2021-03-21
Raichur,Moderate,134,"PM
2.5",1,2021-03-22
Raichur,Moderate,134,"PM
10",1,2021-03-23
Raichur,Moderate,117,"PM
10",1,2021-03-24
Raichur,Moderate,140,"PM
2.5",1,2021-03-25
Raichur,Moderate,143,"PM
2.5",1,2021-03-26
Raichur,Moderate,145,"PM
2.5",1,2021-03-27
Raichur,Moderate,187,"PM
2.5",1,2021-03-28
Raichur,Moderate,134,"PM
2.5",1,2021-03-29
Raichur,Moderate,137,"PM
2.5",1,2021-03-30
Raichur,Moderate,106,"PM
2.5",1,2021-03-31
Raichur,Moderate,104,"PM
10",1,2021-04-01
Raichur,Satisfactory,83,"PM
10",1,2021-04-02
Raichur,Moderate,113,"PM
10",1,2021-04-03
Raichur,Satisfactory,90,"PM
10",1,2021-04-04
Raichur,Moderate,189,"PM
2.5",1,2021-04-05
Raichur,Moderate,133,"PM
2.5",1,2021-04-06
Raichur,Moderate,113,"PM
2.5",1,2021-04-07
Raichur,Moderate,102,"PM
10",1,2021-04-08
Raichur,Moderate,110,"PM
10",1,2021-04-09
Raichur,Satisfactory,89,"PM
10",1,2021-04-20
Raichur,Satisfactory,72,"PM
10",1,2021-04-21
Raichur,Satisfactory,71,"PM
10",1,2021-04-22
Raichur,Satisfactory,70,"PM
10",1,2021-04-25
Raichur,Satisfactory,74,"PM
10",1,2021-04-26
Raichur,Satisfactory,72,"PM
10",1,2021-04-27
Raichur,Satisfactory,76,"PM
10",1,2021-04-30
Raichur,Satisfactory,93,"PM
10",1,2021-05-01
Raichur,Satisfactory,79,"PM
10",1,2021-05-02
Raichur,Satisfactory,71,"PM
10",1,2021-05-03
Raichur,Satisfactory,70,"PM
10",1,2021-05-04
Raichur,Satisfactory,58,"PM
10",1,2021-05-06
Raichur,Satisfactory,63,"PM
10",1,2021-05-07
Raichur,Satisfactory,60,"PM
10",1,2021-05-08
Raichur,Satisfactory,63,"PM
10",1,2021-05-09
Raichur,Satisfactory,63,"PM
10",1,2021-05-14
Raichur,Good,29,"PM
10",1,2021-05-18
Raichur,Good,32,"PM
10",1,2021-05-19
Raichur,Satisfactory,69,"PM
10",1,2021-05-21
Raichur,Satisfactory,57,"PM
10",1,2021-05-22
Raichur,Satisfactory,71,"PM
10",1,2021-05-23
Raichur,Satisfactory,60,"PM
10",1,2021-05-24
Raichur,Satisfactory,70,"PM
10",1,2021-05-25
Raichur,Satisfactory,67,"PM
10",1,2021-05-26
Raichur,Satisfactory,63,"PM
10",1,2021-05-27
Raichur,Satisfactory,61,"PM
10",1,2021-05-28
Raichur,Satisfactory,52,"PM
10",1,2021-05-29
Raichur,Good,49,"PM
10",1,2021-05-30
Raichur,Good,38,"PM
10",1,2021-05-31
Raichur,Good,30,"PM
10",1,2021-06-01
Raichur,Good,41,"PM
10",1,2021-06-02
