City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Raipur,Moderate,132,"PM , PM
10 2.5",3,2022-10-26
Raipur,Moderate,150,"PM , PM
2.5 10",3,2022-10-27
Raipur,Moderate,116,"NO , PM
2 10",3,2022-10-28
Raipur,Moderate,112,"PM , PM
10 2.5",4,2023-01-04
Raipur,Moderate,112,"PM , PM
2.5 10",4,2023-01-05
Raipur,Moderate,101,"NO , PM
2 2.5",4,2023-01-06
Raipur,Moderate,106,"NO , PM
2 10",4,2023-01-07
Raipur,Moderate,106,"NO , PM
2 10",3,2023-01-08
Raipur,Moderate,114,"NO , PM
2 10",4,2023-01-09
Raipur,Moderate,128,"NO , PM
2 10",4,2023-01-10
Raipur,Satisfactory,96,"NO , PM
2 10",4,2023-01-12
Raipur,Moderate,125,"PM , NO
2.5 2",4,2023-01-13
Raipur,Satisfactory,98,"PM , NO
2.5 2",4,2023-01-14
Raipur,Satisfactory,90,"PM
10",4,2023-01-15
Raipur,Satisfactory,86,"PM , NO
10 2",4,2023-01-16
Raipur,Moderate,112,"PM
10",4,2023-01-17
Raipur,Moderate,103,"PM
10",4,2023-01-18
Raipur,Moderate,107,"PM
10",4,2023-01-19
Raipur,Satisfactory,98,"PM
10",4,2023-01-20
Raipur,Satisfactory,88,"NO , PM
2 10",4,2023-01-22
Raipur,Satisfactory,89,"PM
10",3,2023-01-23
Raipur,Satisfactory,93,"PM
10",4,2023-01-24
Raipur,Moderate,108,"PM
10",4,2023-01-25
Raipur,Moderate,106,"PM
10",4,2023-01-26
Raipur,Moderate,102,"PM
10",4,2023-01-27
Raipur,Moderate,103,"PM
10",4,2023-01-28
Raipur,Satisfactory,99,"PM
10",4,2023-01-29
Raipur,Satisfactory,95,"PM , NO
10 2",4,2023-01-30
Raipur,Moderate,105,"PM
10",4,2023-01-31
Raipur,Satisfactory,88,"NO , PM
2 10",4,2023-02-01
Raipur,Satisfactory,89,"NO , PM
2 10",4,2023-02-02
Raipur,Satisfactory,97,"NO , PM
2 10",4,2023-02-03
Raipur,Satisfactory,93,"PM , PM
2.5 10",4,2023-02-04
Raipur,Moderate,113,"NO , PM
2 2.5",4,2023-02-05
Raipur,Moderate,118,"NO , PM
2 10",4,2023-02-06
Raipur,Moderate,102,"PM , PM
2.5 10",4,2023-02-07
Raipur,Satisfactory,98,"PM , NO
10 2",4,2023-02-08
Raipur,Satisfactory,81,"NO , PM
2 10",4,2023-02-09
Raipur,Moderate,111,"PM , PM
2.5 10",4,2023-02-10
Raipur,Moderate,106,"PM , NO
2.5 2",4,2023-02-11
Raipur,Satisfactory,84,"NO , PM
2 10",4,2023-02-12
Raipur,Satisfactory,87,"NO , PM
2 10",3,2023-02-13
Raipur,Satisfactory,92,"PM , NO
10 2",4,2023-02-14
Raipur,Moderate,114,"PM , NO
2.5 2",4,2023-02-15
Raipur,Satisfactory,95,"NO , PM
2 10",4,2023-02-16
Raipur,Moderate,114,"PM , PM
2.5 10",3,2023-02-17
Raipur,Moderate,114,"PM
10",4,2023-02-18
Raipur,Moderate,146,"PM , PM
2.5 10",4,2023-02-19
Raipur,Moderate,116,"PM , PM
2.5 10",4,2023-02-20
Raipur,Moderate,106,"PM , PM
2.5 10",4,2023-02-21
Raipur,Moderate,113,"PM , NO
2.5 2",4,2023-02-22
Raipur,Moderate,108,"PM , NO
2.5 2",4,2023-02-23
Raipur,Moderate,109,"PM , NO
10 2",4,2023-02-24
Raipur,Moderate,101,"NO , PM
2 10",4,2023-02-25
Raipur,Moderate,115,"NO , PM
2 10",4,2023-02-26
Raipur,Moderate,117,"PM
10",4,2023-02-27
Raipur,Moderate,126,"PM , PM
2.5 10",4,2023-02-28
Raipur,Moderate,136,"PM , PM
2.5 10",4,2023-03-01
Raipur,Moderate,117,"NO , PM
2 10",4,2023-03-02
Raipur,Moderate,119,"NO , PM
2 10",4,2023-03-03
Raipur,Moderate,119,"NO , PM
2 10",4,2023-03-04
Raipur,Moderate,114,"NO , PM
2 10",4,2023-03-05
Raipur,Moderate,112,"NO , PM
2 10",4,2023-03-06
Raipur,Moderate,106,"NO , PM
2 10",4,2023-03-07
Raipur,Satisfactory,91,"NO , PM
2 10",4,2023-03-08
Raipur,Satisfactory,84,"NO
2",4,2023-03-09
Raipur,Satisfactory,88,"NO
2",4,2023-03-10
Raipur,Moderate,102,"NO , PM
2 10",4,2023-03-11
Raipur,Moderate,108,"NO , PM
2 10",4,2023-03-12
Raipur,Moderate,108,"NO , PM
2 10",4,2023-03-13
Raipur,Moderate,114,"NO , PM
2 10",4,2023-03-14
Raipur,Moderate,104,"NO
2",4,2023-03-15
Raipur,Moderate,102,"PM , NO
10 2",4,2023-03-16
Raipur,Satisfactory,77,"PM , NO
10 2",4,2023-03-17
Raipur,Satisfactory,68,"NO
2",4,2023-03-18
Raipur,Satisfactory,70,"NO
2",4,2023-03-19
Raipur,Satisfactory,72,"NO
2",4,2023-03-20
Raipur,Satisfactory,71,"NO
2",4,2023-03-21
Raipur,Satisfactory,63,"NO
2",3,2023-03-22
Raipur,Satisfactory,78,"NO
2",3,2023-03-23
Raipur,Satisfactory,98,"PM , PM
2.5 10",4,2023-03-24
Raipur,Satisfactory,82,"PM , PM
2.5 10",4,2023-03-25
Raipur,Satisfactory,81,"PM
10",4,2023-03-26
Raipur,Satisfactory,53,"PM , NO
10 2",4,2023-03-27
Raipur,Satisfactory,98,"PM
10",4,2023-03-28
Raipur,Moderate,104,"PM , PM
2.5 10",4,2023-03-29
Raipur,Satisfactory,64,"PM
10",4,2023-03-30
Raipur,Satisfactory,51,"NO
2",4,2023-03-31
Raipur,Satisfactory,54,"NO
2",4,2023-04-01
Raipur,Satisfactory,79,"PM , NO
10 2",4,2023-04-02
Raipur,Satisfactory,90,"PM , NO
10 2",4,2023-04-03
Raipur,Satisfactory,73,"PM , NO
10 2",4,2023-04-04
Raipur,Satisfactory,88,"PM , NO
10 2",4,2023-04-05
Raipur,Satisfactory,96,"PM , NO
10 2",4,2023-04-06
Raipur,Satisfactory,67,"NO
2",4,2023-04-07
Raipur,Satisfactory,63,"NO
2",3,2023-04-08
Raipur,Satisfactory,92,"PM , NO
10 2",4,2023-04-09
Raipur,Satisfactory,74,"PM , NO
10 2",4,2023-04-10
Raipur,Satisfactory,81,"PM , NO
10 2",4,2023-04-11
Raipur,Moderate,106,"PM , NO
10 2",4,2023-04-12
Raipur,Satisfactory,89,"PM , NO
10 2",4,2023-04-13
Raipur,Satisfactory,73,"PM , NO
10 2",4,2023-04-14
Raipur,Satisfactory,74,"PM , NO
10 2",3,2023-04-15
Raipur,Satisfactory,74,"PM , NO
10 2",4,2023-04-16
Raipur,Satisfactory,98,"PM , NO
2.5 2",4,2023-04-17
Raipur,Satisfactory,95,"PM , NO
2.5 2",4,2023-04-18
Raipur,Satisfactory,91,"PM , NO
10 2",4,2023-04-19
Raipur,Satisfactory,87,"PM
10",4,2023-04-20
Raipur,Satisfactory,63,"PM , NO
10 2",4,2023-04-21
Raipur,Satisfactory,54,"PM , NO
10 2",4,2023-04-22
Raipur,Good,46,"PM , NO
10 2",4,2023-04-23
Raipur,Satisfactory,59,"NO
2",4,2023-04-24
Raipur,Satisfactory,54,"NO
2",4,2023-04-25
Raipur,Satisfactory,60,"PM , NO
10 2",4,2023-04-26
Raipur,Satisfactory,65,"PM , NO
10 2",4,2023-04-27
Raipur,Satisfactory,61,"PM , NO
10 2",4,2023-04-28
Raipur,Satisfactory,54,"PM , NO
10 2",4,2023-04-29
Raipur,Satisfactory,52,"NO
2",4,2023-04-30
Raipur,Satisfactory,52,"NO
2",4,2023-05-01
Raipur,Good,50,"NO
2",4,2023-05-02
Raipur,Good,44,"NO
2",4,2023-05-03
Raipur,Satisfactory,76,"PM , NO
10 2",4,2023-05-04
Raipur,Satisfactory,71,"PM , NO
10 2",4,2023-05-05
Raipur,Satisfactory,60,"PM , NO
10 2",4,2023-05-06
Raipur,Satisfactory,84,"PM , PM
2.5 10",4,2023-05-07
Raipur,Satisfactory,86,"PM
10",3,2023-05-08
Raipur,Satisfactory,90,"PM
10",4,2023-05-09
Raipur,Satisfactory,54,"NO
2",4,2023-05-10
Raipur,Satisfactory,87,"PM
10",3,2023-05-11
Raipur,Satisfactory,98,"PM
10",3,2023-05-12
Raipur,Moderate,113,"O , PM
3 10",4,2023-05-13
Raipur,Moderate,124,"PM , PM
2.5 10",4,2023-05-14
Raipur,Satisfactory,93,"PM , PM
2.5 10",4,2023-05-15
Raipur,Satisfactory,73,"PM , NO
10 2",4,2023-05-16
Raipur,Satisfactory,82,"PM , NO
10 2",4,2023-05-17
Raipur,Satisfactory,80,"PM , NO
10 2",4,2023-05-18
Raipur,Satisfactory,76,"PM , NO
10 2",4,2023-05-19
Raipur,Satisfactory,57,"PM , NO
10 2",4,2023-05-20
Raipur,Satisfactory,65,"PM , NO
10 2",4,2023-05-21
Raipur,Satisfactory,66,"PM , NO
10 2",4,2023-05-22
Raipur,Satisfactory,66,"PM , NO
10 2",4,2023-05-23
Raipur,Satisfactory,74,"PM , NO
10 2",3,2023-05-24
Raipur,Satisfactory,62,"PM , NO
2.5 2",4,2023-05-25
Raipur,Satisfactory,83,"PM , NO
10 2",4,2023-05-26
Raipur,Satisfactory,88,"PM
10",4,2023-05-27
Raipur,Satisfactory,82,"PM , NO
10 2",4,2023-05-28
Raipur,Satisfactory,84,"PM
10",4,2023-05-29
Raipur,Satisfactory,72,"PM
10",4,2023-05-30
Raipur,Satisfactory,66,"PM , NO
10 2",4,2023-05-31
Raipur,Satisfactory,89,"PM
10",4,2023-06-01
Raipur,Satisfactory,98,"PM
10",4,2023-06-02
Raipur,Satisfactory,85,"PM
10",4,2023-06-03
Raipur,Moderate,103,"PM
2.5",4,2023-06-04
Raipur,Satisfactory,79,"PM , NO
2.5 2",4,2023-06-05
Raipur,Satisfactory,80,"PM , NO
2.5 2",4,2023-06-06
Raipur,Satisfactory,96,"PM
10",4,2023-06-07
Raipur,Satisfactory,88,"PM
10",4,2023-06-08
Raipur,Satisfactory,94,"PM
10",4,2023-06-09
Raipur,Satisfactory,87,"PM , NO
10 2",4,2023-06-10
Raipur,Satisfactory,76,"PM , NO
10 2",4,2023-06-11
Raipur,Satisfactory,69,"PM , NO
10 2",4,2023-06-12
Raipur,Satisfactory,67,"PM , NO
10 2",4,2023-06-13
Raipur,Satisfactory,53,"NO
2",4,2023-06-14
Raipur,Satisfactory,57,"PM , NO
10 2",3,2023-06-15
Raipur,Satisfactory,80,"PM
10",4,2023-06-16
Raipur,Satisfactory,77,"PM , NO
10 2",4,2023-06-17
Raipur,Satisfactory,79,"PM
10",4,2023-06-18
Raipur,Satisfactory,92,"PM
10",4,2023-06-19
Raipur,Satisfactory,84,"PM , PM
2.5 10",4,2023-06-20
Raipur,Satisfactory,52,"PM , NO
10 2",4,2023-06-21
Raipur,Satisfactory,55,"PM , NO
10 2",4,2023-06-22
Raipur,Good,43,"NO
2",4,2023-06-23
Raipur,Satisfactory,61,"PM
10",4,2023-06-24
Raipur,Satisfactory,62,"PM , NO
10 2",4,2023-06-25
Raipur,Good,50,"NO
2",4,2023-06-26
Raipur,Satisfactory,62,"PM , NO
10 2",3,2023-06-27
Raipur,Satisfactory,59,"PM , NO
10 2",3,2023-06-28
Raipur,Satisfactory,"57
* AQ","PM , NO
10 2
I is not calculated for today's bullet","3
in for Ahmednagar, Ajmer, Akola,",2023-06-29
Raipur,Satisfactory,57,"PM , NO
10 2",3,2023-06-30
Raipur,Satisfactory,60,"PM , NO
10 2",3,2023-07-01
Raipur,Satisfactory,62,"PM , NO
10 2",3,2023-07-02
Raipur,Satisfactory,61,"PM , NO
10 2",3,2023-07-03
Raipur,Satisfactory,60,"PM , NO
10 2",3,2023-07-04
Raipur,Satisfactory,55,"PM , NO
10 2",3,2023-07-05
Raipur,Satisfactory,51,"PM , NO
10 2",3,2023-07-06
Raipur,Good,44,"NO
2",3,2023-07-07
Raipur,Good,42,"PM , NO
10 2",3,2023-07-08
Raipur,Good,49,"PM , NO
10 2",3,2023-07-09
Raipur,Satisfactory,70,"PM , NO
10 2",3,2023-07-10
Raipur,Satisfactory,54,"PM , NO
10 2",3,2023-07-11
Raipur,Good,40,"NO
2",3,2023-07-12
Raipur,Good,40,"CO, NO
2",3,2023-07-13
Raipur,Good,39,"CO, NO
2",3,2023-07-14
Raipur,Good,41,"CO, PM
10",3,2023-07-15
Raipur,Good,50,"PM , NO
10 2",4,2023-07-16
Raipur,Good,45,"PM , NO
10 2",4,2023-07-17
Raipur,Good,49,"PM , CO
10",4,2023-07-18
Raipur,Satisfactory,56,"PM , NO
10 2",4,2023-07-19
Raipur,Satisfactory,68,"PM
10",4,2023-07-20
Raipur,Satisfactory,54,"PM , NO
10 2",4,2023-07-21
Raipur,Good,38,"PM , NO
10 2",4,2023-07-22
Raipur,Good,38,"PM , NO
10 2",4,2023-07-23
Raipur,Good,39,"PM , NO
10 2",4,2023-07-24
Raipur,Good,49,"PM , NO
10 2",4,2023-07-25
Raipur,Satisfactory,73,"PM
10",4,2023-07-26
Raipur,Good,39,"PM , NO
10 2",4,2023-07-27
Raipur,Good,42,"PM , CO
10",4,2023-07-28
Raipur,Good,42,"PM , NO
10 2",4,2023-07-29
Raipur,Good,49,"PM
10",4,2023-07-30
Raipur,Good,43,"PM
10",3,2023-07-31
Raipur,Good,41,"PM
10",4,2023-08-01
Raipur,Good,45,"PM , CO
10",4,2023-08-02
Raipur,Good,28,"NO
2",4,2023-08-03
Raipur,Good,36,"PM , NO
10 2",4,2023-08-04
Raipur,Good,44,"PM , NO
10 2",4,2023-08-05
Raipur,Good,48,"PM , NO
10 2",4,2023-08-06
Raipur,Good,46,"PM , NO
10 2",4,2023-08-07
Raipur,Good,41,"PM
10",3,2023-08-08
Raipur,Satisfactory,60,"PM
10",3,2023-08-09
Raipur,Satisfactory,59,"PM
10",4,2023-08-10
Raipur,Satisfactory,58,"PM
10",3,2023-08-11
Raipur,Satisfactory,61,"PM
10",4,2023-08-12
Raipur,Satisfactory,57,"PM
10",3,2023-08-13
Raipur,Good,36,"PM
10",2,2023-08-14
Raipur,Good,39,"PM
10",3,2023-08-15
Raipur,Good,36,"PM
10",3,2023-08-16
Raipur,Satisfactory,56,"PM
10",4,2023-08-17
Raipur,Good,38,"PM , NO
10 2",4,2023-08-18
Raipur,Good,38,"PM , CO
10",4,2023-08-19
Raipur,Good,24,"CO, NO
2",4,2023-08-20
Raipur,Good,30,"PM , NO
2.5 2",4,2023-08-21
Raipur,Good,42,"PM , CO
10",4,2023-08-22
Raipur,Good,44,"PM
10",4,2023-08-23
Raipur,Good,40,"PM , CO
10",4,2023-08-24
Raipur,Good,37,"PM , CO
10",4,2023-08-25
Raipur,Good,41,"PM
10",4,2023-08-26
Raipur,Satisfactory,58,"PM
10",4,2023-08-27
Raipur,Satisfactory,68,"PM
10",4,2023-08-28
Raipur,Moderate,105,"PM
10",2,2023-08-29
Raipur,Satisfactory,71,"PM
10",4,2023-08-30
Raipur,Satisfactory,66,"PM
10",4,2023-08-31
Raipur,Satisfactory,72,"PM
10",3,2023-09-01
Raipur,Satisfactory,70,"PM
10",3,2023-09-02
Raipur,Good,50,"PM , CO
10",4,2023-09-03
Raipur,Good,47,"PM , CO
10",3,2023-09-04
Raipur,Satisfactory,57,"PM , CO
10",3,2023-09-05
Raipur,Satisfactory,54,"PM , CO
10",3,2023-09-06
Raipur,Satisfactory,76,"PM
10",1,2023-09-07
Raipur,Good,33,"PM , CO
10",2,2023-09-08
Raipur,Good,27,"PM , CO
10",3,2023-09-09
Raipur,Good,30,"PM , O
10 3",3,2023-09-10
Raipur,Good,44,"PM , CO
10",3,2023-09-11
Raipur,Satisfactory,58,"PM , CO
10",3,2023-09-12
Raipur,Satisfactory,57,"PM
10",3,2023-09-13
Raipur,Satisfactory,66,"PM , CO
10",2,2023-09-14
Raipur,Good,20,"O
3",2,2023-09-15
Raipur,Good,20,"O , NO
3 2",3,2023-09-16
Raipur,Good,38,"PM , NO
10 2",4,2023-09-17
Raipur,Good,47,"PM , NO
10 2",4,2023-09-18
Raipur,Satisfactory,54,"PM
10",4,2023-09-19
Raipur,Satisfactory,61,"PM
10",4,2023-09-20
Raipur,Good,41,"PM , NO
10 2",4,2023-09-21
Raipur,Good,35,"PM , NO
10 2",4,2023-09-22
Raipur,Good,36,"PM , CO
10",4,2023-09-23
Raipur,Good,"28
* AQ","PM , NO
10 2
I is not calculated for today's bullet","3
in for Agartala, Ahmednagar,",2023-09-24
Raipur,Good,40,"PM , NO
10 2",3,2023-09-25
Raipur,Satisfactory,75,"PM
10",4,2023-09-26
Raipur,Satisfactory,67,"PM , NO
10 2",4,2023-09-27
Raipur,Satisfactory,92,"PM
10",4,2023-09-28
Raipur,Satisfactory,94,"PM
10",4,2023-09-29
Raipur,Satisfactory,52,"PM
10",4,2023-09-30
Raipur,Satisfactory,51,"PM , CO
10",4,2023-10-01
Raipur,Satisfactory,62,"PM
10",3,2023-10-02
Raipur,Good,49,"PM
10",3,2023-10-03
Raipur,Satisfactory,76,"PM
10",3/4,2023-10-04
Raipur,Satisfactory,90,"PM , PM
2.5 10",4/4,2023-10-05
Raipur,Satisfactory,84,"PM
10",4/4,2023-10-06
Raipur,Satisfactory,95,"PM
10",4/4,2023-10-07
Raipur,Satisfactory,91,"PM , PM
2.5 10",4/4,2023-10-08
Raipur,Satisfactory,68,"PM
10",3/4,2023-10-09
Raipur,Satisfactory,81,"PM , PM
2.5 10",4/4,2023-10-10
Raipur,Satisfactory,94,"PM
10",3/4,2023-10-11
Raipur,Satisfactory,83,"PM
10",4/4,2023-10-12
Raipur,Moderate,106,"PM
10",3/4,2023-10-13
Raipur,Moderate,101,"PM
10",4/4,2023-10-14
Raipur,Satisfactory,98,"PM
10",3/4,2023-10-15
Raipur,Satisfactory,74,"PM
10",4/4,2023-10-16
Raipur,Satisfactory,94,"PM
10",4/4,2023-10-17
Raipur,Satisfactory,97,"PM
10",4/4,2023-10-18
Raipur,Moderate,110,"PM
10",4/4,2023-10-19
Raipur,Moderate,113,"PM
10",4/4,2023-10-20
Raipur,Moderate,110,"PM
10",4/4,2023-10-21
Raipur,Moderate,112,"PM , PM
2.5 10",4/4,2023-10-22
Raipur,Moderate,104,"PM
10",2/4,2023-10-23
Raipur,Moderate,120,"PM , PM
2.5 10",3/4,2023-10-24
