City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Rajamahendravaram,Good,36,"O
3",1#,2017-09-13
Rajamahendravaram,Good,35,"O
3",1,2017-09-14
Rajamahendravaram,Satisfactory,52,"O
3",1,2017-09-15
Rajamahendravaram,Satisfactory,70,"O
3",1#,2017-09-16
Rajamahendravaram,Good,36,"O
3",1,2017-09-17
Rajamahendravaram,Good,42,"O
3",1,2017-09-18
Rajamahendravaram,Satisfactory,53,"O
3",1,2017-09-19
Rajamahendravaram,Satisfactory,58,"O
3",1,2017-09-20
Rajamahendravaram,Satisfactory,67,"O
3",1,2017-09-21
Rajamahendravaram,Satisfactory,74,"O
3",1,2017-09-22
Rajamahendravaram,Satisfactory,78,"O
3",1,2017-09-23
Rajamahendravaram,Satisfactory,66,"O
3",1,2017-09-24
Rajamahendravaram,Satisfactory,63,"O
3",1,2017-09-25
Rajamahendravaram,Satisfactory,76,"O
3",1,2017-09-26
Rajamahendravaram,Satisfactory,63,"O
3",1,2017-09-27
Rajamahendravaram,Satisfactory,70,CO,1,2017-09-28
Rajamahendravaram,Satisfactory,55,"O
3",1,2017-09-29
Rajamahendravaram,Satisfactory,75,"O
3",1,2017-09-30
Rajamahendravaram,Satisfactory,62,"O
3",1,2017-10-01
Rajamahendravaram,Satisfactory,66,"O
3",1,2017-10-02
Rajamahendravaram,Satisfactory,77,"O
3",1,2017-10-03
Rajamahendravaram,Satisfactory,53,CO,1,2017-10-04
Rajamahendravaram,Satisfactory,56,"O
3",1,2017-10-05
Rajamahendravaram,Satisfactory,60,"O
3",1,2017-10-06
Rajamahendravaram,Satisfactory,57,CO,1,2017-10-07
Rajamahendravaram,Satisfactory,59,"O
3",1,2017-10-08
Rajamahendravaram,Satisfactory,59,CO,1,2017-10-09
Rajamahendravaram,Good,47,CO,1,2017-10-10
Rajamahendravaram,Good,46,"O
3",1,2017-10-11
Rajamahendravaram,Satisfactory,55,"O
3",1,2017-10-12
Rajamahendravaram,Satisfactory,66,"O
3",1,2017-10-13
Rajamahendravaram,Satisfactory,60,"O
3",1,2017-10-15
Rajamahendravaram,Satisfactory,68,"O
3",1,2017-10-16
Rajamahendravaram,Satisfactory,100,"O
3",1,2017-10-17
Rajamahendravaram,Satisfactory,98,"PM
10",1,2017-10-18
Rajamahendravaram,Poor,254,"PM
2.5",1,2017-10-20
Rajamahendravaram,Moderate,154,"O
3",1,2017-10-21
Rajamahendravaram,Moderate,170,"O
3",1,2017-10-22
Rajamahendravaram,Moderate,160,"O
3",1,2017-10-23
Rajamahendravaram,Moderate,186,"O
3",1,2017-10-24
Rajamahendravaram,Satisfactory,87,"O
3",1,2017-10-25
Rajamahendravaram,Moderate,101,"O
3",1,2017-10-26
Rajamahendravaram,Moderate,118,"O
3",1,2017-10-27
Rajamahendravaram,Moderate,150,"O
3",1,2017-10-28
Rajamahendravaram,Moderate,151,"O
3",1,2017-10-29
Rajamahendravaram,Moderate,105,"PM
10",1,2017-10-30
Rajamahendravaram,Moderate,173,"O
3",1,2017-10-31
Rajamahendravaram,Moderate,123,"O
3",1,2017-11-01
Rajamahendravaram,Moderate,113,"O
3",1,2017-11-02
Rajamahendravaram,Moderate,103,"O
3",1,2017-11-03
Rajamahendravaram,Satisfactory,94,"O
3",1,2017-11-04
Rajamahendravaram,Moderate,103,"O
3",1,2017-11-05
Rajamahendravaram,Moderate,117,"O
3",1,2017-11-06
Rajamahendravaram,Moderate,160,"O
3",1,2017-11-07
Rajamahendravaram,Satisfactory,99,"O
3",1,2017-11-08
Rajamahendravaram,Satisfactory,100,"O
3",1,2017-11-09
Rajamahendravaram,Moderate,108,"O
3",1,2017-11-10
Rajamahendravaram,Moderate,104,"O
3",1,2017-11-11
Rajamahendravaram,Moderate,163,"O
3",1,2017-11-12
Rajamahendravaram,Satisfactory,87,"O
3",1,2017-11-13
Rajamahendravaram,Satisfactory,80,"PM
10",1,2017-11-14
Rajamahendravaram,Satisfactory,59,"O
3",1,2017-11-15
Rajamahendravaram,Satisfactory,60,"O
3",1,2017-11-16
Rajamahendravaram,Satisfactory,73,"O
3",1,2017-11-17
Rajamahendravaram,Satisfactory,84,"O
3",1,2017-11-18
Rajamahendravaram,Satisfactory,88,"O
3",1,2017-11-19
Rajamahendravaram,Satisfactory,86,"O
3",1,2017-11-20
Rajamahendravaram,Moderate,103,"O
3",1,2017-11-21
Rajamahendravaram,Moderate,131,"O
3",1,2017-11-22
Rajamahendravaram,Moderate,128,"PM
2.5",1,2017-11-23
Rajamahendravaram,Moderate,140,"PM
2.5",1,2017-11-24
Rajamahendravaram,Moderate,176,"O
3",1,2017-11-25
Rajamahendravaram,Moderate,172,"O
3",1,2017-11-26
Rajamahendravaram,Moderate,182,"O
3",1,2017-11-27
Rajamahendravaram,Poor,206,"O
3",1,2017-11-28
