City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Ramanagara,Good,31,OZONE,1,2019-09-23
Ramanagara,Good,28,OZONE,1,2019-09-24
Ramanagara,Good,27,OZONE,1,2019-09-25
Ramanagara,Good,22,OZONE,1,2019-09-26
Ramanagara,Good,34,"PM
10",1,2019-09-27
Ramanagara,Good,39,"PM
10",1,2019-09-28
Ramanagara,Satisfactory,51,"PM
2.5",1,2019-09-29
Ramanagara,Good,48,"PM
10",1,2019-09-30
Ramanagara,Good,49,"PM
2.5",1,2019-10-01
Ramanagara,Good,40,OZONE,1,2019-10-04
Ramanagara,Good,45,OZONE,1,2019-10-05
Ramanagara,Good,40,OZONE,1,2019-10-06
Ramanagara,Good,41,"PM
2.5",1,2019-10-10
Ramanagara,Satisfactory,55,"PM
2.5",1,2019-10-11
Ramanagara,Satisfactory,56,"PM
2.5",1,2019-10-12
Ramanagara,Good,39,"PM
10",1,2019-10-16
Ramanagara,Good,27,"PM
10",1,2019-10-17
Ramanagara,Good,32,"PM
10",1,2019-10-18
Ramanagara,Good,29,"PM
10",1,2019-10-19
Ramanagara,Good,30,"PM
10",1,2019-10-20
Ramanagara,Good,39,OZONE,1,2019-10-21
Ramanagara,Good,41,"SO
2",1,2019-10-26
Ramanagara,Good,44,"SO
2",1,2019-10-27
Ramanagara,Good,42,"PM
10",1,2019-10-28
Ramanagara,Good,50,"PM
10",1,2019-10-29
Ramanagara,Good,39,"PM
10",1,2019-10-30
Ramanagara,Good,34,"SO
2",1,2019-10-31
Ramanagara,Good,39,"SO
2",1,2019-11-01
Ramanagara,Satisfactory,51,"PM
10",1,2019-11-02
Ramanagara,Satisfactory,68,"PM
10",1,2019-11-03
Ramanagara,Satisfactory,79,"PM
10",1,2019-11-04
Ramanagara,Satisfactory,99,"PM
10",1,2019-11-05
Ramanagara,Satisfactory,96,"PM
10",1,2019-11-06
Ramanagara,Satisfactory,87,"PM
2.5",1,2019-11-07
Ramanagara,Satisfactory,64,"PM
10",1,2019-11-08
Ramanagara,Satisfactory,66,"PM
10",1,2019-11-09
Ramanagara,Satisfactory,56,OZONE,1,2019-11-10
Ramanagara,Satisfactory,84,"PM
2.5",1,2019-11-11
Ramanagara,Satisfactory,77,"PM
2.5",1,2019-11-12
Ramanagara,Satisfactory,67,"PM
10",1,2019-11-13
Ramanagara,Satisfactory,56,"PM
10",1,2019-11-14
Ramanagara,Good,41,"PM
10",1,2019-11-15
Ramanagara,Good,49,"PM
10",1,2019-11-16
Ramanagara,Satisfactory,55,"PM
10",1,2019-11-17
Ramanagara,Satisfactory,64,"PM
10",1,2019-11-18
Ramanagara,Good,43,"PM
10",1,2019-11-19
Ramanagara,Satisfactory,51,"PM
10",1,2019-11-20
Ramanagara,Good,48,"PM
10",1,2019-11-21
Ramanagara,Satisfactory,72,"PM
10",1,2019-11-22
Ramanagara,Satisfactory,69,"PM
10",1,2019-11-23
Ramanagara,Satisfactory,64,"PM
10",1,2019-11-24
Ramanagara,Satisfactory,67,"PM
10",1,2019-11-25
Ramanagara,Satisfactory,68,"PM
10",1,2019-11-26
Ramanagara,Good,50,"PM
10",1,2019-11-27
Ramanagara,Good,49,"PM
10",1,2019-11-28
Ramanagara,Good,43,"PM
10",1,2019-11-29
Ramanagara,Satisfactory,60,"PM
10",1,2019-11-30
Ramanagara,Good,36,"SO
2",1,2019-12-01
Ramanagara,Good,34,"SO
2",1,2019-12-02
Ramanagara,Good,36,"SO
2",1,2019-12-03
Ramanagara,Satisfactory,52,"PM
10",1,2019-12-04
Ramanagara,Satisfactory,70,"PM
10",1,2019-12-05
Ramanagara,Moderate,110,"PM
2.5",1,2019-12-06
Ramanagara,Satisfactory,79,"PM
10",1,2019-12-07
Ramanagara,Good,46,"PM
10",1,2019-12-08
Ramanagara,Good,45,"PM
10",1,2019-12-09
Ramanagara,Satisfactory,55,"PM
10",1,2019-12-10
Ramanagara,Satisfactory,53,"PM
10",1,2019-12-11
Ramanagara,Satisfactory,75,"PM
10",1,2019-12-12
Ramanagara,Satisfactory,69,"PM
10",1,2019-12-13
Ramanagara,Good,50,"PM
10",1,2019-12-14
Ramanagara,Good,36,"PM
10",1,2019-12-15
Ramanagara,Good,47,"PM
10",1,2019-12-16
Ramanagara,Good,41,"PM
10",1,2019-12-17
Ramanagara,Satisfactory,59,"SO
2",1,2019-12-24
Ramanagara,Satisfactory,64,"PM
10",1,2019-12-29
Ramanagara,Satisfactory,64,"SO
2",1,2019-12-31
Ramanagara,Satisfactory,63,"PM
10",1,2020-01-01
Ramanagara,Satisfactory,52,"SO
2",1,2020-01-02
Ramanagara,Good,48,CO,1,2020-01-03
Ramanagara,Satisfactory,70,"PM
10",1,2020-01-04
Ramanagara,Satisfactory,82,"PM
10",1,2020-01-05
Ramanagara,Good,43,"PM
10",1,2020-01-06
Ramanagara,Good,40,"PM
10",1,2020-01-07
Ramanagara,Good,37,"PM
10",1,2020-01-08
Ramanagara,Satisfactory,62,"PM
10",1,2020-01-09
Ramanagara,Satisfactory,80,"PM
10",1,2020-01-10
Ramanagara,Satisfactory,55,"PM
10",1,2020-01-11
Ramanagara,Satisfactory,65,"PM
10",1,2020-01-12
Ramanagara,Satisfactory,76,"PM
10",1,2020-01-13
Ramanagara,Moderate,101,"PM
10",1,2020-01-14
Ramanagara,Satisfactory,90,"PM
10",1,2020-01-15
Ramanagara,Satisfactory,68,"PM
2.5",1,2020-01-16
Ramanagara,Satisfactory,64,"PM
10",1,2020-01-17
Ramanagara,Satisfactory,56,"PM
10",1,2020-01-18
Ramanagara,Good,27,"SO
2",1,2020-01-19
Ramanagara,Good,36,"PM
10",1,2020-01-20
Ramanagara,Satisfactory,60,"PM
10",1,2020-01-21
Ramanagara,Satisfactory,53,"PM
10",1,2020-01-22
Ramanagara,Satisfactory,60,"PM
10",1,2020-01-23
Ramanagara,Satisfactory,59,"PM
10",1,2020-01-24
Ramanagara,Satisfactory,68,"PM
10",1,2020-01-25
Ramanagara,Satisfactory,80,"PM
10",1,2020-01-26
Ramanagara,Satisfactory,77,"PM
10",1,2020-01-27
Ramanagara,Satisfactory,77,"PM
2.5",1,2020-01-28
Ramanagara,Satisfactory,78,"PM
10",1,2020-01-29
Ramanagara,Satisfactory,79,"PM
10",1,2020-01-30
Ramanagara,Satisfactory,97,"PM
10",1,2020-01-31
Ramanagara,Satisfactory,82,"PM
10",1,2020-02-01
Ramanagara,Good,46,"PM
10",1,2020-02-04
Ramanagara,Good,39,"PM
10",1,2020-02-05
Ramanagara,Satisfactory,68,"PM
10",1,2020-02-06
Ramanagara,Satisfactory,66,"PM
10",1,2020-02-07
Ramanagara,Satisfactory,74,"PM
10",1,2020-02-08
Ramanagara,Satisfactory,69,"PM
10",1,2020-02-09
Ramanagara,Good,43,"PM
10",1,2020-02-10
Ramanagara,Satisfactory,51,"PM
10",1,2020-02-11
Ramanagara,Satisfactory,58,"PM
10",1,2020-02-12
Ramanagara,Satisfactory,66,"PM
10",1,2020-02-13
Ramanagara,Satisfactory,86,"PM
10",1,2020-02-14
Ramanagara,Moderate,105,"PM
10",1,2020-02-15
Ramanagara,Satisfactory,94,"PM
10",1,2020-02-16
Ramanagara,Satisfactory,77,"PM
10",1,2020-02-17
Ramanagara,Satisfactory,95,"PM
10",1,2020-02-18
Ramanagara,Satisfactory,82,"PM
10",1,2020-02-19
Ramanagara,Satisfactory,79,"PM
10",1,2020-02-20
Ramanagara,Satisfactory,62,"PM
10",1,2020-02-21
Ramanagara,Satisfactory,55,"PM
10",1,2020-02-22
Ramanagara,Satisfactory,53,"PM
10",1,2020-02-23
Ramanagara,Good,48,"PM
10",1,2020-02-24
Ramanagara,Satisfactory,65,"PM
10",1,2020-02-25
Ramanagara,Satisfactory,71,"PM
10",1,2020-02-26
Ramanagara,Satisfactory,51,"PM
10",1,2020-02-27
Ramanagara,Satisfactory,59,"PM
10",1,2020-02-28
Ramanagara,Satisfactory,62,"PM
10",1,2020-02-29
Ramanagara,Satisfactory,63,"PM
10",1,2020-03-01
Ramanagara,Satisfactory,78,"PM
10",1,2020-03-03
Ramanagara,Satisfactory,79,"PM
10",1,2020-03-04
Ramanagara,Satisfactory,90,"PM
2.5",1,2020-03-05
Ramanagara,Satisfactory,60,"PM
10",1,2020-03-06
Ramanagara,Satisfactory,55,"PM
10",1,2020-03-07
Ramanagara,Satisfactory,53,"PM
10",1,2020-03-08
Ramanagara,Satisfactory,55,"PM
10",1,2020-03-09
Ramanagara,Satisfactory,54,"PM
10",1,2020-03-10
Ramanagara,Satisfactory,51,"PM
10",1,2020-03-11
Ramanagara,Satisfactory,52,"PM
2.5",1,2020-03-12
Ramanagara,Satisfactory,54,"PM
10",1,2020-03-13
Ramanagara,Satisfactory,51,"PM
10",1,2020-03-14
Ramanagara,Satisfactory,51,"PM
10",1,2020-03-15
Ramanagara,Good,41,"PM
10",1,2020-03-16
Ramanagara,Good,31,"PM
10",1,2020-03-17
Ramanagara,Good,37,"PM
2.5",1,2020-03-18
Ramanagara,Satisfactory,58,"PM
10",1,2020-03-19
Ramanagara,Satisfactory,67,"PM
2.5",1,2020-03-20
Ramanagara,Satisfactory,61,"PM
10",1,2020-03-21
Ramanagara,Good,48,"PM
10",1,2020-03-22
Ramanagara,Satisfactory,53,"PM
2.5",1,2020-03-23
Ramanagara,Satisfactory,58,"PM
10",1,2020-03-24
Ramanagara,Satisfactory,52,"PM
10",1,2020-03-25
Ramanagara,Satisfactory,63,"PM
2.5",1,2020-03-26
Ramanagara,Good,39,"PM
10",1,2020-03-27
Ramanagara,Good,43,"PM
10",1,2020-03-28
Ramanagara,Good,46,"PM
10",1,2020-03-29
Ramanagara,Good,50,"PM
10",1,2020-03-30
Ramanagara,Good,34,"PM
10",1,2020-03-31
Ramanagara,Good,41,"PM
10",1,2020-04-01
Ramanagara,Good,50,"PM
10",1,2020-04-02
Ramanagara,Satisfactory,53,"PM
10",1,2020-04-03
Ramanagara,Good,50,"PM
10",1,2020-04-04
Ramanagara,Good,49,"PM
10",1,2020-04-05
Ramanagara,Good,34,"PM
10",1,2020-04-06
Ramanagara,Good,33,"PM
10",1,2020-04-07
Ramanagara,Good,23,"PM
10",1,2020-04-08
Ramanagara,Good,35,"PM
10",1,2020-04-09
Ramanagara,Good,21,"SO
2",1,2020-04-10
Ramanagara,Good,33,"PM
2.5",1,2020-04-11
Ramanagara,Good,45,"PM
2.5",1,2020-04-12
Ramanagara,Good,47,"PM
10",1,2020-04-13
Ramanagara,Satisfactory,63,"PM
2.5",1,2020-04-14
Ramanagara,Satisfactory,85,"PM
2.5",1,2020-04-15
Ramanagara,Satisfactory,56,"PM
10",1,2020-04-17
Ramanagara,Satisfactory,55,"PM
10",1,2020-04-18
Ramanagara,Good,50,"PM
10",1,2020-04-19
Ramanagara,Good,35,"PM
10",1,2020-04-20
Ramanagara,Good,39,"PM
10",1,2020-04-21
Ramanagara,Good,47,"PM
10",1,2020-04-22
Ramanagara,Good,33,"PM
10",1,2020-04-23
Ramanagara,Good,26,"PM
10",1,2020-04-24
Ramanagara,Good,38,"PM
10",1,2020-04-25
Ramanagara,Good,34,"PM
2.5",1,2020-04-26
Ramanagara,Good,24,"SO
2",1,2020-04-27
Ramanagara,Satisfactory,68,"PM
10",1,2020-04-28
Ramanagara,Good,35,"PM
10",1,2020-04-30
Ramanagara,Good,34,"PM
10",1,2020-05-02
Ramanagara,Satisfactory,84,"PM
10",1,2020-05-05
Ramanagara,Satisfactory,56,"PM
10",1,2020-05-06
Ramanagara,Satisfactory,72,"PM
10",1,2020-05-07
Ramanagara,Satisfactory,63,"SO
2",1,2020-05-08
Ramanagara,Satisfactory,55,"O
3",1,2020-05-09
Ramanagara,Satisfactory,59,"PM
10",1,2020-05-10
Ramanagara,Satisfactory,59,"PM
10",1,2020-05-11
Ramanagara,Satisfactory,61,"O
3",1,2020-05-12
Ramanagara,Satisfactory,52,"O
3",1,2020-05-13
Ramanagara,Satisfactory,83,"O
3",1,2020-05-14
Ramanagara,Satisfactory,59,"O
3",1,2020-05-15
Ramanagara,Satisfactory,62,"O
3",1,2020-05-16
Ramanagara,Satisfactory,53,"O
3",1,2020-05-17
Ramanagara,Satisfactory,64,"O
3",1,2020-05-18
Ramanagara,Satisfactory,58,"PM
10",1,2020-05-19
Ramanagara,Good,48,"PM
10",1,2020-05-20
Ramanagara,Good,46,"PM
10",1,2020-05-21
