City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Ramanathapuram,Moderate,123,CO,1,2022-08-09
Ramanathapuram,Moderate,120,CO,1,2022-08-10
Ramanathapuram,Moderate,103,CO,1,2022-08-11
Ramanathapuram,Moderate,110,CO,1,2022-08-12
Ramanathapuram,Moderate,106,CO,1,2022-08-13
Ramanathapuram,Satisfactory,97,CO,1,2022-08-14
Ramanathapuram,Satisfactory,74,CO,1,2022-08-15
Ramanathapuram,Satisfactory,78,CO,1,2022-08-16
Ramanathapuram,Moderate,122,CO,1,2022-08-17
Ramanathapuram,Moderate,110,CO,1,2022-08-18
Ramanathapuram,Moderate,124,CO,1,2022-08-19
Ramanathapuram,Moderate,156,CO,1,2022-08-20
Ramanathapuram,Moderate,134,CO,1,2022-08-21
Ramanathapuram,Moderate,143,CO,1,2022-08-22
Ramanathapuram,Moderate,133,CO,1,2022-08-23
Ramanathapuram,Moderate,140,CO,1,2022-08-24
Ramanathapuram,Moderate,156,CO,1,2022-08-25
Ramanathapuram,Moderate,107,CO,1,2022-08-26
Ramanathapuram,Good,28,"PM
10",1,2022-08-27
Ramanathapuram,Good,36,"PM
10",1,2022-08-28
Ramanathapuram,Good,45,"PM
10",1,2022-08-29
Ramanathapuram,Good,47,"PM
10",1,2022-08-30
Ramanathapuram,Good,30,"PM
10",1,2022-08-31
Ramanathapuram,Good,19,"PM
10",1,2022-09-01
Ramanathapuram,Good,24,"PM
10",1,2022-09-02
Ramanathapuram,Good,29,"PM
10",1,2022-09-03
Ramanathapuram,Good,26,CO,1,2022-09-04
Ramanathapuram,Good,34,"PM
10",1,2022-09-05
Ramanathapuram,Good,22,"PM
10",1,2022-09-06
Ramanathapuram,Good,27,"PM
10",1,2022-09-07
Ramanathapuram,Good,30,"PM
10",1,2022-09-08
Ramanathapuram,Satisfactory,68,CO,1,2022-09-09
Ramanathapuram,Good,49,"PM
10",1,2022-09-11
Ramanathapuram,Good,45,"PM
10",1,2022-09-13
Ramanathapuram,Good,45,"PM
10",1,2022-09-14
Ramanathapuram,Good,39,"PM
10",1,2022-09-15
Ramanathapuram,Good,46,"PM
10",1,2022-09-16
Ramanathapuram,Good,50,"PM
10",1,2022-09-17
Ramanathapuram,Good,47,"PM
10",1,2022-09-18
Ramanathapuram,Good,31,"PM
10",1,2022-09-19
Ramanathapuram,Good,37,"PM
10",1,2022-09-20
Ramanathapuram,Good,43,"PM
10",1,2022-09-21
Ramanathapuram,Good,44,"PM
10",1,2022-09-22
Ramanathapuram,Good,46,"PM
10",1,2022-09-23
Ramanathapuram,Satisfactory,51,"PM
10",1,2022-09-24
Ramanathapuram,Satisfactory,51,"PM
10",1,2022-09-25
Ramanathapuram,Good,46,"PM
10",1,2022-09-26
Ramanathapuram,Satisfactory,52,"PM
10",1,2022-09-27
Ramanathapuram,Satisfactory,55,"PM
10",1,2022-09-28
Ramanathapuram,Good,47,"PM
10",1,2022-09-29
Ramanathapuram,Good,37,"PM
10",1,2022-09-30
Ramanathapuram,Good,34,"PM
10",1,2022-10-01
Ramanathapuram,Good,37,"PM
10",1,2022-10-02
Ramanathapuram,Good,23,"PM
10",1,2022-10-03
Ramanathapuram,Good,34,"PM
10",1,2022-10-04
Ramanathapuram,Good,47,"PM
10",1,2022-10-05
Ramanathapuram,Satisfactory,60,"PM
10",1,2022-10-06
Ramanathapuram,Satisfactory,57,"PM
10",1,2022-10-07
Ramanathapuram,Good,48,"PM
10",1,2022-10-08
Ramanathapuram,Good,37,"PM
10",1,2022-10-09
Ramanathapuram,Good,31,"PM
2.5",1,2022-10-10
Ramanathapuram,Good,14,"O
3",1,2022-10-12
Ramanathapuram,Good,34,"PM
10",1,2022-10-13
Ramanathapuram,Good,28,"PM
10",1,2022-10-14
Ramanathapuram,Good,18,CO,1,2022-10-15
Ramanathapuram,Good,16,"PM
10",1,2022-10-16
Ramanathapuram,Good,16,CO,1,2022-10-17
Ramanathapuram,Good,25,CO,1,2022-10-18
Ramanathapuram,Good,34,"PM
10",1,2022-10-19
