City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Ranipet,Good,35,"PM
10",1/1,2024-10-18
Ranipet,Good,32,"PM
2.5",1/1,2024-10-19
Ranipet,Good,33,"PM
10",1/1,2024-10-20
Ranipet,Good,33,"PM
2.5",1/1,2024-10-21
Ranipet,Good,37,"PM
10",1/1,2024-10-22
Ranipet,Moderate,158,CO,1/1,2024-10-23
Ranipet,Moderate,158,CO,1/1,2024-10-24
Ranipet,Good,42,"PM
2.5",1/1,2024-10-25
Ranipet,Satisfactory,51,"PM
10",1/1,2024-10-27
Ranipet,Satisfactory,69,"PM
10",1/1,2024-10-28
Ranipet,Satisfactory,63,"PM
10",1/1,2024-10-29
Ranipet,Moderate,107,"PM
2.5",1/1,2024-10-30
Ranipet,Moderate,127,"PM
2.5",1/1,2024-10-31
Ranipet,Moderate,108,"PM
2.5",1/1,2024-11-01
Ranipet,Moderate,101,"PM
2.5",1/1,2024-11-02
Ranipet,Good,43,"PM
2.5",1/1,2024-11-03
Ranipet,Good,49,"PM
2.5",1/1,2024-11-04
Ranipet,Satisfactory,65,"PM
2.5",1/1,2024-11-05
Ranipet,Moderate,128,"PM
2.5",1/1,2024-11-06
Ranipet,Satisfactory,53,"PM
2.5",1/1,2024-11-07
Ranipet,Good,41,"PM
10",1/1,2024-11-08
Ranipet,Good,39,"PM
2.5",1/1,2024-11-09
Ranipet,Satisfactory,65,"PM
2.5",1/1,2024-11-10
Ranipet,Good,26,"PM
2.5",1/1,2024-11-14
Ranipet,Good,28,"PM
2.5",1/1,2024-11-15
Ranipet,Good,24,"PM
10",1/1,2024-11-16
Ranipet,Satisfactory,65,"PM
10",1/1,2024-11-17
Ranipet,Satisfactory,92,"PM
10",1/1,2024-11-18
Ranipet,Moderate,135,"PM
2.5",1/1,2024-11-19
Ranipet,Moderate,127,"PM
2.5",1/1,2024-11-20
Ranipet,Moderate,118,"PM
2.5",1/1,2024-11-22
Ranipet,Moderate,136,"PM
2.5",1/1,2024-11-23
Ranipet,Moderate,169,"PM
2.5",1/1,2024-11-26
Ranipet,Moderate,140,"PM
2.5",1/1,2024-11-28
Ranipet,Moderate,102,"PM
2.5",1/1,2024-11-29
Ranipet,Satisfactory,71,"PM
2.5",1/1,2024-11-30
Ranipet,Good,18,CO,1/1,2024-12-01
Ranipet,Good,27,"PM
2.5",1/1,2024-12-02
Ranipet,Satisfactory,52,"PM
2.5",1/1,2024-12-03
Ranipet,Good,31,"PM
2.5",1/1,2024-12-05
Ranipet,Good,40,"PM
2.5",1/1,2024-12-06
Ranipet,Good,46,"PM
2.5",1/1,2024-12-08
Ranipet,Satisfactory,93,"PM
2.5",1/1,2024-12-09
Ranipet,Moderate,134,"PM
2.5",1/1,2024-12-10
Ranipet,Moderate,121,"PM
2.5",1/1,2024-12-11
Ranipet,Satisfactory,67,"PM
2.5",1/1,2024-12-12
Ranipet,Moderate,102,"PM
2.5",1/1,2024-12-13
Ranipet,Moderate,158,"PM
2.5",1/1,2024-12-14
Ranipet,Poor,207,"PM
2.5",1/1,2024-12-16
Ranipet,Poor,224,"PM
2.5",1/1,2024-12-17
Ranipet,Satisfactory,71,"PM
2.5",1/1,2024-12-19
Ranipet,Satisfactory,57,"PM
2.5",1/1,2024-12-21
Ranipet,Good,30,"PM
2.5",1/1,2024-12-25
Ranipet,Good,31,"PM
2.5",1/1,2024-12-26
Ranipet,Moderate,143,"PM
2.5",1/1,2025-01-07
Ranipet,Moderate,182,"PM
2.5",1/1,2025-01-09
Ranipet,Moderate,199,"PM
2.5",1/1,2025-01-10
Ranipet,Moderate,117,"PM
2.5",1/1,2025-01-11
Ranipet,Moderate,103,"PM
2.5",1/1,2025-01-12
Ranipet,Moderate,145,"PM
2.5",1/1,2025-01-13
Ranipet,Good,42,"PM
2.5",1/1,2025-01-14
Ranipet,Poor,211,"PM
2.5",1/1,2025-01-18
Ranipet,Moderate,133,"PM
2.5",1/1,2025-01-21
Ranipet,Moderate,101,"PM
2.5",1/1,2025-01-22
Ranipet,Satisfactory,73,"PM
2.5",1/1,2025-01-24
Ranipet,Satisfactory,78,"PM
2.5",1/1,2025-01-25
Ranipet,Satisfactory,71,"PM
2.5",1/1,2025-01-26
Ranipet,Moderate,142,"PM
2.5",1/1,2025-01-28
Ranipet,Moderate,172,"PM
2.5",1/1,2025-01-29
Ranipet,Satisfactory,94,"PM
2.5",1/1,2025-01-30
Ranipet,Good,47,"PM
10",1/1,2025-02-01
Ranipet,Good,48,"PM
10",1/1,2025-02-02
Ranipet,Moderate,160,"PM
2.5",1/1,2025-02-09
Ranipet,Moderate,157,"PM
2.5",1/1,2025-02-10
Ranipet,Moderate,166,"PM
2.5",1/1,2025-02-11
Ranipet,Satisfactory,88,"PM
10",1/1,2025-02-14
Ranipet,Satisfactory,78,"PM
10",1/1,2025-02-15
Ranipet,Satisfactory,99,"PM
2.5",1/1,2025-02-18
Ranipet,Satisfactory,92,"PM
2.5",1/1,2025-02-19
Ranipet,Satisfactory,83,"PM
2.5",1/1,2025-02-20
Ranipet,Satisfactory,80,"PM
2.5",1/1,2025-02-21
Ranipet,Satisfactory,65,"PM
10",1/1,2025-02-23
Ranipet,Satisfactory,88,"PM
2.5",1/1,2025-02-24
Ranipet,Satisfactory,73,"PM
10",1/1,2025-02-25
Ranipet,Satisfactory,88,"PM
2.5",1/1,2025-02-26
Ranipet,Satisfactory,76,"PM
2.5",1/1,2025-02-28
Ranipet,Satisfactory,72,"PM
2.5",1/1,2025-03-01
Ranipet,Satisfactory,68,"PM
10",1/1,2025-03-02
Ranipet,Good,41,"PM
10",1/1,2025-03-03
Ranipet,Good,44,"PM
2.5",1/1,2025-03-04
Ranipet,Satisfactory,80,"PM
10",1/1,2025-03-05
Ranipet,Moderate,161,"PM
2.5",1/1,2025-03-07
Ranipet,Moderate,144,"PM
2.5",1/1,2025-03-08
Ranipet,Moderate,116,"PM
2.5",1/1,2025-03-09
Ranipet,Satisfactory,51,"PM
10",1/1,2025-03-16
Ranipet,Good,35,"PM
2.5",1/1,2025-03-17
Ranipet,Good,46,"PM
2.5",1/1,2025-03-18
Ranipet,Good,33,"PM
10",1/1,2025-03-21
