City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Ratlam,Moderate,141,"PM
10",1,2019-01-03
Ratlam,Moderate,140,"PM
10",1,2019-01-04
Ratlam,Moderate,152,"PM
2.5",1,2019-01-05
Ratlam,Moderate,147,"PM
2.5",1,2019-01-06
Ratlam,Poor,225,"PM
2.5",1,2019-01-07
Ratlam,Poor,252,"PM
2.5",1,2019-01-08
Ratlam,Poor,223,"PM
2.5",1,2019-01-09
Ratlam,Moderate,175,"PM
2.5",1,2019-01-10
Ratlam,Moderate,126,"PM
10",1,2019-01-11
Ratlam,Moderate,120,"PM
10",1,2019-01-12
Ratlam,Moderate,126,"PM
2.5",1,2019-01-13
Ratlam,Moderate,171,"PM
2.5",1,2019-01-14
Ratlam,Moderate,173,"PM
2.5",1,2019-01-15
Ratlam,Moderate,159,"PM
2.5",1,2019-01-16
Ratlam,Moderate,162,"PM
10",1,2019-01-17
Ratlam,Moderate,133,"PM
2.5",1,2019-01-18
Ratlam,Moderate,133,"PM
10",1,2019-01-19
Ratlam,Moderate,120,"PM
10",1,2019-01-20
Ratlam,Poor,238,"PM
10",1,2019-01-21
Ratlam,Moderate,144,"PM
10",1,2019-01-22
Ratlam,Moderate,143,"PM
10",1,2019-01-23
Ratlam,Moderate,157,"PM
2.5",1,2019-01-24
Ratlam,Moderate,188,"PM
2.5",1,2019-01-25
Ratlam,Moderate,126,"PM
2.5",1,2019-01-26
Ratlam,Poor,223,"PM
2.5",1,2019-02-06
Ratlam,Moderate,149,"PM
10",1,2019-02-07
Ratlam,Moderate,119,"PM
10",1,2019-02-12
Ratlam,Moderate,145,"PM
10",1,2019-02-13
Ratlam,Moderate,170,"PM
2.5",1,2019-02-14
Ratlam,Moderate,120,"PM
10",1,2019-02-15
Ratlam,Moderate,108,"PM
10",1,2019-02-16
Ratlam,Satisfactory,86,"PM
10",1,2019-02-17
Ratlam,Moderate,120,"PM
10",1,2019-02-18
Ratlam,Moderate,148,"PM
2.5",1,2019-02-19
Ratlam,Moderate,175,"PM
10",1,2019-02-20
Ratlam,Moderate,192,"PM
10",1,2019-02-21
Ratlam,Moderate,104,"PM
10",1,2019-02-22
Ratlam,Moderate,105,"PM
10",1,2019-02-23
Ratlam,Moderate,101,"PM
10",1,2019-02-24
Ratlam,Moderate,111,"PM
10",1,2019-02-25
Ratlam,Moderate,132,"PM
10",1,2019-02-26
Ratlam,Moderate,180,"PM
10",1,2019-03-03
Ratlam,Moderate,166,"PM
10",1,2019-03-04
Ratlam,Moderate,120,"PM
2.5",1,2019-03-06
Ratlam,Moderate,127,"PM
10",1,2019-03-09
Ratlam,Moderate,121,"PM
10",1,2019-03-10
Ratlam,Moderate,131,"PM
10",1,2019-03-11
Ratlam,Moderate,122,"PM
10",1,2019-03-12
Ratlam,Moderate,130,"PM
10",1,2019-03-13
Ratlam,Moderate,124,"PM
10",1,2019-03-14
Ratlam,Moderate,123,"PM
10",1,2019-03-15
Ratlam,Moderate,132,"PM
10",1,2019-03-16
Ratlam,Moderate,106,"PM
10",1,2019-03-17
Ratlam,Moderate,146,"PM
10",1,2019-03-18
Ratlam,Moderate,126,"PM
10",1,2019-03-19
Ratlam,Satisfactory,97,"PM
2.5",1,2019-03-21
Ratlam,Satisfactory,87,"PM
10",1,2019-03-22
Ratlam,Moderate,113,"PM
10",1,2019-03-23
Ratlam,Moderate,123,"PM
10",1,2019-03-24
Ratlam,Moderate,134,"PM
10",1,2019-03-25
Ratlam,Moderate,110,"PM
10",1,2019-03-26
Ratlam,Moderate,171,"PM
2.5",1,2019-03-28
Ratlam,Poor,220,"PM
10",1,2019-03-29
Ratlam,Moderate,160,"PM
10",1,2019-03-30
Ratlam,Moderate,127,"PM
10",1,2019-03-31
Ratlam,Moderate,188,"PM
10",1,2019-04-01
Ratlam,Moderate,118,"PM
10",1,2019-04-02
Ratlam,Moderate,117,"PM
10",1,2019-04-03
Ratlam,Moderate,134,"PM
10",1,2019-04-04
Ratlam,Moderate,137,"PM
10",1,2019-04-05
Ratlam,Moderate,135,"PM
10",1,2019-04-06
Ratlam,Moderate,118,"PM
10",1,2019-04-07
Ratlam,Moderate,145,"PM
10",1,2019-04-08
Ratlam,Moderate,134,"PM
10",1,2019-04-09
Ratlam,Moderate,125,"PM
10",1,2019-04-10
Ratlam,Moderate,124,"PM
10",1,2019-04-11
Ratlam,Moderate,141,"PM
10",1,2019-04-12
Ratlam,Moderate,127,"PM
10",1,2019-04-13
Ratlam,Moderate,106,"PM
10",1,2019-04-14
Ratlam,Moderate,135,"PM
10",1,2019-04-15
Ratlam,Moderate,127,"PM
10",1,2019-04-16
Ratlam,Satisfactory,51,"PM
10",1,2019-04-17
Ratlam,Moderate,105,"PM
10",1,2019-04-18
Ratlam,Satisfactory,94,"PM
10",1,2019-04-19
Ratlam,Satisfactory,71,"PM
10",1,2019-04-20
Ratlam,Satisfactory,64,"PM
10",1,2019-04-21
Ratlam,Moderate,102,"PM
2.5",1,2019-04-22
Ratlam,Satisfactory,85,"PM
10",1,2019-04-23
Ratlam,Moderate,103,"PM
10",1,2019-04-24
Ratlam,Satisfactory,94,"PM
10",1,2019-04-25
Ratlam,Satisfactory,99,"PM
10",1,2019-04-26
Ratlam,Satisfactory,92,"PM
10",1,2019-04-27
Ratlam,Moderate,153,"PM
10",1,2019-04-28
Ratlam,Moderate,128,"PM
10",1,2019-04-29
Ratlam,Moderate,118,"PM
10",1,2019-04-30
Ratlam,Moderate,189,"PM
10",1,2019-05-01
Ratlam,Poor,218,"PM
10",1,2019-05-02
Ratlam,Moderate,153,"PM
10",1,2019-05-03
Ratlam,Moderate,108,"PM
10",1,2019-05-08
Ratlam,Moderate,182,"PM
2.5",1,2019-05-12
Ratlam,Moderate,183,"PM
2.5",1,2019-05-13
Ratlam,Moderate,190,"PM
2.5",1,2019-05-14
Ratlam,Moderate,129,"PM
10",1,2019-05-15
Ratlam,Moderate,132,"PM
10",1,2019-05-16
Ratlam,Moderate,170,"PM
10",1,2019-05-17
Ratlam,Moderate,135,"PM
10",1,2019-05-18
Ratlam,Moderate,118,"PM
10",1,2019-05-19
Ratlam,Moderate,107,"PM
10",1,2019-05-20
Ratlam,Moderate,107,"PM
10",1,2019-05-21
Ratlam,Moderate,128,"PM
10",1,2019-05-22
Ratlam,Moderate,123,"PM
10",1,2019-05-23
Ratlam,Moderate,159,"PM
10",1,2019-05-24
Ratlam,Moderate,146,"PM
10",1,2019-05-25
Ratlam,Moderate,136,"PM
10",1,2019-05-26
Ratlam,Moderate,132,"PM
10",1,2019-05-27
Ratlam,Moderate,142,"PM
10",1,2019-05-28
Ratlam,Moderate,148,"PM
10",1,2019-05-29
Ratlam,Moderate,149,"PM
10",1,2019-05-30
Ratlam,Moderate,143,"PM
10",1,2019-05-31
Ratlam,Moderate,133,"PM
10",1,2019-06-01
Ratlam,Moderate,134,"PM
10",1,2019-06-02
Ratlam,Moderate,126,"PM
10",1,2019-06-03
Ratlam,Moderate,132,"PM
10",1,2019-06-04
Ratlam,Moderate,136,"PM
10",1,2019-06-05
Ratlam,Moderate,163,"PM
10",1,2019-06-06
Ratlam,Moderate,151,"PM
10",1,2019-06-07
Ratlam,Moderate,163,"PM
10",1,2019-06-08
Ratlam,Moderate,129,"PM
10",1,2019-06-09
Ratlam,Moderate,134,"PM
10",1,2019-06-10
Ratlam,Moderate,117,"PM
10",1,2019-06-11
Ratlam,Moderate,128,"PM
10",1,2019-06-12
Ratlam,Poor,207,"PM
2.5",1,2019-06-14
Ratlam,Satisfactory,68,"PM
10",1,2019-06-15
Ratlam,Satisfactory,97,"PM
10",1,2019-06-16
Ratlam,Moderate,104,"PM
10",1,2019-06-17
Ratlam,Satisfactory,80,"PM
10",1,2019-06-18
Ratlam,Satisfactory,87,"PM
10",1,2019-06-19
Ratlam,Moderate,125,"PM
2.5",1,2019-06-20
Ratlam,Satisfactory,79,"PM
10",1,2019-06-21
Ratlam,Satisfactory,70,"PM
2.5",1,2019-06-22
Ratlam,Satisfactory,58,"PM
10",1,2019-06-23
Ratlam,Satisfactory,54,"PM
10",1,2019-06-24
Ratlam,Good,43,"PM
10",1,2019-06-25
Ratlam,Satisfactory,75,"PM
10",1,2019-06-26
Ratlam,Good,45,"PM
10",1,2019-06-27
Ratlam,Satisfactory,67,"PM
10",1,2019-06-29
Ratlam,Satisfactory,62,"PM
10",1,2019-06-30
Ratlam,Good,30,"PM
10",1,2019-07-01
Ratlam,Satisfactory,59,"PM
10",1,2019-07-03
Ratlam,Good,24,"PM
10",1,2019-07-05
Ratlam,Satisfactory,79,"PM
10",1,2019-07-12
Ratlam,Satisfactory,74,"PM
10",1,2019-07-13
Ratlam,Satisfactory,74,"PM
10",1,2019-07-14
Ratlam,Satisfactory,83,"PM
10",1,2019-07-15
Ratlam,Satisfactory,77,"PM
10",1,2019-07-16
Ratlam,Satisfactory,82,"PM
10",1,2019-07-17
Ratlam,Satisfactory,94,"PM
10",1,2019-07-18
Ratlam,Satisfactory,79,"PM
10",1,2019-07-19
Ratlam,Satisfactory,70,"PM
10",1,2019-07-20
Ratlam,Good,48,"PM
10",1,2019-07-21
Ratlam,Satisfactory,51,"PM
10",1,2019-07-22
Ratlam,Satisfactory,58,"PM
10",1,2019-07-23
Ratlam,Satisfactory,59,"PM
10",1,2019-07-24
Ratlam,Moderate,101,"PM
2.5",1,2019-07-25
Ratlam,Satisfactory,71,"PM
10",1,2019-07-26
Ratlam,Satisfactory,70,"PM
10",1,2019-07-27
Ratlam,Satisfactory,60,"PM
10",1,2019-07-28
Ratlam,Satisfactory,54,"PM
10",1,2019-07-29
Ratlam,Good,40,"PM
10",1,2019-08-02
Ratlam,Satisfactory,65,"PM
10",1,2019-08-03
Ratlam,Good,48,"PM
10",1,2019-08-04
Ratlam,Satisfactory,56,"PM
10",1,2019-08-05
Ratlam,Good,50,"PM
10",1,2019-08-06
Ratlam,Satisfactory,65,"PM
10",1,2019-08-07
Ratlam,Good,46,"PM
10",1,2019-08-08
Ratlam,Good,38,"PM
2.5",1,2019-08-11
Ratlam,Satisfactory,61,"PM
10",1,2019-08-12
Ratlam,Satisfactory,82,"PM
10",1,2019-08-13
Ratlam,Satisfactory,69,"PM
10",1,2019-08-14
Ratlam,Good,37,"PM
10",1,2019-08-15
Ratlam,Good,37,"SO
2",1,2019-08-16
Ratlam,Satisfactory,60,"PM
10",1,2019-08-17
Ratlam,Satisfactory,63,"PM
2.5",1,2019-08-18
Ratlam,Satisfactory,67,"PM
10",1,2019-08-19
Ratlam,Satisfactory,70,"PM
10",1,2019-08-20
Ratlam,Satisfactory,75,"PM
10",1,2019-08-21
Ratlam,Satisfactory,88,"PM
10",1,2019-09-19
Ratlam,Good,38,"PM
10",1,2019-09-20
Ratlam,Good,30,"NO
2",1,2019-09-21
Ratlam,Good,31,"NO
2",1,2019-09-22
Ratlam,Good,46,"PM
10",1,2019-09-23
Ratlam,Good,42,"PM
10",1,2019-09-24
Ratlam,Satisfactory,57,"PM
10",1,2019-09-25
Ratlam,Good,35,"PM
10",1,2019-09-26
Ratlam,Good,45,"PM
10",1,2019-09-27
Ratlam,Good,23,"NO
2",1,2019-09-28
Ratlam,Good,27,"PM
10",1,2019-09-29
Ratlam,Good,24,"PM
10",1,2019-09-30
Ratlam,Good,23,"NO
2",1,2019-10-01
Ratlam,Good,38,"PM
10",1,2019-10-02
Ratlam,Satisfactory,69,"PM
10",1,2019-10-03
Ratlam,Satisfactory,85,"PM
10",1,2019-10-04
Ratlam,Moderate,104,"PM
10",1,2019-10-05
Ratlam,Satisfactory,57,"PM
10",1,2019-10-06
Ratlam,Satisfactory,80,"PM
10",1,2019-10-07
Ratlam,Moderate,116,"PM
10",1,2019-10-08
Ratlam,Moderate,140,"PM
10",1,2019-10-09
Ratlam,Satisfactory,93,"PM
10",1,2019-10-10
Ratlam,Moderate,117,"PM
10",1,2019-10-11
Ratlam,Moderate,130,"PM
10",1,2019-10-12
Ratlam,Moderate,134,"PM
10",1,2019-10-13
Ratlam,Moderate,164,"PM
10",1,2019-10-14
Ratlam,Moderate,160,"PM
10",1,2019-10-15
Ratlam,Moderate,163,"PM
10",1,2019-10-16
Ratlam,Moderate,143,"PM
10",1,2019-10-17
Ratlam,Moderate,135,"PM
10",1,2019-10-18
Ratlam,Moderate,125,"PM
10",1,2019-10-19
Ratlam,Moderate,168,"PM
2.5",1,2019-10-20
Ratlam,Poor,208,"PM
2.5",1,2019-10-21
Ratlam,Moderate,148,"PM
10",1,2019-10-22
Ratlam,Moderate,121,"NO
2",1,2019-10-23
Ratlam,Moderate,121,"NO
2",1,2019-10-24
Ratlam,Moderate,170,"PM
10",1,2019-10-25
Ratlam,Moderate,115,"PM
10",1,2019-10-26
Ratlam,Moderate,105,"PM
10",1,2019-10-27
Ratlam,Moderate,138,"NO
2",1,2019-10-28
Ratlam,Satisfactory,54,"PM
10",1,2019-10-29
Ratlam,Satisfactory,99,"NO
2",1,2019-10-30
Ratlam,Moderate,160,"PM
2.5",1,2019-10-31
Ratlam,Moderate,137,"PM
10",1,2019-11-01
Ratlam,Moderate,118,"NO
2",1,2019-11-02
Ratlam,Moderate,114,"NO
2",1,2019-11-03
Ratlam,Satisfactory,91,"PM
10",1,2019-11-04
Ratlam,Satisfactory,88,"PM
10",1,2019-11-05
Ratlam,Moderate,115,"PM
2.5",1,2019-11-06
Ratlam,Moderate,137,"PM
2.5",1,2019-11-07
Ratlam,Satisfactory,80,"PM
2.5",1,2019-11-08
Ratlam,Satisfactory,92,"PM
10",1,2019-11-09
Ratlam,Moderate,140,"PM
2.5",1,2019-11-11
Ratlam,Moderate,145,"PM
10",1,2019-11-12
Ratlam,Moderate,177,"PM
10",1,2019-11-13
Ratlam,Moderate,140,"PM
10",1,2019-11-14
Ratlam,Moderate,155,"PM
10",1,2019-11-15
Ratlam,Moderate,148,"PM
2.5",1,2019-11-16
Ratlam,Moderate,184,"PM
2.5",1,2019-11-17
Ratlam,Moderate,133,"PM
10",1,2019-11-18
Ratlam,Moderate,151,"PM
10",1,2019-11-19
Ratlam,Moderate,179,"PM
10",1,2019-11-20
Ratlam,Moderate,174,"PM
10",1,2019-11-27
Ratlam,Moderate,191,"PM
10",1,2019-11-28
Ratlam,Moderate,183,"PM
10",1,2019-11-29
Ratlam,Moderate,151,"PM
10",1,2019-11-30
Ratlam,Moderate,148,"PM
2.5",1,2019-12-03
Ratlam,Moderate,120,"PM
10",1,2019-12-06
Ratlam,Moderate,142,"PM
10",1,2019-12-07
Ratlam,Moderate,189,"PM
2.5",1,2019-12-12
Ratlam,Moderate,147,"PM
10",1,2019-12-13
Ratlam,Satisfactory,97,"PM
10",1,2019-12-14
Ratlam,Moderate,125,"PM
10",1,2019-12-15
Ratlam,Moderate,118,"PM
10",1,2019-12-16
Ratlam,Moderate,127,"PM
10",1,2019-12-17
Ratlam,Moderate,147,"PM
10",1,2019-12-18
Ratlam,Moderate,171,"PM
10",1,2019-12-19
Ratlam,Moderate,168,"PM
2.5",1,2019-12-20
Ratlam,Moderate,138,"PM
10",1,2019-12-21
