City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Rishikesh,Satisfactory,89,"PM
10",1,2023-02-10
Rishikesh,Satisfactory,71,"PM
10",1,2023-02-11
Rishikesh,Moderate,109,"PM
10",1,2023-02-12
Rishikesh,Satisfactory,80,"PM
10",1,2023-02-13
Rishikesh,Satisfactory,90,"PM
10",1,2023-02-14
Rishikesh,Moderate,106,"PM
10",1,2023-02-15
Rishikesh,Moderate,107,"PM
10",1,2023-02-16
Rishikesh,Satisfactory,71,"PM
10",1,2023-02-17
Rishikesh,Satisfactory,70,"PM
10",1,2023-02-18
Rishikesh,Satisfactory,82,"PM
10",1,2023-02-19
Rishikesh,Satisfactory,98,"PM
10",1,2023-02-20
Rishikesh,Satisfactory,86,"PM
10",1,2023-02-21
Rishikesh,Satisfactory,71,"PM
10",1,2023-02-22
Rishikesh,Satisfactory,53,"PM
10",1,2023-02-23
Rishikesh,Satisfactory,54,"PM
10",1,2023-02-24
Rishikesh,Satisfactory,62,"PM
10",1,2023-02-25
Rishikesh,Satisfactory,71,"PM
10",1,2023-02-26
Rishikesh,Satisfactory,77,"PM
10",1,2023-02-27
Rishikesh,Satisfactory,67,"PM
10",1,2023-02-28
Rishikesh,Good,50,"PM
10",1,2023-03-01
Rishikesh,Good,42,"PM
10",1,2023-03-02
Rishikesh,Satisfactory,54,"PM
10",1,2023-03-03
Rishikesh,Satisfactory,54,"PM
10",1,2023-03-04
Rishikesh,Satisfactory,54,"PM
10",1,2023-03-05
Rishikesh,Satisfactory,55,"PM
10",1,2023-03-06
Rishikesh,Satisfactory,68,"PM
10",1,2023-03-07
Rishikesh,Satisfactory,69,"PM
10",1,2023-03-08
Rishikesh,Satisfactory,51,"PM
10",1,2023-03-09
Rishikesh,Satisfactory,58,"PM
10",1,2023-03-10
Rishikesh,Satisfactory,73,"PM
10",1,2023-03-11
Rishikesh,Satisfactory,83,"PM
10",1,2023-03-12
Rishikesh,Satisfactory,84,"PM
10",1,2023-03-13
Rishikesh,Satisfactory,85,"PM
10",1,2023-03-14
Rishikesh,Satisfactory,52,"PM
10",1,2023-03-15
Rishikesh,Good,47,"PM
10",1,2023-03-16
Rishikesh,Good,44,"PM
10",1,2023-03-17
Rishikesh,Good,34,"PM
10",1,2023-03-19
Rishikesh,Good,39,"PM
10",1,2023-03-20
Rishikesh,Good,33,"PM
10",1,2023-03-21
Rishikesh,Good,21,"PM
10",1,2023-03-22
Rishikesh,Satisfactory,61,"O
3",1,2023-03-23
Rishikesh,Good,45,"PM
10",1,2023-03-24
Rishikesh,Good,47,"PM
10",1,2023-03-25
Rishikesh,Good,34,"O
3",1,2023-03-26
Rishikesh,Good,47,"PM
10",1,2023-03-30
Rishikesh,Good,47,"PM
10",1,2023-03-31
Rishikesh,Good,24,"PM
10",1,2023-04-01
Rishikesh,Good,24,"PM
10",1,2023-04-02
Rishikesh,Good,36,"O
3",1,2023-04-03
Rishikesh,Good,40,"PM
10",1,2023-04-04
Rishikesh,Good,42,"PM
10",1,2023-04-05
Rishikesh,Good,45,"PM
10",1,2023-04-06
Rishikesh,Good,45,"PM
10",1,2023-04-07
Rishikesh,Good,48,"PM
10",1,2023-04-08
Rishikesh,Satisfactory,58,"PM
10",1,2023-04-09
Rishikesh,Satisfactory,53,"PM
10",1,2023-04-10
Rishikesh,Satisfactory,52,"PM
10",1,2023-04-11
Rishikesh,Satisfactory,61,"PM
10",1,2023-04-12
Rishikesh,Satisfactory,66,"PM
10",1,2023-04-13
Rishikesh,Satisfactory,70,"PM
10",1,2023-04-14
Rishikesh,Satisfactory,71,"PM
10",1,2023-04-15
Rishikesh,Satisfactory,54,"O
3",1,2023-04-16
Rishikesh,Satisfactory,79,"PM
10",1,2023-04-17
Rishikesh,Satisfactory,93,"PM
10",1,2023-04-18
Rishikesh,Satisfactory,85,"PM
10",1,2023-04-19
Rishikesh,Good,35,"PM
10",1,2023-04-20
Rishikesh,Good,45,"O
3",1,2023-04-21
Rishikesh,Good,46,"PM
10",1,2023-04-22
Rishikesh,Good,42,"PM
10",1,2023-04-23
Rishikesh,Good,49,"PM
10",1,2023-04-24
Rishikesh,Satisfactory,66,"PM
10",1,2023-04-25
Rishikesh,Satisfactory,60,"O
3",1,2023-04-26
Rishikesh,Satisfactory,63,"PM
10",1,2023-04-27
Rishikesh,Good,50,"O
3",1,2023-04-28
Rishikesh,Satisfactory,66,"PM
10",1,2023-04-29
Rishikesh,Satisfactory,61,"PM
10",1,2023-04-30
Rishikesh,Good,37,"PM
10",1,2023-05-01
Rishikesh,Good,23,"PM
10",1,2023-05-02
Rishikesh,Good,25,"PM
10",1,2023-05-03
Rishikesh,Good,33,"O
3",1,2023-05-04
Rishikesh,Good,41,"O
3",1,2023-05-05
Rishikesh,Good,46,"PM
10",1,2023-05-06
Rishikesh,Satisfactory,53,"PM
10",1,2023-05-07
Rishikesh,Good,49,"O
3",1,2023-05-08
Rishikesh,Satisfactory,55,"O
3",1,2023-05-09
Rishikesh,Satisfactory,55,"O
3",1,2023-05-10
Rishikesh,Satisfactory,73,"O
3",1,2023-05-11
Rishikesh,Satisfactory,79,"O
3",1,2023-05-12
Rishikesh,Satisfactory,83,"O
3",1,2023-05-13
Rishikesh,Satisfactory,70,"PM
10",1,2023-05-14
Rishikesh,Satisfactory,68,"PM
10",1,2023-05-15
Rishikesh,Satisfactory,67,"PM
10",1,2023-05-16
Rishikesh,Moderate,158,"PM
2.5",1,2023-05-17
Rishikesh,Satisfactory,90,"PM
2.5",1,2023-05-18
Rishikesh,Satisfactory,58,"O
3",1,2023-05-19
Rishikesh,Satisfactory,62,"O
3",1,2023-05-20
Rishikesh,Satisfactory,61,"O
3",1,2023-05-21
Rishikesh,Satisfactory,79,"O
3",1,2023-05-22
Rishikesh,Satisfactory,82,"PM
10",1,2023-05-23
Rishikesh,Satisfactory,52,"PM
10",1,2023-05-24
Rishikesh,Good,31,"O
3",1,2023-05-25
Rishikesh,Good,50,"O
3",1,2023-05-26
Rishikesh,Good,41,"O
3",1,2023-05-27
Rishikesh,Good,47,"O
3",1,2023-05-28
Rishikesh,Satisfactory,58,"O
3",1,2023-05-29
Rishikesh,Good,36,"PM
10",1,2023-05-30
Rishikesh,Satisfactory,51,"PM
10",1,2023-05-31
Rishikesh,Good,39,"PM
10",1,2023-06-02
Rishikesh,Good,38,"PM
10",1,2023-06-03
Rishikesh,Good,46,"PM
10",1,2023-06-04
Rishikesh,Satisfactory,55,"PM
10",1,2023-06-05
Rishikesh,Good,33,"PM
10",1,2023-06-06
Rishikesh,Good,37,"O
3",1,2023-06-07
Rishikesh,Good,45,"PM
10",1,2023-06-08
Rishikesh,Good,44,"PM
10",1,2023-06-09
Rishikesh,Satisfactory,51,"PM
10",1,2023-06-10
Rishikesh,Satisfactory,73,"PM
10",1,2023-06-11
Rishikesh,Satisfactory,52,"PM
10",1,2023-06-12
Rishikesh,Satisfactory,59,"PM
10",1,2023-06-13
Rishikesh,Satisfactory,91,"PM
10",1,2023-06-14
Rishikesh,Satisfactory,62,"PM
10",1,2023-06-15
Rishikesh,Good,50,"PM
10",1,2023-06-16
Rishikesh,Satisfactory,65,"PM
10",1,2023-06-17
Rishikesh,Satisfactory,69,"PM
10",1,2023-06-18
Rishikesh,Good,41,"PM
10",1,2023-06-19
Rishikesh,Good,48,"PM
10",1,2023-06-20
Rishikesh,Good,39,"PM
10",1,2023-06-21
Rishikesh,Satisfactory,53,"PM
10",1,2023-06-22
Rishikesh,Good,44,"PM
10",1,2023-06-23
Rishikesh,Good,37,"PM
10",1,2023-06-24
Rishikesh,Good,34,"PM
10",1,2023-06-25
Rishikesh,Good,27,"PM
10",1,2023-06-26
Rishikesh,Good,30,"PM
10",1,2023-06-27
Rishikesh,Good,25,"PM
10",1,2023-06-28
Rishikesh,Good,30,"PM
10",1,2023-06-29
Rishikesh,Good,29,"PM
10",1,2023-06-30
Rishikesh,Good,40,"O
3",1,2023-07-01
Rishikesh,Good,34,"O
3",1,2023-07-02
Rishikesh,Good,50,"O
3",1,2023-07-03
Rishikesh,Satisfactory,64,"O
3",1,2023-07-04
Rishikesh,Good,40,"O
3",1,2023-07-05
Rishikesh,Good,29,"PM
10",1,2023-07-06
Rishikesh,Good,35,"PM
10",1,2023-07-07
Rishikesh,Good,28,"PM
10",1,2023-07-08
Rishikesh,Good,23,"PM
10",1,2023-07-09
Rishikesh,Good,23,"PM
10",1,2023-07-10
Rishikesh,Good,30,"PM
10",1,2023-07-18
Rishikesh,Good,31,"PM
10",1,2023-07-19
Rishikesh,Good,28,"O
3",1,2023-07-20
Rishikesh,Good,38,"O
3",1,2023-07-21
Rishikesh,Good,30,"PM
10",1,2023-07-22
Rishikesh,Good,28,"PM
10",1,2023-07-23
Rishikesh,Good,41,CO,1,2023-07-24
Rishikesh,Good,31,CO,1,2023-07-25
Rishikesh,Good,31,"O
3",1,2023-07-26
