City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Rohtak,Poor,203,"PM
2.5",1,2016-01-16
Rohtak,Poor,237,"PM
2.5",1#,2016-01-17
Rohtak,Poor,243,"PM
2.5",1#,2016-01-18
Rohtak,Moderate,187,"PM
2.5",1,2016-01-19
Rohtak,Poor,269,"PM
2.5",1,2016-01-20
Rohtak,Poor,300,"PM
2.5",1,2016-01-21
Rohtak,Moderate,127,"PM
2.5",1,2016-01-23
Rohtak,Moderate,102,"PM
2.5",1,2016-01-24
Rohtak,Satisfactory,96,"PM
2.5",1,2016-01-25
Rohtak,Satisfactory,82,"PM
2.5",1,2016-01-26
Rohtak,Good,49,"PM
10",1,2016-02-09
Rohtak,Good,41,"PM
10",1,2016-02-10
Rohtak,Satisfactory,68,"PM
10",1,2016-02-16
Rohtak,Satisfactory,70,"PM
10",1,2016-02-17
Rohtak,Satisfactory,52,"PM
10",1#,2016-03-01
Rohtak,Satisfactory,62,CO,1#,2016-03-03
Rohtak,Satisfactory,58,CO,1#,2016-03-04
Rohtak,Good,36,"PM
10",1#,2016-03-11
Rohtak,Good,39,"PM
10",1,2016-03-14
Rohtak,Good,43,"PM
10",1,2016-03-15
Rohtak,Good,41,"PM
10",1,2016-03-16
Rohtak,Good,31,"PM
10",1#,2016-03-19
Rohtak,Good,36,"PM
10",1,2016-03-22
Rohtak,Good,40,"PM
10",1,2016-03-24
Rohtak,Good,42,"O
3",1#,2016-03-25
Rohtak,Good,44,"PM
10",1#,2016-03-26
Rohtak,Good,43,"PM
10",1,2016-03-27
Rohtak,Good,45,"PM
10",1#,2016-03-28
Rohtak,Good,38,"PM
10",1,2016-03-29
Rohtak,Good,34,"O
3",1,2016-04-03
Rohtak,Satisfactory,55,CO,1#,2016-04-27
Rohtak,Good,37,"PM
10",1#,2016-04-28
Rohtak,Good,49,CO,1#,2016-04-29
Rohtak,Good,34,"PM
10",1,2016-05-04
Rohtak,Good,42,"O
3",1,2016-10-24
Rohtak,Good,40,"O
3",1#,2016-10-25
Rohtak,Good,40,"O
3",1,2016-10-26
Rohtak,Good,41,"O
3",1,2016-10-27
Rohtak,Good,39,"O
3",1,2016-10-28
Rohtak,Good,48,"PM
10",1,2016-10-30
Rohtak,Satisfactory,64,"SO
2",1,2016-10-31
Rohtak,Satisfactory,90,"SO
2",1,2016-11-01
Rohtak,Satisfactory,52,"PM
10",1,2016-11-02
Rohtak,Satisfactory,53,"PM
10",1#,2016-11-03
Rohtak,Satisfactory,52,"PM
10",1,2016-11-06
