City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Rourkela,Poor,269,"PM
10",1,2022-11-27
Rourkela,Poor,227,"PM
10",1,2022-11-28
Rourkela,Poor,256,"PM
10",1,2022-11-29
Rourkela,Poor,248,"PM
10",1,2022-11-30
Rourkela,Poor,285,"PM
10",1,2022-12-01
Rourkela,Poor,269,"PM
10",1,2022-12-02
Rourkela,Poor,261,"PM
2.5",1,2022-12-03
Rourkela,Poor,225,"PM
2.5",1,2022-12-04
Rourkela,Poor,232,"PM
2.5",1,2022-12-05
Rourkela,Poor,210,"PM
10",1,2022-12-06
Rourkela,Poor,220,"PM
10",1,2022-12-07
Rourkela,Poor,248,"PM
10",1,2022-12-08
Rourkela,Moderate,199,"PM
10",1,2022-12-09
Rourkela,Poor,234,"PM
10",1,2022-12-14
Rourkela,Poor,215,"PM
10",1,2022-12-15
Rourkela,Moderate,198,"PM
10",1,2022-12-16
Rourkela,Moderate,174,"PM
10",1,2022-12-17
Rourkela,Poor,221,"PM
10",1,2022-12-18
Rourkela,Poor,210,"PM
10",1,2022-12-19
Rourkela,Poor,251,"PM
2.5",1,2022-12-20
Rourkela,Poor,220,"PM
2.5",1,2022-12-21
Rourkela,Poor,264,"PM
2.5",1,2022-12-22
Rourkela,Poor,250,"PM
10",1,2022-12-23
Rourkela,Moderate,198,"PM
10",1,2022-12-24
Rourkela,Poor,237,"PM
2.5",1,2022-12-25
Rourkela,Moderate,167,"PM
10",1,2022-12-26
Rourkela,Moderate,196,"PM
10",1,2022-12-27
Rourkela,Poor,218,"PM
10",1,2022-12-28
Rourkela,Poor,222,"PM
10",1,2022-12-29
Rourkela,Moderate,193,"PM
10",1,2022-12-30
Rourkela,Poor,206,"PM
10",1,2022-12-31
Rourkela,Poor,251,"PM
2.5",1,2023-01-01
Rourkela,Poor,288,"PM
2.5",1,2023-01-02
Rourkela,Very Poor,322,"PM
2.5",1,2023-01-03
Rourkela,Poor,291,"PM
2.5",1,2023-01-04
Rourkela,Poor,286,"PM
2.5",1,2023-01-05
Rourkela,Poor,242,"PM
2.5",1,2023-01-06
Rourkela,Moderate,147,"PM
10",1,2023-01-07
Rourkela,Moderate,132,"PM
10",1,2023-01-08
Rourkela,Moderate,121,"PM
10",1,2023-01-09
Rourkela,Moderate,173,"PM
10",1,2023-01-10
Rourkela,Moderate,167,"PM
10",1,2023-01-12
Rourkela,Poor,224,"PM
2.5",3,2023-01-13
Rourkela,Moderate,168,"PM
2.5",3,2023-01-14
Rourkela,Moderate,168,"PM
2.5",3,2023-01-15
Rourkela,Moderate,149,"PM , PM
2.5 10",3,2023-01-16
Rourkela,Moderate,190,"PM
2.5",3,2023-01-17
Rourkela,Poor,247,"PM
2.5",3,2023-01-18
Rourkela,Poor,272,"PM
2.5",3,2023-01-19
Rourkela,Poor,257,"PM
2.5",3,2023-01-20
Rourkela,Poor,211,"PM
2.5",3,2023-01-22
Rourkela,Moderate,179,"PM
2.5",3,2023-01-23
Rourkela,Moderate,147,"PM
2.5",3,2023-01-24
Rourkela,Moderate,145,"PM
2.5",3,2023-01-25
Rourkela,Moderate,171,"PM
2.5",3,2023-01-26
Rourkela,Moderate,169,"PM
2.5",3,2023-01-27
Rourkela,Moderate,184,"PM
2.5",3,2023-01-28
Rourkela,Moderate,196,"PM
2.5",3,2023-01-29
Rourkela,Moderate,146,"PM
2.5",3,2023-01-30
Rourkela,Moderate,134,"PM
2.5",3,2023-01-31
Rourkela,Moderate,130,"PM
2.5",3,2023-02-01
Rourkela,Moderate,115,"PM
10",3,2023-02-02
Rourkela,Moderate,115,"PM
10",3,2023-02-03
Rourkela,Moderate,130,"PM
2.5",3,2023-02-04
Rourkela,Moderate,168,"PM
2.5",3,2023-02-05
Rourkela,Moderate,132,"PM
2.5",3,2023-02-06
Rourkela,Moderate,132,"PM
10",3,2023-02-07
Rourkela,Moderate,179,"PM
10",3,2023-02-08
Rourkela,Moderate,111,"PM
10",3,2023-02-09
Rourkela,Moderate,167,"PM
10",3,2023-02-10
Rourkela,Poor,214,"PM
10",3,2023-02-11
Rourkela,Poor,234,"PM
10",2,2023-02-12
Rourkela,Moderate,167,"PM
10",2,2023-02-13
Rourkela,Moderate,183,"PM
10",2,2023-02-14
Rourkela,Moderate,193,"PM
10",2,2023-02-15
Rourkela,Poor,205,"PM
10",2,2023-02-16
Rourkela,Moderate,158,"PM
10",3,2023-02-17
Rourkela,Moderate,183,"PM
2.5",3,2023-02-18
Rourkela,Moderate,163,"PM
2.5",3,2023-02-19
Rourkela,Poor,210,"PM
2.5",3,2023-02-20
Rourkela,Moderate,178,"PM
10",3,2023-02-21
Rourkela,Poor,205,"PM
2.5",3,2023-02-22
Rourkela,Poor,202,"PM
2.5",3,2023-02-23
Rourkela,Moderate,181,"PM
10",3,2023-02-24
Rourkela,Moderate,148,"PM
10",3,2023-02-25
Rourkela,Moderate,150,"PM
10",3,2023-02-26
Rourkela,Moderate,175,"PM
10",3,2023-02-27
Rourkela,Moderate,160,"PM
10",3,2023-02-28
Rourkela,Moderate,193,"PM
2.5",3,2023-03-01
Rourkela,Poor,211,"PM
2.5",3,2023-03-02
Rourkela,Poor,205,"PM
10",3,2023-03-03
Rourkela,Moderate,173,"PM
10",3,2023-03-04
Rourkela,Moderate,162,"PM
10",3,2023-03-05
Rourkela,Moderate,168,"PM
10",2,2023-03-06
Rourkela,Poor,219,"PM
10",3,2023-03-07
Rourkela,Poor,246,"PM
2.5",3,2023-03-08
Rourkela,Moderate,187,"PM
2.5",3,2023-03-09
Rourkela,Poor,237,"PM
2.5",3,2023-03-10
Rourkela,Moderate,194,"PM
2.5",3,2023-03-11
Rourkela,Poor,279,"PM
2.5",3,2023-03-12
Rourkela,Very Poor,305,"PM
2.5",3,2023-03-13
Rourkela,Very Poor,309,"PM
2.5",3,2023-03-14
Rourkela,Very Poor,304,"PM
10",3,2023-03-15
Rourkela,Poor,216,"PM
2.5",3,2023-03-16
Rourkela,Moderate,191,"PM
2.5",3,2023-03-17
Rourkela,Poor,269,"PM
2.5",3,2023-03-18
Rourkela,Satisfactory,94,"PM
10",3,2023-03-19
Rourkela,Satisfactory,75,"PM
10",2,2023-03-20
Rourkela,Satisfactory,74,"PM
10",2,2023-03-21
Rourkela,Moderate,106,"PM
10",3,2023-03-22
Rourkela,Moderate,122,"PM
10",3,2023-03-23
Rourkela,Moderate,162,"PM
2.5",3,2023-03-24
Rourkela,Moderate,199,"PM
2.5",3,2023-03-25
Rourkela,Poor,215,"PM
2.5",3,2023-03-26
Rourkela,Moderate,180,"PM
2.5",2,2023-03-27
Rourkela,Moderate,122,"PM
10",3,2023-03-28
Rourkela,Moderate,132,"PM
10",3,2023-03-29
Rourkela,Moderate,122,"PM
10",3,2023-03-30
Rourkela,Moderate,122,"PM
10",2,2023-03-31
Rourkela,Satisfactory,73,"PM
10",3,2023-04-01
Rourkela,Moderate,105,"PM
10",2,2023-04-02
Rourkela,Moderate,120,"PM
10",2,2023-04-03
Rourkela,Moderate,132,"PM
10",3,2023-04-04
Rourkela,Moderate,140,"PM
10",3,2023-04-05
Rourkela,Moderate,156,"PM
10",3,2023-04-06
Rourkela,Moderate,145,"PM , PM
2.5 10",3,2023-04-07
Rourkela,Moderate,188,"PM
10",3,2023-04-08
Rourkela,Moderate,150,"PM
2.5",3,2023-04-09
Rourkela,Moderate,175,"PM
10",3,2023-04-10
Rourkela,Moderate,174,"PM
10",3,2023-04-11
Rourkela,Poor,218,"PM
10",2,2023-04-12
Rourkela,Poor,238,"PM
10",3,2023-04-13
Rourkela,Very Poor,314,"PM
2.5",3,2023-04-14
Rourkela,Very Poor,310,"PM
2.5",3,2023-04-15
