City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Rupnagar,Good,41,"PM
2.5",1,2018-05-03
Rupnagar,Satisfactory,56,"PM
10",1,2018-05-04
Rupnagar,Satisfactory,85,"PM
10",1,2018-05-06
Rupnagar,Satisfactory,56,"PM
10",1,2018-05-07
Rupnagar,Satisfactory,64,"PM
10",1,2018-05-08
Rupnagar,Good,35,"PM
10",1,2018-05-09
Rupnagar,Satisfactory,67,"PM
10",1,2018-05-10
Rupnagar,Satisfactory,88,"PM
2.5",1,2018-05-11
Rupnagar,Moderate,111,"PM
10",1,2018-05-12
Rupnagar,Moderate,138,"PM
10",1,2018-05-13
Rupnagar,Satisfactory,76,"PM
10",1,2018-05-14
Rupnagar,Satisfactory,98,"PM
10",1,2018-05-15
Rupnagar,Moderate,122,"PM
10",1,2018-05-16
Rupnagar,Moderate,160,"PM
2.5",1,2018-05-17
Rupnagar,Moderate,158,"PM
2.5",1,2018-05-18
Rupnagar,Moderate,147,"PM
10",1,2018-05-20
Rupnagar,Moderate,142,"PM
10",1,2018-05-21
Rupnagar,Moderate,138,"PM
10",1,2018-05-22
Rupnagar,Moderate,150,"PM
10",1,2018-05-23
Rupnagar,Moderate,133,"PM
10",1,2018-05-24
Rupnagar,Moderate,135,"PM
10",1,2018-05-25
Rupnagar,Moderate,137,"PM
2.5",1,2018-05-26
Rupnagar,Moderate,181,"PM
10",1,2018-05-27
Rupnagar,Moderate,163,"PM
10",1,2018-05-28
Rupnagar,Moderate,150,"PM
10",1,2018-05-29
Rupnagar,Moderate,123,"PM
10",1,2018-06-01
Rupnagar,Moderate,128,"PM
10",1,2018-06-02
Rupnagar,Satisfactory,73,"PM
10",1,2018-06-03
Rupnagar,Satisfactory,99,"PM
10",1,2018-06-04
Rupnagar,Satisfactory,95,"PM
10",1,2018-06-05
Rupnagar,Satisfactory,82,"PM
10",1,2018-06-06
Rupnagar,Moderate,105,"PM
10",1,2018-06-07
Rupnagar,Satisfactory,68,"PM
10",1,2018-06-09
Rupnagar,Satisfactory,87,"PM
10",1,2018-06-10
Rupnagar,Satisfactory,78,"PM
10",1,2018-06-11
Rupnagar,Moderate,106,"PM
10",1,2018-06-12
Rupnagar,Moderate,125,"PM
10",1,2018-06-13
Rupnagar,Severe,417,"PM
10",1,2018-06-14
Rupnagar,Very Poor,313,"PM
10",1,2018-06-15
Rupnagar,Very Poor,319,"PM
2.5",1,2018-06-16
Rupnagar,Moderate,145,"PM
2.5",1,2018-06-17
Rupnagar,Moderate,121,"PM
2.5",1,2018-06-18
Rupnagar,Moderate,106,"PM
2.5",1,2018-06-19
Rupnagar,Moderate,110,"PM
10",1,2018-06-20
Rupnagar,Moderate,102,"PM
2.5",1,2018-06-21
