City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Salem,Satisfactory,97,"SO
2",1,2022-09-03
Salem,Satisfactory,96,"SO
2",1,2022-09-04
Salem,Satisfactory,58,"SO
2",1,2022-09-08
Salem,Satisfactory,63,"SO
2",1,2022-09-10
Salem,Satisfactory,66,"SO
2",1,2022-09-11
Salem,Good,22,"PM
10",1,2022-09-12
Salem,Good,26,"SO
2",1,2022-09-13
Salem,Good,36,"PM
10",1,2022-09-14
Salem,Good,47,"SO
2",1,2022-09-15
Salem,Good,34,"PM
10",1,2022-09-16
Salem,Satisfactory,53,"PM
10",1,2022-09-23
Salem,Good,39,"PM
10",1,2022-09-27
Salem,Moderate,181,"PM
2.5",1,2022-10-25
Salem,Moderate,111,"PM
2.5",1,2022-10-26
Salem,Satisfactory,87,"SO
2",1,2022-10-27
Salem,Satisfactory,97,"PM
2.5",1,2022-11-01
Salem,Good,29,"SO
2",1,2022-11-02
Salem,Satisfactory,56,"SO
2",1,2022-11-03
Salem,Good,24,CO,1,2022-11-04
Salem,Satisfactory,67,"SO
2",1,2022-11-05
Salem,Good,38,"PM
10",1,2022-11-06
Salem,Satisfactory,69,"PM
10",1,2022-11-07
Salem,Satisfactory,67,"PM
10",1,2022-11-08
Salem,Satisfactory,71,"SO
2",1,2022-11-12
Salem,Good,25,CO,1,2022-11-13
Salem,Good,25,"PM
10",1,2022-11-14
Salem,Satisfactory,84,"PM
10",1,2022-11-19
Salem,Satisfactory,86,"PM
2.5",1,2022-11-20
Salem,Moderate,112,"PM
2.5",1,2022-11-21
Salem,Satisfactory,90,"PM
2.5",1,2022-11-22
Salem,Satisfactory,81,"SO
2",1,2022-11-23
Salem,Satisfactory,85,"SO
2",1,2022-11-24
Salem,Satisfactory,64,"SO
2",1,2022-11-26
Salem,Satisfactory,53,"PM
10",1,2022-11-27
Salem,Satisfactory,82,"PM
2.5",1,2022-11-28
Salem,Moderate,112,"PM
2.5",1,2022-11-29
Salem,Moderate,138,"PM
2.5",1,2022-11-30
Salem,Moderate,116,"PM
2.5",1,2022-12-01
Salem,Good,37,"PM
10",1,2022-12-03
Salem,Moderate,149,"PM
2.5",1,2022-12-08
Salem,Good,38,"SO
2",1,2022-12-13
Salem,Good,25,"PM
10",1,2022-12-14
Salem,Good,35,"SO
2",1,2022-12-15
Salem,Satisfactory,76,"SO
2",1,2022-12-16
Salem,Satisfactory,82,"SO
2",1,2022-12-17
Salem,Moderate,137,"PM
2.5",1,2022-12-18
Salem,Satisfactory,92,"PM
2.5",1,2022-12-19
Salem,Satisfactory,75,"SO
2",1,2022-12-20
Salem,Satisfactory,76,"PM
2.5",1,2022-12-21
Salem,Satisfactory,75,"SO
2",1,2022-12-22
Salem,Moderate,113,"PM
2.5",1,2022-12-23
Salem,Moderate,106,"PM
2.5",1,2022-12-24
Salem,Satisfactory,72,"SO
2",1,2022-12-27
Salem,Satisfactory,71,"SO
2",1,2022-12-28
Salem,Satisfactory,70,"SO
2",1,2022-12-29
Salem,Satisfactory,70,"SO
2",1,2022-12-30
Salem,Satisfactory,71,"SO
2",1,2022-12-31
Salem,Satisfactory,70,"SO
2",1,2023-01-01
Salem,Satisfactory,71,"SO
2",1,2023-01-02
Salem,Satisfactory,71,"SO
2",1,2023-01-04
Salem,Satisfactory,73,"SO
2",1,2023-01-05
Salem,Satisfactory,79,"PM
2.5",1,2023-01-06
Salem,Moderate,111,"PM
2.5",1,2023-01-08
Salem,Satisfactory,83,"SO
2",1,2023-01-10
Salem,Satisfactory,90,"SO
2",1,2023-01-12
Salem,Satisfactory,90,"SO
2",1,2023-01-13
Salem,Satisfactory,90,"SO
2",1,2023-01-14
Salem,Satisfactory,90,"SO
2",1,2023-01-17
Salem,Satisfactory,60,"PM
10",1,2023-01-19
Salem,Satisfactory,60,"PM
2.5",1,2023-01-20
Salem,Satisfactory,98,"SO
2",1,2023-01-24
Salem,Satisfactory,98,"SO
2",1,2023-01-25
Salem,Satisfactory,97,"SO
2",1,2023-01-26
Salem,Moderate,110,"PM
2.5",1,2023-01-27
Salem,Moderate,101,"PM
2.5",1,2023-01-31
Salem,Satisfactory,97,"SO
2",1,2023-02-01
Salem,Satisfactory,95,"SO
2",1,2023-02-02
Salem,Satisfactory,95,"SO
2",1,2023-02-03
Salem,Satisfactory,91,"SO
2",1,2023-02-04
Salem,Satisfactory,96,"SO
2",1,2023-02-08
Salem,Satisfactory,93,"SO
2",1,2023-02-09
Salem,Satisfactory,95,"SO
2",1,2023-02-15
Salem,Satisfactory,97,"SO
2",1,2023-02-16
Salem,Satisfactory,97,"SO
2",1,2023-02-17
Salem,Satisfactory,99,"SO
2",1,2023-02-18
Salem,Moderate,102,"SO
2",1,2023-02-19
Salem,Moderate,101,"SO
2",1,2023-02-20
Salem,Moderate,101,"SO
2",1,2023-02-21
Salem,Satisfactory,100,"SO
2",1,2023-02-24
Salem,Satisfactory,93,"SO
2",1,2023-03-01
Salem,Satisfactory,58,"PM
10",1,2023-03-07
Salem,Satisfactory,65,"PM
10",1,2023-03-08
Salem,Satisfactory,64,"PM
10",1,2023-03-09
Salem,Satisfactory,75,"PM
10",1,2023-03-10
Salem,Satisfactory,79,"PM
10",1,2023-03-11
Salem,Satisfactory,59,"PM
10",1,2023-03-12
Salem,Satisfactory,60,"PM
10",1,2023-03-13
Salem,Satisfactory,81,"SO
2",1,2023-03-14
Salem,Good,36,CO,1,2023-03-17
Salem,Satisfactory,98,"SO
2",1,2023-03-21
Salem,Satisfactory,98,"SO
2",1,2023-03-22
Salem,Satisfactory,99,"SO
2",1,2023-03-25
Salem,Satisfactory,99,"SO
2",1,2023-03-26
Salem,Satisfactory,99,"SO
2",1,2023-03-27
Salem,Satisfactory,79,"SO
2",1,2023-03-29
Salem,Satisfactory,83,"SO
2",1,2023-04-01
Salem,Good,40,"PM
10",1,2023-04-03
Salem,Satisfactory,81,"SO
2",1,2023-04-04
Salem,Good,34,CO,1,2023-04-06
Salem,Satisfactory,81,"SO
2",1,2023-04-07
Salem,Satisfactory,88,"SO
2",1,2023-04-08
Salem,Satisfactory,99,"SO
2",1,2023-04-09
Salem,Satisfactory,89,"SO
2",1,2023-04-10
Salem,Satisfactory,99,"SO
2",1,2023-04-11
Salem,Moderate,116,"PM
2.5",1,2023-04-12
Salem,Moderate,134,"PM
2.5",1,2023-04-13
Salem,Satisfactory,94,"SO
2",1,2023-04-14
Salem,Satisfactory,88,"SO
2",1,2023-04-29
Salem,Satisfactory,88,"SO
2",1,2023-04-30
Salem,Satisfactory,91,"SO
2",1,2023-05-05
Salem,Satisfactory,92,"SO
2",1,2023-05-07
Salem,Satisfactory,93,"SO
2",1,2023-05-10
Salem,Satisfactory,96,"SO
2",1,2023-05-11
Salem,Satisfactory,59,"PM
2.5",1,2023-05-15
Salem,Satisfactory,77,"SO
2",1,2023-05-18
Salem,Satisfactory,71,"SO
2",1,2023-05-19
Salem,Satisfactory,51,"PM
2.5",1,2023-05-20
Salem,Satisfactory,81,"SO
2",1,2023-05-22
Salem,Good,50,CO,1,2023-05-26
Salem,Satisfactory,62,CO,1,2023-06-07
Salem,Satisfactory,94,"SO
2",1,2023-06-15
Salem,Satisfactory,96,"SO
2",1,2023-06-21
Salem,Satisfactory,98,"SO
2",1,2023-06-22
Salem,Satisfactory,97,"SO
2",1,2023-06-23
Salem,Satisfactory,98,"SO
2",1,2023-06-27
Salem,Satisfactory,59,"SO
2",1,2023-07-04
Salem,Moderate,103,"SO
2",1,2023-07-08
Salem,Moderate,103,"SO
2",1,2023-07-09
Salem,Moderate,103,"SO
2",1,2023-07-11
Salem,Moderate,103,"SO
2",1,2023-07-12
Salem,Good,29,"SO
2",1,2023-07-18
Salem,Good,38,"SO
2",1,2023-07-19
Salem,Satisfactory,82,"SO
2",1,2023-07-20
Salem,Satisfactory,83,"SO
2",1,2023-07-21
Salem,Satisfactory,81,"SO
2",1,2023-07-22
Salem,Satisfactory,70,"SO
2",1,2023-07-23
Salem,Good,28,"SO
2",1,2023-07-24
Salem,Good,33,"SO
2",1,2023-07-25
Salem,Good,28,"PM
10",1,2023-07-28
Salem,Good,33,"PM
10",1,2023-07-29
Salem,Good,34,"PM
10",1,2023-08-01
Salem,Good,43,"SO
2",1,2023-08-02
Salem,Satisfactory,80,"SO
2",1,2023-08-03
Salem,Satisfactory,78,"SO
2",1,2023-08-11
Salem,Satisfactory,78,"SO
2",1,2023-08-12
Salem,Satisfactory,80,"SO
2",1,2023-08-17
Salem,Satisfactory,79,"SO
2",1,2023-08-19
Salem,Satisfactory,80,"SO
2",1,2023-08-21
Salem,Satisfactory,78,"SO
2",1,2023-08-25
Salem,Good,30,"PM
10",1,2023-08-30
Salem,Good,42,"PM
2.5",1,2023-08-31
Salem,Good,30,"PM
2.5",1,2023-09-03
Salem,Satisfactory,79,"SO
2",1,2023-09-05
Salem,Satisfactory,80,"SO
2",1,2023-09-06
Salem,Satisfactory,77,"SO
2",1,2023-09-09
Salem,Good,26,"SO
2",1,2023-09-10
Salem,Good,26,"SO
2",1,2023-09-11
Salem,Satisfactory,69,"SO
2",1,2023-09-12
Salem,Good,33,"PM
2.5",1,2023-09-14
Salem,Satisfactory,79,"SO
2",1,2023-09-16
Salem,Good,28,"PM
2.5",1,2023-09-17
Salem,Satisfactory,80,"SO
2",1,2023-09-19
Salem,Satisfactory,77,"SO
2",1,2023-09-20
Salem,Good,41,"SO
2",1,2023-09-22
Salem,Good,31,"SO
2",1,2023-09-23
