City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Sangli,Satisfactory,53,"PM
10",1,2023-06-13
Sangli,Good,48,"PM
10",1,2023-06-14
Sangli,Good,45,"PM
10",1,2023-06-15
Sangli,Satisfactory,54,"PM
10",1,2023-06-16
Sangli,Good,50,"PM
10",1,2023-06-17
Sangli,Satisfactory,67,"PM
10",1,2023-06-19
Sangli,Satisfactory,80,"PM
10",1,2023-06-20
Sangli,Satisfactory,71,"PM
10",1,2023-06-21
Sangli,Satisfactory,67,"PM
10",1,2023-06-22
Sangli,Good,50,"PM
10",1,2023-06-23
Sangli,Good,28,"O
3",1,2023-06-24
Sangli,Good,26,"O
3",1,2023-06-25
Sangli,Good,30,"PM
10",1,2023-06-26
Sangli,Good,31,"PM
10",1,2023-06-27
Sangli,Good,27,"O
3",1,2023-06-28
Sangli,Good,29,"O
3",1,2023-06-29
Sangli,Good,29,"O
3",1,2023-06-30
Sangli,Good,25,"O
3",1,2023-07-01
Sangli,Good,23,"O
3",1,2023-07-02
Sangli,Good,24,"O
3",1,2023-07-03
Sangli,Good,25,"O
3",1,2023-07-04
Sangli,Good,41,"PM
10",1,2023-07-05
Sangli,Good,39,"O
3",1,2023-07-06
Sangli,Good,33,"O
3",1,2023-07-07
Sangli,Good,26,"O
3",1,2023-07-08
Sangli,Good,25,"O
3",1,2023-07-09
Sangli,Good,32,"PM
10",1,2023-07-10
Sangli,Good,39,"PM
10",1,2023-07-11
Sangli,Good,45,"PM
10",1,2023-07-12
Sangli,Good,40,"PM
10",1,2023-07-13
Sangli,Good,28,"O
3",1,2023-07-14
Sangli,Good,21,"PM
10",1,2023-07-15
Sangli,Good,29,"PM
10",1,2023-07-16
Sangli,Good,"25
* AQ","PM
10
I is not calculated for today's bullet","1
in for Ahmednagar, Ariyalur,",2023-07-17
Sangli,Good,25,CO,1,2023-07-18
Sangli,Good,25,"O
3",1,2023-07-19
Sangli,Good,24,"PM
10",1,2023-07-20
Sangli,Good,23,"O
3",1,2023-07-21
Sangli,Good,25,"PM
10",1,2023-07-22
Sangli,Good,20,"O
3",1,2023-07-23
Sangli,Good,18,"O
3",1,2023-07-24
Sangli,Good,18,"O
3",1,2023-07-25
Sangli,Good,23,"O
3",1,2023-07-26
Sangli,Good,18,"O
3",1,2023-07-27
Sangli,Good,20,"PM
10",1,2023-07-28
Sangli,Good,33,"PM
10",1,2023-07-29
Sangli,Good,34,"PM
10",1,2023-07-30
Sangli,Good,29,"PM
10",1,2023-07-31
Sangli,Good,21,"PM
10",1,2023-08-01
Sangli,Good,22,"PM
10",1,2023-08-02
Sangli,Good,33,"PM
10",1,2023-08-03
Sangli,Good,28,"PM
10",1,2023-08-04
Sangli,Good,32,"PM
10",1,2023-08-05
Sangli,Good,33,"PM
10",1,2023-08-06
Sangli,Good,31,"PM
10",1,2023-08-07
Sangli,Good,35,"PM
10",1,2023-08-08
Sangli,Good,43,"PM
10",1,2023-08-09
Sangli,Satisfactory,51,"PM
10",1,2023-08-10
Sangli,Good,48,"PM
10",1,2023-08-11
Sangli,Satisfactory,51,"PM
10",1,2023-08-12
Sangli,Satisfactory,96,"PM
10",1,2023-08-13
Sangli,Good,33,"PM
10",1,2023-08-14
Sangli,Good,36,"PM
10",1,2023-08-15
Sangli,Good,32,"PM
10",1,2023-08-16
Sangli,Good,29,"PM
10",1,2023-08-17
Sangli,Good,35,"PM
10",1,2023-08-18
Sangli,Good,32,"PM
10",1,2023-08-19
Sangli,Good,34,"PM
10",1,2023-08-20
Sangli,Good,35,"PM
10",1,2023-08-21
Sangli,Good,36,"PM
10",1,2023-08-22
Sangli,Good,38,"PM
10",1,2023-08-23
Sangli,Good,28,"PM
10",1,2023-08-24
Sangli,Good,18,"O
3",1,2023-08-25
Sangli,Good,38,"PM
10",1,2023-08-26
Sangli,Good,31,"PM
10",1,2023-08-27
Sangli,Good,25,"PM
10",1,2023-08-29
Sangli,Good,32,"PM
10",1,2023-08-30
Sangli,Good,45,"PM
10",1,2023-08-31
Sangli,Good,45,"PM
10",1,2023-09-01
Sangli,Good,40,"PM
10",1,2023-09-02
Sangli,Good,39,"PM
10",1,2023-09-03
Sangli,Good,32,"PM
10",1,2023-09-04
Sangli,Satisfactory,53,"PM
10",1,2023-09-05
Sangli,Good,40,"PM
10",1,2023-09-06
Sangli,Good,35,"PM
10",1,2023-09-07
Sangli,Good,26,"O
3",1,2023-09-08
Sangli,Good,28,"O
3",1,2023-09-09
Sangli,Good,25,"O
3",1,2023-09-10
Sangli,Good,25,"PM
10",1,2023-09-11
Sangli,Good,28,"O
3",1,2023-09-12
Sangli,Good,28,"PM
10",1,2023-09-13
Sangli,Good,31,"O
3",1,2023-09-14
Sangli,Good,30,"PM
10",1,2023-09-15
Sangli,Good,25,"O
3",1,2023-09-16
Sangli,Good,34,"PM
10",1,2023-09-17
Sangli,Good,30,"PM
10",1,2023-09-18
Sangli,Good,20,"O
3",1,2023-09-19
Sangli,Good,21,"PM
10",1,2023-09-20
Sangli,Good,28,"PM
10",1,2023-09-21
Sangli,Good,30,"PM
10",1,2023-09-22
Sangli,Good,29,"PM
10",1,2023-09-23
Sangli,Good,26,CO,1,2023-09-24
Sangli,Good,28,"PM
10",1,2023-09-25
Sangli,Good,31,CO,1,2023-09-26
Sangli,Good,34,"O
3",1,2023-09-27
Sangli,Good,31,"PM
10",1,2023-09-28
Sangli,Good,29,"O
3",1,2023-09-29
Sangli,Good,34,"O
3",1,2023-09-30
Sangli,Good,34,"O
3",1,2023-10-01
Sangli,Good,46,"O
3",1,2023-10-02
Sangli,Satisfactory,67,"PM
10",1,2023-10-03
Sangli,Satisfactory,77,"PM
10",1/1,2023-10-04
Sangli,Satisfactory,74,"PM
10",1/1,2023-10-05
Sangli,Satisfactory,81,"PM
10",1/1,2023-10-06
Sangli,Satisfactory,79,"PM
10",1/1,2023-10-07
Sangli,Satisfactory,91,"PM
10",1/1,2023-10-08
Sangli,Satisfactory,99,"PM
10",1/1,2023-10-09
Sangli,Satisfactory,89,"PM
10",1/1,2023-10-10
Sangli,Satisfactory,97,"PM
10",1/1,2023-10-11
Sangli,Satisfactory,92,"PM
10",1/1,2023-10-12
Sangli,Moderate,103,"PM
2.5",1/1,2023-10-13
Sangli,Moderate,104,"PM
10",1/1,2023-10-14
Sangli,Moderate,104,"PM
10",1/1,2023-10-15
Sangli,Moderate,119,"PM
2.5",1/1,2023-10-16
Sangli,Moderate,104,"PM
10",1/1,2023-10-17
Sangli,Satisfactory,91,"PM
10",1/1,2023-10-18
Sangli,Moderate,109,"PM
10",1/1,2023-10-19
