City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Sawai Madhopur,Moderate,172,"PM
10",1,2023-03-13
Sawai Madhopur,Moderate,153,"PM
10",1,2023-03-14
Sawai Madhopur,Moderate,152,"O
3",1,2023-03-15
Sawai Madhopur,Moderate,133,"PM
10",1,2023-03-16
Sawai Madhopur,Moderate,128,"PM
10",1,2023-03-17
Sawai Madhopur,Satisfactory,63,"O
3",1,2023-03-18
Sawai Madhopur,Satisfactory,99,"PM
2.5",1,2023-03-19
Sawai Madhopur,Satisfactory,51,"O
3",1,2023-03-20
Sawai Madhopur,Satisfactory,76,"PM
10",1,2023-03-21
Sawai Madhopur,Satisfactory,74,"PM
10",1,2023-03-23
Sawai Madhopur,Satisfactory,78,"PM
10",1,2023-03-24
Sawai Madhopur,Satisfactory,91,"PM
10",1,2023-03-25
Sawai Madhopur,Moderate,110,"PM
10",1,2023-03-26
Sawai Madhopur,Moderate,144,"PM
10",1,2023-03-27
Sawai Madhopur,Moderate,129,"PM
10",1,2023-03-28
Sawai Madhopur,Moderate,118,"PM
10",1,2023-03-29
Sawai Madhopur,Moderate,139,"PM
10",1,2023-03-30
Sawai Madhopur,Satisfactory,60,"O
3",1,2023-03-31
Sawai Madhopur,Satisfactory,69,"O
3",1,2023-04-01
Sawai Madhopur,Satisfactory,69,"PM
10",1,2023-04-02
Sawai Madhopur,Satisfactory,89,"PM
10",1,2023-04-04
Sawai Madhopur,Moderate,107,"PM
10",1,2023-04-05
Sawai Madhopur,Moderate,121,"PM
10",1,2023-04-07
Sawai Madhopur,Moderate,125,"PM
10",1,2023-04-08
Sawai Madhopur,Satisfactory,75,"PM
10",1,2023-04-09
Sawai Madhopur,Moderate,150,"PM
10",1,2023-04-10
Sawai Madhopur,Moderate,127,"PM
10",1,2023-04-12
Sawai Madhopur,Satisfactory,100,"PM
10",1,2023-04-13
Sawai Madhopur,Moderate,114,"PM
10",1,2023-04-14
Sawai Madhopur,Moderate,118,"PM
10",1,2023-04-15
Sawai Madhopur,Satisfactory,92,"PM
10",1,2023-04-16
Sawai Madhopur,Moderate,114,"PM
10",1,2023-04-17
Sawai Madhopur,Moderate,123,"PM
10",1,2023-04-18
Sawai Madhopur,Moderate,129,"PM
10",1,2023-04-20
Sawai Madhopur,Moderate,134,"PM
10",1,2023-04-21
Sawai Madhopur,Satisfactory,94,"PM
10",1,2023-04-22
Sawai Madhopur,Moderate,124,"PM
10",1,2023-04-23
Sawai Madhopur,Satisfactory,74,"PM
10",1,2023-04-24
Sawai Madhopur,Satisfactory,98,"O
3",1,2023-04-25
Sawai Madhopur,Moderate,114,"O
3",1,2023-04-26
Sawai Madhopur,Satisfactory,99,"O
3",1,2023-04-27
Sawai Madhopur,Satisfactory,79,"O
3",1,2023-04-28
Sawai Madhopur,Satisfactory,69,"PM
10",1,2023-04-29
Sawai Madhopur,Satisfactory,59,"O
3",1,2023-05-02
Sawai Madhopur,Satisfactory,76,"O
3",1,2023-05-03
Sawai Madhopur,Satisfactory,93,"O
3",1,2023-05-05
Sawai Madhopur,Satisfactory,84,"O
3",1,2023-05-06
Sawai Madhopur,Moderate,112,"PM
10",1,2023-05-09
Sawai Madhopur,Moderate,103,"O
3",1,2023-05-10
Sawai Madhopur,Satisfactory,97,"PM
10",1,2023-05-11
Sawai Madhopur,Moderate,107,"PM
10",1,2023-05-13
Sawai Madhopur,Moderate,132,"PM
10",1,2023-05-14
Sawai Madhopur,Satisfactory,67,"PM
10",1,2023-05-28
Sawai Madhopur,Satisfactory,77,"PM
10",1,2023-05-30
Sawai Madhopur,Satisfactory,74,"PM
10",1,2023-05-31
Sawai Madhopur,Satisfactory,82,"PM
10",1,2023-06-01
Sawai Madhopur,Satisfactory,86,"PM
10",1,2023-06-02
Sawai Madhopur,Moderate,108,"PM
10",1,2023-06-03
Sawai Madhopur,Satisfactory,77,"PM
10",1,2023-06-04
Sawai Madhopur,Satisfactory,91,"PM
10",1,2023-06-05
Sawai Madhopur,Satisfactory,90,"PM
10",1,2023-06-06
Sawai Madhopur,Poor,243,"PM
10",1,2023-06-07
Sawai Madhopur,Moderate,106,"PM
10",1,2023-06-08
Sawai Madhopur,Satisfactory,85,"PM
10",1,2023-06-09
Sawai Madhopur,Satisfactory,95,"PM
10",1,2023-06-10
Sawai Madhopur,Satisfactory,74,"PM
10",1,2023-06-12
Sawai Madhopur,Satisfactory,76,"PM
10",1,2023-06-13
Sawai Madhopur,Satisfactory,92,"PM
10",1,2023-06-14
Sawai Madhopur,Satisfactory,90,"PM
10",1,2023-06-15
Sawai Madhopur,Satisfactory,86,"PM
10",1,2023-06-16
Sawai Madhopur,Satisfactory,87,"PM
10",1,2023-06-17
Sawai Madhopur,Satisfactory,81,"PM
10",1,2023-06-18
Sawai Madhopur,Good,47,"PM
10",1,2023-06-20
Sawai Madhopur,Moderate,121,"PM
2.5",1,2023-06-21
Sawai Madhopur,Moderate,153,"PM
10",1,2023-06-22
Sawai Madhopur,Moderate,160,"PM
2.5",1,2023-06-23
Sawai Madhopur,Moderate,156,"PM
2.5",1,2023-06-24
Sawai Madhopur,Satisfactory,79,"PM
2.5",1,2023-06-27
Sawai Madhopur,Satisfactory,97,"PM
2.5",1,2023-06-28
Sawai Madhopur,Satisfactory,74,"PM
2.5",1,2023-06-29
Sawai Madhopur,Satisfactory,74,"PM
2.5",1,2023-06-30
Sawai Madhopur,Satisfactory,70,"PM
2.5",1,2023-07-01
Sawai Madhopur,Satisfactory,89,"PM
2.5",1,2023-07-02
Sawai Madhopur,Satisfactory,89,"PM
10",1,2023-07-03
Sawai Madhopur,Moderate,104,"PM
2.5",1,2023-07-04
Sawai Madhopur,Satisfactory,99,"PM
2.5",1,2023-07-05
Sawai Madhopur,Satisfactory,96,"PM
2.5",1,2023-07-06
Sawai Madhopur,Satisfactory,90,"PM
2.5",1,2023-07-07
Sawai Madhopur,Good,42,"PM
10",1,2023-07-08
Sawai Madhopur,Satisfactory,70,"PM
10",1,2023-07-09
Sawai Madhopur,Satisfactory,96,"PM
2.5",1,2023-07-11
Sawai Madhopur,Moderate,171,"PM
2.5",1,2023-07-12
Sawai Madhopur,Moderate,135,"PM
2.5",1,2023-07-13
Sawai Madhopur,Satisfactory,95,"PM
2.5",1,2023-07-14
Sawai Madhopur,Moderate,120,"PM
10",1,2023-07-15
Sawai Madhopur,Satisfactory,84,"PM
2.5",1,2023-07-16
Sawai Madhopur,Satisfactory,83,"PM
2.5",1,2023-07-17
Sawai Madhopur,Moderate,136,"PM
2.5",1,2023-07-18
Sawai Madhopur,Satisfactory,65,"PM
10",1,2023-07-19
Sawai Madhopur,Satisfactory,67,"PM
10",1,2023-07-20
Sawai Madhopur,Satisfactory,65,"PM
10",1,2023-07-21
Sawai Madhopur,Satisfactory,69,"PM
10",1,2023-07-22
Sawai Madhopur,Good,44,"PM
10",1,2023-07-23
Sawai Madhopur,Satisfactory,74,"PM
10",1,2023-07-24
Sawai Madhopur,Good,47,"PM
10",1,2023-07-25
Sawai Madhopur,Satisfactory,59,"PM
10",1,2023-07-26
Sawai Madhopur,Satisfactory,53,"O
3",1,2023-07-27
Sawai Madhopur,Good,47,"O
3",1,2023-07-28
Sawai Madhopur,Good,46,"O
3",1,2023-07-29
Sawai Madhopur,Satisfactory,53,"O
3",1,2023-07-30
Sawai Madhopur,Satisfactory,58,"O
3",1,2023-07-31
Sawai Madhopur,Satisfactory,60,"O
3",1,2023-08-01
Sawai Madhopur,Satisfactory,62,"PM
10",1,2023-08-02
Sawai Madhopur,Satisfactory,73,"PM
10",1,2023-08-03
Sawai Madhopur,Satisfactory,94,"PM
10",1,2023-08-04
Sawai Madhopur,Satisfactory,92,"PM
10",1,2023-08-05
Sawai Madhopur,Satisfactory,82,"PM
10",1,2023-08-06
Sawai Madhopur,Satisfactory,92,"PM
10",1,2023-08-07
Sawai Madhopur,Satisfactory,96,"PM
10",1,2023-08-08
Sawai Madhopur,Moderate,110,"PM
10",1,2023-08-09
Sawai Madhopur,Moderate,118,"PM
10",1,2023-08-10
Sawai Madhopur,Moderate,106,"PM
10",1,2023-08-11
Sawai Madhopur,Satisfactory,85,"PM
10",1,2023-08-12
Sawai Madhopur,Satisfactory,62,"PM
10",1,2023-08-13
Sawai Madhopur,Satisfactory,53,CO,1,2023-08-14
Sawai Madhopur,Satisfactory,64,"PM
10",1,2023-08-15
Sawai Madhopur,Satisfactory,71,"PM
10",1,2023-08-16
Sawai Madhopur,Satisfactory,84,"PM
10",1,2023-08-17
Sawai Madhopur,Satisfactory,94,"PM
10",1,2023-08-18
Sawai Madhopur,Satisfactory,86,"PM
10",1,2023-08-19
Sawai Madhopur,Satisfactory,87,"PM
2.5",1,2023-08-21
Sawai Madhopur,Moderate,111,"PM
2.5",1,2023-08-22
Sawai Madhopur,Satisfactory,72,"PM
10",1,2023-08-23
Sawai Madhopur,Satisfactory,96,"PM
10",1,2023-08-24
Sawai Madhopur,Moderate,115,"PM
2.5",1,2023-08-25
Sawai Madhopur,Moderate,122,"PM
10",1,2023-08-27
Sawai Madhopur,Moderate,130,"PM
10",1,2023-08-28
Sawai Madhopur,Moderate,102,"PM
10",1,2023-08-29
Sawai Madhopur,Satisfactory,90,"PM
10",1,2023-08-30
Sawai Madhopur,Satisfactory,90,"PM
10",1,2023-08-31
Sawai Madhopur,Satisfactory,80,"PM
10",1,2023-09-01
Sawai Madhopur,Satisfactory,89,"PM
10",1,2023-09-02
Sawai Madhopur,Satisfactory,77,"PM
10",1,2023-09-03
Sawai Madhopur,Satisfactory,72,"PM
10",1,2023-09-04
Sawai Madhopur,Satisfactory,80,"PM
10",1,2023-09-05
Sawai Madhopur,Good,49,"O
3",1,2023-09-06
Sawai Madhopur,Good,49,"O
3",1,2023-09-07
Sawai Madhopur,Satisfactory,55,CO,1,2023-09-10
Sawai Madhopur,Satisfactory,57,CO,1,2023-09-11
Sawai Madhopur,Satisfactory,54,CO,1,2023-09-12
Sawai Madhopur,Satisfactory,55,CO,1,2023-09-13
Sawai Madhopur,Satisfactory,53,CO,1,2023-09-14
Sawai Madhopur,Satisfactory,54,CO,1,2023-09-15
Sawai Madhopur,Good,49,"O
3",1,2023-09-16
Sawai Madhopur,Good,49,"O
3",1,2023-09-17
Sawai Madhopur,Good,49,"O
3",1,2023-09-18
Sawai Madhopur,Good,49,"O
3",1,2023-09-19
Sawai Madhopur,Satisfactory,51,CO,1,2023-09-20
Sawai Madhopur,Good,48,CO,1,2023-09-22
Sawai Madhopur,Good,"47
* AQ","PM
10
I is not calculated for today's bullet","1
in for Ahmednagar, Aizawl, Ajmer,",2023-09-23
Sawai Madhopur,Satisfactory,58,CO,1,2023-09-25
Sawai Madhopur,Satisfactory,53,CO,1,2023-09-26
Sawai Madhopur,Satisfactory,66,"PM
10",1,2023-09-27
Sawai Madhopur,Satisfactory,77,"PM
10",1,2023-09-28
Sawai Madhopur,Satisfactory,88,"PM
10",1,2023-09-29
Sawai Madhopur,Satisfactory,93,"PM
10",1,2023-09-30
Sawai Madhopur,Satisfactory,85,"PM
10",1,2023-10-01
Sawai Madhopur,Satisfactory,73,"PM
10",1,2023-10-02
Sawai Madhopur,Satisfactory,76,"PM
10",1,2023-10-03
Sawai Madhopur,Satisfactory,72,"PM
10",1/1,2023-10-04
Sawai Madhopur,Satisfactory,68,"PM
10",1/1,2023-10-05
Sawai Madhopur,Satisfactory,63,"PM
10",1/1,2023-10-06
Sawai Madhopur,Satisfactory,66,"PM
10",1/1,2023-10-07
Sawai Madhopur,Satisfactory,63,"PM
10",1/1,2023-10-08
Sawai Madhopur,Satisfactory,62,"PM
10",1/1,2023-10-09
Sawai Madhopur,Satisfactory,62,"PM
10",1/1,2023-10-10
Sawai Madhopur,Satisfactory,60,"PM
10",1/1,2023-10-11
Sawai Madhopur,Satisfactory,78,"PM
10",1/1,2023-10-12
Sawai Madhopur,Satisfactory,89,"PM
10",1/1,2023-10-13
Sawai Madhopur,Moderate,102,"PM
10",1/1,2023-10-14
Sawai Madhopur,Satisfactory,85,"PM
10",1/1,2023-10-15
Sawai Madhopur,Satisfactory,80,"PM
10",1/1,2023-10-16
Sawai Madhopur,Satisfactory,73,"PM
10",1/1,2023-10-17
Sawai Madhopur,Satisfactory,82,"PM
10",1/1,2023-10-18
Sawai Madhopur,Satisfactory,89,"PM
10",1/1,2023-10-20
Sawai Madhopur,Satisfactory,85,"PM
10",1/1,2023-10-21
Sawai Madhopur,Satisfactory,84,"PM
10",1/1,2023-10-22
Sawai Madhopur,Moderate,181,"PM
2.5",1/1,2023-10-23
Sawai Madhopur,Moderate,178,"PM
2.5",1/1,2023-10-24
Sawai Madhopur,Moderate,155,"PM
2.5",1/1,2023-10-25
Sawai Madhopur,Moderate,171,"PM
2.5",1/1,2023-10-26
Sawai Madhopur,Moderate,144,"PM
2.5",1/1,2023-10-27
Sawai Madhopur,Moderate,164,"PM
2.5",1/1,2023-10-28
Sawai Madhopur,Moderate,133,"PM
2.5",1/1,2023-10-29
Sawai Madhopur,Moderate,185,"PM
2.5",1/1,2023-10-30
Sawai Madhopur,Moderate,192,"PM
2.5",1/1,2023-10-31
Sawai Madhopur,Moderate,124,"PM
10",1/1,2023-11-01
Sawai Madhopur,Moderate,161,"PM
2.5",1/1,2023-11-02
Sawai Madhopur,Poor,209,"PM
2.5",1/1,2023-11-03
Sawai Madhopur,Moderate,172,"PM
2.5",1/1,2023-11-04
Sawai Madhopur,Moderate,166,"PM
2.5",1/1,2023-11-05
Sawai Madhopur,Moderate,182,"PM
2.5",1/1,2023-11-06
Sawai Madhopur,Moderate,179,"PM
2.5",1/1,2023-11-07
Sawai Madhopur,Moderate,174,"PM
2.5",1/1,2023-11-08
Sawai Madhopur,Moderate,196,"PM
2.5",1/1,2023-11-09
Sawai Madhopur,Moderate,187,"PM
2.5",1/1,2023-11-10
Sawai Madhopur,Poor,225,"PM
2.5",1/1,2023-11-11
Sawai Madhopur,Moderate,190,"PM
2.5",1/1,2023-11-12
Sawai Madhopur,Poor,221,"PM
2.5",1/1,2023-11-13
Sawai Madhopur,Poor,236,"O
3",1/1,2023-11-14
Sawai Madhopur,Poor,275,"PM
2.5",1/1,2023-11-15
Sawai Madhopur,Poor,295,"PM
2.5",1/1,2023-11-16
Sawai Madhopur,Poor,295,"PM
2.5",1/1,2023-11-17
Sawai Madhopur,Poor,266,"PM
2.5",1/1,2023-11-18
Sawai Madhopur,Moderate,182,"O
3",1/1,2023-11-19
Sawai Madhopur,Moderate,171,"PM
10",1/1,2023-11-20
Sawai Madhopur,Poor,204,"PM
2.5",1/1,2023-11-21
Sawai Madhopur,Poor,230,"PM
10",1/1,2023-11-22
Sawai Madhopur,Poor,232,"PM
2.5",1/1,2023-11-23
Sawai Madhopur,Poor,237,"PM
10",1/1,2023-11-24
Sawai Madhopur,Poor,216,"PM
2.5",1/1,2023-11-25
Sawai Madhopur,Poor,240,"PM
10",1/1,2023-11-26
Sawai Madhopur,Moderate,131,"PM
10",1/1,2023-11-27
Sawai Madhopur,Satisfactory,81,"O
3",1/1,2023-11-28
Sawai Madhopur,Moderate,127,"PM
10",1/1,2023-11-29
Sawai Madhopur,Moderate,163,"PM
10",1/1,2023-11-30
Sawai Madhopur,Moderate,115,"PM
10",1/1,2023-12-01
Sawai Madhopur,Moderate,126,"PM
10",1/1,2023-12-02
Sawai Madhopur,Moderate,159,"PM
10",1/1,2023-12-03
Sawai Madhopur,Moderate,108,"PM
10",1/1,2023-12-04
Sawai Madhopur,Satisfactory,83,"O
3",1/1,2023-12-05
Sawai Madhopur,Moderate,175,"O
3",1/1,2023-12-06
Sawai Madhopur,Moderate,160,"O
3",1/1,2023-12-07
Sawai Madhopur,Moderate,160,"PM
10",1/1,2023-12-08
Sawai Madhopur,Moderate,168,"PM
10",1/1,2023-12-09
Sawai Madhopur,Moderate,149,"PM
10",1/1,2023-12-10
Sawai Madhopur,Moderate,148,"PM
10",1/1,2023-12-11
Sawai Madhopur,Moderate,154,"PM
10",1/1,2023-12-12
Sawai Madhopur,Moderate,147,"PM
10",1/1,2023-12-13
Sawai Madhopur,Moderate,143,"PM
10",1/1,2023-12-14
Sawai Madhopur,Moderate,130,"PM
10",1/1,2023-12-15
Sawai Madhopur,Moderate,161,"O
3",1/1,2023-12-16
Sawai Madhopur,Moderate,153,"PM
10",1/1,2023-12-17
Sawai Madhopur,Moderate,159,"PM
10",1/1,2023-12-18
Sawai Madhopur,Moderate,152,"PM
10",1/1,2023-12-19
Sawai Madhopur,Moderate,164,"PM
10",1/1,2023-12-20
Sawai Madhopur,Moderate,168,"PM
10",1/1,2023-12-21
Sawai Madhopur,Moderate,178,"PM
10",1/1,2023-12-22
Sawai Madhopur,Moderate,183,"PM
10",1/1,2023-12-23
Sawai Madhopur,Moderate,183,"PM
10",1/1,2023-12-24
Sawai Madhopur,Moderate,186,"PM
10",1/1,2023-12-25
Sawai Madhopur,Moderate,189,"PM
10",1/1,2023-12-26
Sawai Madhopur,Moderate,184,"PM
10",1/1,2023-12-27
Sawai Madhopur,Moderate,175,"PM
10",1/1,2023-12-28
Sawai Madhopur,Moderate,149,"PM
10",1/1,2023-12-29
Sawai Madhopur,Moderate,140,"PM
10",1/1,2023-12-30
Sawai Madhopur,Moderate,146,"PM
10",1/1,2023-12-31
Sawai Madhopur,Moderate,140,"PM
10",1/1,2024-01-01
Sawai Madhopur,Moderate,168,"PM
10",1/1,2024-01-02
Sawai Madhopur,Moderate,177,"PM
10",1/1,2024-01-03
Sawai Madhopur,Poor,203,"PM
2.5",1/1,2024-01-04
Sawai Madhopur,Moderate,144,"PM
10",1/1,2024-01-05
Sawai Madhopur,Moderate,138,"O
3",1/1,2024-01-06
Sawai Madhopur,Moderate,140,"PM
10",1/1,2024-01-07
Sawai Madhopur,Moderate,173,"PM
10",1/1,2024-01-08
Sawai Madhopur,Moderate,176,"PM
10",1/1,2024-01-09
Sawai Madhopur,Moderate,140,"O
3",1/1,2024-01-10
Sawai Madhopur,Moderate,150,"PM
10",1/1,2024-01-12
Sawai Madhopur,Moderate,138,"O
3",1/1,2024-01-13
Sawai Madhopur,Moderate,138,"O
3",1/1,2024-01-14
Sawai Madhopur,Moderate,138,"O
3",1/1,2024-01-15
Sawai Madhopur,Moderate,138,"O
3",1/1,2024-01-16
Sawai Madhopur,Moderate,138,"O
3",1/1,2024-01-17
Sawai Madhopur,Moderate,137,"O
3",1/1,2024-01-18
Sawai Madhopur,Moderate,138,"O
3",1/1,2024-01-19
Sawai Madhopur,Moderate,135,"O
3",1/1,2024-01-20
Sawai Madhopur,Moderate,128,"PM
10",1/1,2024-01-21
Sawai Madhopur,Moderate,164,"PM
10",1/1,2024-01-22
Sawai Madhopur,Moderate,133,"PM
10",1/1,2024-01-23
Sawai Madhopur,Moderate,124,"PM
10",1/1,2024-01-24
Sawai Madhopur,Moderate,142,"PM
10",1/1,2024-01-25
Sawai Madhopur,Moderate,121,"PM
10",1/1,2024-01-26
Sawai Madhopur,Moderate,133,"PM
10",1/1,2024-01-27
Sawai Madhopur,Moderate,185,"PM
10",1/1,2024-01-28
Sawai Madhopur,Moderate,148,"PM
10",1/1,2024-01-29
Sawai Madhopur,Poor,203,"PM
10",1/1,2024-01-30
Sawai Madhopur,Moderate,159,"PM
10",1/1,2024-01-31
Sawai Madhopur,Moderate,110,"PM
10",1/1,2024-02-01
Sawai Madhopur,Moderate,148,"PM
10",1/1,2024-02-02
Sawai Madhopur,Moderate,120,"PM
10",1/1,2024-02-03
Sawai Madhopur,Moderate,136,"PM
10",1/1,2024-02-04
Sawai Madhopur,Satisfactory,63,"PM
10",1/1,2024-02-05
Sawai Madhopur,Satisfactory,79,"PM
10",1/1,2024-02-06
Sawai Madhopur,Satisfactory,82,"PM
10",1/1,2024-02-07
Sawai Madhopur,Moderate,108,"PM
10",1/1,2024-02-08
Sawai Madhopur,Moderate,104,"PM
10",1/1,2024-02-09
Sawai Madhopur,Satisfactory,91,"PM
10",1/1,2024-02-10
Sawai Madhopur,Moderate,121,"PM
10",1/1,2024-02-11
Sawai Madhopur,Moderate,150,"PM
10",1/1,2024-02-12
Sawai Madhopur,Moderate,141,"PM
10",1/1,2024-02-13
Sawai Madhopur,Moderate,149,"PM
10",1/1,2024-02-16
Sawai Madhopur,Moderate,129,"PM
10",1/1,2024-02-17
Sawai Madhopur,Moderate,119,"PM
10",1/1,2024-02-18
Sawai Madhopur,Moderate,108,"PM
10",1/1,2024-02-19
Sawai Madhopur,Satisfactory,89,"PM
10",1/1,2024-02-20
Sawai Madhopur,Moderate,108,"PM
10",1/1,2024-02-21
Sawai Madhopur,Moderate,118,"PM
10",1/1,2024-02-22
Sawai Madhopur,Satisfactory,81,"PM
10",1/1,2024-02-23
Sawai Madhopur,Satisfactory,84,"O
3",1/1,2024-02-24
Sawai Madhopur,Satisfactory,96,"O
3",1/1,2024-02-25
Sawai Madhopur,Satisfactory,75,"PM
10",1/1,2024-02-26
Sawai Madhopur,Satisfactory,87,"O
3",1/1,2024-02-27
Sawai Madhopur,Satisfactory,96,"O
3",1/1,2024-02-28
Sawai Madhopur,Satisfactory,95,"PM
10",1/1,2024-02-29
Sawai Madhopur,Satisfactory,92,"O
3",1/1,2024-03-01
Sawai Madhopur,Satisfactory,70,"O
3",1/1,2024-03-02
