City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Shillong,Good,32,OZONE,1,2019-09-17
Shillong,Good,40,OZONE,1,2019-09-18
Shillong,Good,33,OZONE,1,2019-09-19
Shillong,Good,27,OZONE,1,2019-09-20
Shillong,Good,31,"PM
2.5",1,2019-09-21
Shillong,Good,28,"PM
2.5",1,2019-09-22
Shillong,Good,29,OZONE,1,2019-09-23
Shillong,Good,28,OZONE,1,2019-09-24
Shillong,Good,31,CO,1,2019-09-25
Shillong,Good,27,CO,1,2019-09-26
Shillong,Good,28,CO,1,2019-09-27
Shillong,Good,44,OZONE,1,2019-09-28
Shillong,Good,29,OZONE,1,2019-09-29
Shillong,Good,34,OZONE,1,2019-09-30
Shillong,Good,35,OZONE,1,2019-10-01
Shillong,Good,41,OZONE,1,2019-10-02
Shillong,Good,36,CO,1,2019-10-03
Shillong,Good,43,OZONE,1,2019-10-04
Shillong,Good,35,OZONE,1,2019-10-10
Shillong,Good,33,OZONE,1,2019-10-11
Shillong,Good,43,OZONE,1,2019-10-12
Shillong,Good,40,OZONE,1,2019-10-13
Shillong,Good,34,OZONE,1,2019-10-14
Shillong,Good,31,OZONE,1,2019-10-15
Shillong,Good,31,"PM
2.5",1,2019-10-16
Shillong,Good,35,"PM
2.5",1,2019-10-17
Shillong,Good,34,"PM
2.5",1,2019-10-18
Shillong,Satisfactory,52,OZONE,1,2019-10-19
Shillong,Satisfactory,56,"PM
2.5",1,2019-10-20
Shillong,Satisfactory,82,OZONE,1,2019-10-21
Shillong,Satisfactory,57,OZONE,1,2019-10-22
Shillong,Good,49,"PM
10",1,2019-10-23
Shillong,Satisfactory,53,"PM
2.5",1,2019-10-24
Shillong,Good,29,CO,1,2019-10-25
Shillong,Good,15,OZONE,1,2019-11-24
Shillong,Good,17,"PM
2.5",1,2019-11-25
Shillong,Good,27,"PM
2.5",1,2019-11-26
Shillong,Good,24,"PM
2.5",1,2019-11-27
Shillong,Good,16,OZONE,1,2019-11-28
Shillong,Good,40,"PM
2.5",1,2020-01-11
Shillong,Good,36,"PM
2.5",1,2020-01-12
Shillong,Good,32,"O
3",1,2020-01-13
Shillong,Satisfactory,79,"PM
2.5",1,2020-01-14
Shillong,Satisfactory,71,"PM
2.5",1,2020-01-15
Shillong,Good,48,"PM
2.5",1,2020-01-18
Shillong,Satisfactory,64,"O
3",1,2020-01-19
Shillong,Satisfactory,71,"O
3",1,2020-01-20
Shillong,Good,39,"O
3",1,2020-01-21
Shillong,Satisfactory,52,"O
3",1,2020-01-23
Shillong,Good,46,"PM
2.5",1,2020-01-24
Shillong,Satisfactory,73,"PM
2.5",1,2020-01-25
Shillong,Satisfactory,88,"PM
2.5",1,2020-01-26
Shillong,Satisfactory,90,"PM
2.5",1,2020-01-27
Shillong,Satisfactory,90,"PM
2.5",1,2020-01-28
