City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Sikar,Moderate,196,"PM
10",1,2023-03-13
Sikar,Moderate,184,"PM
10",1,2023-03-14
Sikar,Moderate,163,"PM
10",1,2023-03-15
Sikar,Moderate,134,"PM
10",1,2023-03-16
Sikar,Satisfactory,77,"O
3",1,2023-03-17
Sikar,Moderate,122,"PM
10",1,2023-03-18
Sikar,Satisfactory,98,"PM
10",1,2023-03-19
Sikar,Satisfactory,77,"O
3",1,2023-03-20
Sikar,Satisfactory,87,"O
3",1,2023-03-21
Sikar,Satisfactory,96,"PM
10",1,2023-03-22
Sikar,Satisfactory,95,"O
3",1,2023-03-23
Sikar,Satisfactory,63,"O
3",1,2023-03-24
Sikar,Moderate,116,"PM
10",1,2023-03-25
Sikar,Moderate,182,"PM
10",1,2023-03-26
Sikar,Moderate,130,"PM
10",1,2023-03-27
Sikar,Moderate,120,"PM
10",1,2023-03-28
Sikar,Moderate,153,"PM
10",1,2023-03-29
Sikar,Moderate,177,"PM
10",1,2023-03-30
Sikar,Satisfactory,61,"O
3",1,2023-03-31
Sikar,Satisfactory,73,"O
3",1,2023-04-01
Sikar,Satisfactory,77,"O
3",1,2023-04-02
Sikar,Moderate,103,"PM
10",1,2023-04-03
Sikar,Satisfactory,88,"PM
10",1,2023-04-04
Sikar,Satisfactory,82,"O
3",1,2023-04-05
Sikar,Moderate,176,"PM
10",1,2023-04-06
Sikar,Moderate,112,"PM
10",1,2023-04-07
Sikar,Moderate,131,"PM
10",1,2023-04-08
Sikar,Moderate,179,"PM
10",1,2023-04-09
Sikar,Moderate,144,"PM
10",1,2023-04-10
Sikar,Moderate,168,"PM
10",1,2023-04-11
Sikar,Moderate,135,"PM
10",1,2023-04-12
Sikar,Moderate,168,"PM
10",1,2023-04-13
Sikar,Poor,212,"PM
10",1,2023-04-14
Sikar,Moderate,171,"PM
10",1,2023-04-15
Sikar,Moderate,132,"PM
10",1,2023-04-16
Sikar,Moderate,180,"PM
10",1,2023-04-17
Sikar,Moderate,134,"PM
10",1,2023-04-18
Sikar,Moderate,167,"PM
2.5",1,2023-04-19
Sikar,Moderate,154,"PM
10",1,2023-04-20
Sikar,Moderate,194,"PM
10",1,2023-04-21
Sikar,Poor,208,"PM
10",1,2023-04-22
Sikar,Moderate,132,"PM
10",1,2023-04-23
Sikar,Moderate,128,"O
3",1,2023-04-24
Sikar,Moderate,162,"O
3",1,2023-04-25
Sikar,Moderate,167,"O
3",1,2023-04-26
Sikar,Moderate,188,"PM
10",1,2023-04-27
Sikar,Moderate,126,"PM
10",1,2023-04-28
Sikar,Moderate,104,"PM
10",1,2023-04-29
Sikar,Satisfactory,70,"O
3",1,2023-04-30
Sikar,Satisfactory,81,"O
3",1,2023-05-01
Sikar,Satisfactory,91,"O
3",1,2023-05-02
Sikar,Moderate,112,"O
3",1,2023-05-03
Sikar,Moderate,117,"O
3",1,2023-05-04
Sikar,Moderate,124,"O
3",1,2023-05-05
Sikar,Moderate,129,"O
3",1,2023-05-06
Sikar,Moderate,103,"PM
10",1,2023-05-07
Sikar,Moderate,178,"PM
10",1,2023-05-09
Sikar,Moderate,139,"O
3",1,2023-05-10
Sikar,Moderate,158,"PM
10",1,2023-05-11
Sikar,Moderate,164,"PM
10",1,2023-05-12
Sikar,Moderate,166,"PM
10",1,2023-05-13
