City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Silchar,Satisfactory,76,"PM
10",1,2023-03-13
Silchar,Satisfactory,78,"PM
10",1,2023-03-14
Silchar,Satisfactory,80,"PM
10",1,2023-03-15
Silchar,Satisfactory,65,"PM
10",1,2023-03-16
Silchar,Good,48,"PM
10",1,2023-03-17
Silchar,Good,38,CO,1,2023-03-18
Silchar,Good,43,"PM
10",1,2023-03-19
Silchar,Good,44,CO,1,2023-03-20
Silchar,Good,33,CO,1,2023-03-21
Silchar,Good,25,CO,1,2023-03-22
Silchar,Good,31,CO,1,2023-03-23
Silchar,Good,30,CO,1,2023-03-24
Silchar,Good,43,"PM
10",1,2023-03-25
Silchar,Good,29,"PM
10",1,2023-03-26
Silchar,Good,40,CO,1,2023-03-27
Silchar,Good,35,"PM
10",1,2023-03-28
Silchar,Good,27,CO,1,2023-03-29
Silchar,Good,39,CO,1,2023-03-30
Silchar,Good,28,"PM
10",1,2023-03-31
Silchar,Good,32,CO,1,2023-04-01
Silchar,Good,41,CO,1,2023-04-02
Silchar,Good,50,CO,1,2023-04-03
Silchar,Good,42,CO,1,2023-04-04
Silchar,Good,27,CO,1,2023-04-05
Silchar,Good,25,CO,1,2023-04-06
Silchar,Good,41,"PM
10",1,2023-04-07
Silchar,Good,42,"PM
10",1,2023-04-08
Silchar,Good,44,"PM
10",1,2023-04-09
Silchar,Satisfactory,59,CO,1,2023-04-10
Silchar,Satisfactory,62,"PM
10",1,2023-04-11
Silchar,Satisfactory,65,"PM
10",1,2023-04-12
Silchar,Satisfactory,63,"PM
10",1,2023-04-13
Silchar,Satisfactory,70,"PM
10",1,2023-04-14
Silchar,Satisfactory,69,"PM
10",1,2023-04-15
Silchar,Satisfactory,65,"PM
10",1,2023-04-16
Silchar,Satisfactory,67,"PM
10",1,2023-04-17
Silchar,Good,49,"PM
10",1,2023-04-19
Silchar,Good,31,CO,1,2023-04-21
Silchar,Good,30,CO,1,2023-04-22
Silchar,Satisfactory,52,CO,1,2023-04-23
Silchar,Good,34,CO,1,2023-04-24
Silchar,Good,37,CO,1,2023-04-25
Silchar,Satisfactory,75,CO,1,2023-04-26
Silchar,Good,38,CO,1,2023-04-27
Silchar,Good,38,CO,1,2023-04-28
Silchar,Satisfactory,89,CO,1,2023-04-29
Silchar,Good,40,CO,1,2023-04-30
Silchar,Good,32,CO,1,2023-05-01
Silchar,Good,28,"PM
10",1,2023-05-02
Silchar,Good,32,"PM
10",1,2023-05-03
Silchar,Good,39,CO,1,2023-05-04
Silchar,Good,22,CO,1,2023-05-05
Silchar,Good,23,CO,1,2023-05-06
Silchar,Good,48,CO,1,2023-05-07
Silchar,Good,38,CO,1,2023-05-08
