City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Sirohi,Satisfactory,91,"O
3",1,2023-03-13
Sirohi,Satisfactory,97,"O
3",1,2023-03-15
Sirohi,Satisfactory,74,"PM
10",1,2023-03-16
Sirohi,Moderate,112,"O
3",1,2023-03-17
Sirohi,Satisfactory,91,"PM
10",1,2023-03-18
Sirohi,Satisfactory,82,"O
3",1,2023-03-19
Sirohi,Satisfactory,73,"O
3",1,2023-03-21
Sirohi,Satisfactory,62,"O
3",1,2023-03-22
Sirohi,Satisfactory,59,"O
3",1,2023-03-23
Sirohi,Satisfactory,68,"O
3",1,2023-03-24
Sirohi,Satisfactory,73,"O
3",1,2023-03-25
Sirohi,Satisfactory,81,"O
3",1,2023-03-26
Sirohi,Moderate,113,"PM
10",1,2023-03-27
Sirohi,Moderate,128,"O
3",1,2023-04-01
Sirohi,Moderate,101,"O
3",1,2023-04-02
Sirohi,Satisfactory,81,"O
3",1,2023-04-03
Sirohi,Satisfactory,59,"PM
10",1,2023-04-04
Sirohi,Satisfactory,67,"O
3",1,2023-04-29
Sirohi,Satisfactory,83,"O
3",1,2023-04-30
Sirohi,Satisfactory,68,"O
3",1,2023-05-01
Sirohi,Satisfactory,72,"PM
10",1,2023-05-02
Sirohi,Moderate,179,"PM
10",1,2023-05-05
Sirohi,Moderate,116,"O
3",1,2023-05-06
Sirohi,Satisfactory,86,"O
3",1,2023-05-07
Sirohi,Satisfactory,91,"O
3",1,2023-05-08
Sirohi,Satisfactory,100,"O
3",1,2023-05-09
Sirohi,Satisfactory,95,"PM
10",1,2023-06-08
Sirohi,Satisfactory,85,"PM
10",1,2023-06-09
Sirohi,Satisfactory,68,"PM
10",1,2023-06-10
Sirohi,Satisfactory,63,"O
3",1,2023-06-11
Sirohi,Satisfactory,75,"O
3",1,2023-06-12
Sirohi,Satisfactory,72,"PM
10",1,2023-06-13
Sirohi,Satisfactory,84,"PM
10",1,2023-06-14
Sirohi,Satisfactory,74,"PM
10",1,2023-06-15
Sirohi,Satisfactory,53,"PM
10",1,2023-06-16
Sirohi,Satisfactory,94,"PM
10",1,2023-06-23
Sirohi,Satisfactory,85,"PM
10",1,2023-06-24
Sirohi,Satisfactory,83,"PM
10",1,2023-06-25
Sirohi,Satisfactory,64,"PM
10",1,2023-06-26
Sirohi,Satisfactory,53,"PM
10",1,2023-06-27
Sirohi,Satisfactory,69,"PM
10",1,2023-06-28
Sirohi,Satisfactory,67,"PM
10",1,2023-06-29
Sirohi,Good,48,"PM
10",1,2023-07-02
Sirohi,Satisfactory,59,"PM
10",1,2023-07-03
Sirohi,Satisfactory,73,"PM
10",1,2023-07-04
Sirohi,Satisfactory,75,"PM
10",1,2023-07-05
Sirohi,Satisfactory,70,"O
3",1,2023-07-06
Sirohi,Satisfactory,73,"O
3",1,2023-07-07
Sirohi,Good,48,"O
3",1,2023-07-08
Sirohi,Good,42,"PM
10",1,2023-07-09
Sirohi,Moderate,115,"PM
10",1,2023-07-12
Sirohi,Satisfactory,90,"PM
10",1,2023-07-13
Sirohi,Moderate,101,"PM
10",1,2023-07-14
Sirohi,Satisfactory,70,"PM
10",1,2023-07-15
Sirohi,Satisfactory,76,"PM
10",1,2023-07-16
Sirohi,Moderate,108,"PM
10",1,2023-07-17
Sirohi,Moderate,101,"PM
10",1,2023-07-18
Sirohi,Moderate,101,"PM
10",1,2023-07-19
Sirohi,Satisfactory,95,"PM
10",1,2023-07-20
Sirohi,Satisfactory,96,"PM
10",1,2023-07-21
Sirohi,Satisfactory,55,"PM
10",1,2023-07-22
Sirohi,Good,38,"PM
10",1,2023-07-23
Sirohi,Good,42,"PM
10",1,2023-07-24
Sirohi,Good,26,"PM
10",1,2023-07-25
Sirohi,Good,29,"PM
10",1,2023-07-26
Sirohi,Good,41,"PM
10",1,2023-07-27
Sirohi,Good,39,"PM
10",1,2023-07-28
Sirohi,Good,31,"PM
10",1,2023-07-29
Sirohi,Good,24,"PM
10",1,2023-07-30
Sirohi,Good,38,"PM
10",1,2023-07-31
Sirohi,Good,35,"PM
10",1,2023-08-01
Sirohi,Satisfactory,90,"PM
10",1,2023-08-02
Sirohi,Satisfactory,57,"PM
2.5",1,2023-08-03
Sirohi,Satisfactory,56,"PM
2.5",1,2023-08-04
Sirohi,Satisfactory,56,"PM
10",1,2023-08-05
Sirohi,Satisfactory,58,"PM
10",1,2023-08-06
Sirohi,Satisfactory,58,"PM
10",1,2023-08-07
Sirohi,Satisfactory,59,"PM
10",1,2023-08-08
Sirohi,Satisfactory,54,"PM
10",1,2023-08-09
Sirohi,Satisfactory,52,"PM
10",1,2023-08-10
Sirohi,Satisfactory,54,"PM
10",1,2023-08-11
Sirohi,Satisfactory,52,"PM
10",1,2023-08-12
Sirohi,Good,46,"PM
10",1,2023-08-13
Sirohi,Satisfactory,61,"PM
10",1,2023-08-14
Sirohi,Satisfactory,67,"PM
10",1,2023-08-15
Sirohi,Satisfactory,81,"PM
10",1,2023-08-16
Sirohi,Satisfactory,80,"PM
10",1,2023-08-17
Sirohi,Moderate,104,"PM
10",1,2023-08-18
Sirohi,Moderate,104,"PM
10",1,2023-08-19
Sirohi,Satisfactory,90,"PM
10",1,2023-08-20
Sirohi,Satisfactory,53,"PM
10",1,2023-08-21
Sirohi,Satisfactory,63,"PM
10",1,2023-08-22
Sirohi,Satisfactory,55,"PM
10",1,2023-08-23
Sirohi,Satisfactory,64,"PM
10",1,2023-08-24
Sirohi,Satisfactory,80,"PM
10",1,2023-08-25
Sirohi,Satisfactory,89,"PM
10",1,2023-08-26
Sirohi,Moderate,127,"PM
10",1,2023-08-27
Sirohi,Moderate,101,"PM
10",1,2023-08-28
Sirohi,Satisfactory,85,"PM
10",1,2023-08-29
Sirohi,Satisfactory,69,"PM
10",1,2023-08-30
Sirohi,Satisfactory,72,"PM
10",1,2023-08-31
Sirohi,Satisfactory,81,"PM
10",1,2023-09-01
Sirohi,Satisfactory,74,"PM
10",1,2023-09-02
Sirohi,Satisfactory,55,"PM
10",1,2023-09-03
Sirohi,Satisfactory,59,"PM
10",1,2023-09-04
Sirohi,Satisfactory,59,"PM
10",1,2023-09-05
Sirohi,Satisfactory,69,"PM
10",1,2023-09-06
Sirohi,Good,48,"O
3",1,2023-09-07
Sirohi,Good,30,"PM
10",1,2023-09-08
Sirohi,Good,33,"PM
10",1,2023-09-09
Sirohi,Good,39,"PM
10",1,2023-09-10
Sirohi,Good,41,"PM
10",1,2023-09-11
Sirohi,Good,42,"O
3",1,2023-09-12
Sirohi,Good,30,"O
3",1,2023-09-13
Sirohi,Good,35,"PM
10",1,2023-09-14
Sirohi,Good,42,"PM
10",1,2023-09-15
Sirohi,Satisfactory,59,"O
3",1,2023-09-16
Sirohi,Good,35,"O
3",1,2023-09-17
Sirohi,Good,32,"O
3",1,2023-09-18
Sirohi,Good,35,"O
3",1,2023-09-19
Sirohi,Good,41,"O
3",1,2023-09-20
Sirohi,Satisfactory,68,"PM
10",1,2023-09-22
Sirohi,Good,46,"PM
10",1,2023-09-23
Sirohi,Good,47,"PM
10",1,2023-09-24
Sirohi,Good,37,"PM
10",1,2023-09-25
Sirohi,Satisfactory,56,"PM
10",1,2023-09-26
Sirohi,Satisfactory,56,"PM
10",1,2023-09-27
Sirohi,Satisfactory,88,"PM
10",1,2023-09-28
Sirohi,Moderate,154,"O
3",1,2023-09-29
Sirohi,Moderate,114,"PM
10",1,2023-09-30
Sirohi,Moderate,111,"PM
10",1,2023-10-01
Sirohi,Moderate,118,"PM
10",1,2023-10-02
Sirohi,Moderate,109,"PM
10",1,2023-10-03
Sirohi,Satisfactory,96,"PM
10",1/1,2023-10-04
Sirohi,Satisfactory,91,"PM
10",1/1,2023-10-05
Sirohi,Satisfactory,76,"PM
10",1/1,2023-10-06
Sirohi,Satisfactory,71,"PM
10",1/1,2023-10-07
Sirohi,Satisfactory,66,"PM
10",1/1,2023-10-08
Sirohi,Satisfactory,69,"O
3",1/1,2023-10-09
Sirohi,Satisfactory,57,"PM
10",1/1,2023-10-10
Sirohi,Satisfactory,73,"PM
10",1/1,2023-10-11
Sirohi,Satisfactory,77,"PM
10",1/1,2023-10-12
Sirohi,Satisfactory,93,"PM
10",1/1,2023-10-13
Sirohi,Moderate,105,"PM
10",1/1,2023-10-14
Sirohi,Satisfactory,86,"PM
10",1/1,2023-10-15
Sirohi,Satisfactory,58,"PM
10",1/1,2023-10-16
Sirohi,Satisfactory,89,"PM
10",1/1,2023-10-17
Sirohi,Satisfactory,92,"PM
10",1/1,2023-10-18
Sirohi,Moderate,128,"PM
10",1/1,2023-10-19
Sirohi,Moderate,118,"PM
10",1/1,2023-10-20
Sirohi,Moderate,118,"PM
10",1/1,2023-10-21
Sirohi,Moderate,104,"PM
10",1/1,2023-10-22
Sirohi,Moderate,111,"PM
10",1/1,2023-10-23
Sirohi,Satisfactory,97,"PM
10",1/1,2023-10-24
Sirohi,Moderate,118,"PM
10",1/1,2023-10-25
Sirohi,Satisfactory,96,"PM
10",1/1,2023-10-26
Sirohi,Satisfactory,92,"PM
10",1/1,2023-10-27
Sirohi,Satisfactory,99,"PM
10",1/1,2023-10-28
Sirohi,Satisfactory,95,"PM
10",1/1,2023-10-29
Sirohi,Moderate,121,"O
3",1/1,2023-10-30
Sirohi,Moderate,152,"O
3",1/1,2023-10-31
Sirohi,Moderate,150,"O
3",1/1,2023-11-01
Sirohi,Moderate,161,"O
3",1/1,2023-11-02
Sirohi,Moderate,140,"PM
10",1/1,2023-11-04
Sirohi,Moderate,118,"PM
10",1/1,2023-11-05
Sirohi,Moderate,112,"PM
10",1/1,2023-11-06
Sirohi,Moderate,159,"O
3",1/1,2023-11-07
Sirohi,Moderate,140,"PM
10",1/1,2023-11-08
Sirohi,Moderate,164,"O
3",1/1,2023-11-09
Sirohi,Moderate,145,"PM
10",1/1,2023-11-10
Sirohi,Moderate,116,"PM
10",1/1,2023-11-11
Sirohi,Satisfactory,90,"O
3",1/1,2023-11-12
Sirohi,Moderate,155,"PM
10",1/1,2023-11-13
Sirohi,Moderate,158,"O
3",1/1,2023-11-14
Sirohi,Moderate,183,"O
3",1/1,2023-11-15
Sirohi,Moderate,181,"O
3",1/1,2023-11-16
Sirohi,Poor,237,"O
3",1/1,2023-11-17
Sirohi,Moderate,194,"O
3",1/1,2023-11-18
Sirohi,Moderate,185,"O
3",1/1,2023-11-19
Sirohi,Poor,202,"PM
2.5",1/1,2023-11-20
Sirohi,Moderate,193,"PM
2.5",1/1,2023-11-21
Sirohi,Moderate,170,"O
3",1/1,2023-11-22
Sirohi,Moderate,180,"O
3",1/1,2023-11-23
Sirohi,Moderate,176,"PM
10",1/1,2023-11-24
Sirohi,Moderate,122,"PM
10",1/1,2023-11-25
Sirohi,Moderate,146,"PM
10",1/1,2023-11-26
Sirohi,Satisfactory,89,"PM
10",1/1,2023-11-28
Sirohi,Moderate,154,"PM
2.5",1/1,2023-11-29
Sirohi,Satisfactory,66,"PM
10",1/1,2023-11-30
Sirohi,Satisfactory,78,"PM
10",1/1,2023-12-01
Sirohi,Moderate,125,"PM
2.5",1/1,2023-12-02
Sirohi,Satisfactory,94,"PM
2.5",1/1,2023-12-03
Sirohi,Satisfactory,67,"PM
2.5",1/1,2023-12-04
Sirohi,Satisfactory,64,"O
3",1/1,2023-12-05
Sirohi,Satisfactory,84,"O
3",1/1,2023-12-06
Sirohi,Satisfactory,100,"PM
10",1/1,2023-12-07
Sirohi,Satisfactory,90,"PM
10",1/1,2023-12-08
Sirohi,Moderate,110,"PM
10",1/1,2023-12-09
Sirohi,Moderate,113,"O
3",1/1,2023-12-10
Sirohi,Moderate,104,"O
3",1/1,2023-12-11
Sirohi,Satisfactory,99,"O
3",1/1,2023-12-12
Sirohi,Moderate,150,"O
3",1/1,2023-12-13
Sirohi,Moderate,169,"O
3",1/1,2023-12-14
Sirohi,Moderate,118,"O
3",1/1,2023-12-15
Sirohi,Moderate,117,"O
3",1/1,2023-12-16
Sirohi,Satisfactory,96,"PM
10",1/1,2023-12-17
Sirohi,Moderate,153,"O
3",1/1,2023-12-18
Sirohi,Moderate,102,"O
3",1/1,2023-12-19
Sirohi,Satisfactory,95,"PM
10",1/1,2023-12-20
