City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Sirsa,Moderate,190,"PM
2.5",1,2019-01-28
Sirsa,Moderate,192,"PM
2.5",1,2019-01-29
Sirsa,Poor,240,"PM
2.5",1,2019-01-30
Sirsa,Poor,272,"PM
2.5",1,2019-01-31
Sirsa,Poor,268,"PM
2.5",1,2019-02-01
Sirsa,Poor,202,"PM
2.5",1,2019-02-02
Sirsa,Poor,243,"PM
2.5",1,2019-02-03
Sirsa,Poor,269,"PM
2.5",1,2019-02-04
Sirsa,Poor,257,"PM
2.5",1,2019-02-05
Sirsa,Poor,290,"PM
2.5",1,2019-02-06
Sirsa,Poor,254,"PM
2.5",1,2019-02-07
Sirsa,Satisfactory,97,"PM
10",1,2019-02-08
Sirsa,Satisfactory,89,"PM
10",1,2019-02-09
Sirsa,Moderate,112,"PM
10",1,2019-02-10
Sirsa,Moderate,123,"PM
10",1,2019-02-11
Sirsa,Moderate,135,"PM
10",1,2019-02-12
Sirsa,Moderate,156,"PM
10",1,2019-02-13
Sirsa,Very Poor,306,"PM
2.5",1,2019-02-14
Sirsa,Poor,228,"PM
2.5",1,2019-02-15
Sirsa,Moderate,150,"PM
2.5",1,2019-02-16
Sirsa,Moderate,159,"PM
2.5",1,2019-02-17
Sirsa,Moderate,149,"PM
2.5",1,2019-02-18
Sirsa,Satisfactory,74,"PM
2.5",1,2019-02-19
Sirsa,Moderate,185,"PM
2.5",1,2019-02-20
Sirsa,Moderate,146,"PM
2.5",1,2019-02-21
Sirsa,Satisfactory,82,"PM
2.5",1,2019-02-22
Sirsa,Moderate,101,"PM
2.5",1,2019-02-23
Sirsa,Moderate,168,"PM
2.5",1,2019-02-24
Sirsa,Moderate,142,"PM
2.5",1,2019-02-25
Sirsa,Satisfactory,57,"PM
2.5",1,2019-02-26
Sirsa,Satisfactory,78,OZONE,1,2019-02-27
Sirsa,Moderate,106,"PM
2.5",1,2019-02-28
Sirsa,Moderate,111,"PM
2.5",1,2019-03-01
Sirsa,Satisfactory,88,"PM
10",1,2019-03-02
Sirsa,Satisfactory,89,"PM
2.5",1,2019-03-03
Sirsa,Satisfactory,82,"PM
2.5",1,2019-03-04
Sirsa,Satisfactory,92,"PM
2.5",1,2019-03-05
Sirsa,Satisfactory,88,"PM
2.5",1,2019-03-06
Sirsa,Satisfactory,100,"PM
2.5",1,2019-03-07
Sirsa,Satisfactory,63,OZONE,1,2019-03-08
Sirsa,Moderate,132,"PM
2.5",1,2019-03-09
Sirsa,Moderate,109,"PM
10",1,2019-03-10
Sirsa,Satisfactory,81,OZONE,1,2019-03-11
Sirsa,Satisfactory,96,"PM
10",1,2019-03-12
