City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Sivasagar,Satisfactory,55,CO,1,2022-09-30
Sivasagar,Good,38,CO,1,2022-10-01
Sivasagar,Good,23,"PM
10",1,2022-10-02
Sivasagar,Good,23,"PM
10",1,2022-10-03
Sivasagar,Good,15,"PM
10",1,2022-10-04
Sivasagar,Good,12,"PM
10",1,2022-10-05
Sivasagar,Good,12,CO,1,2022-10-06
Sivasagar,Good,12,CO,1,2022-10-07
Sivasagar,Good,14,CO,1,2022-10-08
Sivasagar,Good,13,CO,1,2022-10-09
Sivasagar,Good,16,CO,1,2022-10-10
Sivasagar,Good,15,CO,1,2022-10-11
Sivasagar,Good,18,"PM
10",1,2022-10-12
Sivasagar,Good,12,CO,1,2022-10-13
Sivasagar,Good,19,"PM
10",1,2022-10-14
Sivasagar,Good,16,"PM
10",1,2022-10-15
Sivasagar,Good,30,"PM
10",1,2022-10-16
Sivasagar,Good,20,"PM
10",1,2022-10-17
Sivasagar,Good,26,"PM
10",1,2022-10-18
Sivasagar,Good,24,"PM
10",1,2022-10-19
Sivasagar,Good,24,"PM
10",1,2022-10-20
Sivasagar,Good,30,"PM
10",1,2022-10-21
Sivasagar,Good,29,"PM
10",1,2022-10-22
Sivasagar,Good,39,"PM
10",1,2022-10-23
Sivasagar,Good,30,"PM
10",1,2022-10-24
Sivasagar,Good,9,"PM
2.5",1,2022-10-25
Sivasagar,Good,9,"PM
10",1,2022-10-26
Sivasagar,Good,14,"PM
10",1,2022-10-27
Sivasagar,Good,22,"PM
10",1,2022-10-28
Sivasagar,Good,23,"PM
10",1,2022-10-29
Sivasagar,Good,23,"PM
10",1,2022-10-30
Sivasagar,Good,21,"PM
10",1,2022-10-31
Sivasagar,Good,22,"PM
10",1,2022-11-01
Sivasagar,Good,37,"PM
10",1,2022-11-02
Sivasagar,Good,27,"PM
10",1,2022-11-03
Sivasagar,Good,27,"PM
10",1,2022-11-04
Sivasagar,Good,31,"PM
10",1,2022-11-05
Sivasagar,Good,36,"PM
10",1,2022-11-06
Sivasagar,Good,27,"PM
10",1,2022-11-07
Sivasagar,Good,32,"PM
10",1,2022-11-08
Sivasagar,Good,34,"PM
10",1,2022-11-09
Sivasagar,Good,40,"PM
10",1,2022-11-10
Sivasagar,Good,46,"PM
10",1,2022-11-11
Sivasagar,Good,42,"PM
10",1,2022-11-12
Sivasagar,Good,37,"PM
10",1,2022-11-13
Sivasagar,Good,32,"PM
10",1,2022-11-14
Sivasagar,Good,37,"PM
10",1,2022-11-15
Sivasagar,Good,40,"PM
10",1,2022-11-16
Sivasagar,Good,40,"PM
10",1,2022-11-17
Sivasagar,Good,47,"PM
10",1,2022-11-18
Sivasagar,Good,47,"PM
10",1,2022-11-19
Sivasagar,Good,46,"PM
10",1,2022-11-20
Sivasagar,Good,45,"PM
10",1,2022-11-21
Sivasagar,Satisfactory,51,"PM
10",1,2022-11-22
Sivasagar,Satisfactory,53,"PM
10",1,2022-11-23
Sivasagar,Good,41,"PM
10",1,2022-11-24
Sivasagar,Good,46,"PM
10",1,2022-11-25
Sivasagar,Good,47,"PM
10",1,2022-11-26
Sivasagar,Good,46,"PM
10",1,2022-11-29
Sivasagar,Satisfactory,53,"PM
10",1,2022-11-30
Sivasagar,Satisfactory,56,"PM
10",1,2022-12-01
Sivasagar,Satisfactory,62,"PM
10",1,2022-12-02
Sivasagar,Satisfactory,59,"PM
10",1,2022-12-03
Sivasagar,Satisfactory,60,"PM
10",1,2022-12-04
Sivasagar,Satisfactory,70,"PM
10",1,2022-12-05
Sivasagar,Good,45,"PM
10",1,2022-12-09
Sivasagar,Satisfactory,51,"PM
10",1,2022-12-10
Sivasagar,Satisfactory,53,"PM
10",1,2022-12-11
Sivasagar,Satisfactory,54,"PM
10",1,2022-12-12
Sivasagar,Satisfactory,53,"PM
2.5",1,2022-12-13
Sivasagar,Good,50,"PM
10",1,2022-12-14
Sivasagar,Satisfactory,52,"PM
10",1,2022-12-15
Sivasagar,Satisfactory,56,"PM
2.5",1,2022-12-16
Sivasagar,Satisfactory,58,"PM
2.5",1,2022-12-17
Sivasagar,Good,48,"PM
2.5",1,2022-12-18
Sivasagar,Good,49,"PM
10",1,2022-12-19
Sivasagar,Good,43,"PM
2.5",1,2022-12-20
Sivasagar,Good,37,"PM
2.5",1,2022-12-21
Sivasagar,Good,33,"PM
2.5",1,2022-12-22
Sivasagar,Good,42,"PM
2.5",1,2022-12-24
Sivasagar,Good,40,"PM
2.5",1,2022-12-25
Sivasagar,Good,21,"PM
10",1,2022-12-26
Sivasagar,Good,29,"PM
2.5",1,2022-12-27
Sivasagar,Good,29,"PM
2.5",1,2022-12-28
Sivasagar,Good,36,"PM
2.5",1,2022-12-29
Sivasagar,Good,42,"PM
2.5",1,2022-12-30
Sivasagar,Good,39,"PM
10",1,2022-12-31
Sivasagar,Good,44,"PM
10",1,2023-01-01
Sivasagar,Good,42,"PM
2.5",1,2023-01-02
Sivasagar,Good,40,"PM
10",1,2023-01-03
Sivasagar,Good,35,"PM
10",1,2023-01-04
Sivasagar,Good,43,"PM
10",1,2023-01-05
Sivasagar,Good,48,"PM
2.5",1,2023-01-06
Sivasagar,Good,43,"PM
10",1,2023-01-08
Sivasagar,Satisfactory,51,"PM
10",1,2023-01-09
Sivasagar,Good,43,"PM
2.5",1,2023-01-10
Sivasagar,Satisfactory,51,"PM
2.5",1,2023-01-12
Sivasagar,Good,43,"PM
2.5",1,2023-01-13
Sivasagar,Good,35,"PM
2.5",1,2023-01-14
Sivasagar,Good,31,"PM
10",1,2023-01-15
Sivasagar,Good,40,"PM
10",1,2023-01-16
Sivasagar,Good,44,"PM
2.5",1,2023-01-17
Sivasagar,Satisfactory,54,"PM
2.5",1,2023-01-18
Sivasagar,Satisfactory,52,"PM
2.5",1,2023-01-19
Sivasagar,Good,42,"PM
10",1,2023-01-20
Sivasagar,Good,50,"PM
10",1,2023-01-22
Sivasagar,Good,42,"PM
2.5",1,2023-01-23
Sivasagar,Good,47,"PM
2.5",1,2023-01-24
Sivasagar,Satisfactory,69,"PM
10",1,2023-01-26
Sivasagar,Satisfactory,74,"PM
10",1,2023-01-27
Sivasagar,Satisfactory,67,"PM
10",1,2023-01-30
Sivasagar,Satisfactory,73,"PM
10",1,2023-01-31
Sivasagar,Satisfactory,74,"PM
2.5",1,2023-02-01
Sivasagar,Satisfactory,76,"PM
10",1,2023-02-03
Sivasagar,Satisfactory,67,"PM
10",1,2023-02-04
Sivasagar,Satisfactory,75,"PM
10",1,2023-02-05
Sivasagar,Satisfactory,91,"PM
10",1,2023-02-06
Sivasagar,Good,44,"PM
10",1,2023-02-08
Sivasagar,Satisfactory,80,"PM
2.5",1,2023-02-09
Sivasagar,Satisfactory,75,"PM
2.5",1,2023-02-10
Sivasagar,Satisfactory,87,"PM
2.5",1,2023-02-11
Sivasagar,Satisfactory,70,"PM
2.5",1,2023-02-12
Sivasagar,Satisfactory,57,"PM
2.5",1,2023-02-13
Sivasagar,Satisfactory,60,"PM
10",1,2023-02-14
Sivasagar,Satisfactory,72,"PM
2.5",1,2023-02-15
Sivasagar,Satisfactory,56,"PM
2.5",1,2023-02-16
Sivasagar,Satisfactory,61,"PM
2.5",1,2023-02-17
Sivasagar,Satisfactory,68,"PM
2.5",1,2023-02-18
Sivasagar,Satisfactory,78,"PM
2.5",1,2023-02-20
Sivasagar,Satisfactory,71,"PM
2.5",1,2023-02-21
Sivasagar,Good,49,"PM
2.5",1,2023-02-22
Sivasagar,Good,48,"PM
2.5",1,2023-02-25
Sivasagar,Satisfactory,55,"PM
10",1,2023-02-26
Sivasagar,Satisfactory,56,"PM
2.5",1,2023-02-27
Sivasagar,Good,38,"PM
2.5",1,2023-02-28
Sivasagar,Good,49,"PM
2.5",1,2023-03-01
Sivasagar,Satisfactory,63,"PM
2.5",1,2023-03-02
Sivasagar,Satisfactory,63,"PM
2.5",1,2023-03-03
Sivasagar,Satisfactory,70,"PM
2.5",1,2023-03-04
Sivasagar,Satisfactory,79,"PM
2.5",1,2023-03-05
Sivasagar,Satisfactory,68,"PM
2.5",1,2023-03-06
Sivasagar,Satisfactory,54,"PM
2.5",1,2023-03-07
Sivasagar,Good,46,"PM
2.5",1,2023-03-08
Sivasagar,Satisfactory,65,"PM
2.5",1,2023-03-09
