City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Solapur,Poor,255,CO,1,2016-01-12
Solapur,Moderate,171,"PM
10",1,2016-01-13
Solapur,Moderate,150,"PM
10",1,2016-01-14
Solapur,Moderate,134,"PM
10",1#,2016-01-15
Solapur,Moderate,108,"PM
10",1,2016-01-16
Solapur,Moderate,113,"PM
10",1,2016-01-17
Solapur,Moderate,116,"PM
10",1#,2016-01-18
Solapur,Satisfactory,94,"PM
10",1,2016-01-19
Solapur,Satisfactory,98,"PM
10",1,2016-01-21
Solapur,Moderate,106,"PM
10",1,2016-01-22
Solapur,Moderate,119,"PM
10",1,2016-01-23
Solapur,Moderate,151,"PM
10",1,2016-01-24
Solapur,Moderate,196,"PM
10",1,2016-01-25
Solapur,Moderate,163,"PM
2.5",1,2016-01-26
Solapur,Moderate,127,"PM
10",1,2016-01-27
Solapur,Moderate,129,"PM
10",1,2016-01-28
Solapur,Moderate,153,"PM
10",1,2016-01-29
Solapur,Moderate,159,"PM
10",1,2016-01-30
Solapur,Moderate,177,"PM
10",1,2016-01-31
Solapur,Moderate,180,"PM
10",1,2016-02-01
Solapur,Moderate,136,"PM
10",1,2016-02-02
Solapur,Moderate,143,"PM
10",1,2016-02-03
Solapur,Moderate,124,"PM
10",1,2016-02-04
Solapur,Moderate,150,"PM
10",1,2016-02-05
Solapur,Moderate,144,"PM
10",1,2016-02-06
Solapur,Moderate,158,"PM
10",1,2016-02-07
Solapur,Moderate,149,"PM
10",1,2016-02-08
Solapur,Moderate,125,"PM
10",1,2016-02-09
Solapur,Moderate,198,"PM
2.5",1#,2016-02-10
Solapur,Moderate,132,"PM
10",1,2016-02-11
Solapur,Satisfactory,100,"PM
10",1,2016-02-12
Solapur,Moderate,105,"PM
10",1,2016-02-13
Solapur,Moderate,140,"PM
10",1,2016-02-14
Solapur,Moderate,152,"PM
10",1,2016-02-15
Solapur,Moderate,112,"PM
10",1,2016-02-16
Solapur,Satisfactory,94,"PM
10",1,2016-02-17
Solapur,Moderate,117,"PM
10",1,2016-02-18
Solapur,Satisfactory,77,"PM
10",1,2016-02-19
Solapur,Moderate,120,"PM
10",1,2016-02-20
Solapur,Moderate,120,"PM
10",1,2016-02-21
Solapur,Moderate,112,"PM
10",1,2016-02-22
Solapur,Moderate,114,"PM
10",1,2016-02-23
Solapur,Moderate,126,"PM
10",1,2016-02-24
Solapur,Moderate,139,"O
3",1,2016-02-25
Solapur,Moderate,166,"O
3",1#,2016-02-26
Solapur,Moderate,101,"PM
10",1,2016-02-27
Solapur,Satisfactory,89,"PM
10",1,2016-02-28
Solapur,Moderate,103,"PM
10",1,2016-02-29
Solapur,Satisfactory,94,"PM
10",1#,2016-03-01
Solapur,Satisfactory,88,"PM
10",1,2016-03-02
Solapur,Satisfactory,81,"PM
10",1,2016-03-03
Solapur,Moderate,123,"PM
10",1#,2016-03-04
Solapur,Satisfactory,91,"PM
10",1,2016-03-05
Solapur,Moderate,173,"PM
2.5",1#,2016-03-06
Solapur,Moderate,166,"PM
2.5",1#,2016-03-07
Solapur,Satisfactory,98,"PM
10",1,2016-03-08
Solapur,Moderate,124,"PM
10",1,2016-03-09
Solapur,Moderate,122,"PM
10",1,2016-03-10
Solapur,Moderate,127,"PM
10",1,2016-03-11
Solapur,Moderate,116,"PM
10",1,2016-03-12
Solapur,Moderate,153,"O
3",1,2016-03-13
Solapur,Satisfactory,85,"O
3",1,2016-03-14
Solapur,Satisfactory,93,"PM
10",1,2016-03-15
Solapur,Satisfactory,100,"O
3",1,2016-03-16
Solapur,Moderate,112,"O
3",1,2016-03-17
Solapur,Moderate,123,"O
3",1,2016-03-18
Solapur,Moderate,119,"PM
10",1,2016-03-19
Solapur,Moderate,126,"PM
10",1,2016-03-20
Solapur,Moderate,121,"PM
10",1,2016-03-21
Solapur,Moderate,117,"O
3",1,2016-03-22
Solapur,Moderate,126,"PM
10",1,2016-03-23
Solapur,Moderate,147,"PM
10",1,2016-03-24
Solapur,Moderate,134,"PM
10",1,2016-03-25
Solapur,Moderate,131,"PM
10",1,2016-03-26
Solapur,Moderate,123,"PM
10",1,2016-03-27
Solapur,Moderate,107,"PM
10",1#,2016-03-28
Solapur,Moderate,121,"PM
2.5",1,2016-03-29
Solapur,Moderate,119,"PM
10",1,2016-03-30
Solapur,Moderate,113,"PM
10",1,2016-03-31
Solapur,Moderate,113,"PM
10",1,2016-04-01
Solapur,Moderate,138,"PM
10",1,2016-04-02
Solapur,Moderate,109,CO,1,2016-04-06
Solapur,Moderate,101,CO,1,2016-04-08
Solapur,Moderate,109,CO,1,2016-04-09
Solapur,Moderate,108,CO,1#,2016-05-10
Solapur,Moderate,106,"PM
10",1,2016-05-13
Solapur,Moderate,109,CO,1,2016-05-16
Solapur,Moderate,109,CO,1#,2016-05-17
Solapur,Moderate,109,CO,1,2016-05-18
Solapur,Moderate,102,CO,1,2016-05-19
Solapur,Moderate,103,CO,1,2016-05-20
Solapur,Moderate,101,CO,1,2016-05-21
Solapur,Satisfactory,100,CO,1,2016-05-22
Solapur,Moderate,103,CO,1,2016-05-23
Solapur,Moderate,102,CO,1,2016-05-24
Solapur,Moderate,103,CO,1,2016-05-25
Solapur,Moderate,103,CO,1,2016-05-26
Solapur,Moderate,102,CO,1,2016-05-27
Solapur,Moderate,101,CO,1,2016-05-28
Solapur,Moderate,102,CO,1,2016-05-29
Solapur,Moderate,105,CO,1,2016-05-30
Solapur,Moderate,104,CO,1,2016-05-31
Solapur,Moderate,104,CO,1#,2016-06-01
Solapur,Moderate,104,CO,1,2016-06-02
Solapur,Moderate,105,CO,1,2016-06-03
Solapur,Moderate,103,CO,1,2016-06-04
Solapur,Moderate,104,CO,1,2016-06-05
Solapur,Moderate,106,"O
3",1,2016-06-07
Solapur,Moderate,112,CO,1,2016-06-08
Solapur,Moderate,106,CO,1,2016-06-09
Solapur,Moderate,105,CO,1,2016-06-10
Solapur,Moderate,106,CO,1,2016-06-11
Solapur,Moderate,106,CO,1,2016-06-12
Solapur,Moderate,105,CO,1,2016-06-13
Solapur,Satisfactory,100,CO,1#,2016-06-14
Solapur,Satisfactory,96,CO,1#,2016-06-15
Solapur,Moderate,104,CO,1,2016-06-16
Solapur,Moderate,102,CO,1,2016-06-17
Solapur,Moderate,105,CO,1,2016-06-18
Solapur,Moderate,107,CO,1#,2016-06-19
Solapur,Moderate,107,CO,1,2016-06-20
Solapur,Moderate,112,CO,1,2016-06-21
Solapur,Satisfactory,98,CO,1,2016-06-22
Solapur,Moderate,106,CO,1,2016-06-23
Solapur,Moderate,104,CO,1,2016-06-24
Solapur,Moderate,111,CO,1,2016-06-25
Solapur,Moderate,115,CO,1,2016-06-26
Solapur,Moderate,114,CO,1,2016-06-27
