City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Sonipat,Moderate,134,"PM
2.5",1,2019-01-09
Sonipat,Poor,230,"PM
2.5",1,2019-01-10
Sonipat,Very Poor,301,"PM
2.5",1,2019-01-11
Sonipat,Very Poor,392,"PM
2.5",1,2019-01-12
Sonipat,Very Poor,368,"PM
2.5",1,2019-01-13
Sonipat,Poor,203,"PM
2.5",1,2019-01-14
Sonipat,Moderate,160,"PM
2.5",1,2019-01-15
Sonipat,Poor,295,"PM
2.5",1,2019-01-16
Sonipat,Very Poor,344,"PM
2.5",1,2019-01-17
Sonipat,Very Poor,343,"PM
2.5",1,2019-01-18
Sonipat,Poor,274,"PM
2.5",1,2019-01-19
Sonipat,Satisfactory,91,"PM
2.5",1,2019-01-22
Sonipat,Moderate,102,"PM
2.5",1,2019-01-23
Sonipat,Poor,231,"PM
2.5",1,2019-01-24
Sonipat,Moderate,124,"PM
2.5",1,2019-01-25
Sonipat,Moderate,162,"PM
2.5",1,2019-01-26
Sonipat,Moderate,164,"PM
2.5",1,2019-01-27
Sonipat,Moderate,135,"PM
2.5",1,2019-01-28
Sonipat,Moderate,129,"PM
2.5",1,2019-01-29
Sonipat,Moderate,167,"PM
2.5",1,2019-01-30
Sonipat,Poor,292,"PM
2.5",1,2019-01-31
Sonipat,Poor,298,"PM
2.5",1,2019-02-01
Sonipat,Poor,223,"PM
2.5",1,2019-02-02
Sonipat,Moderate,196,"PM
2.5",1,2019-02-03
Sonipat,Moderate,189,"PM
2.5",1,2019-02-04
Sonipat,Poor,263,"PM
2.5",1,2019-02-05
Sonipat,Very Poor,391,"PM
2.5",1,2019-02-06
Sonipat,Poor,262,"PM
2.5",1,2019-02-07
Sonipat,Moderate,101,"PM
10",1,2019-02-08
Sonipat,Satisfactory,98,"PM
2.5",1,2019-02-09
Sonipat,Moderate,155,"PM
2.5",1,2019-02-10
Sonipat,Poor,242,"PM
2.5",1,2019-02-11
Sonipat,Poor,257,"PM
2.5",1,2019-02-12
Sonipat,Poor,279,"PM
2.5",1,2019-02-13
Sonipat,Very Poor,327,"PM
2.5",1,2019-02-14
Sonipat,Moderate,172,"PM
2.5",1,2019-02-16
Sonipat,Satisfactory,97,"PM
2.5",1,2019-02-17
Sonipat,Moderate,117,"PM
2.5",1,2019-02-18
Sonipat,Moderate,154,"PM
2.5",1,2019-02-19
Sonipat,Poor,238,"PM
2.5",1,2019-02-20
Sonipat,Moderate,106,CO,1,2019-02-21
Sonipat,Moderate,185,"PM
10",1,2019-02-22
Sonipat,Moderate,103,CO,1,2019-02-23
Sonipat,Moderate,103,CO,1,2019-02-24
Sonipat,Moderate,149,"PM
2.5",1,2019-02-25
Sonipat,Moderate,104,CO,1,2019-02-26
Sonipat,Moderate,102,CO,1,2019-02-27
Sonipat,Moderate,101,CO,1,2019-02-28
Sonipat,Satisfactory,100,CO,1,2019-03-01
Sonipat,Moderate,132,"PM
2.5",1,2019-03-02
Sonipat,Moderate,136,"PM
2.5",1,2019-03-03
Sonipat,Moderate,122,CO,1,2019-03-04
Sonipat,Moderate,120,CO,1,2019-03-05
Sonipat,Moderate,141,CO,1,2019-03-06
Sonipat,Moderate,133,"PM
10",1,2019-03-09
Sonipat,Satisfactory,80,"PM
10",1,2019-03-10
Sonipat,Moderate,119,"PM
10",1,2019-03-11
Sonipat,Moderate,109,"PM
10",1,2019-03-12
Sonipat,Moderate,127,"PM
10",1,2019-03-13
Sonipat,Moderate,171,"PM
2.5",1,2019-03-14
Sonipat,Moderate,105,"PM
10",1,2019-03-15
Sonipat,Satisfactory,76,"PM
10",1,2019-03-16
Sonipat,Satisfactory,87,"PM
10",1,2019-03-17
Sonipat,Moderate,104,"PM
2.5",1,2019-03-18
Sonipat,Moderate,119,"PM
2.5",1,2019-03-19
Sonipat,Poor,244,OZONE,1,2019-03-20
Sonipat,Moderate,172,"PM
2.5",1,2019-03-21
Sonipat,Satisfactory,85,"PM
10",1,2019-03-22
Sonipat,Satisfactory,79,"PM
10",1,2019-03-23
Sonipat,Satisfactory,74,"PM
10",1,2019-03-24
Sonipat,Satisfactory,87,"PM
10",1,2019-03-25
Sonipat,Moderate,109,"PM
2.5",1,2019-03-26
Sonipat,Satisfactory,91,"PM
10",1,2019-03-27
Sonipat,Moderate,133,"PM
2.5",1,2019-03-28
Sonipat,Moderate,161,"PM
2.5",1,2019-03-29
Sonipat,Moderate,182,"PM
2.5",1,2019-03-30
Sonipat,Moderate,141,"PM
2.5",1,2019-03-31
Sonipat,Moderate,105,"PM
10",1,2019-04-01
Sonipat,Moderate,130,"PM
10",1,2019-04-02
Sonipat,Moderate,109,OZONE,1,2019-04-03
Sonipat,Poor,250,OZONE,1,2019-04-04
Sonipat,Poor,205,"PM
2.5",1,2019-04-05
Sonipat,Moderate,190,"PM
2.5",1,2019-04-06
Sonipat,Poor,296,"PM
2.5",1,2019-04-08
Sonipat,Poor,206,"PM
2.5",1,2019-04-09
Sonipat,Moderate,198,"PM
2.5",1,2019-04-10
Sonipat,Moderate,127,"PM
10",1,2019-04-11
Sonipat,Moderate,142,"PM
10",1,2019-04-12
Sonipat,Moderate,126,"PM
10",1,2019-04-13
Sonipat,Moderate,128,"PM
10",1,2019-04-14
Sonipat,Moderate,137,"PM
10",1,2019-04-15
Sonipat,Moderate,123,"PM
10",1,2019-04-16
Sonipat,Satisfactory,81,"PM
10",1,2019-04-17
Sonipat,Satisfactory,77,OZONE,1,2019-04-18
Sonipat,Satisfactory,86,"PM
10",1,2019-04-19
Sonipat,Satisfactory,98,"PM
10",1,2019-04-20
Sonipat,Moderate,131,"PM
2.5",1,2019-04-21
Sonipat,Moderate,176,"PM
2.5",1,2019-04-22
Sonipat,Moderate,161,"PM
10",1,2019-04-23
Sonipat,Poor,226,"PM
2.5",1,2019-04-24
Sonipat,Poor,279,"PM
10",1,2019-04-25
Sonipat,Moderate,189,"PM
10",1,2019-04-26
Sonipat,Poor,260,"PM
10",1,2019-04-27
Sonipat,Poor,265,"PM
10",1,2019-04-28
Sonipat,Poor,215,"PM
10",1,2019-04-29
Sonipat,Poor,277,"PM
2.5",1,2019-04-30
Sonipat,Poor,262,"PM
2.5",1,2019-05-01
Sonipat,Poor,247,"PM
2.5",1,2019-05-02
Sonipat,Moderate,152,OZONE,1,2019-05-03
Sonipat,Moderate,120,"PM
10",1,2019-05-04
Sonipat,Moderate,180,"PM
2.5",1,2019-05-05
Sonipat,Poor,237,"PM
2.5",1,2019-05-06
