City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Sri Vijaya Puram,Satisfactory,66,"O
3",1/1,2025-02-20
Sri Vijaya Puram,Satisfactory,67,"PM
10",1/1,2025-02-21
Sri Vijaya Puram,Moderate,131,"O
3",1/1,2025-02-22
Sri Vijaya Puram,Good,41,CO,1/1,2025-02-24
Sri Vijaya Puram,Satisfactory,87,"O
3",1/1,2025-02-25
Sri Vijaya Puram,Good,41,"O
3",1/1,2025-02-26
Sri Vijaya Puram,Good,38,CO,1/1,2025-02-28
Sri Vijaya Puram,Good,40,CO,1/1,2025-03-01
Sri Vijaya Puram,Satisfactory,59,"PM
2.5",1/1,2025-03-03
Sri Vijaya Puram,Good,34,"O
3",1/1,2025-03-04
Sri Vijaya Puram,Satisfactory,74,"PM
10",1/1,2025-03-05
Sri Vijaya Puram,Satisfactory,75,"PM
10",1/1,2025-03-06
Sri Vijaya Puram,Moderate,101,"PM
10",1/1,2025-03-07
Sri Vijaya Puram,Moderate,106,"PM
10",1/1,2025-03-08
Sri Vijaya Puram,Satisfactory,72,"PM
10",1/1,2025-03-09
Sri Vijaya Puram,Good,42,CO,1/1,2025-03-10
Sri Vijaya Puram,Satisfactory,54,"PM
10",1/1,2025-03-11
Sri Vijaya Puram,Satisfactory,56,"PM
10",1/1,2025-03-13
Sri Vijaya Puram,Satisfactory,63,"PM
10",1/1,2025-03-14
Sri Vijaya Puram,Satisfactory,68,"PM
10",1/1,2025-03-16
Sri Vijaya Puram,Satisfactory,75,"PM
10",1/1,2025-03-17
Sri Vijaya Puram,Satisfactory,68,"PM
10",1/1,2025-03-18
Sri Vijaya Puram,Satisfactory,71,"PM
10",1/1,2025-03-22
Sri Vijaya Puram,Satisfactory,72,"PM
10",1/1,2025-03-23
Sri Vijaya Puram,Satisfactory,89,"PM
10",1/1,2025-03-24
Sri Vijaya Puram,Satisfactory,63,"PM
10",1/1,2025-03-25
Sri Vijaya Puram,Satisfactory,78,"PM
10",1/1,2025-03-26
Sri Vijaya Puram,Good,37,CO,1/1,2025-03-27
Sri Vijaya Puram,Satisfactory,61,"PM
10",1/1,2025-03-28
Sri Vijaya Puram,Satisfactory,70,"PM
10",1/1,2025-03-29
Sri Vijaya Puram,Satisfactory,82,"PM
10",1/1,2025-03-30
Sri Vijaya Puram,Satisfactory,63,"PM
10",1/1,2025-03-31
Sri Vijaya Puram,Satisfactory,64,"PM
10",1/1,2025-04-01
Sri Vijaya Puram,Good,49,"NO
2",1/1,2025-04-02
Sri Vijaya Puram,Good,44,"PM
10",1/1,2025-04-03
Sri Vijaya Puram,Good,45,"PM
10",1/1,2025-04-04
Sri Vijaya Puram,Good,40,"PM
10",1/1,2025-04-05
Sri Vijaya Puram,Good,30,CO,1/1,2025-04-06
Sri Vijaya Puram,Good,24,"NO
2",1/1,2025-04-07
Sri Vijaya Puram,Good,23,"NO
2",1/1,2025-04-08
Sri Vijaya Puram,Satisfactory,65,"PM
2.5",1/1,2025-04-09
Sri Vijaya Puram,Satisfactory,88,"PM
10",1/1,2025-04-10
Sri Vijaya Puram,Good,28,CO,1/1,2025-04-11
Sri Vijaya Puram,Good,31,CO,1/1,2025-04-12
Sri Vijaya Puram,Moderate,150,"PM
10",1/1,2025-04-13
Sri Vijaya Puram,Satisfactory,68,"PM
10",1/1,2025-04-15
Sri Vijaya Puram,Good,28,CO,1/1,2025-04-16
Sri Vijaya Puram,Good,44,"PM
10",1/1,2025-04-17
Sri Vijaya Puram,Good,45,"PM
10",1/1,2025-04-20
Sri Vijaya Puram,Good,33,CO,1/1,2025-04-21
Sri Vijaya Puram,Good,28,"PM
10",1/1,2025-04-22
Sri Vijaya Puram,Satisfactory,65,"PM
10",1/1,2025-04-23
Sri Vijaya Puram,Good,28,"PM
10",1/1,2025-04-24
Sri Vijaya Puram,Good,25,"NO
2",1/1,2025-04-25
Sri Vijaya Puram,Good,43,"PM
10",1/1,2025-04-26
Sri Vijaya Puram,Good,22,"NO
2",1/1,2025-04-27
Sri Vijaya Puram,Good,40,"PM
10",1/1,2025-04-28
Sri Vijaya Puram,Satisfactory,53,"PM
10",1/1,2025-04-29
Sri Vijaya Puram,Satisfactory,59,"O
3",1/1,2025-05-15
Sri Vijaya Puram,Satisfactory,52,"NO
2",1/1,2025-05-16
Sri Vijaya Puram,Satisfactory,80,"O
3",1/1,2025-05-17
Sri Vijaya Puram,Good,45,"NO
2",1/1,2025-05-19
Sri Vijaya Puram,Good,48,"NO
2",1/1,2025-05-20
Sri Vijaya Puram,Good,42,"NO
2",1/1,2025-05-21
Sri Vijaya Puram,Very Poor,318,"O
3",1/1,2025-05-22
Sri Vijaya Puram,Good,29,"PM
10",1/1,2025-05-23
Sri Vijaya Puram,Good,29,"PM
10",1/1,2025-05-24
Sri Vijaya Puram,Good,22,"PM
10",1/1,2025-05-25
Sri Vijaya Puram,Good,47,"PM
2.5",1/1,2025-05-27
