City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Suakati,Moderate,123,"PM
2.5",1,2022-11-27
Suakati,Moderate,186,"O
3",1,2022-11-28
Suakati,Poor,231,"PM
2.5",1,2022-11-29
Suakati,Poor,231,"PM
2.5",1,2022-11-30
Suakati,Moderate,177,"PM
2.5",1,2022-12-01
Suakati,Poor,220,"PM
2.5",1,2022-12-02
Suakati,Poor,251,"PM
2.5",1,2022-12-03
Suakati,Poor,256,"PM
2.5",1,2022-12-04
Suakati,Poor,294,"PM
2.5",1,2022-12-05
Suakati,Poor,267,"PM
2.5",1,2022-12-06
Suakati,Poor,249,"PM
2.5",1,2022-12-07
Suakati,Poor,217,"PM
2.5",1,2022-12-08
Suakati,Poor,263,"PM
2.5",1,2022-12-09
Suakati,Poor,263,"PM
2.5",1,2022-12-10
Suakati,Poor,250,"PM
2.5",1,2022-12-11
Suakati,Moderate,168,"PM
2.5",1,2022-12-12
Suakati,Moderate,145,"PM
2.5",1,2022-12-13
Suakati,Moderate,137,"PM
2.5",1,2022-12-14
Suakati,Moderate,111,"PM
10",1,2022-12-15
Suakati,Satisfactory,96,"PM
10",1,2022-12-16
Suakati,Moderate,130,"PM
10",1,2022-12-17
Suakati,Moderate,140,"PM
2.5",1,2022-12-18
Suakati,Poor,206,"PM
2.5",1,2022-12-19
Suakati,Moderate,166,"PM
2.5",1,2022-12-20
Suakati,Moderate,183,"PM
2.5",1,2022-12-21
Suakati,Moderate,185,"PM
2.5",1,2022-12-22
Suakati,Moderate,138,"PM
10",1,2022-12-24
Suakati,Moderate,103,"PM
10",1,2022-12-25
Suakati,Satisfactory,89,"PM
10",1,2022-12-26
Suakati,Satisfactory,75,"PM
10",1,2022-12-27
Suakati,Moderate,137,"PM
2.5",1,2022-12-28
Suakati,Moderate,177,"PM
2.5",1,2022-12-29
Suakati,Satisfactory,94,"PM
10",1,2022-12-30
Suakati,Moderate,119,"O
3",1,2022-12-31
Suakati,Moderate,197,"PM
2.5",1,2023-01-01
Suakati,Poor,255,"PM
2.5",1,2023-01-02
Suakati,Poor,286,"PM
2.5",1,2023-01-03
Suakati,Poor,288,"PM
2.5",1,2023-01-04
Suakati,Poor,225,"PM
2.5",1,2023-01-06
Suakati,Moderate,115,"PM
10",1,2023-01-07
Suakati,Moderate,125,"PM
10",1,2023-01-08
Suakati,Moderate,118,"PM
10",1,2023-01-09
Suakati,Moderate,114,"PM
2.5",1,2023-01-10
Suakati,Moderate,178,"O
3",1,2023-01-12
Suakati,Poor,267,"O
3",1,2023-01-13
Suakati,Moderate,160,"O
3",1,2023-01-14
Suakati,Moderate,124,"PM
10",1,2023-01-15
Suakati,Moderate,129,"PM
10",1,2023-01-16
Suakati,Poor,228,"PM
2.5",1,2023-01-17
Suakati,Poor,267,"PM
2.5",1,2023-01-18
Suakati,Poor,286,"PM
2.5",1,2023-01-19
Suakati,Poor,295,"PM
2.5",1,2023-01-20
Suakati,Very Poor,309,"PM
2.5",1,2023-01-22
Suakati,Poor,233,"PM
2.5",1,2023-01-23
Suakati,Poor,236,"PM
2.5",1,2023-01-24
Suakati,Moderate,161,"PM
10",1,2023-01-25
Suakati,Moderate,193,"PM
2.5",1,2023-01-26
Suakati,Poor,252,"PM
2.5",1,2023-01-27
Suakati,Poor,294,"PM
2.5",1,2023-01-28
Suakati,Poor,268,"PM
2.5",1,2023-01-29
Suakati,Poor,227,"PM
2.5",1,2023-01-30
Suakati,Moderate,174,"PM
2.5",1,2023-01-31
Suakati,Moderate,128,"PM
2.5",1,2023-02-01
Suakati,Moderate,127,"PM
10",1,2023-02-02
Suakati,Moderate,101,"PM
10",1,2023-02-03
Suakati,Moderate,114,"PM
10",1,2023-02-04
Suakati,Satisfactory,97,"PM
10",1,2023-02-05
Suakati,Satisfactory,97,"PM
10",1,2023-02-06
Suakati,Moderate,130,"PM
2.5",1,2023-02-07
Suakati,Moderate,193,"PM
2.5",1,2023-02-08
Suakati,Moderate,136,"PM
10",1,2023-02-09
Suakati,Moderate,121,"PM
10",1,2023-02-10
Suakati,Moderate,122,"O
3",1,2023-02-11
Suakati,Moderate,123,"PM
10",1,2023-02-12
Suakati,Satisfactory,99,"PM
10",1,2023-02-13
Suakati,Moderate,124,"PM
10",1,2023-02-14
Suakati,Moderate,110,"PM
10",1,2023-02-15
Suakati,Moderate,115,"PM
2.5",1,2023-02-16
Suakati,Moderate,188,"PM
2.5",1,2023-02-17
Suakati,Moderate,118,"PM
2.5",1,2023-02-18
Suakati,Moderate,153,"PM
2.5",1,2023-02-19
Suakati,Moderate,138,"PM
2.5",1,2023-02-20
Suakati,Moderate,147,"PM
2.5",1,2023-02-21
Suakati,Moderate,149,"PM
2.5",1,2023-02-22
Suakati,Moderate,152,"PM
2.5",1,2023-02-23
Suakati,Moderate,158,"PM
2.5",1,2023-02-24
Suakati,Moderate,110,"PM
10",1,2023-02-25
Suakati,Moderate,151,"PM
2.5",1,2023-02-26
Suakati,Moderate,150,"PM
2.5",1,2023-02-28
Suakati,Moderate,196,"PM
2.5",1,2023-03-01
Suakati,Moderate,184,"PM
2.5",1,2023-03-02
Suakati,Moderate,187,"PM
2.5",1,2023-03-03
Suakati,Moderate,135,"PM
10",1,2023-03-04
Suakati,Moderate,124,"PM
10",1,2023-03-05
Suakati,Moderate,142,"PM
2.5",1,2023-03-06
Suakati,Moderate,151,"O
3",1,2023-03-07
Suakati,Moderate,181,"PM
2.5",1,2023-03-08
Suakati,Poor,233,"PM
2.5",1,2023-03-09
Suakati,Poor,205,"PM
2.5",1,2023-03-10
Suakati,Moderate,185,"PM
2.5",1,2023-03-11
Suakati,Poor,238,"PM
2.5",1,2023-03-13
Suakati,Poor,256,"PM
2.5",1,2023-03-14
Suakati,Moderate,171,"PM
2.5",1,2023-03-15
Suakati,Moderate,139,"PM
2.5",1,2023-03-16
Suakati,Moderate,162,"PM
2.5",1,2023-03-17
Suakati,Moderate,178,"PM
2.5",1,2023-03-18
Suakati,Satisfactory,84,"PM
10",1,2023-03-19
Suakati,Satisfactory,74,"O
3",1,2023-03-20
Suakati,Satisfactory,55,"O
3",1,2023-03-21
Suakati,Satisfactory,71,"O
3",1,2023-03-22
Suakati,Satisfactory,78,"O
3",1,2023-03-23
Suakati,Satisfactory,92,"PM
10",1,2023-03-24
Suakati,Satisfactory,88,"PM
2.5",1,2023-03-25
Suakati,Satisfactory,97,"PM
2.5",1,2023-03-26
Suakati,Satisfactory,100,"PM
10",1,2023-03-27
Suakati,Moderate,106,"PM
10",1,2023-03-28
Suakati,Satisfactory,83,"PM
10",1,2023-03-29
Suakati,Satisfactory,88,"PM
2.5",1,2023-03-30
Suakati,Satisfactory,81,"PM
2.5",1,2023-03-31
Suakati,Good,48,"O
3",1,2023-04-01
Suakati,Satisfactory,55,"PM
10",1,2023-04-02
Suakati,Satisfactory,75,"PM
10",1,2023-04-03
Suakati,Satisfactory,100,"PM
10",1,2023-04-04
Suakati,Satisfactory,97,"PM
10",1,2023-04-05
Suakati,Moderate,128,"PM
10",1,2023-04-06
Suakati,Moderate,113,"PM
10",1,2023-04-07
Suakati,Moderate,165,"PM
2.5",1,2023-04-08
Suakati,Moderate,112,"PM
2.5",1,2023-04-09
Suakati,Moderate,144,"PM
2.5",1,2023-04-10
Suakati,Moderate,148,"PM
2.5",1,2023-04-11
Suakati,Moderate,130,"PM
2.5",1,2023-04-12
Suakati,Moderate,137,"PM
10",1,2023-04-13
Suakati,Poor,208,"PM
2.5",1,2023-04-14
Suakati,Poor,218,"PM
2.5",1,2023-04-15
Suakati,Poor,216,"PM
2.5",1,2023-04-16
Suakati,Moderate,200,"PM
2.5",1,2023-04-17
Suakati,Poor,201,"PM
2.5",1,2023-04-18
Suakati,Moderate,154,"PM
2.5",1,2023-04-19
Suakati,Moderate,142,"PM
2.5",1,2023-04-20
Suakati,Moderate,109,"PM
10",1,2023-04-21
Suakati,Satisfactory,73,"PM
10",1,2023-04-22
Suakati,Satisfactory,56,"PM
10",1,2023-04-23
Suakati,Satisfactory,57,"PM
10",1,2023-04-24
Suakati,Satisfactory,59,"PM
10",1,2023-04-25
Suakati,Satisfactory,72,"O
3",1,2023-04-26
Suakati,Satisfactory,58,"O
3",1,2023-04-27
Suakati,Satisfactory,79,"PM
10",1,2023-04-28
Suakati,Satisfactory,65,"O
3",1,2023-04-29
Suakati,Satisfactory,73,"PM
10",1,2023-04-30
Suakati,Satisfactory,61,"PM
10",1,2023-05-01
Suakati,Good,40,"PM
10",1,2023-05-02
Suakati,Satisfactory,61,"PM
10",1,2023-05-03
Suakati,Good,37,"PM
10",1,2023-05-04
Suakati,Good,46,"PM
10",1,2023-05-05
Suakati,Satisfactory,80,"PM
10",1,2023-05-06
Suakati,Satisfactory,94,"PM
10",1,2023-05-07
Suakati,Satisfactory,97,"PM
10",1,2023-05-08
Suakati,Moderate,111,"PM
10",1,2023-05-09
Suakati,Moderate,104,"PM
10",1,2023-05-10
Suakati,Moderate,153,"O
3",1,2023-05-11
Suakati,Satisfactory,98,"PM
10",1,2023-05-12
Suakati,Satisfactory,96,"PM
10",1,2023-05-13
Suakati,Moderate,130,"PM
10",1,2023-05-15
Suakati,Moderate,118,"PM
10",1,2023-05-16
Suakati,Satisfactory,84,"PM
10",1,2023-05-17
Suakati,Satisfactory,92,"PM
10",1,2023-05-18
Suakati,Moderate,101,"PM
10",1,2023-05-19
Suakati,Satisfactory,88,"PM
10",1,2023-05-20
Suakati,Satisfactory,85,"PM
10",1,2023-05-23
Suakati,Moderate,103,"PM
10",1,2023-05-24
Suakati,Satisfactory,85,"PM
10",1,2023-05-25
Suakati,Satisfactory,86,"PM
10",1,2023-05-26
Suakati,Satisfactory,84,"PM
10",1,2023-05-27
