City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Surat,Poor,251,"PM
2.5",1,2022-11-04
Surat,Poor,247,"PM
2.5",1,2022-11-05
Surat,Poor,247,"PM
2.5",1,2022-11-06
Surat,Poor,299,"PM
2.5",1,2022-11-09
Surat,Poor,224,"PM
2.5",1,2022-11-10
Surat,Poor,213,"PM
2.5",1,2022-11-11
Surat,Moderate,142,"PM
10",1,2022-11-12
Surat,Moderate,154,"PM
10",1,2022-11-13
Surat,Moderate,154,"PM
10",1,2022-11-14
Surat,Moderate,154,"PM
10",1,2022-11-15
Surat,Moderate,154,"PM
10",1,2022-11-16
Surat,Moderate,154,"PM
10",1,2022-11-17
Surat,Moderate,154,"PM
10",1,2022-11-18
Surat,Moderate,154,"PM
10",1,2022-11-19
Surat,Moderate,188,"PM
2.5",1,2022-11-20
Surat,Poor,209,"PM
2.5",1,2022-11-21
Surat,Poor,274,"PM
2.5",1,2022-11-23
Surat,Moderate,196,"PM
2.5",1,2022-11-24
Surat,Poor,210,"PM
2.5",1,2022-11-25
Surat,Poor,211,"PM
2.5",1,2022-11-26
Surat,Moderate,165,"PM
2.5",1,2022-11-27
Surat,Poor,259,"PM
2.5",1,2022-11-28
Surat,Poor,231,"PM
2.5",1,2022-11-29
Surat,Moderate,179,"PM
2.5",1,2022-11-30
Surat,Poor,254,"PM
2.5",1,2022-12-01
Surat,Poor,243,"PM
2.5",1,2022-12-02
Surat,Poor,293,"PM
2.5",1,2022-12-03
Surat,Poor,281,"PM
2.5",1,2022-12-04
Surat,Poor,273,"PM
2.5",1,2022-12-05
Surat,Very Poor,325,"PM
2.5",1,2022-12-06
Surat,Very Poor,342,"PM
2.5",1,2022-12-07
Surat,Poor,280,"PM
2.5",1,2022-12-08
Surat,Moderate,158,"PM
2.5",1,2022-12-09
Surat,Moderate,188,"PM
2.5",1,2022-12-10
Surat,Poor,222,"PM
2.5",1,2022-12-11
Surat,Poor,278,"PM
2.5",1,2022-12-12
Surat,Poor,264,"PM
2.5",1,2022-12-13
Surat,Moderate,184,"PM
2.5",1,2022-12-14
Surat,Moderate,159,"PM
2.5",1,2022-12-15
Surat,Poor,258,"PM
2.5",1,2022-12-16
Surat,Poor,287,"PM
2.5",1,2022-12-17
Surat,Moderate,156,"PM
2.5",1,2022-12-18
Surat,Moderate,147,"PM
2.5",1,2022-12-19
Surat,Poor,201,"PM
2.5",1,2022-12-21
Surat,Moderate,174,"PM
2.5",1,2022-12-22
Surat,Moderate,113,"PM
2.5",1,2022-12-23
Surat,Satisfactory,98,"PM
2.5",1,2022-12-24
Surat,Poor,280,"PM
2.5",1,2022-12-25
Surat,Very Poor,306,"PM
2.5",1,2022-12-26
Surat,Very Poor,313,"PM
2.5",1,2022-12-27
Surat,Very Poor,330,"PM
2.5",1,2022-12-28
Surat,Very Poor,321,"PM
2.5",1,2022-12-29
Surat,Poor,276,"PM
2.5",1,2022-12-30
Surat,Moderate,151,"PM
2.5",1,2022-12-31
Surat,Poor,207,"PM
2.5",1,2023-01-01
Surat,Poor,237,"PM
2.5",1,2023-01-02
Surat,Poor,274,"PM
2.5",1,2023-01-03
Surat,Moderate,172,"PM
2.5",1,2023-01-04
Surat,Moderate,191,"PM
2.5",1,2023-01-05
Surat,Very Poor,334,"PM
2.5",1,2023-01-06
Surat,Very Poor,332,"PM
2.5",1,2023-01-07
Surat,Poor,261,"PM
2.5",1,2023-01-08
Surat,Moderate,156,"PM
2.5",1,2023-01-09
Surat,Moderate,188,"PM
2.5",1,2023-01-10
Surat,Moderate,170,"PM
2.5",1,2023-01-12
Surat,Moderate,150,"PM
2.5",1,2023-01-13
Surat,Moderate,190,"PM
2.5",1,2023-01-14
Surat,Poor,211,"PM
2.5",1,2023-01-15
Surat,Moderate,199,"PM
2.5",1,2023-01-16
Surat,Poor,248,"PM
2.5",1,2023-01-17
Surat,Poor,253,"PM
2.5",1,2023-01-18
Surat,Poor,299,"PM
2.5",1,2023-01-19
Surat,Very Poor,340,"PM
2.5",1,2023-01-20
Surat,Moderate,131,"PM
2.5",1,2023-01-22
Surat,Moderate,155,"PM
2.5",1,2023-01-23
Surat,Poor,231,"PM
2.5",1,2023-01-24
Surat,Poor,254,"PM
2.5",1,2023-01-25
Surat,Poor,223,"PM
2.5",1,2023-01-26
Surat,Poor,203,"PM
2.5",1,2023-01-27
Surat,Moderate,115,"PM
10",1,2023-01-28
Surat,Moderate,143,"PM
10",1,2023-02-04
Surat,Poor,232,"PM
2.5",1,2023-02-05
Surat,Poor,216,"PM
2.5",1,2023-02-06
Surat,Moderate,132,"PM
2.5",1,2023-02-07
Surat,Moderate,185,"PM
2.5",1,2023-02-08
Surat,Moderate,194,"PM
2.5",1,2023-02-09
Surat,Poor,241,"PM
2.5",1,2023-02-10
Surat,Moderate,194,"PM
2.5",1,2023-02-11
Surat,Moderate,135,"PM
2.5",1,2023-02-12
Surat,Moderate,114,"PM
10",1,2023-02-13
Surat,Moderate,137,"PM
2.5",1,2023-02-14
Surat,Poor,201,"PM
2.5",1,2023-02-15
Surat,Poor,223,"PM
2.5",1,2023-02-16
Surat,Moderate,178,"PM
2.5",1,2023-02-17
Surat,Moderate,198,"PM
2.5",1,2023-02-18
Surat,Moderate,193,"PM
2.5",1,2023-02-19
Surat,Poor,247,"PM
2.5",1,2023-02-20
Surat,Poor,270,"PM
2.5",1,2023-02-21
Surat,Moderate,195,"PM
2.5",1,2023-02-22
Surat,Poor,204,"PM
2.5",1,2023-02-23
Surat,Moderate,193,"PM
2.5",1,2023-02-24
Surat,Poor,222,"PM
2.5",1,2023-02-25
Surat,Poor,225,"PM
2.5",1,2023-02-26
Surat,Moderate,161,"PM
2.5",1,2023-02-28
Surat,Moderate,196,"PM
2.5",1,2023-03-01
Surat,Poor,208,"PM
2.5",1,2023-03-02
Surat,Poor,259,"PM
2.5",1,2023-03-03
Surat,Very Poor,306,"PM
2.5",1,2023-03-04
Surat,Poor,245,"PM
2.5",1,2023-03-05
Surat,Moderate,149,"PM
2.5",1,2023-03-08
Surat,Moderate,135,"PM
2.5",1,2023-03-09
Surat,Satisfactory,93,"PM
2.5",1,2023-03-10
Surat,Moderate,118,"PM
2.5",1,2023-03-11
Surat,Moderate,158,"PM
2.5",1,2023-03-12
Surat,Moderate,178,"PM
2.5",1,2023-03-13
Surat,Moderate,131,"PM
2.5",1,2023-03-14
Surat,Poor,212,"PM
2.5",1,2023-03-15
Surat,Moderate,118,"PM
2.5",1,2023-03-16
Surat,Moderate,189,"PM
2.5",1,2023-03-17
Surat,Moderate,158,"PM
2.5",1,2023-03-18
Surat,Moderate,127,"PM
2.5",1,2023-03-19
Surat,Satisfactory,80,CO,1,2023-03-20
Surat,Satisfactory,79,CO,1,2023-03-21
Surat,Satisfactory,66,CO,1,2023-03-22
Surat,Satisfactory,95,CO,1,2023-03-26
Surat,Satisfactory,87,CO,1,2023-03-27
Surat,Moderate,110,"PM
2.5",1,2023-03-28
Surat,Satisfactory,99,"PM
2.5",1,2023-03-29
Surat,Satisfactory,81,CO,1,2023-03-30
Surat,Satisfactory,78,CO,1,2023-03-31
Surat,Satisfactory,81,CO,1,2023-04-01
Surat,Satisfactory,87,CO,1,2023-04-02
Surat,Satisfactory,82,CO,1,2023-04-03
Surat,Satisfactory,84,CO,1,2023-04-04
Surat,Satisfactory,87,"PM
2.5",1,2023-04-05
Surat,Satisfactory,85,"PM
2.5",1,2023-04-06
Surat,Moderate,110,"PM
2.5",1,2023-04-07
Surat,Satisfactory,90,CO,1,2023-04-08
Surat,Satisfactory,90,CO,1,2023-04-09
Surat,Satisfactory,83,CO,1,2023-04-10
Surat,Satisfactory,87,CO,1,2023-04-11
Surat,Satisfactory,80,CO,1,2023-04-12
Surat,Satisfactory,87,CO,1,2023-04-13
Surat,Satisfactory,96,"PM
10",1,2023-04-14
Surat,Satisfactory,78,CO,1,2023-04-15
Surat,Satisfactory,83,CO,1,2023-04-16
Surat,Satisfactory,74,CO,1,2023-04-18
Surat,Satisfactory,77,CO,1,2023-04-29
Surat,Satisfactory,80,CO,1,2023-04-30
Surat,Satisfactory,74,CO,1,2023-05-01
Surat,Satisfactory,74,CO,1,2023-05-02
Surat,Satisfactory,76,CO,1,2023-05-03
Surat,Satisfactory,77,CO,1,2023-05-06
Surat,Satisfactory,77,CO,1,2023-05-07
Surat,Satisfactory,77,CO,1,2023-05-08
Surat,Satisfactory,77,CO,1,2023-05-09
Surat,Satisfactory,88,"PM
10",1,2023-05-10
Surat,Satisfactory,93,"PM
10",1,2023-05-11
Surat,Satisfactory,79,CO,1,2023-05-12
Surat,Satisfactory,65,CO,1,2023-05-13
Surat,Satisfactory,72,CO,1,2023-05-14
Surat,Satisfactory,65,CO,1,2023-05-15
