City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Tensa,Moderate,116,"NO
2",1,2022-11-27
Tensa,Moderate,140,"PM
2.5",1,2022-11-28
Tensa,Poor,220,"PM
2.5",1,2022-11-29
Tensa,Moderate,190,"PM
2.5",1,2022-11-30
Tensa,Moderate,185,"PM
2.5",1,2022-12-02
Tensa,Moderate,194,"PM
2.5",1,2022-12-03
Tensa,Poor,259,"PM
2.5",1,2022-12-04
Tensa,Poor,240,"PM
2.5",1,2022-12-05
Tensa,Moderate,175,"PM
2.5",1,2022-12-09
Tensa,Satisfactory,79,"PM
10",1,2022-12-13
Tensa,Satisfactory,79,"PM
10",1,2022-12-14
Tensa,Satisfactory,79,"PM
10",1,2022-12-15
Tensa,Satisfactory,65,"PM
10",1,2022-12-16
Tensa,Satisfactory,82,"PM
10",1,2022-12-17
Tensa,Moderate,105,"PM
10",1,2022-12-18
Tensa,Moderate,156,"PM
2.5",1,2022-12-19
Tensa,Satisfactory,82,"PM
10",1,2022-12-20
Tensa,Satisfactory,87,"PM
10",1,2022-12-21
Tensa,Moderate,144,"PM
2.5",1,2022-12-22
Tensa,Moderate,110,"PM
10",1,2022-12-23
Tensa,Satisfactory,83,"PM
10",1,2022-12-24
Tensa,Satisfactory,55,"PM
10",1,2022-12-25
Tensa,Satisfactory,85,"PM
10",1,2022-12-30
Tensa,Satisfactory,85,"PM
2.5",1,2022-12-31
Tensa,Moderate,152,"PM
2.5",1,2023-01-01
Tensa,Poor,240,"PM
2.5",1,2023-01-02
Tensa,Poor,295,"PM
2.5",1,2023-01-03
Tensa,Poor,279,"PM
2.5",1,2023-01-04
Tensa,Very Poor,325,"PM
2.5",1,2023-01-05
Tensa,Poor,250,"PM
2.5",1,2023-01-06
Tensa,Satisfactory,72,"PM
10",1,2023-01-10
Tensa,Satisfactory,90,"PM
2.5",1,2023-01-12
Tensa,Moderate,192,"PM
2.5",1,2023-01-17
Tensa,Poor,251,"PM
2.5",1,2023-01-18
Tensa,Poor,281,"PM
2.5",1,2023-01-19
Tensa,Poor,287,"PM
2.5",1,2023-01-20
Tensa,Moderate,155,"PM
2.5",1,2023-01-23
Tensa,Satisfactory,100,"PM
2.5",1,2023-01-24
Tensa,Satisfactory,80,"PM
2.5",1,2023-01-25
Tensa,Moderate,113,"PM
2.5",1,2023-01-26
Tensa,Moderate,169,"PM
2.5",1,2023-01-27
Tensa,Poor,224,"PM
2.5",1,2023-01-28
Tensa,Moderate,180,"PM
2.5",1,2023-01-29
Tensa,Moderate,143,"PM
2.5",1,2023-01-30
Tensa,Moderate,115,"PM
10",1,2023-01-31
Tensa,Moderate,105,"PM
10",1,2023-02-01
Tensa,Satisfactory,72,"PM
10",1,2023-02-02
Tensa,Satisfactory,79,"PM
10",1,2023-02-03
Tensa,Satisfactory,74,"PM
10",1,2023-02-04
Tensa,Satisfactory,86,"PM
10",1,2023-02-05
Tensa,Satisfactory,68,"PM
10",1,2023-02-06
Tensa,Satisfactory,85,"PM
10",1,2023-02-07
Tensa,Satisfactory,87,"PM
10",1,2023-02-08
Tensa,Moderate,101,"PM
10",1,2023-02-09
Tensa,Satisfactory,98,"PM
10",1,2023-02-11
Tensa,Satisfactory,91,"PM
10",1,2023-02-12
Tensa,Moderate,102,"PM
10",1,2023-02-13
Tensa,Moderate,109,"PM
10",1,2023-02-14
Tensa,Moderate,101,"PM
10",1,2023-02-15
Tensa,Moderate,114,"PM
10",1,2023-02-16
Tensa,Moderate,104,"PM
10",1,2023-02-19
Tensa,Moderate,147,"PM
2.5",1,2023-02-20
Tensa,Moderate,106,"PM
10",1,2023-02-21
Tensa,Moderate,111,"PM
2.5",1,2023-02-22
Tensa,Satisfactory,100,"PM
10",1,2023-02-23
Tensa,Moderate,121,"PM
10",1,2023-02-24
Tensa,Moderate,114,"PM
10",1,2023-02-25
Tensa,Moderate,103,"PM
10",1,2023-02-26
Tensa,Moderate,112,"PM
10",1,2023-02-27
Tensa,Moderate,106,"PM
10",1,2023-02-28
Tensa,Moderate,113,"PM
10",1,2023-03-01
Tensa,Moderate,146,"PM
2.5",1,2023-03-02
Tensa,Satisfactory,91,"PM
10",1,2023-03-05
Tensa,Moderate,196,"PM
2.5",1,2023-03-11
Tensa,Poor,223,"PM
2.5",1,2023-03-12
Tensa,Poor,261,"PM
2.5",1,2023-03-13
Tensa,Very Poor,337,"PM
2.5",1,2023-03-14
Tensa,Poor,245,"PM
2.5",1,2023-03-16
Tensa,Poor,248,"PM
2.5",1,2023-03-17
Tensa,Poor,212,"PM
2.5",1,2023-03-18
Tensa,Satisfactory,79,"PM
10",1,2023-03-19
Tensa,Good,39,"PM
10",1,2023-03-20
Tensa,Good,39,"PM
10",1,2023-03-21
Tensa,Satisfactory,57,"PM
10",1,2023-03-22
Tensa,Satisfactory,60,"PM
10",1,2023-03-23
Tensa,Satisfactory,87,"PM
10",1,2023-03-24
Tensa,Satisfactory,87,"PM
2.5",1,2023-03-25
Tensa,Satisfactory,85,"PM
10",1,2023-03-26
Tensa,Satisfactory,100,"PM
2.5",1,2023-03-27
Tensa,Satisfactory,85,"PM
10",1,2023-03-28
