City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Thane,Good,38,"PM
10",1,2016-09-01
Thane,Good,40,CO,1,2016-09-02
Thane,Good,41,CO,1,2016-09-03
Thane,Satisfactory,59,"PM
10",1,2016-09-04
Thane,Good,48,"PM
10",1,2016-09-05
Thane,Good,46,"PM
10",1,2016-09-06
Thane,Good,45,"PM
10",1,2016-09-07
Thane,Good,48,CO,1,2016-09-08
Thane,Good,49,"PM
10",1,2016-09-09
Thane,Good,40,CO,1,2016-09-10
Thane,Good,47,"PM
10",1,2016-09-13
Thane,Good,45,CO,1,2016-09-14
Thane,Good,39,CO,1,2016-09-15
Thane,Good,39,"O
3",1,2016-09-16
Thane,Good,38,CO,1,2016-09-17
Thane,Good,44,CO,1,2016-09-18
Thane,Good,40,CO,1,2016-09-19
Thane,Satisfactory,66,CO,1,2016-09-20
Thane,Good,50,CO,1,2016-09-21
Thane,Good,45,CO,1,2016-09-22
Thane,Good,40,CO,1,2016-09-23
Thane,Good,47,CO,1,2016-09-24
Thane,Satisfactory,52,"O
3",1,2016-09-25
Thane,Good,45,CO,1#,2016-09-26
Thane,Good,38,CO,1,2016-09-27
Thane,Good,49,"PM
10",1,2016-09-29
Thane,Satisfactory,53,"PM
10",1,2016-09-30
Thane,Good,45,CO,1,2016-10-01
Thane,Good,47,"PM
10",1,2016-10-02
Thane,Good,41,CO,1,2016-10-03
Thane,Good,42,CO,1,2016-10-04
Thane,Good,48,"PM
10",1,2016-10-05
Thane,Good,50,"PM
10",1,2016-10-06
Thane,Good,48,"PM
10",1,2016-10-07
Thane,Satisfactory,56,"PM
10",1,2016-10-08
Thane,Satisfactory,58,"PM
10",1,2016-10-09
Thane,Satisfactory,67,"PM
10",1,2016-10-10
Thane,Satisfactory,81,"PM
10",1,2016-10-11
Thane,Satisfactory,71,"PM
10",1,2016-10-12
Thane,Satisfactory,79,"PM
10",1,2016-10-13
