City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Thanjavur,Good,28,"PM
10",1/1,2024-10-09
Thanjavur,Good,24,"PM
10",1/1,2024-10-10
Thanjavur,Good,41,"PM
10",1/1,2024-10-11
Thanjavur,Good,35,"PM
10",1/1,2024-10-13
Thanjavur,Good,30,"PM
10",1/1,2024-10-14
Thanjavur,Good,36,"PM
10",1/1,2024-10-15
Thanjavur,Good,33,"PM
10",1/1,2024-10-16
Thanjavur,Good,31,"PM
10",1/1,2024-10-17
Thanjavur,Good,26,"PM
10",1/1,2024-10-18
Thanjavur,Good,28,"PM
10",1/1,2024-10-19
Thanjavur,Good,31,"PM
10",1/1,2024-10-20
Thanjavur,Good,29,"PM
10",1/1,2024-10-21
Thanjavur,Good,33,"PM
10",1/1,2024-10-22
Thanjavur,Good,35,"PM
10",1/1,2024-10-23
Thanjavur,Good,39,"PM
10",1/1,2024-10-25
Thanjavur,Good,44,"PM
10",1/1,2024-10-26
Thanjavur,Good,45,"PM
10",1/1,2024-10-27
Thanjavur,Good,49,"PM
10",1/1,2024-10-28
Thanjavur,Satisfactory,52,"PM
10",1/1,2024-10-29
Thanjavur,Satisfactory,57,"PM
10",1/1,2024-10-30
Thanjavur,Satisfactory,79,"PM
2.5",1/1,2024-10-31
Thanjavur,Moderate,140,"PM
2.5",1/1,2024-11-01
Thanjavur,Good,45,"PM
10",1/1,2024-11-02
Thanjavur,Good,50,"PM
10",1/1,2024-11-03
Thanjavur,Good,41,"PM
10",1/1,2024-11-05
Thanjavur,Good,41,"PM
10",1/1,2024-11-06
Thanjavur,Good,35,"PM
10",1/1,2024-11-07
Thanjavur,Good,39,"PM
10",1/1,2024-11-08
Thanjavur,Good,33,"PM
10",1/1,2024-11-09
Thanjavur,Good,39,"PM
10",1/1,2024-11-10
Thanjavur,Good,40,"PM
10",1/1,2024-11-11
Thanjavur,Good,34,"PM
10",1/1,2024-11-12
Thanjavur,Good,34,"PM
10",1/1,2024-11-13
Thanjavur,Good,40,"PM
10",1/1,2024-11-14
Thanjavur,Good,43,"PM
10",1/1,2024-11-15
Thanjavur,Good,39,"PM
10",1/1,2024-11-16
Thanjavur,Good,45,"PM
10",1/1,2024-11-17
Thanjavur,Good,43,"PM
10",1/1,2024-11-18
Thanjavur,Good,30,"PM
10",1/1,2024-11-19
Thanjavur,Good,42,"PM
10",1/1,2024-11-20
Thanjavur,Good,44,"PM
10",1/1,2024-11-21
Thanjavur,Good,48,"PM
10",1/1,2024-11-22
Thanjavur,Good,49,"PM
10",1/1,2024-11-23
Thanjavur,Good,50,"PM
10",1/1,2024-11-24
