City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Thiruvananthapuram,Good,50,"PM
10",1,2017-07-13
Thiruvananthapuram,Good,42,"PM
10",1,2017-07-14
Thiruvananthapuram,Satisfactory,62,"PM
10",1,2017-07-15
Thiruvananthapuram,Good,48,"PM
10",1,2017-07-16
Thiruvananthapuram,Good,50,"PM
10",1,2017-07-17
Thiruvananthapuram,Satisfactory,55,"PM
10",1,2017-07-18
Thiruvananthapuram,Good,43,"PM
10",1,2017-07-19
Thiruvananthapuram,Good,41,"PM
10",1,2017-07-20
Thiruvananthapuram,Satisfactory,54,"PM
10",1,2017-07-25
Thiruvananthapuram,Satisfactory,52,"PM
10",1,2017-07-27
Thiruvananthapuram,Good,38,"PM
10",1,2017-07-28
Thiruvananthapuram,Good,33,"PM
10",1,2017-07-29
Thiruvananthapuram,Good,50,"PM
10",1#,2017-07-30
Thiruvananthapuram,Satisfactory,60,"PM
10",1,2017-07-31
Thiruvananthapuram,Good,37,CO,1,2017-08-01
Thiruvananthapuram,Good,50,"PM
10",1,2017-08-02
Thiruvananthapuram,Good,49,CO,1,2017-08-03
Thiruvananthapuram,Good,48,CO,1,2017-08-04
Thiruvananthapuram,Good,46,CO,1,2017-08-05
Thiruvananthapuram,Good,44,CO,1,2017-08-06
Thiruvananthapuram,Good,44,CO,1,2017-08-07
Thiruvananthapuram,Satisfactory,53,CO,1,2017-08-08
Thiruvananthapuram,Satisfactory,51,CO,1,2017-08-09
Thiruvananthapuram,Satisfactory,54,CO,1,2017-08-10
Thiruvananthapuram,Satisfactory,53,CO,1,2017-08-11
Thiruvananthapuram,Good,49,CO,1,2017-08-12
Thiruvananthapuram,Satisfactory,59,"PM
10",1,2017-08-13
Thiruvananthapuram,Satisfactory,76,"PM
10",1,2017-08-14
Thiruvananthapuram,Satisfactory,63,"PM
10",1#,2017-08-15
Thiruvananthapuram,Satisfactory,51,CO,1,2017-08-16
Thiruvananthapuram,Good,50,"PM
10",1,2017-08-17
Thiruvananthapuram,Satisfactory,52,CO,1,2017-08-18
Thiruvananthapuram,Good,44,CO,1,2017-08-19
Thiruvananthapuram,Good,45,CO,1,2017-08-20
Thiruvananthapuram,Good,49,CO,1,2017-08-21
Thiruvananthapuram,Satisfactory,52,CO,1,2017-08-22
Thiruvananthapuram,Good,47,CO,1,2017-08-23
Thiruvananthapuram,Moderate,161,"O
3",1,2017-08-24
Thiruvananthapuram,Satisfactory,60,"PM
10",1,2017-08-25
Thiruvananthapuram,Satisfactory,54,CO,1#,2017-08-26
Thiruvananthapuram,Good,49,CO,1,2017-08-27
Thiruvananthapuram,Good,47,CO,1#,2017-08-28
Thiruvananthapuram,Good,49,CO,1,2017-08-29
Thiruvananthapuram,Good,50,CO,1,2017-08-30
Thiruvananthapuram,Good,49,CO,1,2017-08-31
Thiruvananthapuram,Good,49,"PM
10",1,2017-09-01
Thiruvananthapuram,Satisfactory,57,CO,1,2017-09-02
Thiruvananthapuram,Good,48,CO,1,2017-09-03
Thiruvananthapuram,Good,44,"PM
10",1#,2017-09-04
Thiruvananthapuram,Good,49,"PM
10",1,2017-09-05
Thiruvananthapuram,Good,44,CO,1,2017-09-06
Thiruvananthapuram,Good,48,CO,1,2017-09-07
Thiruvananthapuram,Satisfactory,51,CO,1,2017-09-08
Thiruvananthapuram,Good,45,CO,1,2017-09-09
Thiruvananthapuram,Good,50,CO,1,2017-09-10
Thiruvananthapuram,Satisfactory,62,CO,1,2017-09-11
Thiruvananthapuram,Satisfactory,57,CO,1,2017-09-12
Thiruvananthapuram,Satisfactory,57,CO,1,2017-09-13
Thiruvananthapuram,Satisfactory,51,CO,1,2017-09-14
Thiruvananthapuram,Good,46,CO,1,2017-09-15
Thiruvananthapuram,Satisfactory,58,CO,1,2017-09-16
Thiruvananthapuram,Satisfactory,51,CO,1,2017-09-17
Thiruvananthapuram,Satisfactory,51,CO,1,2017-09-18
Thiruvananthapuram,Good,47,CO,1,2017-09-19
Thiruvananthapuram,Satisfactory,52,CO,1,2017-09-20
Thiruvananthapuram,Good,44,CO,1,2017-09-21
Thiruvananthapuram,Satisfactory,53,CO,1,2017-09-22
Thiruvananthapuram,Satisfactory,51,"PM
10",1#,2017-09-23
Thiruvananthapuram,Good,47,"PM
10",1,2017-09-24
Thiruvananthapuram,Satisfactory,56,CO,1,2017-09-25
