City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Thoothukudi,Satisfactory,84,"O
3",1,2020-11-09
Thoothukudi,Satisfactory,90,"O
3",1,2020-11-10
Thoothukudi,Satisfactory,82,"O
3",1,2020-11-11
Thoothukudi,Satisfactory,57,"O
3",1,2020-11-12
Thoothukudi,Good,31,"O
3",1,2020-11-13
Thoothukudi,Good,48,"O
3",1,2020-11-14
Thoothukudi,Satisfactory,53,"O
3",1,2020-11-15
Thoothukudi,Good,31,"O
3",1,2020-11-16
Thoothukudi,Good,34,"O
3",1,2020-11-17
Thoothukudi,Good,35,"O
3",1,2020-11-18
Thoothukudi,Good,33,"O
3",1,2020-11-19
Thoothukudi,Good,36,"O
3",1,2020-11-20
Thoothukudi,Good,46,"O
3",1,2020-11-21
Thoothukudi,Satisfactory,54,"O
3",1,2020-11-22
Thoothukudi,Satisfactory,53,"O
3",1,2020-11-23
Thoothukudi,Satisfactory,60,"PM
10",1,2020-11-24
Thoothukudi,Moderate,112,"PM
10",1,2020-11-25
Thoothukudi,Satisfactory,87,"PM
10",1,2020-11-26
Thoothukudi,Satisfactory,70,"PM
10",1,2020-11-27
Thoothukudi,Satisfactory,62,"PM
10",1,2020-11-28
Thoothukudi,Good,39,"O
3",1,2020-11-29
Thoothukudi,Good,46,"O
3",1,2020-11-30
Thoothukudi,Satisfactory,62,"O
3",1,2020-12-01
Thoothukudi,Good,50,"O
3",1,2020-12-02
Thoothukudi,Satisfactory,53,"O
3",1,2020-12-09
Thoothukudi,Satisfactory,54,"O
3",1,2020-12-10
Thoothukudi,Satisfactory,58,"O
3",1,2020-12-11
Thoothukudi,Satisfactory,67,"PM
10",1,2020-12-12
Thoothukudi,Satisfactory,70,"PM
10",1,2020-12-13
Thoothukudi,Satisfactory,65,"O
3",1,2020-12-14
Thoothukudi,Satisfactory,74,"O
3",1,2020-12-15
Thoothukudi,Satisfactory,64,"O
3",1,2020-12-16
Thoothukudi,Satisfactory,52,"O
3",1,2020-12-17
Thoothukudi,Satisfactory,58,"O
3",1,2020-12-18
Thoothukudi,Satisfactory,64,"O
3",1,2020-12-19
Thoothukudi,Satisfactory,83,"O
3",1,2020-12-20
Thoothukudi,Satisfactory,90,"O
3",1,2020-12-21
Thoothukudi,Satisfactory,86,"O
3",1,2020-12-22
Thoothukudi,Satisfactory,79,"O
3",1,2020-12-23
Thoothukudi,Satisfactory,82,"O
3",1,2020-12-24
Thoothukudi,Satisfactory,71,"O
3",1,2020-12-25
Thoothukudi,Satisfactory,71,"O
3",1,2020-12-26
Thoothukudi,Satisfactory,79,"O
3",1,2020-12-27
Thoothukudi,Satisfactory,76,"PM
10",1,2020-12-28
Thoothukudi,Satisfactory,72,"PM
10",1,2020-12-29
Thoothukudi,Satisfactory,80,"O
3",1,2020-12-30
Thoothukudi,Good,46,"O
3",1,2020-12-31
Thoothukudi,Satisfactory,81,"O
3",1,2021-01-01
Thoothukudi,Satisfactory,75,"O
3",1,2021-01-02
Thoothukudi,Satisfactory,65,"O
3",1,2021-01-03
Thoothukudi,Satisfactory,61,"O
3",1,2021-01-04
Thoothukudi,Satisfactory,52,"O
3",1,2021-01-05
Thoothukudi,Good,42,"O
3",1,2021-01-06
Thoothukudi,Good,36,"O
3",1,2021-01-07
Thoothukudi,Good,30,"O
3",1,2021-01-08
Thoothukudi,Good,30,"O
3",1,2021-01-09
Thoothukudi,Good,44,"O
3",1,2021-01-10
Thoothukudi,Satisfactory,53,"O
3",1,2021-01-11
