City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Thrissur,Satisfactory,51,"PM
10",1,2020-10-13
Thrissur,Good,49,"PM
10",1,2020-10-14
Thrissur,Good,48,"PM
10",1,2020-10-15
Thrissur,Good,49,CO,1,2020-10-16
Thrissur,Satisfactory,64,"PM
10",1,2020-10-17
Thrissur,Satisfactory,78,"PM
10",1,2020-10-18
Thrissur,Satisfactory,64,"PM
10",1,2020-10-19
Thrissur,Satisfactory,65,"PM
10",1,2020-10-20
Thrissur,Good,48,"PM
10",1,2020-10-21
Thrissur,Satisfactory,56,"PM
10",1,2020-10-22
Thrissur,Satisfactory,52,"PM
10",1,2020-10-23
Thrissur,Satisfactory,66,"PM
10",1,2020-10-24
Thrissur,Satisfactory,61,"PM
10",1,2020-10-25
Thrissur,Satisfactory,56,"PM
10",1,2020-10-28
Thrissur,Satisfactory,68,"PM
10",1,2020-10-29
Thrissur,Satisfactory,91,"PM
10",1,2020-10-30
Thrissur,Moderate,109,"PM
2.5",1,2020-10-31
Thrissur,Satisfactory,94,"PM
2.5",1,2020-11-01
Thrissur,Satisfactory,94,"PM
2.5",1,2020-11-02
Thrissur,Satisfactory,88,"PM
10",1,2020-11-03
Thrissur,Moderate,165,"PM
2.5",1,2020-11-04
Thrissur,Satisfactory,84,"PM
2.5",1,2020-11-05
Thrissur,Satisfactory,51,"PM
10",1,2020-11-06
Thrissur,Good,46,"O
3",1,2020-11-07
Thrissur,Satisfactory,52,"PM
10",1,2020-11-08
Thrissur,Satisfactory,97,"O
3",1,2020-11-09
Thrissur,Moderate,115,"O
3",1,2020-11-10
Thrissur,Moderate,122,"O
3",1,2020-11-11
Thrissur,Moderate,109,"PM
10",1,2020-11-12
Thrissur,Satisfactory,90,"PM
10",1,2020-11-13
Thrissur,Satisfactory,56,"O
3",1,2020-11-14
Thrissur,Satisfactory,62,"O
3",1,2020-11-15
Thrissur,Good,45,"O
3",1,2020-11-16
Thrissur,Good,46,"O
3",1,2020-11-17
Thrissur,Good,39,"O
3",1,2020-11-18
Thrissur,Good,45,"O
3",1,2020-11-19
Thrissur,Satisfactory,54,"PM
10",1,2020-11-20
Thrissur,Satisfactory,65,"PM
10",1,2020-11-21
Thrissur,Satisfactory,90,"O
3",1,2020-11-22
Thrissur,Satisfactory,99,"O
3",1,2020-11-23
Thrissur,Satisfactory,96,"PM
10",1,2020-11-24
Thrissur,Satisfactory,97,"PM
10",1,2020-11-25
Thrissur,Satisfactory,98,"PM
10",1,2020-11-26
Thrissur,Satisfactory,83,"PM
10",1,2020-11-27
Thrissur,Satisfactory,68,"PM
10",1,2020-11-28
Thrissur,Satisfactory,52,"O
3",1,2020-11-29
Thrissur,Satisfactory,63,"O
3",1,2020-11-30
Thrissur,Satisfactory,81,"O
3",1,2020-12-01
Thrissur,Satisfactory,80,"O
3",1,2020-12-02
Thrissur,Satisfactory,86,"PM
10",1,2020-12-03
Thrissur,Satisfactory,53,"PM
10",1,2020-12-04
Thrissur,Good,49,"O
3",1,2020-12-05
Thrissur,Satisfactory,54,"O
3",1,2020-12-06
Thrissur,Good,45,CO,1,2020-12-07
Thrissur,Good,47,"O
3",1,2020-12-08
Thrissur,Good,49,"O
3",1,2020-12-09
