City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Tiruchirappalli,Moderate,107,"PM
10",1/1,2023-12-21
Tiruchirappalli,Satisfactory,92,"PM
10",1/1,2023-12-24
Tiruchirappalli,Satisfactory,74,"PM
10",1/1,2023-12-25
Tiruchirappalli,Satisfactory,57,"PM
10",1/1,2023-12-28
Tiruchirappalli,Good,46,"PM
10",1/1,2023-12-29
Tiruchirappalli,Satisfactory,62,"PM
10",1/1,2023-12-31
Tiruchirappalli,Satisfactory,73,"PM
10",1/1,2024-01-01
Tiruchirappalli,Satisfactory,80,"PM
10",1/1,2024-01-02
Tiruchirappalli,Satisfactory,72,"PM
10",1/1,2024-01-06
Tiruchirappalli,Good,38,"PM
10",1/1,2024-01-07
Tiruchirappalli,Good,41,"PM
10",1/1,2024-01-09
Tiruchirappalli,Satisfactory,75,"PM
10",1/1,2024-01-12
Tiruchirappalli,Satisfactory,74,"PM
10",1/1,2024-01-13
Tiruchirappalli,Moderate,114,"PM
10",1/1,2024-01-14
Tiruchirappalli,Satisfactory,73,"PM
10",1/1,2024-01-17
Tiruchirappalli,Satisfactory,58,"PM
10",1/1,2024-01-18
Tiruchirappalli,Good,26,"PM
10",1/1,2024-08-08
Tiruchirappalli,Good,24,"PM
10",1/1,2024-08-11
Tiruchirappalli,Good,28,"PM
10",1/1,2024-08-14
Tiruchirappalli,Good,28,"PM
10",1/1,2024-08-17
Tiruchirappalli,Good,24,"PM
10",1/1,2024-08-24
Tiruchirappalli,Good,23,"PM
10",1/1,2024-08-25
Tiruchirappalli,Good,22,"PM
10",1/1,2024-08-26
Tiruchirappalli,Good,22,"PM
10",1/1,2024-08-27
Tiruchirappalli,Good,28,"PM
10",1/1,2024-08-28
Tiruchirappalli,Good,28,"PM
10",1/1,2024-08-29
Tiruchirappalli,Good,20,"SO
2",1/1,2024-08-30
Tiruchirappalli,Good,20,"SO
2",1/1,2024-08-31
Tiruchirappalli,Good,20,"SO
2",1/1,2024-09-01
Tiruchirappalli,Good,21,"PM
10",1/1,2024-09-03
Tiruchirappalli,Good,21,"PM
10",1/1,2024-10-18
Tiruchirappalli,Good,21,"PM
10",1/1,2024-10-19
Tiruchirappalli,Good,35,"PM
10",1/1,2024-10-20
Tiruchirappalli,Good,30,"PM
10",1/1,2024-10-23
Tiruchirappalli,Good,43,"PM
10",1/1,2024-10-28
Tiruchirappalli,Good,41,"PM
10",1/1,2024-10-29
Tiruchirappalli,Good,43,"PM
10",1/1,2024-10-30
Tiruchirappalli,Satisfactory,53,"PM
10",1/1,2024-10-31
Tiruchirappalli,Satisfactory,82,"PM
10",1/1,2024-11-01
Tiruchirappalli,Good,50,"PM
10",1/1,2024-11-02
Tiruchirappalli,Good,15,"PM
10",1/1,2024-11-03
Tiruchirappalli,Good,26,"PM
10",1/1,2024-11-04
Tiruchirappalli,Good,32,"PM
10",1/1,2024-11-05
Tiruchirappalli,Satisfactory,78,"PM
10",1/1,2024-11-06
Tiruchirappalli,Satisfactory,56,"PM
10",1/1,2024-11-07
Tiruchirappalli,Good,28,"PM
10",1/1,2024-11-08
Tiruchirappalli,Good,31,"PM
10",1/1,2024-11-09
Tiruchirappalli,Good,43,"PM
10",1/1,2024-11-10
Tiruchirappalli,Satisfactory,54,"PM
10",1/1,2024-11-11
Tiruchirappalli,Satisfactory,84,"PM
10",1/1,2024-11-12
Tiruchirappalli,Good,26,"PM
10",1/1,2024-11-13
Tiruchirappalli,Good,24,"PM
10",1/1,2024-11-14
Tiruchirappalli,Good,18,"PM
10",1/1,2024-11-15
Tiruchirappalli,Good,21,"PM
10",1/1,2024-11-16
Tiruchirappalli,Good,33,"PM
10",1/1,2024-11-17
Tiruchirappalli,Satisfactory,87,"PM
10",1/1,2024-11-18
Tiruchirappalli,Satisfactory,85,"PM
10",1/1,2024-11-19
Tiruchirappalli,Satisfactory,91,"PM
10",1/1,2024-11-20
Tiruchirappalli,Satisfactory,80,"PM
10",1/1,2024-11-21
Tiruchirappalli,Satisfactory,72,"PM
10",1/1,2024-11-22
Tiruchirappalli,Satisfactory,72,"PM
10",1/1,2024-11-23
Tiruchirappalli,Satisfactory,72,"PM
10",1/1,2024-11-24
Tiruchirappalli,Satisfactory,72,"PM
10",1/1,2024-11-25
Tiruchirappalli,Satisfactory,72,"PM
10",1/1,2024-11-26
Tiruchirappalli,Satisfactory,72,"PM
10",1/1,2024-11-27
Tiruchirappalli,Satisfactory,72,"PM
10",1/1,2024-11-28
Tiruchirappalli,Satisfactory,73,"PM
10",1/1,2024-11-29
Tiruchirappalli,Satisfactory,67,"PM
10",1/1,2024-11-30
Tiruchirappalli,Good,45,"PM
10",1/1,2024-12-01
Tiruchirappalli,Good,44,"PM
10",1/1,2024-12-02
Tiruchirappalli,Good,25,"PM
10",1/1,2024-12-03
Tiruchirappalli,Good,42,"PM
10",1/1,2024-12-04
Tiruchirappalli,Good,41,"PM
10",1/1,2024-12-05
Tiruchirappalli,Good,40,"PM
10",1/1,2024-12-06
Tiruchirappalli,Good,48,"PM
10",1/1,2024-12-07
Tiruchirappalli,Good,39,"PM
10",1/1,2024-12-08
Tiruchirappalli,Satisfactory,68,"PM
10",1/1,2024-12-09
Tiruchirappalli,Satisfactory,92,"PM
10",1/1,2024-12-10
Tiruchirappalli,Satisfactory,82,"PM
10",1/1,2024-12-11
Tiruchirappalli,Good,41,"PM
10",1/1,2024-12-12
Tiruchirappalli,Moderate,111,"PM
10",1/1,2024-12-17
Tiruchirappalli,Satisfactory,99,"PM
10",1/1,2024-12-18
Tiruchirappalli,Satisfactory,52,"PM
10",1/1,2024-12-19
Tiruchirappalli,Satisfactory,66,"PM
10",1/1,2024-12-20
Tiruchirappalli,Good,47,"PM
10",1/1,2024-12-21
Tiruchirappalli,Good,33,"PM
10",1/1,2024-12-22
Tiruchirappalli,Good,46,"PM
10",1/1,2024-12-23
Tiruchirappalli,Satisfactory,71,"PM
10",1/1,2024-12-24
Tiruchirappalli,Satisfactory,91,"PM
10",1/1,2025-01-04
Tiruchirappalli,Satisfactory,81,"PM
10",1/1,2025-01-05
Tiruchirappalli,Satisfactory,78,"PM
10",1/1,2025-01-06
Tiruchirappalli,Satisfactory,86,"PM
10",1/1,2025-01-07
Tiruchirappalli,Satisfactory,85,"PM
10",1/1,2025-01-08
Tiruchirappalli,Satisfactory,85,"PM
10",1/1,2025-01-09
Tiruchirappalli,Satisfactory,90,"PM
10",1/1,2025-01-10
Tiruchirappalli,Satisfactory,78,"PM
10",1/1,2025-01-11
Tiruchirappalli,Satisfactory,66,"PM
10",1/1,2025-01-12
Tiruchirappalli,Satisfactory,57,"PM
10",1/1,2025-01-13
Tiruchirappalli,Good,41,"PM
10",1/1,2025-01-14
Tiruchirappalli,Good,32,"PM
10",1/1,2025-01-15
Tiruchirappalli,Satisfactory,51,"PM
10",1/1,2025-01-16
Tiruchirappalli,Satisfactory,92,"PM
10",1/1,2025-01-17
Tiruchirappalli,Moderate,107,"PM
10",1/1,2025-01-18
Tiruchirappalli,Satisfactory,67,"PM
10",1/1,2025-01-19
Tiruchirappalli,Satisfactory,58,"PM
10",1/1,2025-01-20
Tiruchirappalli,Satisfactory,79,"PM
10",1/1,2025-01-21
Tiruchirappalli,Satisfactory,86,"PM
10",1/1,2025-01-22
Tiruchirappalli,Satisfactory,81,"PM
10",1/1,2025-01-23
Tiruchirappalli,Good,50,"PM
10",1/1,2025-01-24
Tiruchirappalli,Satisfactory,59,"PM
10",1/1,2025-01-25
Tiruchirappalli,Satisfactory,93,"PM
10",1/1,2025-01-28
Tiruchirappalli,Moderate,104,"PM
10",1/1,2025-01-29
Tiruchirappalli,Satisfactory,92,"PM
10",1/1,2025-01-30
Tiruchirappalli,Satisfactory,71,"PM
10",1/1,2025-01-31
Tiruchirappalli,Good,47,"PM
10",1/1,2025-02-01
Tiruchirappalli,Good,44,"PM
10",1/1,2025-02-02
Tiruchirappalli,Satisfactory,57,"PM
10",1/1,2025-02-04
Tiruchirappalli,Satisfactory,92,"PM
10",1/1,2025-02-05
Tiruchirappalli,Satisfactory,91,"PM
10",1/1,2025-02-06
Tiruchirappalli,Satisfactory,80,"PM
10",1/1,2025-02-07
Tiruchirappalli,Satisfactory,85,"PM
10",1/1,2025-02-08
