City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Tirunelveli,Good,30,CO,1/1,2024-08-12
Tirunelveli,Good,39,CO,1/1,2024-08-15
Tirunelveli,Good,40,CO,1/1,2024-08-16
Tirunelveli,Good,29,CO,1/1,2024-08-17
Tirunelveli,Good,28,CO,1/1,2024-08-18
Tirunelveli,Good,29,CO,1/1,2024-08-19
Tirunelveli,Good,29,CO,1/1,2024-08-20
Tirunelveli,Good,29,CO,1/1,2024-08-21
Tirunelveli,Good,30,CO,1/1,2024-08-22
Tirunelveli,Good,29,CO,1/1,2024-08-23
Tirunelveli,Good,28,CO,1/1,2024-08-25
Tirunelveli,Good,29,CO,1/1,2024-08-26
Tirunelveli,Good,29,CO,1/1,2024-08-27
Tirunelveli,Good,29,CO,1/1,2024-08-28
Tirunelveli,Good,29,CO,1/1,2024-08-29
Tirunelveli,Good,29,CO,1/1,2024-08-30
Tirunelveli,Good,29,CO,1/1,2024-08-31
Tirunelveli,Good,29,CO,1/1,2024-09-01
Tirunelveli,Good,29,CO,1/1,2024-09-02
Tirunelveli,Good,29,CO,1/1,2024-09-03
Tirunelveli,Good,29,CO,1/1,2024-09-04
Tirunelveli,Good,29,CO,1/1,2024-09-05
Tirunelveli,Good,36,CO,1/1,2024-09-06
Tirunelveli,Good,30,CO,1/1,2024-09-07
Tirunelveli,Good,29,CO,1/1,2024-09-08
Tirunelveli,Good,29,CO,1/1,2024-09-09
Tirunelveli,Good,21,"PM
2.5",1/1,2024-09-10
Tirunelveli,Good,24,"PM
2.5",1/1,2024-09-11
Tirunelveli,Good,25,"PM
10",1/1,2024-09-12
Tirunelveli,Good,26,"PM
10",1/1,2024-09-13
Tirunelveli,Good,23,"PM
10",1/1,2024-09-14
Tirunelveli,Good,20,"PM
10",1/1,2024-09-15
Tirunelveli,Good,24,"PM
10",1/1,2024-09-16
Tirunelveli,Good,28,"PM
10",1/1,2024-09-17
Tirunelveli,Good,26,"PM
10",1/1,2024-09-18
Tirunelveli,Good,33,"PM
2.5",1/1,2024-09-19
Tirunelveli,Good,28,"PM
2.5",1/1,2024-09-20
Tirunelveli,Good,27,"PM
2.5",1/1,2024-09-21
Tirunelveli,Good,21,CO,1/1,2024-09-22
Tirunelveli,Good,18,"PM
2.5",1/1,2024-09-23
Tirunelveli,Good,18,"PM
2.5",1/1,2024-09-24
Tirunelveli,Good,32,"PM
10",1/1,2024-09-26
Tirunelveli,Good,33,"PM
10",1/1,2024-09-27
Tirunelveli,Good,23,"PM
10",1/1,2024-09-28
Tirunelveli,Good,28,CO,1/1,2024-09-29
Tirunelveli,Good,25,"PM
10",1/1,2024-10-01
Tirunelveli,Good,29,CO,1/1,2024-10-02
Tirunelveli,Good,29,CO,1/1,2024-10-03
Tirunelveli,Good,33,"PM
10",1/1,2024-10-04
Tirunelveli,Good,36,CO,1/1,2024-10-05
Tirunelveli,Good,35,CO,1/1,2024-10-06
Tirunelveli,Good,31,"PM
10",1/1,2024-10-07
Tirunelveli,Good,29,CO,1/1,2024-10-08
Tirunelveli,Good,33,"PM
10",1/1,2024-10-09
Tirunelveli,Good,29,"PM
10",1/1,2024-10-10
Tirunelveli,Good,32,"PM
2.5",1/1,2024-10-11
Tirunelveli,Good,33,CO,1/1,2024-10-12
Tirunelveli,Good,39,CO,1/1,2024-10-13
Tirunelveli,Good,41,CO,1/1,2024-10-14
Tirunelveli,Good,39,CO,1/1,2024-10-15
Tirunelveli,Good,40,CO,1/1,2024-10-16
Tirunelveli,Good,31,"PM
10",1/1,2024-10-17
Tirunelveli,Good,40,"PM
10",1/1,2024-10-18
Tirunelveli,Good,34,"PM
10",1/1,2024-10-19
Tirunelveli,Good,32,"PM
10",1/1,2024-10-20
Tirunelveli,Good,33,CO,1/1,2024-10-21
Tirunelveli,Good,42,CO,1/1,2024-10-22
Tirunelveli,Good,42,CO,1/1,2024-10-25
Tirunelveli,Good,41,CO,1/1,2024-10-26
Tirunelveli,Good,41,CO,1/1,2024-10-27
Tirunelveli,Good,41,"SO
2",1/1,2024-10-28
Tirunelveli,Good,42,CO,1/1,2024-10-29
Tirunelveli,Good,42,CO,1/1,2024-10-30
Tirunelveli,Good,41,CO,1/1,2024-10-31
Tirunelveli,Good,29,CO,1/1,2024-11-02
Tirunelveli,Good,29,CO,1/1,2024-11-03
Tirunelveli,Good,33,"PM
10",1/1,2024-11-04
Tirunelveli,Good,33,CO,1/1,2024-11-05
Tirunelveli,Good,35,CO,1/1,2024-11-06
Tirunelveli,Good,31,"PM
10",1/1,2024-11-07
Tirunelveli,Good,29,CO,1/1,2024-11-08
Tirunelveli,Good,33,"PM
10",1/1,2024-11-09
Tirunelveli,Good,28,"PM
10",1/1,2024-11-10
Tirunelveli,Good,32,"PM
2.5",1/1,2024-11-11
Tirunelveli,Good,32,"PM
10",1/1,2024-11-12
Tirunelveli,Good,26,"PM
10",1/1,2024-11-13
Tirunelveli,Good,23,"PM
10",1/1,2024-11-14
Tirunelveli,Good,21,CO,1/1,2024-11-15
Tirunelveli,Good,24,"PM
10",1/1,2024-11-16
Tirunelveli,Good,28,"PM
10",1/1,2024-11-17
Tirunelveli,Good,33,"PM
2.5",1/1,2024-11-19
Tirunelveli,Good,29,"PM
10",1/1,2024-11-21
Tirunelveli,Good,30,"PM
10",1/1,2024-11-22
Tirunelveli,Good,25,"PM
2.5",1/1,2024-11-23
Tirunelveli,Good,27,"PM
2.5",1/1,2024-11-24
Tirunelveli,Good,26,"PM
10",1/1,2024-11-25
Tirunelveli,Good,29,CO,1/1,2024-11-29
Tirunelveli,Good,31,"PM
10",1/1,2024-11-30
Tirunelveli,Good,26,"PM
10",1/1,2024-12-01
Tirunelveli,Good,29,CO,1/1,2024-12-02
Tirunelveli,Good,29,CO,1/1,2024-12-03
Tirunelveli,Good,33,"PM
10",1/1,2024-12-04
Tirunelveli,Good,36,CO,1/1,2024-12-05
Tirunelveli,Good,34,CO,1/1,2024-12-06
Tirunelveli,Good,31,"PM
10",1/1,2024-12-07
Tirunelveli,Good,29,CO,1/1,2024-12-08
Tirunelveli,Good,33,"PM
10",1/1,2024-12-09
Tirunelveli,Good,29,"PM
10",1/1,2024-12-10
Tirunelveli,Good,31,"PM
2.5",1/1,2024-12-11
Tirunelveli,Good,31,"PM
10",1/1,2024-12-12
Tirunelveli,Good,23,"PM
10",1/1,2024-12-14
Tirunelveli,Good,27,"PM
10",1/1,2024-12-17
Tirunelveli,Good,26,"PM
2.5",1/1,2024-12-18
Tirunelveli,Good,32,"PM
2.5",1/1,2024-12-19
Tirunelveli,Good,28,"PM
2.5",1/1,2024-12-20
Tirunelveli,Good,29,"PM
10",1/1,2024-12-21
Tirunelveli,Good,30,"PM
10",1/1,2024-12-22
Tirunelveli,Good,25,"PM
2.5",1/1,2024-12-23
Tirunelveli,Good,27,"PM
2.5",1/1,2024-12-24
