City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Tiruppur,Satisfactory,92,"PM
10",1,2022-08-27
Tiruppur,Satisfactory,71,"PM
10",1,2022-08-28
Tiruppur,Satisfactory,63,"PM
10",1,2022-08-29
Tiruppur,Satisfactory,73,"PM
10",1,2022-08-30
Tiruppur,Satisfactory,89,"PM
2.5",1,2022-08-31
Tiruppur,Good,29,"O
3",1,2022-09-01
Tiruppur,Satisfactory,71,"PM
10",1,2022-09-02
Tiruppur,Moderate,104,"PM
10",1,2022-09-03
Tiruppur,Satisfactory,98,"PM
10",1,2022-09-04
Tiruppur,Good,32,"O
3",1,2022-09-05
Tiruppur,Moderate,124,"PM
10",1,2022-09-06
Tiruppur,Satisfactory,94,"PM
10",1,2022-09-08
Tiruppur,Moderate,104,"PM
10",1,2022-09-09
Tiruppur,Moderate,103,"PM
10",1,2022-09-10
Tiruppur,Moderate,103,"PM
10",1,2022-09-11
Tiruppur,Satisfactory,95,"PM
10",1,2022-09-12
Tiruppur,Moderate,134,"PM
10",1,2022-09-13
Tiruppur,Moderate,185,"PM
10",1,2022-09-14
Tiruppur,Moderate,166,"PM
10",1,2022-09-15
Tiruppur,Moderate,161,"PM
10",1,2022-09-16
Tiruppur,Moderate,166,"PM
10",1,2022-09-17
Tiruppur,Moderate,137,"PM
10",1,2022-09-18
Tiruppur,Moderate,112,"PM
10",1,2022-09-19
Tiruppur,Moderate,121,"PM
10",1,2022-09-20
Tiruppur,Moderate,138,"PM
10",1,2022-09-21
Tiruppur,Moderate,163,"PM
10",1,2022-09-22
Tiruppur,Moderate,150,"PM
10",1,2022-09-23
Tiruppur,Moderate,165,"PM
10",1,2022-09-24
Tiruppur,Moderate,138,"PM
10",1,2022-09-25
Tiruppur,Moderate,123,"PM
10",1,2022-09-26
Tiruppur,Poor,229,"PM
10",1,2022-09-27
Tiruppur,Poor,260,"PM
10",1,2022-09-28
Tiruppur,Poor,225,"PM
10",1,2022-09-29
Tiruppur,Poor,245,"PM
10",1,2022-09-30
Tiruppur,Moderate,187,"PM
10",1,2022-10-01
Tiruppur,Moderate,190,"PM
10",1,2022-10-02
Tiruppur,Moderate,117,"PM
10",1,2022-10-03
Tiruppur,Moderate,106,"PM
10",1,2022-10-04
Tiruppur,Moderate,104,"PM
10",1,2022-10-05
Tiruppur,Moderate,106,"PM
10",1,2022-10-06
Tiruppur,Poor,202,"PM
10",1,2022-10-07
Tiruppur,Moderate,192,"PM
10",1,2022-10-08
Tiruppur,Poor,263,"PM
10",1,2022-10-09
Tiruppur,Moderate,127,"PM
10",1,2022-10-10
Tiruppur,Moderate,137,"PM
10",1,2022-10-11
Tiruppur,Moderate,178,"PM
10",1,2022-10-12
Tiruppur,Poor,211,"PM
10",1,2022-10-13
Tiruppur,Moderate,176,"PM
10",1,2022-10-14
Tiruppur,Satisfactory,100,"PM
10",1,2022-10-15
Tiruppur,Moderate,108,"PM
10",1,2022-10-16
Tiruppur,Satisfactory,64,"PM
10",1,2022-10-17
Tiruppur,Moderate,124,"PM
10",1,2022-10-18
Tiruppur,Satisfactory,96,"PM
2.5",1,2022-10-21
Tiruppur,Moderate,102,"PM
10",1,2022-10-22
Tiruppur,Moderate,138,"PM
2.5",1,2022-10-23
Tiruppur,Moderate,110,"PM
10",1,2022-10-26
Tiruppur,Moderate,191,"PM
10",1,2022-10-27
Tiruppur,Poor,237,"PM
2.5",1,2022-10-28
Tiruppur,Moderate,114,"PM
10",1,2022-10-29
Tiruppur,Moderate,190,"PM
2.5",1,2022-11-01
Tiruppur,Satisfactory,75,"PM
10",1,2022-11-02
Tiruppur,Good,47,"PM
10",1,2022-11-03
Tiruppur,Satisfactory,77,"PM
10",1,2022-11-04
Tiruppur,Satisfactory,79,"PM
10",1,2022-11-05
Tiruppur,Moderate,153,"PM
10",1,2022-11-06
Tiruppur,Moderate,114,"PM
10",1,2022-11-07
Tiruppur,Poor,267,"PM
2.5",1,2022-11-08
Tiruppur,Moderate,136,"PM
2.5",1,2022-11-09
Tiruppur,Moderate,180,"PM
2.5",1,2022-11-10
Tiruppur,Moderate,114,"PM
2.5",1,2022-11-11
Tiruppur,Satisfactory,58,"PM
10",1,2022-11-12
Tiruppur,Satisfactory,72,"PM
10",1,2022-11-13
Tiruppur,Satisfactory,98,"PM
2.5",1,2022-11-24
Tiruppur,Satisfactory,97,"PM
10",1,2022-11-25
Tiruppur,Moderate,106,"PM
10",1,2022-11-26
Tiruppur,Moderate,105,"PM
10",1,2022-11-27
Tiruppur,Satisfactory,85,"PM
10",1,2022-11-28
Tiruppur,Moderate,110,"PM
10",1,2022-11-30
Tiruppur,Poor,213,"PM
10",1,2022-12-01
Tiruppur,Satisfactory,95,"PM
10",1,2022-12-02
Tiruppur,Satisfactory,70,"PM
10",1,2022-12-03
Tiruppur,Satisfactory,51,"PM
10",1,2022-12-04
Tiruppur,Satisfactory,53,"PM
2.5",1,2022-12-05
Tiruppur,Moderate,171,"PM
10",1,2022-12-08
Tiruppur,Satisfactory,72,"PM
10",1,2022-12-10
Tiruppur,Satisfactory,93,"PM
10",1,2022-12-13
Tiruppur,Satisfactory,55,"PM
10",1,2022-12-14
Tiruppur,Satisfactory,97,"PM
10",1,2022-12-15
Tiruppur,Moderate,135,"PM
2.5",1,2022-12-16
Tiruppur,Moderate,153,"PM
2.5",1,2022-12-17
Tiruppur,Moderate,129,"PM
2.5",1,2022-12-18
Tiruppur,Satisfactory,96,"PM
10",1,2022-12-19
Tiruppur,Satisfactory,53,"PM
10",1,2022-12-20
Tiruppur,Satisfactory,58,"PM
2.5",1,2022-12-21
Tiruppur,Good,45,"PM
10",1,2022-12-22
Tiruppur,Satisfactory,97,"PM
10",1,2022-12-23
Tiruppur,Moderate,110,"PM
10",1,2022-12-24
Tiruppur,Satisfactory,63,"PM
10",1,2022-12-25
Tiruppur,Good,27,"SO
2",1,2022-12-26
Tiruppur,Good,28,"SO
2",1,2022-12-27
Tiruppur,Good,28,"PM
10",1,2022-12-28
Tiruppur,Satisfactory,69,"PM
10",1,2022-12-29
Tiruppur,Good,50,"PM
2.5",1,2022-12-30
Tiruppur,Satisfactory,63,"PM
10",1,2022-12-31
Tiruppur,Satisfactory,70,"PM
10",1,2023-01-01
Tiruppur,Good,39,"PM
10",1,2023-01-02
Tiruppur,Satisfactory,51,"PM
10",1,2023-01-03
Tiruppur,Satisfactory,74,"PM
2.5",1,2023-01-04
Tiruppur,Satisfactory,62,"PM
10",1,2023-01-05
Tiruppur,Satisfactory,69,"PM
10",1,2023-01-06
Tiruppur,Satisfactory,60,"PM
10",1,2023-01-07
Tiruppur,Satisfactory,68,"PM
10",1,2023-01-08
Tiruppur,Satisfactory,82,"PM
2.5",1,2023-01-09
