City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Tonk,Moderate,189,"PM
10",1,2023-03-13
Tonk,Moderate,181,"PM
10",1,2023-03-14
Tonk,Moderate,163,"PM
10",1,2023-03-15
Tonk,Poor,218,"PM
10",1,2023-03-16
Tonk,Moderate,105,"PM
10",1,2023-03-17
Tonk,Satisfactory,68,"PM
10",1,2023-03-18
Tonk,Moderate,106,"PM
10",1,2023-03-19
Tonk,Satisfactory,57,"O
3",1,2023-03-20
Tonk,Satisfactory,74,"PM
10",1,2023-03-21
Tonk,Satisfactory,99,"PM
10",1,2023-03-22
Tonk,Satisfactory,80,"PM
10",1,2023-03-23
Tonk,Satisfactory,91,"PM
10",1,2023-03-24
Tonk,Moderate,103,"PM
10",1,2023-03-25
Tonk,Moderate,104,"PM
10",1,2023-03-26
Tonk,Moderate,153,"PM
10",1,2023-03-27
Tonk,Moderate,175,"PM
10",1,2023-03-28
Tonk,Moderate,136,"PM
10",1,2023-03-29
Tonk,Moderate,174,"PM
10",1,2023-03-30
Tonk,Satisfactory,67,"PM
10",1,2023-03-31
Tonk,Satisfactory,58,"O
3",1,2023-04-01
Tonk,Satisfactory,83,"PM
10",1,2023-04-02
Tonk,Moderate,122,"PM
10",1,2023-04-03
Tonk,Moderate,106,"PM
10",1,2023-04-04
Tonk,Moderate,132,"PM
10",1,2023-04-05
Tonk,Moderate,133,"PM
10",1,2023-04-06
Tonk,Moderate,147,"PM
10",1,2023-04-07
Tonk,Moderate,134,"PM
10",1,2023-04-08
Tonk,Moderate,127,"PM
10",1,2023-04-09
Tonk,Moderate,169,"PM
10",1,2023-04-10
Tonk,Moderate,200,"PM
10",1,2023-04-11
Tonk,Moderate,148,"PM
10",1,2023-04-12
Tonk,Moderate,179,"PM
10",1,2023-04-14
Tonk,Moderate,176,"PM
10",1,2023-04-15
Tonk,Moderate,134,"PM
10",1,2023-04-16
Tonk,Moderate,153,"PM
10",1,2023-04-17
Tonk,Moderate,164,"PM
10",1,2023-04-18
Tonk,Poor,239,"PM
10",1,2023-04-19
Tonk,Moderate,187,"PM
10",1,2023-04-20
Tonk,Moderate,190,"PM
10",1,2023-04-21
Tonk,Moderate,160,"PM
10",1,2023-04-22
Tonk,Moderate,174,"PM
10",1,2023-04-23
Tonk,Moderate,104,"PM
10",1,2023-04-24
Tonk,Satisfactory,100,"O
3",1,2023-04-25
Tonk,Moderate,120,"O
3",1,2023-04-26
Tonk,Moderate,115,"PM
10",1,2023-04-27
Tonk,Satisfactory,98,"PM
10",1,2023-04-28
Tonk,Moderate,111,"PM
10",1,2023-04-29
Tonk,Satisfactory,70,"PM
10",1,2023-04-30
Tonk,Satisfactory,72,"O
3",1,2023-05-01
Tonk,Satisfactory,75,"PM
10",1,2023-05-02
Tonk,Satisfactory,82,"O
3",1,2023-05-03
Tonk,Satisfactory,93,"O
3",1,2023-05-04
Tonk,Satisfactory,98,"O
3",1,2023-05-05
Tonk,Moderate,104,"PM
10",1,2023-05-06
Tonk,Moderate,121,"PM
10",1,2023-05-07
Tonk,Moderate,129,"PM
10",1,2023-05-08
Tonk,Moderate,136,"PM
10",1,2023-05-09
Tonk,Moderate,133,"PM
10",1,2023-05-10
Tonk,Moderate,134,"PM
10",1,2023-05-11
Tonk,Moderate,192,"PM
10",1,2023-05-12
Tonk,Moderate,154,"PM
10",1,2023-05-13
Tonk,Moderate,147,"PM
10",1,2023-05-14
Tonk,Moderate,112,"PM
10",1,2023-05-15
Tonk,Moderate,175,"PM
10",1,2023-05-16
Tonk,Moderate,167,"PM
10",1,2023-05-17
Tonk,Moderate,179,"PM
10",1,2023-05-18
Tonk,Moderate,174,"PM
10",1,2023-05-19
Tonk,Moderate,162,"PM
10",1,2023-05-20
Tonk,Moderate,138,"PM
10",1,2023-05-21
Tonk,Moderate,131,"PM
10",1,2023-05-22
Tonk,Moderate,124,"PM
10",1,2023-05-23
Tonk,Moderate,155,"PM
10",1,2023-05-24
Tonk,Good,50,"O
3",1,2023-05-25
Tonk,Satisfactory,56,"PM
10",1,2023-05-28
Tonk,Satisfactory,63,"PM
10",1,2023-05-29
Tonk,Good,42,"O
3",1,2023-05-30
Tonk,Moderate,129,"PM
10",1,2023-06-10
Tonk,Moderate,119,"PM
10",1,2023-06-11
Tonk,Moderate,113,"PM
10",1,2023-06-12
Tonk,Moderate,111,"PM
10",1,2023-06-13
Tonk,Moderate,124,"PM
10",1,2023-06-14
Tonk,Moderate,136,"PM
10",1,2023-06-15
Tonk,Satisfactory,99,"PM
10",1,2023-06-16
Tonk,Moderate,136,"PM
10",1,2023-06-17
Tonk,Satisfactory,77,"PM
10",1,2023-06-20
Tonk,Moderate,148,"PM
10",1,2023-06-21
Tonk,Moderate,135,"PM
10",1,2023-06-22
Tonk,Moderate,131,"PM
10",1,2023-06-23
Tonk,Moderate,155,"PM
10",1,2023-06-24
Tonk,Satisfactory,51,"PM
10",1,2023-06-26
Tonk,Satisfactory,82,"PM
10",1,2023-06-27
Tonk,Satisfactory,55,"PM
10",1,2023-06-28
Tonk,Satisfactory,64,"PM
10",1,2023-06-29
Tonk,Moderate,134,"PM
2.5",1,2023-06-30
Tonk,Moderate,122,"PM
2.5",1,2023-07-01
Tonk,Satisfactory,98,"PM
2.5",1,2023-07-02
Tonk,Moderate,174,"PM
2.5",1,2023-07-04
Tonk,Moderate,144,"PM
2.5",1,2023-07-11
Tonk,Moderate,189,"PM
10",1,2023-07-12
Tonk,Moderate,144,"PM
10",1,2023-07-13
Tonk,Satisfactory,94,"PM
10",1,2023-07-14
Tonk,Satisfactory,96,"PM
10",1,2023-07-15
Tonk,Good,47,"PM
10",1,2023-07-19
Tonk,Moderate,130,"PM
2.5",1,2023-07-20
