City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Tumakuru,Moderate,151,"PM
10",1,2023-04-02
Tumakuru,Moderate,154,CO,1,2023-04-04
Tumakuru,Moderate,127,CO,1,2023-04-05
Tumakuru,Moderate,140,CO,1,2023-04-06
Tumakuru,Moderate,140,CO,1,2023-04-07
Tumakuru,Moderate,125,CO,1,2023-04-08
Tumakuru,Moderate,122,CO,1,2023-04-09
Tumakuru,Moderate,164,CO,1,2023-04-10
Tumakuru,Moderate,150,CO,1,2023-04-11
Tumakuru,Moderate,146,CO,1,2023-04-16
Tumakuru,Good,45,CO,1,2023-04-18
Tumakuru,Satisfactory,79,CO,1,2023-04-19
Tumakuru,Satisfactory,66,CO,1,2023-04-21
Tumakuru,Satisfactory,78,CO,1,2023-04-22
Tumakuru,Satisfactory,65,CO,1,2023-04-24
Tumakuru,Satisfactory,58,CO,1,2023-04-25
Tumakuru,Moderate,102,"PM
10",1,2023-04-26
Tumakuru,Moderate,113,"PM
10",1,2023-04-27
Tumakuru,Moderate,108,"PM
10",1,2023-04-28
Tumakuru,Moderate,113,"PM
10",1,2023-04-29
Tumakuru,Satisfactory,81,"PM
10",1,2023-04-30
Tumakuru,Satisfactory,77,"PM
10",1,2023-05-01
Tumakuru,Satisfactory,61,"PM
10",1,2023-05-02
Tumakuru,Satisfactory,75,"PM
10",1,2023-05-03
Tumakuru,Moderate,105,"PM
10",1,2023-05-04
Tumakuru,Satisfactory,77,"PM
10",1,2023-05-05
Tumakuru,Satisfactory,74,"PM
10",1,2023-05-07
Tumakuru,Moderate,106,"PM
10",1,2023-05-08
Tumakuru,Satisfactory,70,"PM
10",1,2023-05-09
Tumakuru,Satisfactory,85,"PM
10",1,2023-05-10
Tumakuru,Satisfactory,92,"PM
10",1,2023-05-11
Tumakuru,Satisfactory,97,"PM
10",1,2023-05-12
Tumakuru,Moderate,104,"PM
10",1,2023-05-13
Tumakuru,Satisfactory,98,"PM
10",1,2023-05-14
Tumakuru,Satisfactory,100,"PM
10",1,2023-05-15
Tumakuru,Moderate,112,"PM
10",1,2023-05-16
Tumakuru,Moderate,145,"PM
10",1,2023-05-18
Tumakuru,Moderate,142,"PM
10",1,2023-05-19
Tumakuru,Moderate,130,"PM
10",1,2023-05-20
Tumakuru,Satisfactory,96,"PM
10",1,2023-05-21
Tumakuru,Satisfactory,87,CO,1,2023-05-24
Tumakuru,Satisfactory,79,"PM
10",1,2023-05-25
Tumakuru,Satisfactory,65,"PM
10",1,2023-05-26
Tumakuru,Moderate,105,"PM
10",1,2023-05-27
Tumakuru,Moderate,131,"PM
10",1,2023-05-28
Tumakuru,Moderate,112,"PM
10",1,2023-05-29
Tumakuru,Moderate,108,"PM
10",1,2023-05-30
Tumakuru,Satisfactory,82,"PM
10",1,2023-05-31
Tumakuru,Satisfactory,94,"PM
10",1,2023-06-01
Tumakuru,Moderate,107,"PM
10",1,2023-06-02
Tumakuru,Moderate,116,"PM
10",1,2023-06-03
Tumakuru,Moderate,137,"PM
10",1,2023-06-04
Tumakuru,Moderate,118,"PM
10",1,2023-06-05
Tumakuru,Moderate,122,"PM
10",1,2023-06-06
Tumakuru,Satisfactory,92,"PM
10",1,2023-06-07
Tumakuru,Satisfactory,80,"PM
10",1,2023-06-08
Tumakuru,Satisfactory,61,CO,1,2023-06-09
Tumakuru,Satisfactory,69,"PM
10",1,2023-06-10
Tumakuru,Satisfactory,76,"PM
10",1,2023-06-11
Tumakuru,Satisfactory,98,"PM
10",1,2023-06-12
Tumakuru,Moderate,108,"PM
10",1,2023-06-13
Tumakuru,Moderate,142,"PM
10",1,2023-06-14
Tumakuru,Satisfactory,100,"PM
10",1,2023-06-15
Tumakuru,Moderate,116,"PM
10",1,2023-06-16
Tumakuru,Moderate,102,"PM
10",1,2023-06-17
Tumakuru,Moderate,146,"PM
10",1,2023-06-18
Tumakuru,Satisfactory,84,"PM
10",1,2023-06-19
Tumakuru,Moderate,105,"PM
10",1,2023-06-20
Tumakuru,Moderate,124,"PM
10",1,2023-06-21
Tumakuru,Satisfactory,71,"PM
10",1,2023-06-22
Tumakuru,Satisfactory,98,"PM
10",1,2023-06-23
Tumakuru,Satisfactory,81,CO,1,2023-06-24
Tumakuru,Satisfactory,88,CO,1,2023-06-25
Tumakuru,Satisfactory,83,CO,1,2023-07-13
Tumakuru,Moderate,150,CO,1,2023-07-14
Tumakuru,Satisfactory,93,CO,1,2023-07-15
Tumakuru,Satisfactory,79,CO,1,2023-07-16
Tumakuru,Moderate,105,"PM
10",1,2023-07-17
Tumakuru,Satisfactory,96,"PM
10",1,2023-07-18
Tumakuru,Moderate,140,"PM
10",1,2023-07-19
Tumakuru,Moderate,146,"PM
10",1,2023-07-20
Tumakuru,Moderate,183,"PM
10",1,2023-07-21
Tumakuru,Moderate,133,"PM
10",1,2023-07-22
Tumakuru,Moderate,101,"PM
10",1,2023-07-23
Tumakuru,Good,38,CO,1,2023-07-27
Tumakuru,Good,43,CO,1,2023-07-28
Tumakuru,Satisfactory,52,CO,1,2023-07-29
Tumakuru,Good,37,CO,1,2023-07-31
Tumakuru,Good,39,"PM
2.5",1,2023-08-01
Tumakuru,Good,43,CO,1,2023-08-02
Tumakuru,Satisfactory,73,CO,1,2023-08-06
Tumakuru,Satisfactory,88,CO,1,2023-08-09
Tumakuru,Satisfactory,53,CO,1,2023-08-10
Tumakuru,Good,29,"PM
10",1,2023-08-12
Tumakuru,Good,48,CO,1,2023-08-13
Tumakuru,Good,44,CO,1,2023-08-14
Tumakuru,Satisfactory,52,CO,1,2023-08-15
Tumakuru,Good,39,CO,1,2023-08-16
Tumakuru,Satisfactory,99,CO,1,2023-08-17
Tumakuru,Satisfactory,73,CO,1,2023-08-18
Tumakuru,Satisfactory,84,CO,1,2023-08-19
Tumakuru,Satisfactory,76,CO,1,2023-08-20
Tumakuru,Good,36,CO,1,2023-08-21
Tumakuru,Satisfactory,57,CO,1,2023-08-22
Tumakuru,Good,47,CO,1,2023-08-23
Tumakuru,Satisfactory,91,CO,1,2023-08-25
Tumakuru,Good,46,CO,1,2023-08-27
Tumakuru,Satisfactory,53,CO,1,2023-08-28
Tumakuru,Good,45,CO,1,2023-08-29
Tumakuru,Good,25,CO,1,2023-08-30
Tumakuru,Good,42,CO,1,2023-08-31
Tumakuru,Good,43,CO,1,2023-09-01
Tumakuru,Satisfactory,67,CO,1,2023-09-02
Tumakuru,Satisfactory,59,CO,1,2023-09-03
Tumakuru,Satisfactory,73,CO,1,2023-09-04
Tumakuru,Moderate,104,CO,1,2023-09-06
Tumakuru,Satisfactory,86,CO,1,2023-09-07
Tumakuru,Moderate,114,CO,1,2023-09-08
Tumakuru,Good,45,CO,1,2023-09-09
Tumakuru,Satisfactory,92,CO,1,2023-09-10
Tumakuru,Satisfactory,51,CO,1,2023-09-14
Tumakuru,Good,48,CO,1,2023-09-15
Tumakuru,Satisfactory,82,CO,1,2023-09-17
Tumakuru,Good,45,CO,1,2023-09-18
Tumakuru,Satisfactory,66,"PM
10",1,2023-09-21
Tumakuru,Satisfactory,75,"PM
10",1,2023-09-22
Tumakuru,Satisfactory,"69
* AQ","PM
10
I is not calculated for today's bullet","1
in for Ahmednagar, Aizawl, Ajmer,",2023-09-23
Tumakuru,Satisfactory,65,"PM
10",1,2023-09-24
Tumakuru,Satisfactory,"72
* AQ","PM
10
I is not calculated for today's bullet","1
in for Agartala, Ahmednagar,",2023-09-25
Tumakuru,Satisfactory,65,CO,1,2023-09-26
Tumakuru,Satisfactory,69,"PM
10",1,2023-09-27
Tumakuru,Satisfactory,56,"PM
10",1,2023-09-28
Tumakuru,Good,31,"PM
10",1,2023-09-29
Tumakuru,Good,28,"PM
10",1,2023-09-30
Tumakuru,Good,23,"PM
10",1,2023-10-01
Tumakuru,Good,21,CO,1,2023-10-02
Tumakuru,Good,19,"PM
10",1,2023-10-03
Tumakuru,Good,21,CO,1/1,2023-10-04
Tumakuru,Satisfactory,70,CO,1/1,2023-10-05
Tumakuru,Good,35,"PM
10",1/1,2023-10-06
Tumakuru,Good,36,"PM
10",1/1,2023-10-07
Tumakuru,Good,47,"PM
10",1/1,2023-10-09
Tumakuru,Moderate,113,"PM
10",1/1,2023-10-17
