City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Tumidih,Moderate,123,"PM
2.5",1,2023-03-13
Tumidih,Moderate,171,"O
3",1,2023-03-14
Tumidih,Moderate,126,"O
3",1,2023-03-15
Tumidih,Poor,235,"PM
2.5",1,2023-03-16
Tumidih,Satisfactory,90,"PM
10",1,2023-03-17
Tumidih,Satisfactory,95,"PM
10",1,2023-03-18
Tumidih,Satisfactory,86,"PM
10",1,2023-03-19
Tumidih,Satisfactory,51,"PM
10",1,2023-03-20
Tumidih,Satisfactory,56,"PM
2.5",1,2023-03-22
Tumidih,Satisfactory,68,"O
3",1,2023-03-23
Tumidih,Satisfactory,91,"PM
2.5",1,2023-03-24
Tumidih,Satisfactory,86,"PM
2.5",1,2023-03-25
Tumidih,Satisfactory,78,"PM
2.5",1,2023-03-26
Tumidih,Satisfactory,67,"PM
2.5",1,2023-03-27
Tumidih,Moderate,164,"PM
2.5",1,2023-03-29
Tumidih,Moderate,142,"PM
10",1,2023-03-30
Tumidih,Satisfactory,69,"O
3",1,2023-03-31
Tumidih,Poor,207,"PM
10",1,2023-04-04
Tumidih,Moderate,132,"PM
10",1,2023-04-05
Tumidih,Moderate,119,"PM
10",1,2023-04-06
Tumidih,Moderate,159,"O
3",1,2023-04-07
Tumidih,Moderate,142,"PM
10",1,2023-04-08
Tumidih,Satisfactory,73,"PM
10",1,2023-04-09
Tumidih,Moderate,104,"O
3",1,2023-04-11
Tumidih,Moderate,167,"O
3",1,2023-04-12
Tumidih,Moderate,141,"PM
10",1,2023-04-13
Tumidih,Poor,208,"PM
10",1,2023-04-14
Tumidih,Moderate,165,"O
3",1,2023-04-16
Tumidih,Moderate,152,"PM
10",1,2023-04-19
Tumidih,Satisfactory,80,"PM
10",1,2023-04-20
Tumidih,Satisfactory,82,"PM
10",1,2023-04-21
Tumidih,Satisfactory,88,"PM
10",1,2023-04-22
Tumidih,Satisfactory,56,"PM
10",1,2023-04-23
Tumidih,Satisfactory,71,"PM
10",1,2023-04-24
Tumidih,Good,47,"O
3",1,2023-04-26
Tumidih,Satisfactory,59,"PM
10",1,2023-04-27
Tumidih,Satisfactory,56,"PM
10",1,2023-04-28
Tumidih,Good,36,"NO
2",1,2023-04-29
Tumidih,Good,36,"PM
10",1,2023-04-30
Tumidih,Good,33,CO,1,2023-05-01
Tumidih,Satisfactory,58,"PM
10",1,2023-05-03
Tumidih,Satisfactory,66,"PM
10",1,2023-05-04
Tumidih,Good,50,"O
3",1,2023-05-06
Tumidih,Moderate,105,"PM
10",1,2023-05-07
Tumidih,Satisfactory,67,"PM
10",1,2023-05-09
Tumidih,Satisfactory,66,"PM
10",1,2023-05-10
Tumidih,Moderate,111,"PM
10",1,2023-05-11
Tumidih,Moderate,155,"PM
10",1,2023-05-12
Tumidih,Moderate,181,"PM
10",1,2023-05-13
Tumidih,Poor,209,"PM
10",1,2023-05-14
Tumidih,Poor,237,"PM
10",1,2023-05-16
Tumidih,Moderate,180,"PM
2.5",1,2023-05-17
Tumidih,Moderate,193,"PM
10",1,2023-05-18
Tumidih,Poor,206,"PM
10",1,2023-05-19
Tumidih,Moderate,176,"PM
10",1,2023-05-20
Tumidih,Moderate,106,"PM
10",1,2023-05-23
Tumidih,Moderate,130,"PM
10",1,2023-05-24
Tumidih,Moderate,160,"PM
10",1,2023-05-25
Tumidih,Satisfactory,95,"PM
10",1,2023-05-26
Tumidih,Satisfactory,93,"PM
10",1,2023-05-27
Tumidih,Poor,208,"PM
10",1,2023-06-02
Tumidih,Moderate,140,"PM
2.5",1,2023-06-08
Tumidih,Moderate,134,"PM
2.5",1,2023-06-12
Tumidih,Satisfactory,53,"PM
10",1,2023-06-14
Tumidih,Satisfactory,86,"PM
10",1,2023-06-15
Tumidih,Satisfactory,77,"PM
10",1,2023-06-17
Tumidih,Satisfactory,79,"PM
10",1,2023-06-18
Tumidih,Moderate,120,"PM
10",1,2023-06-19
Tumidih,Moderate,116,"PM
10",1,2023-06-20
Tumidih,Good,47,"O
3",1,2023-06-23
Tumidih,Good,41,"O
3",1,2023-06-24
Tumidih,Satisfactory,51,"PM
10",1,2023-06-25
Tumidih,Good,31,"O
3",1,2023-06-26
Tumidih,Good,36,"PM
10",1,2023-06-27
Tumidih,Satisfactory,55,"PM
10",1,2023-06-28
Tumidih,Satisfactory,53,"PM
10",1,2023-06-30
Tumidih,Good,43,"PM
10",1,2023-07-01
Tumidih,Good,36,"PM
10",1,2023-07-02
Tumidih,Good,36,"PM
10",1,2023-07-03
Tumidih,Satisfactory,79,"PM
10",1,2023-07-04
Tumidih,Satisfactory,64,"PM
10",1,2023-07-05
Tumidih,Satisfactory,62,"PM
10",1,2023-07-06
Tumidih,Good,39,"PM
10",1,2023-07-07
Tumidih,Satisfactory,56,"PM
10",1,2023-07-08
Tumidih,Satisfactory,79,"PM
10",1,2023-07-09
Tumidih,Good,41,"PM
10",1,2023-07-10
Tumidih,Satisfactory,58,"PM
10",1,2023-07-11
Tumidih,Satisfactory,58,"PM
10",1,2023-07-12
Tumidih,Good,24,CO,1,2023-07-16
Tumidih,Good,24,"O
3",1,2023-07-17
Tumidih,Good,29,"PM
10",1,2023-07-18
Tumidih,Good,25,"PM
10",1,2023-07-19
Tumidih,Good,25,"PM
10",1,2023-07-20
Tumidih,Good,23,"PM
10",1,2023-07-21
Tumidih,Good,18,"O
3",1,2023-07-22
Tumidih,Good,31,"PM
10",1,2023-07-23
Tumidih,Good,29,"PM
10",1,2023-07-24
Tumidih,Good,30,"PM
10",1,2023-07-25
Tumidih,Good,27,"PM
10",1,2023-07-26
Tumidih,Good,33,"PM
10",1,2023-07-27
Tumidih,Good,37,"PM
10",1,2023-07-28
Tumidih,Good,29,"O
3",1,2023-07-29
Tumidih,Good,30,"PM
10",1,2023-07-30
Tumidih,Good,31,"PM
2.5",1,2023-08-04
Tumidih,Good,17,CO,1,2023-08-05
Tumidih,Good,19,"PM
10",1,2023-08-06
Tumidih,Good,21,"O
3",1,2023-08-07
Tumidih,Good,35,"PM
10",1,2023-08-09
Tumidih,Good,42,"PM
10",1,2023-08-10
Tumidih,Good,48,"PM
10",1,2023-08-11
Tumidih,Good,39,"PM
10",1,2023-08-12
Tumidih,Good,32,"PM
10",1,2023-08-13
Tumidih,Satisfactory,83,"PM
10",1,2023-08-14
Tumidih,Good,41,"PM
10",1,2023-08-19
Tumidih,Satisfactory,51,"PM
10",1,2023-08-20
Tumidih,Good,29,"PM
10",1,2023-08-21
Tumidih,Good,39,"PM
10",1,2023-08-22
Tumidih,Good,48,"PM
10",1,2023-08-23
Tumidih,Good,24,"PM
10",1,2023-08-24
Tumidih,Good,33,"PM
10",1,2023-08-26
Tumidih,Satisfactory,57,"PM
10",1,2023-08-27
Tumidih,Satisfactory,58,"PM
10",1,2023-08-28
Tumidih,Satisfactory,81,"PM
10",1,2023-08-29
Tumidih,Satisfactory,58,"PM
10",1,2023-08-30
Tumidih,Good,39,"PM
10",1,2023-08-31
Tumidih,Satisfactory,62,"PM
10",1,2023-09-01
Tumidih,Good,30,CO,1,2023-09-05
Tumidih,Good,25,CO,1,2023-09-06
Tumidih,Good,25,CO,1,2023-09-07
Tumidih,Good,44,"PM
10",1,2023-09-08
Tumidih,Good,39,"PM
10",1,2023-09-12
Tumidih,Good,26,"O
3",1,2023-09-13
Tumidih,Good,23,"O
3",1,2023-09-14
Tumidih,Good,48,"PM
10",1,2023-09-15
Tumidih,Good,24,CO,1,2023-09-17
Tumidih,Good,38,"PM
10",1,2023-09-26
Tumidih,Good,36,"O
3",1,2023-09-27
Tumidih,Satisfactory,71,"PM
10",1,2023-09-28
Tumidih,Good,32,"O
3",1,2023-09-29
Tumidih,Good,36,"PM
2.5",1,2023-09-30
Tumidih,Good,29,"PM
10",1,2023-10-01
Tumidih,Good,23,CO,1,2023-10-02
Tumidih,Good,22,"O
3",1,2023-10-03
Tumidih,Good,43,"O
3",1/1,2023-10-05
Tumidih,Good,50,"O
3",1/1,2023-10-08
Tumidih,Satisfactory,62,"PM
10",1/1,2023-10-09
Tumidih,Satisfactory,69,"PM
10",1/1,2023-10-12
Tumidih,Satisfactory,81,"PM
10",1/1,2023-10-13
Tumidih,Satisfactory,96,"PM
10",1/1,2023-10-14
Tumidih,Satisfactory,82,"PM
10",1/1,2023-10-15
Tumidih,Satisfactory,93,"PM
10",1/1,2023-10-16
Tumidih,Satisfactory,73,"PM
10",1/1,2023-10-17
Tumidih,Satisfactory,53,"PM
10",1/1,2023-10-18
