City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Udaipur,Moderate,179,"PM
2.5",1,2017-11-04
Udaipur,Poor,242,"PM
2.5",1,2017-11-05
Udaipur,Poor,242,"PM
2.5",1,2017-11-06
Udaipur,Moderate,188,"PM
2.5",1,2017-11-07
Udaipur,Moderate,180,"PM
2.5",1,2017-11-08
Udaipur,Moderate,187,"PM
2.5",1,2017-11-09
Udaipur,Moderate,199,"PM
2.5",1,2017-11-10
Udaipur,Poor,223,"PM
2.5",1#,2017-11-11
Udaipur,Poor,231,"PM
2.5",1,2017-11-12
Udaipur,Poor,227,"PM
2.5",1,2017-11-13
Udaipur,Poor,207,"PM
2.5",1,2017-11-14
Udaipur,Poor,212,"PM
2.5",1#,2017-11-15
Udaipur,Poor,202,"PM
2.5",1,2017-11-16
Udaipur,Very Poor,307,"PM
2.5",1,2017-11-17
Udaipur,Poor,298,"PM
2.5",1,2017-11-18
Udaipur,Poor,283,"PM
2.5",1,2017-11-19
Udaipur,Poor,280,"PM
2.5",1,2017-11-20
Udaipur,Moderate,168,"PM
2.5",1,2017-11-21
Udaipur,Moderate,151,"PM
2.5",1,2017-11-22
Udaipur,Moderate,134,"PM
10",1,2017-11-23
Udaipur,Moderate,159,"PM
10",1,2017-11-24
Udaipur,Moderate,162,"PM
10",1#,2017-11-25
Udaipur,Moderate,163,"PM
10",1,2017-11-26
Udaipur,Moderate,168,"PM
2.5",1#,2017-11-27
Udaipur,Satisfactory,70,CO,1#,2017-11-28
Udaipur,Satisfactory,63,"O
3",1,2017-11-29
Udaipur,Moderate,144,"PM
10",1,2017-11-30
Udaipur,Moderate,173,"PM
10",1#,2017-12-01
Udaipur,Moderate,158,"PM
10",1,2017-12-02
Udaipur,Moderate,152,"PM
10",1,2017-12-03
Udaipur,Moderate,166,"PM
2.5",1,2017-12-04
Udaipur,Moderate,197,"PM
2.5",1#,2017-12-05
Udaipur,Moderate,123,"PM
10",1,2017-12-07
Udaipur,Poor,221,"PM
10",1,2017-12-09
Udaipur,Moderate,186,"PM
10",1,2017-12-10
Udaipur,Moderate,195,"PM
10",1,2017-12-11
Udaipur,Moderate,118,"PM
10",1#,2017-12-12
Udaipur,Moderate,144,"PM
10",1,2017-12-13
Udaipur,Moderate,136,"PM
10",1,2017-12-17
Udaipur,Moderate,158,"PM
10",1,2017-12-18
Udaipur,Poor,207,"PM
10",1,2017-12-19
Udaipur,Poor,212,"PM
10",1#,2017-12-20
Udaipur,Moderate,190,"PM
10",1,2017-12-21
Udaipur,Moderate,184,"PM
10",1#,2017-12-22
Udaipur,Poor,211,"PM
10",1,2017-12-23
Udaipur,Moderate,199,"PM
10",1,2017-12-24
Udaipur,Moderate,159,"PM
10",1,2017-12-25
Udaipur,Moderate,194,"PM
10",1#,2017-12-26
Udaipur,Moderate,183,"PM
10",1,2017-12-27
Udaipur,Moderate,192,"PM
10",1#,2017-12-28
Udaipur,Moderate,178,"PM
2.5",1,2017-12-29
Udaipur,Moderate,192,"PM
2.5",1#,2017-12-30
Udaipur,Poor,220,"PM
2.5",1#,2017-12-31
Udaipur,Moderate,200,"PM
2.5",1#,2018-01-01
Udaipur,Moderate,147,"PM
2.5",1,2018-01-02
Udaipur,Moderate,163,"PM
2.5",1,2018-01-03
Udaipur,Moderate,159,"PM
10",1#,2018-01-04
Udaipur,Moderate,159,"PM
2.5",1,2018-01-05
Udaipur,Poor,252,"PM
2.5",1#,2018-01-06
Udaipur,Moderate,170,"PM
10",1,2018-01-07
Udaipur,Moderate,179,"PM
2.5",1,2018-01-08
Udaipur,Poor,203,"PM
10",1#,2018-01-09
Udaipur,Poor,208,"PM
2.5",1#,2018-01-10
Udaipur,Moderate,192,"PM
2.5",1,2018-01-11
Udaipur,Moderate,170,"PM
2.5",1,2018-01-12
Udaipur,Poor,205,"PM
2.5",1,2018-01-13
Udaipur,Moderate,200,"PM
2.5",1,2018-01-14
Udaipur,Moderate,183,"PM
10",1#,2018-01-15
Udaipur,Moderate,192,"PM
10",1,2018-01-16
Udaipur,Moderate,194,"PM
10",1,2018-01-17
Udaipur,Moderate,106,"PM
10",1#,2018-01-18
Udaipur,Moderate,175,"PM
2.5",1,2018-01-19
Udaipur,Moderate,146,"PM
2.5",1,2018-01-20
Udaipur,Moderate,184,"PM
2.5",1,2018-01-21
Udaipur,Moderate,157,"PM
2.5",1,2018-01-22
Udaipur,Moderate,151,"PM
2.5",1,2018-01-23
Udaipur,Moderate,159,"PM
2.5",1,2018-01-24
Udaipur,Moderate,153,"PM
2.5",1,2018-01-25
Udaipur,Moderate,155,"PM
2.5",1,2018-01-26
Udaipur,Moderate,147,"PM
2.5",1#,2018-01-27
Udaipur,Moderate,122,"PM
10",1,2018-01-28
Udaipur,Moderate,126,PM2.5,1,2018-01-29
Udaipur,Moderate,153,PM2.5,1,2018-01-30
Udaipur,Moderate,157,"PM
2.5",1,2018-01-31
Udaipur,Moderate,120,"PM
10",1,2018-02-01
Udaipur,Moderate,119,"PM
2.5",1,2018-02-02
Udaipur,Moderate,128,"PM
10",1,2018-02-04
Udaipur,Moderate,117,"PM
2.5",1,2018-02-05
Udaipur,Moderate,128,"PM
10",1,2018-02-06
Udaipur,Moderate,141,"PM
2.5",1,2018-02-07
Udaipur,Moderate,129,"PM
10",1,2018-02-10
Udaipur,Satisfactory,96,"PM
10",1,2018-02-12
Udaipur,Moderate,121,"PM
2.5",1,2018-02-14
Udaipur,Moderate,161,"PM
2.5",1,2018-02-16
Udaipur,Moderate,141,"PM
2.5",1,2018-02-25
Udaipur,Moderate,164,"PM
2.5",1,2018-02-26
Udaipur,Satisfactory,96,"PM
2.5",1,2018-03-01
Udaipur,Satisfactory,97,"PM
10",1,2018-03-02
Udaipur,Satisfactory,94,"PM
2.5",1,2018-03-03
Udaipur,Moderate,156,"PM
2.5",1,2018-03-04
Udaipur,Moderate,105,"PM
2.5",1,2018-03-07
Udaipur,Moderate,129,"PM
2.5",1,2018-03-08
Udaipur,Satisfactory,83,"PM
10",1,2018-03-10
Udaipur,Moderate,170,"PM
2.5",1,2018-03-14
Udaipur,Poor,201,"PM
2.5",1,2018-03-15
Udaipur,Poor,206,"PM
2.5",1,2018-03-16
Udaipur,Moderate,197,"PM
2.5",1,2018-03-17
Udaipur,Poor,234,"PM
2.5",1,2018-03-18
Udaipur,Poor,230,"PM
2.5",1,2018-03-19
Udaipur,Moderate,153,"PM
2.5",1,2018-03-20
Udaipur,Moderate,148,"PM
2.5",1,2018-03-21
Udaipur,Moderate,140,"PM
2.5",1,2018-03-22
Udaipur,Satisfactory,85,"PM
10",1,2018-03-23
Udaipur,Moderate,105,"PM
10",1,2018-03-24
Udaipur,Moderate,108,"PM
10",1,2018-03-29
Udaipur,Satisfactory,94,"PM
10",1,2018-03-30
Udaipur,Satisfactory,93,"PM
10",1,2018-03-31
Udaipur,Moderate,108,"PM
10",1,2018-04-01
Udaipur,Moderate,114,"PM
2.5",1,2018-04-02
Udaipur,Satisfactory,93,"PM
2.5",1,2018-04-03
Udaipur,Satisfactory,92,"PM
10",1,2018-04-04
Udaipur,Moderate,120,"PM
10",1,2018-04-05
Udaipur,Moderate,127,"PM
10",1,2018-04-06
Udaipur,Moderate,127,"PM
10",1,2018-04-07
Udaipur,Moderate,144,"PM
10",1,2018-04-11
Udaipur,Moderate,133,"PM
10",1,2018-04-12
Udaipur,Moderate,138,"PM
10",1,2018-04-13
Udaipur,Moderate,125,"PM
10",1,2018-04-14
Udaipur,Moderate,138,"PM
10",1,2018-04-15
Udaipur,Moderate,132,"PM
10",1,2018-04-17
Udaipur,Moderate,158,"PM
10",1,2018-04-18
Udaipur,Moderate,147,"PM
10",1,2018-04-19
Udaipur,Moderate,168,"PM
10",1,2018-04-20
Udaipur,Moderate,170,"PM
10",1,2018-04-21
Udaipur,Moderate,156,"PM
10",1,2018-04-22
Udaipur,Moderate,153,"PM
10",1,2018-04-23
Udaipur,Moderate,152,"PM
10",1,2018-04-24
