City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Udupi,Moderate,184,"O
3",1,2021-02-11
Udupi,Poor,216,"O
3",1,2021-02-12
Udupi,Poor,222,"O
3",1,2021-02-13
Udupi,Moderate,155,"O
3",1,2021-02-14
Udupi,Moderate,151,"O
3",1,2021-02-15
Udupi,Poor,233,"O
3",1,2021-02-16
Udupi,Poor,216,"O
3",1,2021-02-17
Udupi,Moderate,170,"O
3",1,2021-02-18
Udupi,Satisfactory,87,"O
3",1,2021-02-19
Udupi,Satisfactory,70,CO,1,2021-02-20
Udupi,Moderate,134,"O
3",1,2021-02-21
Udupi,Poor,222,"O
3",1,2021-02-23
Udupi,Moderate,189,"O
3",1,2021-02-24
Udupi,Poor,221,"O
3",1,2021-02-25
Udupi,Poor,270,"O
3",1,2021-02-26
Udupi,Satisfactory,66,CO,1,2021-03-03
Udupi,Moderate,186,"O
3",1,2021-03-04
Udupi,Satisfactory,86,"O
3",1,2021-03-05
Udupi,Poor,244,"O
3",1,2021-03-07
Udupi,Poor,242,"O
3",1,2021-03-10
Udupi,Moderate,156,"O
3",1,2021-03-11
Udupi,Moderate,174,"O
3",1,2021-03-12
Udupi,Satisfactory,77,"PM
10",1,2021-03-18
Udupi,Satisfactory,70,CO,1,2021-03-19
Udupi,Satisfactory,68,"O
3",1,2021-03-20
Udupi,Moderate,132,"O
3",1,2021-03-23
Udupi,Satisfactory,71,CO,1,2021-03-24
Udupi,Poor,255,"O
3",1,2021-03-25
Udupi,Moderate,186,"O
3",1,2021-03-27
Udupi,Severe,500,"PM
10",1,2021-03-28
Udupi,Severe,403,"PM
10",1,2021-03-29
Udupi,Satisfactory,80,"O
3",1,2021-03-30
Udupi,Satisfactory,79,"O
3",1,2021-04-02
Udupi,Moderate,107,"O
3",1,2021-04-03
Udupi,Moderate,127,"O
3",1,2021-04-04
Udupi,Moderate,192,"O
3",1,2021-04-06
Udupi,Moderate,155,"O
3",1,2021-04-07
Udupi,Poor,228,"O
3",1,2021-04-08
Udupi,Poor,206,"O
3",1,2021-04-09
Udupi,Moderate,130,"O
3",1,2021-04-10
Udupi,Poor,273,"O
3",1,2021-04-16
Udupi,Satisfactory,67,CO,1,2021-04-18
Udupi,Satisfactory,90,"O
3",1,2021-04-28
Udupi,Moderate,174,"O
3",1,2021-05-01
Udupi,Satisfactory,72,CO,1,2021-05-04
Udupi,Satisfactory,76,CO,1,2021-05-05
Udupi,Satisfactory,74,CO,1,2021-05-08
Udupi,Moderate,118,"O
3",1,2021-05-12
Udupi,Satisfactory,95,"O
3",1,2021-05-14
Udupi,Satisfactory,76,CO,1,2021-05-22
Udupi,Satisfactory,75,CO,1,2021-05-23
Udupi,Satisfactory,70,CO,1,2021-05-24
Udupi,Satisfactory,80,CO,1,2021-05-26
Udupi,Satisfactory,78,CO,1,2021-05-27
Udupi,Satisfactory,79,CO,1,2021-06-03
Udupi,Satisfactory,78,CO,1,2021-06-04
Udupi,Satisfactory,78,CO,1,2021-06-08
Udupi,Moderate,177,"O
3",1,2021-06-20
Udupi,Satisfactory,82,CO,1,2021-06-23
Udupi,Satisfactory,87,CO,1,2021-06-26
Udupi,Satisfactory,81,CO,1,2021-06-28
Udupi,Satisfactory,81,CO,1,2021-06-30
Udupi,Satisfactory,75,CO,1,2021-07-01
Udupi,Satisfactory,84,CO,1,2021-07-02
Udupi,Satisfactory,81,"O
3",1,2021-07-03
Udupi,Moderate,121,"O
3",1,2021-07-05
Udupi,Satisfactory,87,CO,1,2021-07-12
Udupi,Satisfactory,84,CO,1,2021-07-21
Udupi,Satisfactory,79,CO,1,2021-07-22
Udupi,Satisfactory,79,CO,1,2021-07-23
Udupi,Satisfactory,79,CO,1,2021-07-24
Udupi,Satisfactory,92,CO,1,2021-07-26
Udupi,Moderate,110,"O
3",1,2021-07-28
Udupi,Moderate,133,"O
3",1,2021-07-29
Udupi,Moderate,174,"O
3",1,2021-07-30
Udupi,Poor,227,"O
3",1,2021-08-01
Udupi,Poor,274,"O
3",1,2021-08-02
Udupi,Moderate,134,"O
3",1,2021-08-03
Udupi,Satisfactory,87,CO,1,2021-08-06
Udupi,Satisfactory,87,CO,1,2021-08-07
Udupi,Satisfactory,96,CO,1,2021-08-09
Udupi,Satisfactory,99,CO,1,2021-08-10
Udupi,Moderate,188,"O
3",1,2021-08-11
Udupi,Poor,265,"O
3",1,2021-08-12
Udupi,Satisfactory,93,CO,1,2021-08-13
Udupi,Satisfactory,88,CO,1,2021-08-14
Udupi,Satisfactory,94,CO,1,2021-08-15
Udupi,Satisfactory,95,CO,1,2021-08-16
Udupi,Moderate,101,CO,1,2021-08-17
Udupi,Satisfactory,96,CO,1,2021-08-18
Udupi,Satisfactory,99,CO,1,2021-08-20
Udupi,Moderate,145,"O
3",1,2021-08-22
Udupi,Moderate,103,"O
3",1,2021-08-23
Udupi,Satisfactory,98,CO,1,2021-08-26
Udupi,Moderate,112,"O
3",1,2021-08-27
Udupi,Poor,206,"O
3",1,2021-08-31
Udupi,Satisfactory,100,CO,1,2021-09-01
Udupi,Moderate,101,CO,1,2021-09-03
Udupi,Satisfactory,97,CO,1,2021-09-04
Udupi,Satisfactory,94,CO,1,2021-09-07
Udupi,Satisfactory,99,CO,1,2021-09-08
Udupi,Satisfactory,96,CO,1,2021-09-09
Udupi,Satisfactory,94,CO,1,2021-09-10
Udupi,Satisfactory,96,CO,1,2021-09-16
Udupi,Satisfactory,99,CO,1,2021-09-17
Udupi,Moderate,103,CO,1,2021-09-20
Udupi,Moderate,104,CO,1,2021-09-22
Udupi,Moderate,104,CO,1,2021-09-23
Udupi,Poor,223,"O
3",1,2021-09-25
Udupi,Satisfactory,99,CO,1,2021-09-26
Udupi,Moderate,106,CO,1,2021-09-28
Udupi,Moderate,102,CO,1,2021-09-30
Udupi,Moderate,103,CO,1,2021-10-01
Udupi,Moderate,103,CO,1,2021-10-02
Udupi,Poor,205,"O
3",1,2021-10-05
Udupi,Poor,226,"O
3",1,2021-10-06
Udupi,Moderate,106,CO,1,2021-10-14
Udupi,Moderate,104,CO,1,2021-10-15
Udupi,Moderate,110,CO,1,2021-10-16
Udupi,Moderate,108,CO,1,2021-10-19
Udupi,Satisfactory,100,CO,1,2021-10-20
Udupi,Moderate,123,"O
3",1,2021-10-21
Udupi,Moderate,111,CO,1,2021-10-23
Udupi,Moderate,109,CO,1,2021-10-29
Udupi,Moderate,143,"O
3",1,2021-10-30
Udupi,Moderate,159,"O
3",1,2021-11-02
Udupi,Poor,214,"O
3",1,2021-11-03
Udupi,Good,46,"O
3",1,2021-11-07
Udupi,Good,48,"O
3",1,2021-11-08
Udupi,Satisfactory,60,"O
3",1,2021-11-09
Udupi,Good,36,CO,1,2021-11-10
Udupi,Poor,272,"O
3",1,2021-11-13
Udupi,Satisfactory,67,"O
3",1,2021-11-16
Udupi,Moderate,122,"O
3",1,2021-11-22
Udupi,Good,35,"O
3",1,2021-11-23
Udupi,Good,41,"O
3",1,2021-11-24
Udupi,Good,41,"O
3",1,2021-11-25
