City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Ujjain,Poor,211,"PM
2.5",1,2017-11-25
Ujjain,Poor,225,"PM
2.5",1,2017-11-26
Ujjain,Poor,252,"PM
2.5",1#,2017-11-27
Ujjain,Satisfactory,62,"NO
2",1#,2017-11-29
Ujjain,Moderate,171,"PM
2.5",1,2017-11-30
Ujjain,Moderate,137,"PM
2.5",1,2017-12-01
Ujjain,Moderate,110,"PM
10",1,2017-12-02
Ujjain,Moderate,114,"PM
10",1,2017-12-03
Ujjain,Moderate,166,"PM
2.5",1,2017-12-04
Ujjain,Moderate,169,"PM
2.5",1,2017-12-05
Ujjain,Poor,225,"PM
2.5",1,2017-12-06
Ujjain,Poor,279,"PM
2.5",1#,2017-12-07
Ujjain,Poor,248,"PM
2.5",1#,2017-12-08
Ujjain,Moderate,115,"O
3",1,2017-12-10
Ujjain,Moderate,122,"PM
2.5",1#,2017-12-11
Ujjain,Moderate,168,"PM
2.5",1,2017-12-12
Ujjain,Moderate,156,"O
3",1,2017-12-13
Ujjain,Poor,222,"PM
2.5",1,2017-12-14
Ujjain,Poor,281,"PM
2.5",1,2017-12-15
Ujjain,Poor,270,"PM
2.5",1,2017-12-16
Ujjain,Moderate,170,"O
3",1,2017-12-17
Ujjain,Moderate,141,"PM
2.5",1,2017-12-18
Ujjain,Moderate,146,"PM
2.5",1,2017-12-19
Ujjain,Moderate,153,"PM
2.5",1,2017-12-20
Ujjain,Poor,245,"PM
2.5",1#,2017-12-21
Ujjain,Poor,207,"PM
2.5",1,2017-12-23
Ujjain,Poor,218,"PM
2.5",1,2017-12-24
Ujjain,Moderate,177,"O
3",1,2017-12-25
Ujjain,Moderate,130,"PM
2.5",1,2017-12-26
Ujjain,Moderate,156,"O
3",1,2017-12-27
Ujjain,Moderate,170,"PM
2.5",1,2017-12-28
Ujjain,Poor,218,"O
3",1,2017-12-29
Ujjain,Poor,227,"O
3",1,2017-12-30
Ujjain,Poor,299,"PM
10",1,2017-12-31
Ujjain,Severe,435,"PM
2.5",1,2018-01-01
Ujjain,Poor,203,"PM
2.5",1,2018-01-02
Ujjain,Moderate,167,"O
3",1,2018-01-03
Ujjain,Moderate,186,"O
3",1,2018-01-04
Ujjain,Poor,292,"PM
2.5",1#,2018-01-05
Ujjain,Moderate,173,"O
3",1,2018-01-09
Ujjain,Moderate,186,"PM
2.5",1,2018-01-10
Ujjain,Poor,221,"PM
2.5",1,2018-01-11
Ujjain,Poor,236,"PM
2.5",1,2018-01-12
Ujjain,Moderate,155,"O
3",1,2018-01-13
Ujjain,Poor,213,"PM
2.5",1,2018-01-14
Ujjain,Moderate,167,"O
3",1,2018-01-15
Ujjain,Moderate,163,"PM
2.5",1,2018-01-16
Ujjain,Moderate,153,"PM
2.5",1,2018-01-17
Ujjain,Moderate,159,"PM
2.5",1,2018-01-18
Ujjain,Poor,213,"O
3",1,2018-01-19
Ujjain,Moderate,164,"PM
2.5",1,2018-01-20
Ujjain,Moderate,166,"O
3",1,2018-01-21
Ujjain,Moderate,196,"O
3",1,2018-01-22
Ujjain,Moderate,157,"PM
2.5",1,2018-01-23
Ujjain,Moderate,170,"O
3",1,2018-01-24
Ujjain,Poor,227,"PM
2.5",1,2018-01-25
Ujjain,Poor,224,"PM
2.5",1,2018-01-26
Ujjain,Poor,216,"PM
2.5",1,2018-01-27
Ujjain,Poor,219,"O
3",1,2018-01-28
Ujjain,Poor,243,PM2.5,1,2018-01-29
Ujjain,Poor,259,PM2.5,1,2018-01-30
Ujjain,Moderate,188,"PM
2.5",1,2018-01-31
Ujjain,Moderate,162,"PM
2.5",1,2018-02-01
Ujjain,Poor,243,OZONE,1,2018-02-02
Ujjain,Moderate,176,"PM
2.5",1,2018-02-03
Ujjain,Moderate,153,OZONE,1,2018-02-04
Ujjain,Poor,263,OZONE,1,2018-02-05
Ujjain,Moderate,146,"PM
10",1,2018-02-06
Ujjain,Moderate,136,"PM
10",1,2018-02-07
Ujjain,Moderate,161,"PM
2.5",1,2018-02-08
Ujjain,Moderate,152,OZONE,1,2018-02-09
Ujjain,Moderate,184,OZONE,1,2018-02-10
Ujjain,Moderate,126,"PM
10",1,2018-02-11
Ujjain,Moderate,106,"PM
10",1,2018-02-12
Ujjain,Moderate,132,"PM
2.5",1,2018-02-13
Ujjain,Moderate,110,OZONE,1,2018-02-14
Ujjain,Moderate,111,OZONE,1,2018-02-15
Ujjain,Moderate,154,OZONE,1,2018-02-16
Ujjain,Moderate,142,"PM
2.5",1,2018-02-17
Ujjain,Moderate,176,OZONE,1,2018-02-18
Ujjain,Moderate,191,"PM
10",1,2018-02-19
Ujjain,Moderate,163,OZONE,1,2018-02-20
Ujjain,Moderate,149,"PM
10",1,2018-02-21
Ujjain,Moderate,187,OZONE,1,2018-02-22
Ujjain,Moderate,178,OZONE,1,2018-02-23
Ujjain,Moderate,183,OZONE,1,2018-02-24
Ujjain,Moderate,166,OZONE,1,2018-02-25
Ujjain,Moderate,127,"PM
10",1,2018-02-26
Ujjain,Moderate,162,OZONE,1,2018-02-27
Ujjain,Moderate,163,OZONE,1,2018-02-28
Ujjain,Moderate,191,"PM
2.5",1,2018-03-01
Ujjain,Poor,221,"PM
2.5",1,2018-03-02
Ujjain,Moderate,181,OZONE,1,2018-03-03
Ujjain,Moderate,116,"PM
10",1,2018-03-04
Ujjain,Moderate,165,OZONE,1,2018-03-05
Ujjain,Moderate,169,OZONE,1,2018-03-06
Ujjain,Moderate,115,OZONE,1,2018-03-07
Ujjain,Poor,243,OZONE,1,2018-03-08
Ujjain,Poor,234,OZONE,1,2018-03-09
Ujjain,Poor,270,OZONE,1,2018-03-10
Ujjain,Moderate,175,OZONE,1,2018-03-11
Ujjain,Moderate,164,OZONE,1,2018-03-12
Ujjain,Poor,218,OZONE,1,2018-03-13
Ujjain,Moderate,108,"PM
10",1,2018-03-14
Ujjain,Moderate,118,"PM
10",1,2018-03-15
Ujjain,Moderate,131,"PM
10",1,2018-03-16
Ujjain,Moderate,171,OZONE,1,2018-03-17
Ujjain,Moderate,188,OZONE,1,2018-03-18
Ujjain,Moderate,160,OZONE,1,2018-03-19
Ujjain,Poor,220,OZONE,1,2018-03-20
Ujjain,Moderate,118,"PM
10",1,2018-03-21
Ujjain,Moderate,129,"PM
10",1,2018-03-22
Ujjain,Poor,201,OZONE,1,2018-03-23
Ujjain,Moderate,159,OZONE,1,2018-03-24
Ujjain,Moderate,173,OZONE,1,2018-03-25
Ujjain,Moderate,169,OZONE,1,2018-03-26
Ujjain,Poor,228,OZONE,1,2018-03-27
Ujjain,Moderate,172,OZONE,1,2018-03-28
Ujjain,Moderate,145,"PM
10",1,2018-03-29
Ujjain,Moderate,185,"PM
2.5",1,2018-03-30
Ujjain,Moderate,143,"PM
10",1,2018-03-31
Ujjain,Moderate,149,"PM
10",1,2018-04-01
Ujjain,Moderate,184,OZONE,1,2018-04-02
Ujjain,Moderate,152,OZONE,1,2018-04-03
Ujjain,Moderate,179,OZONE,1,2018-04-04
Ujjain,Moderate,179,OZONE,1,2018-04-05
