City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Ulhasnagar,Good,45,"PM
10",1,2023-07-23
Ulhasnagar,Good,36,"PM
10",1,2023-07-24
Ulhasnagar,Good,44,"PM
10",1,2023-07-25
Ulhasnagar,Good,34,"PM
10",1,2023-07-26
Ulhasnagar,Good,32,"PM
10",1,2023-07-27
Ulhasnagar,Good,45,"PM
10",1,2023-07-28
Ulhasnagar,Good,38,"PM
10",1,2023-07-29
Ulhasnagar,Satisfactory,54,"PM
10",1,2023-07-30
Ulhasnagar,Satisfactory,52,"PM
10",1,2023-07-31
Ulhasnagar,Satisfactory,51,"PM
10",1,2023-08-01
Ulhasnagar,Satisfactory,59,"PM
10",1,2023-08-02
Ulhasnagar,Satisfactory,54,"PM
10",1,2023-08-03
Ulhasnagar,Good,43,"PM
10",1,2023-08-04
Ulhasnagar,Good,45,"PM
10",1,2023-08-05
Ulhasnagar,Satisfactory,54,"PM
10",1,2023-08-06
Ulhasnagar,Satisfactory,57,"PM
10",1,2023-08-07
Ulhasnagar,Satisfactory,67,"PM
10",1,2023-08-08
Ulhasnagar,Satisfactory,60,"PM
10",1,2023-08-09
Ulhasnagar,Satisfactory,68,"PM
10",1,2023-08-10
Ulhasnagar,Satisfactory,58,"PM
10",1,2023-08-11
Ulhasnagar,Satisfactory,68,"PM
10",1,2023-08-12
Ulhasnagar,Satisfactory,54,"PM
10",1,2023-08-13
Ulhasnagar,Satisfactory,59,"PM
10",1,2023-08-14
Ulhasnagar,Satisfactory,64,"PM
10",1,2023-08-15
Ulhasnagar,Satisfactory,54,"PM
10",1,2023-08-16
Ulhasnagar,Satisfactory,62,"PM
10",1,2023-08-17
Ulhasnagar,Satisfactory,52,"PM
10",1,2023-08-18
Ulhasnagar,Satisfactory,64,"PM
10",1,2023-08-19
Ulhasnagar,Satisfactory,64,"PM
10",1,2023-08-20
Ulhasnagar,Satisfactory,53,"PM
10",1,2023-08-22
Ulhasnagar,Good,33,"PM
2.5",1,2023-08-23
Ulhasnagar,Good,41,"PM
10",1,2023-08-24
Ulhasnagar,Good,39,"PM
10",1,2023-08-25
Ulhasnagar,Good,36,"PM
10",1,2023-08-26
Ulhasnagar,Good,38,"PM
2.5",1,2023-08-27
Ulhasnagar,Satisfactory,68,"PM
10",1,2023-08-29
Ulhasnagar,Satisfactory,91,"PM
10",1,2023-08-30
Ulhasnagar,Satisfactory,95,"PM
10",1,2023-08-31
Ulhasnagar,Satisfactory,90,"PM
10",1,2023-09-01
Ulhasnagar,Satisfactory,87,"PM
10",1,2023-09-02
Ulhasnagar,Satisfactory,65,"PM
10",1,2023-09-03
Ulhasnagar,Satisfactory,82,"PM
10",1,2023-09-04
Ulhasnagar,Moderate,102,"PM
10",1,2023-09-05
Ulhasnagar,Moderate,101,"PM
10",1,2023-09-06
Ulhasnagar,Satisfactory,69,"PM
10",1,2023-09-07
Ulhasnagar,Good,46,"PM
2.5",1,2023-09-08
Ulhasnagar,Satisfactory,56,"PM
2.5",1,2023-09-09
Ulhasnagar,Satisfactory,57,"PM
10",1,2023-09-10
Ulhasnagar,Satisfactory,61,"PM
10",1,2023-09-11
Ulhasnagar,Satisfactory,72,"PM
10",1,2023-09-12
Ulhasnagar,Satisfactory,62,"PM
10",1,2023-09-14
Ulhasnagar,Satisfactory,57,"NO
2",1,2023-09-15
Ulhasnagar,Good,46,"PM
10",1,2023-09-16
Ulhasnagar,Satisfactory,52,"PM
10",1,2023-09-17
Ulhasnagar,Good,48,"PM
10",1,2023-09-18
Ulhasnagar,Satisfactory,52,"PM
10",1,2023-09-19
Ulhasnagar,Good,43,"PM
10",1,2023-09-20
Ulhasnagar,Good,41,"PM
2.5",1,2023-09-21
Ulhasnagar,Good,46,"PM
2.5",1,2023-09-22
Ulhasnagar,Good,37,"PM
2.5",1,2023-09-23
Ulhasnagar,Satisfactory,62,"PM
2.5",1,2023-09-24
Ulhasnagar,Satisfactory,64,"PM
2.5",1,2023-09-25
Ulhasnagar,Good,49,"PM
2.5",1,2023-09-27
Ulhasnagar,Satisfactory,60,"PM
2.5",1,2023-09-29
Ulhasnagar,Good,50,"PM
10",1,2023-09-30
Ulhasnagar,Satisfactory,73,CO,1,2023-10-01
Ulhasnagar,Satisfactory,94,"PM
10",1,2023-10-02
Ulhasnagar,Moderate,122,"PM
10",1,2023-10-03
Ulhasnagar,Moderate,121,"PM
10",1/1,2023-10-04
Ulhasnagar,Moderate,125,"PM
10",1/1,2023-10-05
Ulhasnagar,Moderate,124,"PM
10",1/1,2023-10-06
