City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Varanasi,,157,"PM
10",,2015-05-01
Varanasi,,156,"PM
10",,2015-05-02
Varanasi,,211,"PM
10",,2015-05-03
Varanasi,,227,"PM
10",,2015-05-04
Varanasi,,213,"PM
2.5",,2015-05-08
Varanasi,,170,"PM
10",,2015-05-09
Varanasi,,267,"PM
10",,2015-05-10
Varanasi,,301,"PM
10",,2015-05-11
Varanasi,,212,"PM
10",,2015-05-12
Varanasi,,202,"PM
10",,2015-05-13
Varanasi,,274,"PM
10",,2015-05-14
Varanasi,,157,"PM
10",1,2015-05-15
Varanasi,,168,"PM
10",1,2015-05-16
Varanasi,,130,"PM
10",1,2015-05-17
Varanasi,,166,"PM
10",1,2015-05-18
Varanasi,,140,"PM
10",1,2015-05-19
Varanasi,,192,"PM
10",1,2015-05-20
Varanasi,,234,"PM
10",1,2015-05-21
Varanasi,,266,"PM
10",1,2015-05-22
Varanasi,,273,"PM
10",1,2015-05-23
Varanasi,,342,"PM
10",1,2015-05-24
Varanasi,,263,"PM
10",1,2015-05-25
Varanasi,,215,"PM
10",1,2015-05-26
Varanasi,,208,"PM
10",1,2015-05-27
Varanasi,,196,"PM
10",1,2015-05-28
Varanasi,,334,"PM
10",1,2015-05-29
Varanasi,,270,"PM
2.5",1,2015-05-30
Varanasi,,198,"PM
10",1,2015-05-31
Varanasi,,326,"PM
10",1,2015-06-01
Varanasi,,241,"PM
10",1,2015-06-03
Varanasi,,296,"PM
2.5",1,2015-06-04
Varanasi,,222,"PM
10",1,2015-06-05
Varanasi,,275,"PM
10",1,2015-06-06
Varanasi,,261,"PM
10",1,2015-06-07
Varanasi,,247,"PM
10",1,2015-06-08
Varanasi,,335,"PM
10",1,2015-06-09
Varanasi,,356,"PM
10",1,2015-06-10
Varanasi,,311,"PM
10",1,2015-06-11
Varanasi,,107,"PM ,
10",1,2015-06-13
Varanasi,,155,"PM
10",1,2015-06-14
Varanasi,,114,"PM
10",1,2015-06-15
Varanasi,,119,"PM
10",1,2015-06-16
Varanasi,,121,"PM
10",1,2015-06-17
Varanasi,,116,"PM
10",1,2015-06-18
Varanasi,,129,"PM
10",1,2015-06-19
Varanasi,,103,"PM
10",1,2015-06-20
Varanasi,,113,"PM
10",1,2015-06-21
Varanasi,,99,"PM
10",1,2015-06-22
Varanasi,,61,"PM
10",1,2015-06-23
Varanasi,,79,"PM
10",1,2015-06-24
Varanasi,,78,"PM
10",1,2015-06-25
Varanasi,,80,"PM
10",1,2015-06-26
Varanasi,,127,"PM
10",1,2015-06-27
Varanasi,Satisfactory,69,"PM
10",1,2015-06-28
Varanasi,Moderate,144,"PM
10",1,2015-07-01
Varanasi,,143,"PM
10",1,2015-07-02
Varanasi,,130,"PM
10",1,2015-07-03
Varanasi,,147,"PM
10",1,2015-07-04
Varanasi,,142,"PM
10",1,2015-07-05
Varanasi,,96,"PM
10",1,2015-07-06
Varanasi,,79,"PM
10",1,2015-07-07
Varanasi,,39,"PM
10",1,2015-07-08
Varanasi,,45,"PM
10",1,2015-07-09
Varanasi,,24,"PM
2.5",1,2015-07-11
Varanasi,Satisfactory,52,"PM
10",1,2015-07-12
Varanasi,,87,"PM
10",1,2015-07-13
Varanasi,,117,"PM
10",1,2015-07-14
Varanasi,,122,"PM
10",1,2015-07-15
Varanasi,,107,"PM
10",1,2015-07-16
Varanasi,,57,"PM
10",1,2015-07-17
Varanasi,,62,"PM
10",1,2015-07-18
Varanasi,Satisfactory,85,"PM
10",1,2015-07-19
Varanasi,,81,"PM
10",1,2015-07-20
Varanasi,,60,"PM
10",1,2015-07-21
Varanasi,Satisfactory,82,"PM
10",1,2015-07-22
Varanasi,,62,"PM
10",1,2015-07-23
Varanasi,,46,"PM
10",1,2015-07-24
Varanasi,,81,"PM
10",1,2015-07-25
Varanasi,Good,40,"PM
10",1,2015-07-26
Varanasi,,75,"PM
10",1,2015-07-27
Varanasi,,87,"PM
10",1,2015-07-28
Varanasi,,99,"PM
10",1(@ 3.00 PM),2015-07-29
Varanasi,,93,"PM
10",1,2015-07-30
Varanasi,,63,"PM
10",1,2015-07-31
Varanasi,,48,"PM
10",1,2015-08-01
Varanasi,,80,"PM
10",1,2015-08-02
Varanasi,,48,"PM
10",1,2015-08-04
Varanasi,,92,"PM
10",1,2015-08-05
Varanasi,,112,"PM
10",1,2015-08-06
Varanasi,,146,"PM
10",1,2015-08-07
Varanasi,,97,"PM
10",1,2015-08-08
Varanasi,,128,"PM
10",1,2015-08-09
Varanasi,,351,"PM
10",1,2015-08-10
Varanasi,,87,"PM
10",1,2015-08-11
Varanasi,,47,"PM
10",1,2015-08-12
Varanasi,,84,"PM
10",1,2015-08-13
Varanasi,,87,"PM
10",1,2015-08-14
Varanasi,Satisfactory,62,"PM
10",1,2015-08-15
Varanasi,Good,50,"PM
10",1,2015-08-18
Varanasi,Good,41,"PM
10",1,2015-08-19
Varanasi,Satisfactory,76,"PM
10",1#,2015-08-20
Varanasi,Moderate,107,"PM
10",1,2015-08-22
Varanasi,Satisfactory,93,"PM
10",1,2015-08-23
Varanasi,Satisfactory,84,"PM
10",1,2015-08-24
Varanasi,Moderate,106,"PM
10",1,2015-08-25
Varanasi,Moderate,118,"PM
10",1,2015-08-26
Varanasi,Satisfactory,84,"PM
10",1#,2015-08-27
Varanasi,Satisfactory,97,"PM
10",1,2015-08-29
Varanasi,Satisfactory,55,"PM
10",1#,2015-08-30
Varanasi,Satisfactory,94,"PM
10",1#,2015-09-01
Varanasi,Moderate,125,"PM
10",1,2015-09-02
Varanasi,Moderate,147,"PM
10",1,2015-09-03
Varanasi,Moderate,144,"PM
10",1,2015-09-04
Varanasi,Poor,236,"PM
10",1,2015-09-05
Varanasi,Moderate,174,"PM
10",1,2015-09-06
Varanasi,Moderate,147,"PM
10",1,2015-09-07
Varanasi,Moderate,186,"PM
10",1#,2015-09-09
Varanasi,Moderate,190,"PM
2.5",1#,2015-09-11
Varanasi,Moderate,150,"PM
2.5",1,2015-09-12
Varanasi,Moderate,106,"PM
2.5",1,2015-09-13
Varanasi,Moderate,139,"PM
2.5",1#,2015-09-14
Varanasi,Moderate,104,"PM
10",1,2015-09-15
Varanasi,Satisfactory,71,"PM
10",1,2015-09-16
Varanasi,Satisfactory,73,"PM
10",1,2015-09-17
Varanasi,Satisfactory,89,"PM
10",1,2015-09-18
Varanasi,Moderate,104,"PM
10",1,2015-09-19
Varanasi,Satisfactory,99,"PM
10",1,2015-09-20
Varanasi,Satisfactory,51,"PM
10",1,2015-09-21
Varanasi,Satisfactory,100,"PM
10",1,2015-09-23
Varanasi,Moderate,153,"PM
10",1,2015-09-25
Varanasi,Moderate,159,"PM
10",1,2015-09-26
Varanasi,Moderate,179,"PM
10",1,2015-09-27
Varanasi,Poor,224,"PM
10",1,2015-09-28
Varanasi,Moderate,192,"PM
2.5",1,2015-09-29
Varanasi,Moderate,163,"PM
10",1,2015-09-30
Varanasi,Moderate,164,"PM
10",1,2015-10-01
Varanasi,Moderate,162,"PM
10",1,2015-10-02
Varanasi,Moderate,188,"PM
10",1,2015-10-03
Varanasi,Very Poor,337,"PM
2.5",1,2015-10-06
Varanasi,Very Poor,349,"PM
2.5",1,2015-10-07
Varanasi,Poor,237,"PM
2.5",1,2015-10-08
Varanasi,Poor,240,"PM
2.5",1,2015-10-09
Varanasi,Moderate,172,"PM
10",1,2015-10-10
