City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Vellore,Good,35,"SO
2",1,2022-08-28
Vellore,Good,33,"SO
2",1,2022-08-29
Vellore,Good,50,"PM
10",1,2022-08-31
Vellore,Good,39,"SO
2",1,2022-09-02
Vellore,Satisfactory,55,"PM
10",1,2022-09-03
Vellore,Satisfactory,57,"PM
10",1,2022-09-04
Vellore,Good,41,"PM
10",1,2022-09-05
Vellore,Good,44,"PM
10",1,2022-09-06
Vellore,Good,46,CO,1,2022-09-07
Vellore,Good,40,"PM
10",1,2022-09-10
Vellore,Good,34,"SO
2",1,2022-09-11
Vellore,Good,43,"PM
10",1,2022-09-12
Vellore,Good,45,CO,1,2022-09-13
Vellore,Satisfactory,58,"PM
10",1,2022-09-14
Vellore,Satisfactory,54,"PM
10",1,2022-09-15
Vellore,Satisfactory,61,"PM
10",1,2022-09-16
Vellore,Satisfactory,60,"PM
10",1,2022-09-17
Vellore,Satisfactory,62,"PM
10",1,2022-10-22
Vellore,Satisfactory,82,"PM
10",1,2022-10-23
Vellore,Moderate,117,"PM
2.5",1,2022-10-25
Vellore,Moderate,140,"PM
2.5",1,2022-10-26
Vellore,Satisfactory,78,"PM
10",1,2022-10-27
Vellore,Satisfactory,52,"PM
10",1,2022-10-29
Vellore,Satisfactory,77,"PM
10",1,2022-10-30
Vellore,Satisfactory,96,"PM
2.5",1,2022-10-31
Vellore,Moderate,102,"PM
2.5",1,2022-11-01
Vellore,Good,20,"SO
2",1,2022-11-02
Vellore,Good,36,"PM
10",1,2022-11-03
Vellore,Good,40,"PM
10",1,2022-11-04
Vellore,Good,43,"PM
10",1,2022-11-05
Vellore,Satisfactory,66,"PM
10",1,2022-11-06
Vellore,Satisfactory,96,"PM
10",1,2022-11-08
Vellore,Satisfactory,99,"PM
10",1,2022-11-09
Vellore,Satisfactory,86,"PM
10",1,2022-11-10
Vellore,Good,44,"PM
10",1,2022-11-15
Vellore,Moderate,131,"PM
2.5",1,2022-11-16
Vellore,Moderate,144,"PM
2.5",1,2022-11-17
Vellore,Moderate,122,"PM
10",1,2022-11-18
Vellore,Satisfactory,83,"PM
10",1,2022-11-22
Vellore,Good,39,"PM
2.5",1,2022-11-23
Vellore,Satisfactory,54,"PM
2.5",1,2022-11-24
Vellore,Moderate,106,"PM
2.5",1,2022-11-25
Vellore,Moderate,168,"PM
2.5",1,2022-12-08
Vellore,Good,49,"PM
10",1,2022-12-14
Vellore,Satisfactory,94,"PM
10",1,2022-12-20
Vellore,Satisfactory,96,"PM
10",1,2022-12-21
Vellore,Satisfactory,92,"PM
10",1,2022-12-22
Vellore,Satisfactory,67,"PM
10",1,2022-12-28
Vellore,Satisfactory,65,"PM
10",1,2022-12-29
Vellore,Satisfactory,85,"PM
10",1,2022-12-31
Vellore,Satisfactory,90,"PM
10",1,2023-01-02
Vellore,Satisfactory,89,"PM
10",1,2023-01-03
Vellore,Satisfactory,86,"PM
2.5",1,2023-01-05
Vellore,Moderate,103,"PM
2.5",1,2023-01-06
Vellore,Satisfactory,98,"PM
2.5",1,2023-01-12
Vellore,Satisfactory,99,"PM
2.5",1,2023-01-13
