City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Vijayapura,Satisfactory,64,"PM
2.5",1,2020-01-21
Vijayapura,Satisfactory,71,"O
3",1,2020-01-22
Vijayapura,Satisfactory,56,CO,1,2020-01-23
Vijayapura,Satisfactory,54,"PM
2.5",1,2020-01-24
Vijayapura,Satisfactory,65,"PM
2.5",1,2020-01-25
Vijayapura,Satisfactory,64,"PM
2.5",1,2020-01-26
Vijayapura,Moderate,102,"O
3",1,2020-01-29
Vijayapura,Satisfactory,71,"O
3",1,2020-01-30
Vijayapura,Satisfactory,79,"PM
2.5",1,2020-01-31
Vijayapura,Satisfactory,88,"PM
2.5",1,2020-02-01
Vijayapura,Satisfactory,79,"PM
2.5",1,2020-02-02
Vijayapura,Satisfactory,80,"PM
2.5",1,2020-02-03
Vijayapura,Satisfactory,81,"PM
2.5",1,2020-02-04
Vijayapura,Satisfactory,72,"O
3",1,2020-02-05
Vijayapura,Moderate,118,"PM
2.5",1,2020-02-08
Vijayapura,Satisfactory,94,"PM
2.5",1,2020-02-09
Vijayapura,Satisfactory,78,"PM
2.5",1,2020-02-10
Vijayapura,Satisfactory,83,"PM
2.5",1,2020-02-11
Vijayapura,Satisfactory,61,"PM
2.5",1,2020-02-12
Vijayapura,Satisfactory,73,"PM
2.5",1,2020-02-13
Vijayapura,Moderate,166,"PM
2.5",1,2020-02-15
Vijayapura,Moderate,129,"PM
2.5",1,2020-02-18
Vijayapura,Moderate,133,"PM
2.5",1,2020-02-19
Vijayapura,Moderate,108,"PM
2.5",1,2020-02-20
Vijayapura,Satisfactory,98,"PM
2.5",1,2020-02-21
Vijayapura,Satisfactory,74,"PM
2.5",1,2020-02-22
Vijayapura,Satisfactory,77,"PM
2.5",1,2020-02-23
Vijayapura,Satisfactory,67,"PM
2.5",1,2020-02-24
Vijayapura,Moderate,116,"PM
2.5",1,2020-02-25
Vijayapura,Moderate,167,"PM
2.5",1,2020-02-26
Vijayapura,Moderate,168,"PM
2.5",1,2020-02-27
Vijayapura,Moderate,107,"PM
2.5",1,2020-02-28
Vijayapura,Satisfactory,95,"PM
2.5",1,2020-02-29
Vijayapura,Satisfactory,97,"PM
2.5",1,2020-03-01
Vijayapura,Satisfactory,76,"PM
2.5",1,2020-03-02
Vijayapura,Satisfactory,81,"PM
2.5",1,2020-03-03
Vijayapura,Satisfactory,92,"O
3",1,2020-03-04
