City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Vijayawada,Satisfactory,64,"PM
10",1,2017-05-03
Vijayawada,Satisfactory,53,"PM
10",1,2017-05-04
Vijayawada,Satisfactory,75,"O
3",1#,2017-05-05
Vijayawada,Good,50,"PM
10",1,2017-05-06
Vijayawada,Satisfactory,56,"PM
10",1,2017-05-07
Vijayawada,Satisfactory,55,"PM
10",1,2017-05-08
Vijayawada,Satisfactory,84,"PM
2.5",1,2017-05-09
Vijayawada,Satisfactory,64,"PM
10",1,2017-05-10
Vijayawada,Satisfactory,77,"PM
2.5",1#,2017-05-11
Vijayawada,Satisfactory,51,"PM
10",1#,2017-05-12
Vijayawada,Good,45,"PM
10",1,2017-05-13
Vijayawada,Satisfactory,71,"PM
10",1,2017-05-14
Vijayawada,Satisfactory,90,"PM
2.5",1,2017-05-15
Vijayawada,Moderate,101,"PM
10",1,2017-05-16
Vijayawada,Moderate,110,"PM
2.5",1,2017-05-17
Vijayawada,Moderate,168,"PM
10",1,2017-05-18
Vijayawada,Moderate,112,"PM
10",1,2017-06-07
Vijayawada,Satisfactory,63,CO,1,2017-06-09
Vijayawada,Satisfactory,83,"PM
10",1#,2017-06-10
Vijayawada,Good,47,"PM
10",1,2017-06-11
Vijayawada,Good,45,CO,1,2017-06-12
Vijayawada,Satisfactory,52,"PM
10",1,2017-06-13
Vijayawada,Satisfactory,67,CO,1,2017-06-14
Vijayawada,Good,40,"NO
2",1,2017-06-19
Vijayawada,Good,46,"PM
10",1,2017-06-20
Vijayawada,Satisfactory,54,"PM
10",1,2017-06-21
Vijayawada,Poor,211,"PM
2.5",1#,2017-06-22
Vijayawada,Satisfactory,55,"PM
10",1,2017-06-23
Vijayawada,Satisfactory,67,"PM
10",1,2017-06-24
Vijayawada,Moderate,108,"PM
10",1,2017-06-25
Vijayawada,Satisfactory,56,"PM
10",1,2017-06-26
Vijayawada,Good,49,"PM
10",1#,2017-06-27
Vijayawada,Satisfactory,68,"PM
10",1,2017-06-28
Vijayawada,Moderate,121,"PM
10",1,2017-06-29
Vijayawada,Moderate,116,"PM
10",1,2017-06-30
Vijayawada,Moderate,128,"NO
2",1#,2017-07-05
Vijayawada,Moderate,177,CO,1#,2017-07-06
Vijayawada,Satisfactory,68,"PM
10",1,2017-07-08
Vijayawada,Satisfactory,76,"PM
10",1#,2017-07-09
Vijayawada,Good,50,CO,1,2017-07-11
Vijayawada,Good,38,CO,1#,2017-07-14
Vijayawada,Satisfactory,89,"PM
10",1,2017-07-15
Vijayawada,Satisfactory,88,"PM
10",1#,2017-07-16
Vijayawada,Poor,245,"PM
10",1,2017-07-18
Vijayawada,Good,39,CO,1#,2017-07-19
Vijayawada,Satisfactory,96,"PM
10",1,2017-07-22
Vijayawada,Moderate,104,"PM
10",1,2017-07-23
Vijayawada,Satisfactory,77,"PM
10",1,2017-07-24
Vijayawada,Satisfactory,77,"PM
10",1,2017-07-25
Vijayawada,Satisfactory,85,"PM
10",1,2017-07-26
Vijayawada,Satisfactory,94,"PM
10",1#,2017-07-29
Vijayawada,Satisfactory,69,"PM
10",1,2017-08-01
Vijayawada,Satisfactory,72,CO,1,2017-08-05
Vijayawada,Satisfactory,94,"PM
10",1,2017-08-06
Vijayawada,Satisfactory,93,"PM
10",1,2017-08-07
Vijayawada,Satisfactory,57,"PM
10",1,2017-08-08
Vijayawada,Satisfactory,53,"PM
10",1,2017-08-09
Vijayawada,Satisfactory,67,"PM
10",1,2017-08-10
Vijayawada,Satisfactory,76,"PM
10",1,2017-08-11
Vijayawada,Moderate,108,"PM
10",1,2017-08-17
Vijayawada,Satisfactory,62,CO,1,2017-08-18
Vijayawada,Satisfactory,56,CO,1,2017-08-30
Vijayawada,Moderate,104,"PM
10",1,2017-09-02
Vijayawada,Satisfactory,57,"PM
10",1,2017-09-03
Vijayawada,Satisfactory,67,"PM
10",1,2017-09-04
Vijayawada,Satisfactory,66,CO,1,2017-09-05
Vijayawada,Satisfactory,68,CO,1,2017-09-06
Vijayawada,Satisfactory,88,CO,1,2017-09-07
Vijayawada,Satisfactory,68,CO,1,2017-09-09
Vijayawada,Satisfactory,60,CO,1,2017-09-12
Vijayawada,Satisfactory,51,CO,1,2017-09-13
