City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Virar,Moderate,129,"PM
10",1/1,2024-03-01
Virar,Satisfactory,90,"PM
10",1/1,2024-03-02
Virar,Satisfactory,82,"O
3",1/1,2024-03-03
Virar,Moderate,151,"O
3",1/1,2024-03-04
Virar,Moderate,108,"PM
10",1/1,2024-03-05
Virar,Moderate,177,"PM
2.5",1/1,2024-03-06
Virar,Moderate,134,"PM
2.5",1/1,2024-03-07
Virar,Moderate,101,"PM
10",1/1,2024-03-08
Virar,Moderate,111,"PM
10",1/1,2024-03-09
Virar,Moderate,110,"PM
10",1/1,2024-03-10
Virar,Moderate,135,"PM
2.5",1/1,2024-03-11
Virar,Moderate,109,"PM
10",1/1,2024-03-12
Virar,Moderate,106,"PM
10",1/1,2024-03-13
Virar,Satisfactory,84,"PM
10",1/1,2024-03-14
Virar,Moderate,141,"PM
10",1/1,2024-03-15
Virar,Moderate,155,"PM
10",1/1,2024-03-16
Virar,Moderate,174,"PM
2.5",1/1,2024-03-17
Virar,Moderate,125,"PM
10",1/1,2024-03-18
Virar,Moderate,168,"O
3",1/1,2024-03-19
Virar,Moderate,141,"O
3",1/1,2024-03-20
Virar,Very Poor,302,"O
3",1/1,2024-03-21
Virar,Poor,252,"PM
2.5",1/1,2024-03-22
Virar,Moderate,164,"PM
2.5",1/1,2024-03-23
Virar,Moderate,101,"PM
10",1/1,2024-03-24
Virar,Satisfactory,83,"PM
10",1/1,2024-03-25
Virar,Satisfactory,89,"PM
10",1/1,2024-03-26
Virar,Moderate,103,"PM
10",1/1,2024-03-27
Virar,Satisfactory,94,"PM
10",1/1,2024-03-28
Virar,Satisfactory,97,"PM
10",1/1,2024-03-29
Virar,Moderate,108,"PM
10",1/1,2024-03-30
Virar,Satisfactory,93,"PM
10",1/1,2024-03-31
Virar,Satisfactory,95,"O
3",1/1,2024-04-01
Virar,Moderate,152,"PM
10",1/1,2024-04-02
Virar,Moderate,141,"PM
10",1/1,2024-04-03
Virar,Satisfactory,94,"PM
10",1/1,2024-04-04
Virar,Moderate,154,"O
3",1/1,2024-04-05
Virar,Moderate,115,"O
3",1/1,2024-04-06
Virar,Satisfactory,82,"O
3",1/1,2024-04-07
Virar,Moderate,102,"PM
10",1/1,2024-04-08
Virar,Moderate,105,"PM
10",1/1,2024-04-09
Virar,Satisfactory,72,"PM
10",1/1,2024-04-11
Virar,Satisfactory,88,"PM
10",1/1,2024-04-12
Virar,Satisfactory,83,"PM
10",1/1,2024-04-13
Virar,Satisfactory,81,"PM
10",1/1,2024-04-14
Virar,Poor,222,"O
3",1/1,2024-04-15
Virar,Moderate,110,"PM
10",1/1,2024-04-16
Virar,Satisfactory,98,"PM
10",1/1,2024-04-17
Virar,Moderate,103,"PM
10",1/1,2024-04-18
Virar,Satisfactory,75,"PM
10",1/1,2024-04-19
Virar,Moderate,192,"O
3",1/1,2024-04-20
Virar,Satisfactory,92,"O
3",1/1,2024-04-21
Virar,Satisfactory,97,"O
3",1/1,2024-04-22
Virar,Satisfactory,78,"PM
10",1/1,2024-04-23
Virar,Satisfactory,80,"PM
10",1/1,2024-04-25
Virar,Satisfactory,68,"O
3",1/1,2024-04-26
Virar,Satisfactory,75,"PM
10",1/1,2024-04-27
Virar,Poor,213,"O
3",1/1,2024-04-28
Virar,Moderate,108,"PM
10",1/1,2024-04-29
Virar,Moderate,155,"O
3",1/1,2024-04-30
Virar,Moderate,105,"PM
10",1/1,2024-05-01
Virar,Moderate,109,"PM
10",1/1,2024-05-02
Virar,Moderate,131,"PM
10",1/1,2024-05-03
Virar,Satisfactory,96,"PM
10",1/1,2024-05-04
Virar,Satisfactory,71,"PM
10",1/1,2024-05-05
Virar,Satisfactory,58,"PM
10",1/1,2024-05-06
Virar,Satisfactory,66,"PM
10",1/1,2024-05-07
