City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Virudhunagar,Satisfactory,86,"PM
10",1/1,2024-03-02
Virudhunagar,Satisfactory,75,"PM
10",1/1,2024-03-03
Virudhunagar,Satisfactory,85,"PM
10",1/1,2024-03-04
Virudhunagar,Satisfactory,79,"PM
10",1/1,2024-03-05
Virudhunagar,Satisfactory,79,"PM
10",1/1,2024-03-06
Virudhunagar,Satisfactory,87,"PM
10",1/1,2024-03-21
Virudhunagar,Good,49,"PM
10",1/1,2024-03-22
Virudhunagar,Satisfactory,63,"PM
10",1/1,2024-03-23
Virudhunagar,Satisfactory,58,"PM
10",1/1,2024-03-24
Virudhunagar,Good,47,"PM
10",1/1,2024-03-25
Virudhunagar,Good,50,"PM
10",1/1,2024-03-28
Virudhunagar,Good,48,"PM
10",1/1,2024-03-29
Virudhunagar,Satisfactory,52,"PM
10",1/1,2024-04-03
Virudhunagar,Satisfactory,53,"PM
10",1/1,2024-04-04
Virudhunagar,Satisfactory,53,"PM
10",1/1,2024-04-05
Virudhunagar,Satisfactory,51,"PM
10",1/1,2024-04-09
Virudhunagar,Satisfactory,56,"PM
10",1/1,2024-04-11
Virudhunagar,Good,29,"PM
10",1/1,2024-04-13
Virudhunagar,Good,35,"PM
10",1/1,2024-04-14
Virudhunagar,Good,46,"PM
10",1/1,2024-04-15
Virudhunagar,Good,47,"PM
10",1/1,2024-04-16
Virudhunagar,Satisfactory,63,"PM
10",1/1,2024-04-17
Virudhunagar,Satisfactory,72,"PM
10",1/1,2024-04-26
Virudhunagar,Satisfactory,65,"PM
10",1/1,2024-04-27
Virudhunagar,Good,42,"PM
10",1/1,2024-04-28
Virudhunagar,Good,30,"PM
10",1/1,2024-04-29
Virudhunagar,Good,32,"PM
10",1/1,2024-04-30
Virudhunagar,Good,48,"PM
10",1/1,2024-05-01
Virudhunagar,Satisfactory,81,"PM
10",1/1,2024-05-04
Virudhunagar,Satisfactory,59,"PM
10",1/1,2024-05-05
Virudhunagar,Good,48,"PM
10",1/1,2024-05-06
Virudhunagar,Good,31,"PM
10",1/1,2024-06-19
Virudhunagar,Satisfactory,64,CO,1/1,2024-06-20
Virudhunagar,Satisfactory,71,CO,1/1,2024-06-21
Virudhunagar,Satisfactory,81,CO,1/1,2024-06-23
Virudhunagar,Good,28,CO,1/1,2024-07-03
Virudhunagar,Good,28,CO,1/1,2024-07-04
Virudhunagar,Good,28,CO,1/1,2024-07-09
Virudhunagar,Good,31,"PM
10",1/1,2024-07-10
Virudhunagar,Good,28,"PM
10",1/1,2024-07-11
Virudhunagar,Good,44,"PM
10",1/1,2024-07-12
Virudhunagar,Satisfactory,88,CO,1/1,2024-07-24
Virudhunagar,Good,35,CO,1/1,2024-07-26
Virudhunagar,Good,24,CO,1/1,2024-07-31
Virudhunagar,Good,24,CO,1/1,2024-08-01
Virudhunagar,Good,24,"PM
10",1/1,2024-08-02
Virudhunagar,Good,26,"PM
10",1/1,2024-08-03
Virudhunagar,Good,27,"PM
10",1/1,2024-08-04
Virudhunagar,Good,24,"SO
2",1/1,2024-08-07
Virudhunagar,Good,24,"SO
2",1/1,2024-08-09
Virudhunagar,Good,33,"PM
10",1/1,2024-08-13
Virudhunagar,Good,32,"PM
10",1/1,2024-08-14
Virudhunagar,Good,25,"SO
2",1/1,2024-08-17
Virudhunagar,Good,28,"PM
10",1/1,2024-09-05
Virudhunagar,Good,38,"PM
10",1/1,2024-09-06
Virudhunagar,Good,26,"SO
2",1/1,2024-09-07
Virudhunagar,Good,25,"SO
2",1/1,2024-09-09
Virudhunagar,Moderate,136,"NO
2",1/1,2024-09-11
Virudhunagar,Good,18,CO,1/1,2024-09-12
Virudhunagar,Good,18,"SO
2",1/1,2024-09-14
Virudhunagar,Good,18,"SO
2",1/1,2024-09-15
Virudhunagar,Good,22,"PM
10",1/1,2024-09-16
Virudhunagar,Good,30,"PM
10",1/1,2024-09-17
Virudhunagar,Good,35,"PM
10",1/1,2024-09-18
Virudhunagar,Good,33,"PM
10",1/1,2024-09-19
Virudhunagar,Good,41,"PM
10",1/1,2024-09-20
Virudhunagar,Good,39,"PM
10",1/1,2024-09-21
Virudhunagar,Good,35,"PM
10",1/1,2024-09-22
Virudhunagar,Good,20,"PM
10",1/1,2024-09-23
Virudhunagar,Satisfactory,68,"PM
10",1/1,2024-09-24
Virudhunagar,Good,25,"PM
10",1/1,2024-09-25
Virudhunagar,Good,19,"PM
10",1/1,2024-09-26
Virudhunagar,Good,26,"PM
10",1/1,2024-09-27
Virudhunagar,Good,32,"PM
10",1/1,2024-09-28
Virudhunagar,Good,15,"PM
10",1/1,2024-09-29
Virudhunagar,Good,15,"PM
10",1/1,2024-09-30
Virudhunagar,Good,24,"PM
2.5",1/1,2024-10-01
Virudhunagar,Good,26,"PM
10",1/1,2024-10-02
Virudhunagar,Good,20,"PM
10",1/1,2024-10-03
Virudhunagar,Good,27,"PM
2.5",1/1,2024-10-04
Virudhunagar,Good,26,"PM
10",1/1,2024-10-05
Virudhunagar,Good,25,"PM
10",1/1,2024-10-06
Virudhunagar,Good,34,"PM
10",1/1,2024-10-07
Virudhunagar,Good,32,"PM
10",1/1,2024-10-08
Virudhunagar,Good,27,"PM
10",1/1,2024-10-09
Virudhunagar,Good,27,"PM
10",1/1,2024-10-10
Virudhunagar,Good,33,"PM
10",1/1,2024-10-11
Virudhunagar,Good,28,"PM
10",1/1,2024-10-12
Virudhunagar,Good,30,"PM
10",1/1,2024-10-14
Virudhunagar,Good,28,"PM
10",1/1,2024-10-15
Virudhunagar,Good,36,"PM
10",1/1,2024-10-16
Virudhunagar,Good,29,"PM
10",1/1,2024-10-17
Virudhunagar,Good,32,"PM
10",1/1,2024-10-18
Virudhunagar,Good,30,"PM
10",1/1,2024-10-19
Virudhunagar,Good,39,"PM
10",1/1,2024-10-22
Virudhunagar,Good,31,"PM
10",1/1,2024-10-23
Virudhunagar,Good,29,"PM
10",1/1,2024-10-25
Virudhunagar,Good,32,"PM
10",1/1,2024-10-26
Virudhunagar,Good,32,"PM
10",1/1,2024-10-27
Virudhunagar,Good,44,"PM
10",1/1,2024-10-28
Virudhunagar,Good,41,"PM
10",1/1,2024-10-29
Virudhunagar,Good,47,"PM
10",1/1,2024-10-30
Virudhunagar,Satisfactory,57,"PM
10",1/1,2024-10-31
Virudhunagar,Moderate,101,"PM
10",1/1,2024-11-01
Virudhunagar,Good,34,"PM
10",1/1,2024-11-03
Virudhunagar,Good,37,"PM
10",1/1,2024-11-04
Virudhunagar,Good,28,"PM
10",1/1,2024-11-05
Virudhunagar,Satisfactory,64,"PM
10",1/1,2024-11-06
Virudhunagar,Moderate,173,"PM
2.5",1/1,2024-11-07
Virudhunagar,Good,34,"PM
10",1/1,2024-11-08
Virudhunagar,Good,36,"PM
10",1/1,2024-11-09
Virudhunagar,Satisfactory,59,"PM
10",1/1,2024-11-10
Virudhunagar,Satisfactory,88,"PM
10",1/1,2024-11-11
