City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Visakhapatnam,Satisfactory,66,"PM
10",1#,2016-07-12
Visakhapatnam,Satisfactory,80,"PM
10",1,2016-07-13
Visakhapatnam,Satisfactory,90,"PM
10",1,2016-07-14
Visakhapatnam,Moderate,108,"PM
10",1#,2016-07-15
Visakhapatnam,Moderate,103,"PM
10",1,2016-07-16
Visakhapatnam,Satisfactory,94,"PM
10",1,2016-07-17
Visakhapatnam,Satisfactory,96,"PM
10",1,2016-07-18
Visakhapatnam,Satisfactory,93,CO,1#,2016-07-19
Visakhapatnam,Moderate,114,"O
3",1#,2016-07-20
Visakhapatnam,Satisfactory,66,CO,1,2016-07-26
Visakhapatnam,Satisfactory,80,"PM
10",1,2016-07-27
Visakhapatnam,Satisfactory,71,"PM
10",1,2016-07-28
Visakhapatnam,Satisfactory,66,"PM
10",1,2016-07-29
Visakhapatnam,Satisfactory,91,"PM
10",1,2016-07-30
Visakhapatnam,Satisfactory,69,"O
3",1,2016-07-31
Visakhapatnam,Satisfactory,67,"PM
10",1,2016-08-01
Visakhapatnam,Satisfactory,54,"SO
2",1,2016-08-02
Visakhapatnam,Good,48,"SO
2",1,2016-08-03
Visakhapatnam,Satisfactory,72,"PM
10",1,2016-08-05
Visakhapatnam,Satisfactory,86,"PM
10",1,2016-08-06
Visakhapatnam,Satisfactory,86,"PM
10",1,2016-08-07
Visakhapatnam,Satisfactory,93,"PM
10",1,2016-08-08
Visakhapatnam,Satisfactory,97,"PM
10",1,2016-08-09
Visakhapatnam,Satisfactory,98,"PM
10",1,2016-08-10
Visakhapatnam,Satisfactory,92,"PM
10",1,2016-08-11
Visakhapatnam,Satisfactory,99,"PM
10",1,2016-08-12
Visakhapatnam,Moderate,105,"PM
10",1,2016-08-13
Visakhapatnam,Satisfactory,96,"PM
10",1,2016-08-14
Visakhapatnam,Satisfactory,80,"PM
10",1,2016-08-15
Visakhapatnam,Satisfactory,76,"PM
10",1,2016-08-16
Visakhapatnam,Satisfactory,89,"PM
10",1,2016-08-17
Visakhapatnam,Moderate,101,"PM
10",1,2016-08-18
Visakhapatnam,Moderate,101,"PM
10",1,2016-08-19
Visakhapatnam,Satisfactory,99,"PM
10",1,2016-08-20
Visakhapatnam,Moderate,106,"PM
10",1,2016-08-21
Visakhapatnam,Moderate,106,"PM
10",1,2016-08-22
Visakhapatnam,Moderate,101,"PM
10",1,2016-08-23
Visakhapatnam,Satisfactory,87,"PM
10",1,2016-08-24
Visakhapatnam,Satisfactory,78,"PM
10",1,2016-08-25
Visakhapatnam,Satisfactory,82,"PM
10",1,2016-08-26
Visakhapatnam,Satisfactory,62,"PM
10",1,2016-08-27
Visakhapatnam,Good,47,"O
3",1,2016-08-28
Visakhapatnam,Satisfactory,53,"O
3",1,2016-08-29
Visakhapatnam,Good,49,"O
3",1,2016-08-30
Visakhapatnam,Satisfactory,80,"O
3",1,2016-08-31
Visakhapatnam,Satisfactory,61,"PM
10",1,2016-09-01
Visakhapatnam,Satisfactory,65,"PM
10",1,2016-09-02
Visakhapatnam,Satisfactory,58,"PM
10",1,2016-09-03
Visakhapatnam,Satisfactory,91,"O
3",1,2016-09-06
Visakhapatnam,Satisfactory,96,"PM
10",1,2016-09-07
Visakhapatnam,Satisfactory,98,"PM
10",1,2016-09-08
Visakhapatnam,Satisfactory,96,"PM
10",1,2016-09-09
Visakhapatnam,Moderate,109,"PM
2.5",1,2016-09-10
Visakhapatnam,Poor,228,"O
3",1,2016-09-11
Visakhapatnam,Satisfactory,85,"PM
10",1,2016-09-12
Visakhapatnam,Good,48,"PM
10",1,2016-09-13
Visakhapatnam,Satisfactory,56,"PM
10",1,2016-09-14
Visakhapatnam,Good,46,"O
3",1,2016-09-15
Visakhapatnam,Satisfactory,55,"O
3",1,2016-09-16
Visakhapatnam,Satisfactory,56,"PM
10",1,2016-09-17
Visakhapatnam,Satisfactory,89,"PM
10",1,2016-09-18
Visakhapatnam,Good,34,"PM
10",1,2016-09-21
Visakhapatnam,Good,37,"O
3",1,2016-09-22
Visakhapatnam,Satisfactory,54,CO,1,2016-09-23
Visakhapatnam,Satisfactory,62,CO,1,2016-09-24
Visakhapatnam,Satisfactory,58,CO,1,2016-09-25
Visakhapatnam,Satisfactory,63,CO,1,2016-09-26
Visakhapatnam,Moderate,107,"PM
2.5",1,2016-09-27
Visakhapatnam,Moderate,141,"PM
2.5",1,2016-09-28
Visakhapatnam,Moderate,123,"PM
2.5",1#,2016-09-29
Visakhapatnam,Moderate,101,"PM
2.5",1,2016-09-30
Visakhapatnam,Satisfactory,82,"PM
2.5",1,2016-10-01
Visakhapatnam,Moderate,151,"O
3",1#,2016-10-02
Visakhapatnam,Moderate,103,"PM
10",1,2016-10-03
Visakhapatnam,Satisfactory,98,"PM
10",1,2016-10-04
Visakhapatnam,Satisfactory,96,"PM
10",1,2016-10-05
Visakhapatnam,Moderate,106,"PM
10",1,2016-10-06
Visakhapatnam,Satisfactory,75,"PM
10",1,2016-10-07
Visakhapatnam,Satisfactory,91,"PM
10",1,2016-10-08
Visakhapatnam,Satisfactory,93,"PM
10",1,2016-10-09
Visakhapatnam,Satisfactory,88,"PM
10",1,2016-10-10
Visakhapatnam,Moderate,131,"PM
2.5",1,2016-10-18
Visakhapatnam,Moderate,127,"PM
2.5",1,2016-10-19
Visakhapatnam,Moderate,121,"PM
2.5",1,2016-10-20
Visakhapatnam,Moderate,126,"PM
2.5",1,2016-10-21
Visakhapatnam,Moderate,128,"PM
2.5",1,2016-10-22
Visakhapatnam,Moderate,114,"PM
2.5",1,2016-10-23
Visakhapatnam,Moderate,126,"PM
2.5",1,2016-10-24
Visakhapatnam,Moderate,127,"PM
2.5",1,2016-10-25
Visakhapatnam,Moderate,116,"PM
2.5",1,2016-10-26
Visakhapatnam,Moderate,104,"PM
10",1,2016-10-27
Visakhapatnam,Satisfactory,68,"PM
10",1,2016-10-28
Visakhapatnam,Satisfactory,90,"PM
10",1,2016-10-29
Visakhapatnam,Satisfactory,74,"PM
2.5",1,2016-10-30
Visakhapatnam,Satisfactory,96,"PM
2.5",1,2016-10-31
Visakhapatnam,Moderate,131,"PM
2.5",1,2016-11-01
Visakhapatnam,Satisfactory,74,"PM
10",1,2016-11-02
Visakhapatnam,Satisfactory,61,"PM
10",1,2016-11-03
Visakhapatnam,Good,39,CO,1,2016-11-04
Visakhapatnam,Good,38,"PM
10",1,2016-11-05
Visakhapatnam,Satisfactory,76,"O
3",1,2016-11-06
Visakhapatnam,Moderate,127,"PM
2.5",1,2016-11-07
Visakhapatnam,Moderate,133,"PM
2.5",1,2016-11-08
Visakhapatnam,Moderate,121,"PM
2.5",1,2016-11-09
Visakhapatnam,Moderate,109,"PM
2.5",1,2016-11-10
Visakhapatnam,Moderate,131,"PM
2.5",1,2016-11-11
Visakhapatnam,Moderate,115,"PM
2.5",1,2016-11-12
Visakhapatnam,Moderate,137,"PM
2.5",1,2016-11-13
Visakhapatnam,Moderate,155,"PM
2.5",1,2016-11-14
Visakhapatnam,Moderate,146,"PM
2.5",1,2016-11-15
Visakhapatnam,Moderate,132,"PM
2.5",1,2016-11-16
Visakhapatnam,Moderate,156,"PM
2.5",1,2016-11-17
Visakhapatnam,Moderate,143,"PM
2.5",1,2016-11-18
Visakhapatnam,Moderate,120,"PM
2.5",1,2016-11-19
Visakhapatnam,Moderate,109,"PM
2.5",1,2016-11-20
Visakhapatnam,Moderate,132,"PM
2.5",1,2016-11-21
Visakhapatnam,Moderate,117,"PM
2.5",1,2016-11-22
Visakhapatnam,Moderate,119,"PM
2.5",1,2016-11-23
Visakhapatnam,Moderate,105,"PM
2.5",1#,2016-11-24
Visakhapatnam,Satisfactory,77,"O
3",1#,2016-11-25
Visakhapatnam,Moderate,121,"PM
2.5",1,2016-11-26
Visakhapatnam,Satisfactory,100,"PM
2.5",1,2016-11-27
Visakhapatnam,Moderate,129,"PM
2.5",1,2016-11-28
Visakhapatnam,Moderate,114,"PM
2.5",1,2016-11-29
Visakhapatnam,Moderate,123,"PM
2.5",1,2016-11-30
Visakhapatnam,Moderate,154,"PM
2.5",1,2016-12-01
Visakhapatnam,Satisfactory,80,"PM
10",1,2016-12-02
Visakhapatnam,Satisfactory,76,"PM
10",1,2016-12-03
Visakhapatnam,Moderate,108,"O
3",1,2016-12-04
Visakhapatnam,Moderate,139,"PM
2.5",1,2016-12-05
Visakhapatnam,Satisfactory,84,"PM
10",1,2016-12-06
Visakhapatnam,Satisfactory,85,"PM
2.5",1,2016-12-07
Visakhapatnam,Satisfactory,96,"PM
2.5",1#,2016-12-08
Visakhapatnam,Moderate,122,"PM
2.5",1,2016-12-09
Visakhapatnam,Moderate,119,"PM
2.5",1,2016-12-10
Visakhapatnam,Moderate,101,"PM
10",1,2016-12-11
Visakhapatnam,Satisfactory,83,"O
3",1,2016-12-12
Visakhapatnam,Satisfactory,90,"O
3",1,2016-12-13
Visakhapatnam,Moderate,109,"PM
2.5",1,2016-12-14
Visakhapatnam,Moderate,154,"PM
2.5",1,2016-12-15
Visakhapatnam,Moderate,111,"PM
10",1,2016-12-16
Visakhapatnam,Moderate,133,"PM
2.5",1,2016-12-17
Visakhapatnam,Moderate,105,"O
3",1,2016-12-18
Visakhapatnam,Moderate,117,"PM
2.5",1,2016-12-19
Visakhapatnam,Moderate,104,"PM
10",1,2016-12-20
Visakhapatnam,Moderate,119,"PM
2.5",1,2016-12-21
Visakhapatnam,Moderate,119,"PM
2.5",1,2016-12-22
Visakhapatnam,Moderate,130,"PM
2.5",1,2016-12-23
Visakhapatnam,Moderate,130,"PM
2.5",1#,2016-12-25
Visakhapatnam,Moderate,134,"PM
2.5",1,2016-12-27
Visakhapatnam,Moderate,110,"PM
2.5",1,2016-12-28
Visakhapatnam,Moderate,104,"O
3",1,2016-12-29
Visakhapatnam,Satisfactory,98,"O
3",1,2016-12-30
Visakhapatnam,Moderate,109,"PM
2.5",1,2016-12-31
Visakhapatnam,Moderate,149,"PM
2.5",1,2017-01-01
Visakhapatnam,Satisfactory,99,"PM
2.5",1,2017-01-03
Visakhapatnam,Moderate,128,"PM
2.5",1,2017-01-04
Visakhapatnam,Moderate,122,"PM
2.5",1,2017-01-05
Visakhapatnam,Moderate,152,"PM
2.5",1,2017-01-06
Visakhapatnam,Satisfactory,97,"PM
10",1,2017-01-07
Visakhapatnam,Satisfactory,90,"PM
10",1,2017-01-08
Visakhapatnam,Moderate,108,"PM
2.5",1,2017-01-09
Visakhapatnam,Moderate,109,"PM
2.5",1,2017-01-10
Visakhapatnam,Moderate,107,"PM
2.5",1,2017-01-11
Visakhapatnam,Moderate,118,"PM
2.5",1,2017-01-12
Visakhapatnam,Moderate,126,"PM
2.5",1,2017-01-13
Visakhapatnam,Moderate,147,"PM
2.5",1,2017-01-14
Visakhapatnam,Moderate,149,"PM
2.5",1,2017-01-15
Visakhapatnam,Moderate,127,"PM
2.5",1,2017-01-16
Visakhapatnam,Moderate,155,"O
3",1,2017-01-17
Visakhapatnam,Moderate,122,"PM
2.5",1,2017-01-18
Visakhapatnam,Moderate,155,"PM
2.5",1,2017-01-19
Visakhapatnam,Moderate,163,"PM
2.5",1,2017-01-20
Visakhapatnam,Poor,228,"O
3",1,2017-01-21
Visakhapatnam,Moderate,138,"PM
2.5",1,2017-01-22
Visakhapatnam,Moderate,126,"PM
2.5",1,2017-01-23
Visakhapatnam,Moderate,104,"PM
10",1,2017-01-24
Visakhapatnam,Moderate,164,"PM
2.5",1,2017-01-26
Visakhapatnam,Moderate,152,"PM
2.5",1,2017-01-27
Visakhapatnam,Moderate,185,"PM
2.5",1#,2017-01-28
Visakhapatnam,Moderate,157,"PM
2.5",1,2017-01-29
Visakhapatnam,Moderate,160,"PM
2.5",1,2017-01-30
Visakhapatnam,Poor,218,"PM
2.5",1,2017-01-31
Visakhapatnam,Poor,219,"PM
2.5",1,2017-02-01
Visakhapatnam,Moderate,147,"PM
2.5",1,2017-02-02
Visakhapatnam,Moderate,191,"PM
2.5",1,2017-02-03
Visakhapatnam,Poor,214,"PM
2.5",1,2017-02-04
Visakhapatnam,Poor,216,"PM
2.5",1,2017-02-05
Visakhapatnam,Poor,204,"PM
2.5",1,2017-02-06
Visakhapatnam,Moderate,141,"PM
10",1,2017-02-07
Visakhapatnam,Poor,203,"PM
2.5",1,2017-02-08
Visakhapatnam,Poor,255,"PM
2.5",1,2017-02-09
Visakhapatnam,Poor,208,"PM
2.5",1,2017-02-10
Visakhapatnam,Moderate,161,"PM
2.5",1,2017-02-11
Visakhapatnam,Satisfactory,93,"PM
2.5",1,2017-02-12
Visakhapatnam,Moderate,102,"PM
10",1,2017-02-13
Visakhapatnam,Moderate,105,"PM
10",1,2017-02-14
Visakhapatnam,Moderate,138,"PM
10",1,2017-02-15
Visakhapatnam,Poor,217,"PM
2.5",1,2017-02-16
Visakhapatnam,Moderate,149,"PM
10",1,2017-02-17
Visakhapatnam,Poor,206,"PM
2.5",1,2017-02-18
Visakhapatnam,Moderate,142,"PM
2.5",1,2017-02-19
Visakhapatnam,Moderate,184,"PM
2.5",1,2017-02-20
Visakhapatnam,Moderate,129,"PM
2.5",1,2017-02-21
Visakhapatnam,Moderate,104,"PM
10",1,2017-02-22
Visakhapatnam,Satisfactory,95,"PM
10",1,2017-02-23
Visakhapatnam,Moderate,114,"PM
10",1,2017-02-24
Visakhapatnam,Satisfactory,85,"PM
10",1,2017-02-25
Visakhapatnam,Moderate,136,"PM
2.5",1,2017-02-26
Visakhapatnam,Moderate,133,"PM
2.5",1,2017-02-27
Visakhapatnam,Moderate,127,"PM
2.5",1,2017-02-28
Visakhapatnam,Moderate,186,"PM
2.5",1,2017-03-01
Visakhapatnam,Moderate,131,"PM
2.5",1,2017-03-02
Visakhapatnam,Moderate,156,"PM
2.5",1,2017-03-03
Visakhapatnam,Moderate,124,"PM
10",1,2017-03-04
Visakhapatnam,Satisfactory,74,"PM
10",1,2017-03-05
Visakhapatnam,Good,47,"PM
10",1,2017-03-06
Visakhapatnam,Satisfactory,66,"PM
10",1,2017-03-07
Visakhapatnam,Good,40,"PM
10",1,2017-03-08
Visakhapatnam,Good,48,"PM
10",1,2017-03-09
Visakhapatnam,Satisfactory,65,"PM
10",1,2017-03-10
Visakhapatnam,Good,43,"PM
10",1,2017-03-11
Visakhapatnam,Satisfactory,76,"PM
2.5",1,2017-03-12
Visakhapatnam,Satisfactory,84,"PM
10",1,2017-03-13
Visakhapatnam,Satisfactory,94,"PM
10",1,2017-03-14
Visakhapatnam,Satisfactory,61,"PM
2.5",1,2017-03-15
Visakhapatnam,Satisfactory,62,"PM
10",1,2017-03-16
Visakhapatnam,Satisfactory,91,"PM
10",1,2017-03-17
Visakhapatnam,Satisfactory,83,"PM
10",1,2017-03-18
Visakhapatnam,Moderate,107,"PM
10",1,2017-03-19
Visakhapatnam,Moderate,103,"PM
10",1,2017-03-20
Visakhapatnam,Satisfactory,96,"PM
10",1,2017-03-21
Visakhapatnam,Satisfactory,82,"PM
10",1,2017-03-22
Visakhapatnam,Satisfactory,98,"PM
10",1,2017-03-23
Visakhapatnam,Moderate,114,"PM
10",1,2017-03-24
Visakhapatnam,Satisfactory,87,"PM
10",1,2017-03-29
Visakhapatnam,Satisfactory,88,"PM
10",1,2017-03-30
Visakhapatnam,Satisfactory,90,"PM
10",1,2017-03-31
Visakhapatnam,Moderate,105,"PM
10",1,2017-04-01
Visakhapatnam,Moderate,104,"PM
10",1,2017-04-02
Visakhapatnam,Satisfactory,86,"PM
10",1,2017-04-04
Visakhapatnam,Satisfactory,88,"PM
10",1,2017-04-05
Visakhapatnam,Satisfactory,99,"PM
10",1#,2017-04-06
Visakhapatnam,Satisfactory,93,"PM
10",1,2017-04-07
Visakhapatnam,Satisfactory,81,"PM
10",1,2017-04-09
Visakhapatnam,Satisfactory,75,"PM
10",1,2017-04-11
Visakhapatnam,Satisfactory,90,"PM
10",1#,2017-04-12
Visakhapatnam,Moderate,106,"PM
10",1,2017-04-13
Visakhapatnam,Satisfactory,96,"PM
10",1,2017-04-14
Visakhapatnam,Satisfactory,99,"PM
10",1,2017-04-15
Visakhapatnam,Satisfactory,84,"PM
10",1,2017-04-16
Visakhapatnam,Satisfactory,86,"PM
2.5",1,2017-04-17
Visakhapatnam,Satisfactory,95,"PM
10",1,2017-04-18
Visakhapatnam,Moderate,115,"PM
10",1,2017-04-19
Visakhapatnam,Moderate,116,"PM
10",1,2017-04-20
Visakhapatnam,Moderate,122,"PM
10",1,2017-04-21
Visakhapatnam,Moderate,130,"PM
10",1,2017-04-22
Visakhapatnam,Moderate,114,"PM
10",1,2017-04-23
Visakhapatnam,Satisfactory,100,"PM
2.5",1,2017-04-24
Visakhapatnam,Moderate,118,"PM
10",1,2017-04-25
Visakhapatnam,Severe,500,"O
3",1#,2017-04-26
