City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Vrindavan,Good,29,"PM
10",1,2021-08-03
Vrindavan,Good,21,"PM
10",1,2021-08-04
Vrindavan,Good,35,"PM
10",1,2021-08-05
Vrindavan,Satisfactory,53,"PM
10",1,2021-08-06
Vrindavan,Satisfactory,57,"PM
10",1,2021-08-07
Vrindavan,Good,32,"PM
10",1,2021-08-08
Vrindavan,Good,29,"PM
10",1,2021-08-09
Vrindavan,Good,42,"PM
10",1,2021-08-10
Vrindavan,Satisfactory,95,"PM
10",1,2021-08-11
Vrindavan,Satisfactory,81,"PM
10",1,2021-08-12
Vrindavan,Satisfactory,88,"PM
10",1,2021-08-13
Vrindavan,Satisfactory,87,"PM
10",1,2021-08-14
Vrindavan,Satisfactory,88,"PM
10",1,2021-08-15
Vrindavan,Satisfactory,99,"PM
10",1,2021-08-16
Vrindavan,Moderate,122,"PM
10",1,2021-08-17
Vrindavan,Moderate,138,"PM
10",1,2021-08-18
Vrindavan,Moderate,129,"PM
10",1,2021-08-19
Vrindavan,Satisfactory,79,"PM
10",1,2021-08-20
Vrindavan,Good,23,"PM
10",1,2021-08-21
Vrindavan,Good,28,"PM
10",1,2021-08-22
Vrindavan,Good,35,"PM
10",1,2021-08-23
Vrindavan,Good,46,"PM
10",1,2021-08-24
Vrindavan,Satisfactory,62,"PM
10",1,2021-08-25
Vrindavan,Satisfactory,77,"PM
10",1,2021-08-26
Vrindavan,Moderate,103,"PM
10",1,2021-08-28
Vrindavan,Satisfactory,77,"PM
10",1,2021-08-29
Vrindavan,Good,39,"PM
10",1,2021-08-30
Vrindavan,Good,30,"PM
10",1,2021-08-31
Vrindavan,Good,24,"PM
10",1,2021-09-01
Vrindavan,Good,22,"PM
10",1,2021-09-02
Vrindavan,Good,31,"PM
10",1,2021-09-03
Vrindavan,Good,34,"PM
10",1,2021-09-04
Vrindavan,Good,50,"PM
10",1,2021-09-05
Vrindavan,Good,48,"PM
10",1,2021-09-06
Vrindavan,Satisfactory,51,"PM
10",1,2021-09-07
Vrindavan,Satisfactory,51,"PM
2.5",1,2021-09-08
Vrindavan,Good,40,"PM
10",1,2021-09-09
Vrindavan,Satisfactory,58,"PM
10",1,2021-09-10
Vrindavan,Good,29,"PM
10",1,2021-09-11
Vrindavan,Good,37,"PM
10",1,2021-09-12
Vrindavan,Good,39,"PM
10",1,2021-09-13
Vrindavan,Good,25,"PM
10",1,2021-09-14
Vrindavan,Good,26,"PM
10",1,2021-09-15
Vrindavan,Good,21,"PM
10",1,2021-09-16
Vrindavan,Good,21,"O
3",1,2021-09-17
Vrindavan,Good,25,"PM
10",1,2021-09-18
Vrindavan,Good,39,"PM
10",1,2021-09-19
Vrindavan,Good,28,"PM
2.5",1,2021-09-20
Vrindavan,Satisfactory,60,"PM
10",1,2021-09-21
Vrindavan,Good,26,"PM
10",1,2021-09-22
Vrindavan,Good,27,"PM
10",1,2021-09-23
Vrindavan,Good,37,"PM
10",1,2021-09-26
Vrindavan,Good,42,"PM
10",1,2021-09-27
Vrindavan,Satisfactory,53,"PM
10",1,2021-09-28
Vrindavan,Good,26,"PM
2.5",1,2021-09-29
Vrindavan,Good,49,"PM
10",1,2021-09-30
Vrindavan,Good,44,"PM
10",1,2021-10-01
Vrindavan,Satisfactory,68,"PM
10",1,2021-10-03
Vrindavan,Satisfactory,52,"PM
10",1,2021-10-04
Vrindavan,Satisfactory,73,"PM
10",1,2021-10-05
Vrindavan,Satisfactory,84,"PM
10",1,2021-10-06
Vrindavan,Moderate,101,"PM
10",1,2021-10-07
Vrindavan,Moderate,152,"PM
10",1,2021-10-08
Vrindavan,Moderate,145,"PM
10",1,2021-10-09
Vrindavan,Moderate,150,"PM
10",1,2021-10-10
Vrindavan,Moderate,163,"PM
10",1,2021-10-11
Vrindavan,Moderate,142,"PM
10",1,2021-10-12
Vrindavan,Moderate,165,"PM
10",1,2021-10-13
Vrindavan,Moderate,170,"PM
10",1,2021-10-14
Vrindavan,Moderate,181,"PM
2.5",1,2021-10-15
Vrindavan,Poor,292,"PM
2.5",1,2021-10-16
Vrindavan,Poor,203,"PM
2.5",1,2021-10-17
Vrindavan,Good,13,CO,1,2021-10-18
Vrindavan,Good,43,"PM
10",1,2021-10-19
Vrindavan,Moderate,111,"PM
10",1,2021-10-20
Vrindavan,Poor,208,"PM
10",1,2021-10-21
Vrindavan,Moderate,120,"PM
10",1,2021-10-22
Vrindavan,Moderate,132,"PM
10",1,2021-10-23
Vrindavan,Moderate,176,"PM
2.5",1,2021-10-24
Vrindavan,Satisfactory,93,"PM
2.5",1,2021-10-25
Vrindavan,Moderate,182,"PM
2.5",1,2021-10-26
Vrindavan,Poor,228,"PM
2.5",1,2021-10-27
Vrindavan,Poor,282,"PM
2.5",1,2021-10-28
Vrindavan,Poor,298,"PM
2.5",1,2021-10-30
Vrindavan,Poor,279,"PM
2.5",1,2021-10-31
Vrindavan,Poor,286,"PM
2.5",1,2021-11-01
Vrindavan,Poor,283,"PM
2.5",1,2021-11-02
Vrindavan,Poor,293,"PM
2.5",1,2021-11-03
Vrindavan,Very Poor,330,"PM
2.5",1,2021-11-04
Vrindavan,Severe,448,"PM
2.5",1,2021-11-05
Vrindavan,Severe,424,"PM
2.5",1,2021-11-06
Vrindavan,Severe,435,"PM
2.5",1,2021-11-07
Vrindavan,Severe,475,"PM
2.5",1,2021-11-08
Vrindavan,Severe,454,"PM
2.5",1,2021-11-09
Vrindavan,Very Poor,373,"PM
2.5",1,2021-11-10
Vrindavan,Severe,458,"PM
2.5",1,2021-11-11
Vrindavan,Severe,471,"PM
2.5",1,2021-11-12
Vrindavan,Very Poor,376,"PM
2.5",1,2021-11-13
Vrindavan,Poor,251,"PM
2.5",1,2021-11-14
Vrindavan,Poor,285,"PM
2.5",1,2021-11-15
Vrindavan,Poor,275,"PM
2.5",1,2021-11-16
Vrindavan,Poor,267,"PM
2.5",1,2021-11-17
Vrindavan,Poor,269,"PM
2.5",1,2021-11-18
Vrindavan,Poor,298,"PM
2.5",1,2021-11-19
Vrindavan,Poor,294,"PM
2.5",1,2021-11-20
Vrindavan,Poor,207,"PM
2.5",1,2021-11-21
Vrindavan,Moderate,162,"PM
2.5",1,2021-11-22
Vrindavan,Satisfactory,100,"PM
10",1,2021-11-23
Vrindavan,Poor,229,"PM
2.5",1,2021-11-24
Vrindavan,Poor,259,"PM
2.5",1,2021-11-25
Vrindavan,Very Poor,307,"PM
2.5",1,2021-11-26
Vrindavan,Poor,274,"PM
2.5",1,2021-11-27
Vrindavan,Poor,249,"PM
2.5",1,2021-11-28
Vrindavan,Poor,271,"PM
2.5",1,2021-11-29
Vrindavan,Moderate,184,"PM
2.5",1,2021-11-30
Vrindavan,Poor,297,"PM
2.5",1,2021-12-01
Vrindavan,Very Poor,343,"PM
2.5",1,2021-12-02
Vrindavan,Moderate,197,"PM
2.5",1,2021-12-03
Vrindavan,Poor,225,"PM
2.5",1,2021-12-04
Vrindavan,Moderate,163,"PM
2.5",1,2021-12-05
Vrindavan,Poor,272,"PM
2.5",1,2021-12-06
Vrindavan,Moderate,177,"PM
2.5",1,2021-12-07
Vrindavan,Satisfactory,93,"PM
2.5",1,2021-12-08
Vrindavan,Moderate,138,"PM
2.5",1,2021-12-09
Vrindavan,Moderate,181,"PM
2.5",1,2021-12-10
Vrindavan,Moderate,154,"PM
2.5",1,2021-12-11
Vrindavan,Moderate,165,"PM
2.5",1,2021-12-12
Vrindavan,Poor,256,"PM
2.5",1,2021-12-13
Vrindavan,Poor,252,"PM
2.5",1,2021-12-14
Vrindavan,Poor,294,"PM
2.5",1,2021-12-15
Vrindavan,Very Poor,306,"PM
2.5",1,2021-12-16
Vrindavan,Poor,267,"PM
2.5",1,2021-12-17
Vrindavan,Moderate,163,"PM
2.5",1,2021-12-18
Vrindavan,Satisfactory,93,"PM
10",1,2021-12-19
Vrindavan,Moderate,154,"PM
2.5",1,2021-12-20
Vrindavan,Poor,273,"PM
2.5",1,2021-12-21
Vrindavan,Poor,272,"PM
2.5",1,2021-12-22
Vrindavan,Poor,285,"PM
2.5",1,2021-12-23
Vrindavan,Poor,260,"PM
2.5",1,2021-12-24
Vrindavan,Very Poor,328,"PM
2.5",1,2021-12-25
Vrindavan,Very Poor,354,"PM
2.5",1,2021-12-26
Vrindavan,Poor,221,"PM
2.5",1,2021-12-27
Vrindavan,Moderate,178,"PM
2.5",1,2021-12-28
Vrindavan,Poor,254,"PM
2.5",1,2021-12-29
Vrindavan,Moderate,182,"PM
2.5",1,2021-12-30
Vrindavan,Poor,229,"PM
2.5",1,2021-12-31
Vrindavan,Poor,270,"PM
2.5",1,2022-01-01
Vrindavan,Very Poor,330,"PM
2.5",1,2022-01-02
Vrindavan,Very Poor,322,"PM
2.5",1,2022-01-03
Vrindavan,Poor,299,"PM
2.5",1,2022-01-04
Vrindavan,Very Poor,325,"PM
2.5",1,2022-01-05
Vrindavan,Poor,203,"PM
2.5",1,2022-01-06
Vrindavan,Good,48,"PM
2.5",1,2022-01-08
Vrindavan,Good,49,"PM
2.5",1,2022-01-09
Vrindavan,Satisfactory,72,"PM
2.5",1,2022-01-10
Vrindavan,Satisfactory,100,"PM
2.5",1,2022-01-11
Vrindavan,Moderate,105,"PM
2.5",1,2022-01-13
Vrindavan,Moderate,193,"PM
2.5",1,2022-01-14
Vrindavan,Moderate,146,"PM
2.5",1,2022-01-15
Vrindavan,Moderate,118,"PM
2.5",1,2022-01-16
Vrindavan,Moderate,157,"PM
2.5",1,2022-01-17
Vrindavan,Moderate,160,"PM
2.5",1,2022-01-18
Vrindavan,Moderate,191,"PM
2.5",1,2022-01-19
Vrindavan,Moderate,200,"PM
2.5",1,2022-01-20
Vrindavan,Moderate,122,"PM
2.5",1,2022-01-24
Vrindavan,Moderate,124,"PM
2.5",1,2022-01-25
Vrindavan,Moderate,110,"PM
2.5",1,2022-01-26
