City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Yadgir,Good,42,"PM
10",1,2019-09-23
Yadgir,Satisfactory,52,OZONE,1,2019-09-24
Yadgir,Satisfactory,54,OZONE,1,2019-09-25
Yadgir,Good,46,OZONE,1,2019-09-26
Yadgir,Good,37,OZONE,1,2019-09-27
Yadgir,Good,42,OZONE,1,2019-09-28
Yadgir,Good,37,OZONE,1,2019-09-29
Yadgir,Satisfactory,62,OZONE,1,2019-10-01
Yadgir,Satisfactory,59,OZONE,1,2019-10-02
Yadgir,Satisfactory,59,OZONE,1,2019-10-03
Yadgir,Satisfactory,54,OZONE,1,2019-10-04
Yadgir,Satisfactory,77,OZONE,1,2019-10-05
Yadgir,Satisfactory,66,OZONE,1,2019-10-06
Yadgir,Satisfactory,83,OZONE,1,2019-10-07
Yadgir,Satisfactory,57,OZONE,1,2019-10-08
Yadgir,Satisfactory,67,OZONE,1,2019-10-10
Yadgir,Satisfactory,79,OZONE,1,2019-10-11
Yadgir,Satisfactory,71,OZONE,1,2019-10-12
Yadgir,Satisfactory,53,OZONE,1,2019-10-13
Yadgir,Satisfactory,51,OZONE,1,2019-10-14
Yadgir,Satisfactory,89,"PM
2.5",1,2019-10-15
Yadgir,Satisfactory,75,OZONE,1,2019-10-16
Yadgir,Moderate,102,"PM
2.5",1,2019-10-17
Yadgir,Good,38,OZONE,1,2019-10-18
Yadgir,Good,46,OZONE,1,2019-10-19
Yadgir,Good,47,OZONE,1,2019-10-20
Yadgir,Good,41,OZONE,1,2019-10-21
Yadgir,Satisfactory,57,OZONE,1,2019-10-22
Yadgir,Good,37,CO,1,2019-10-23
Yadgir,Good,26,OZONE,1,2019-10-24
Yadgir,Good,40,OZONE,1,2019-10-25
Yadgir,Good,38,OZONE,1,2019-10-26
Yadgir,Good,48,OZONE,1,2019-10-27
Yadgir,Good,38,OZONE,1,2019-10-28
Yadgir,Satisfactory,54,OZONE,1,2019-10-29
Yadgir,Good,39,OZONE,1,2019-10-31
Yadgir,Good,49,OZONE,1,2019-11-01
Yadgir,Good,38,OZONE,1,2019-11-02
Yadgir,Good,47,OZONE,1,2019-11-03
Yadgir,Satisfactory,52,OZONE,1,2019-11-04
Yadgir,Satisfactory,86,OZONE,1,2019-11-05
Yadgir,Moderate,107,"PM
2.5",1,2019-11-06
Yadgir,Satisfactory,84,"PM
2.5",1,2019-11-07
Yadgir,Satisfactory,69,"PM
2.5",1,2019-11-08
Yadgir,Satisfactory,76,OZONE,1,2019-11-09
Yadgir,Moderate,163,OZONE,1,2019-11-10
Yadgir,Satisfactory,90,OZONE,1,2019-11-11
Yadgir,Satisfactory,86,OZONE,1,2019-11-12
Yadgir,Satisfactory,90,OZONE,1,2019-11-13
Yadgir,Satisfactory,82,OZONE,1,2019-11-14
Yadgir,Satisfactory,98,"PM
2.5",1,2019-11-15
Yadgir,Moderate,105,"PM
2.5",1,2019-11-16
Yadgir,Satisfactory,93,"PM
2.5",1,2019-11-17
Yadgir,Moderate,146,"PM
2.5",1,2019-11-18
Yadgir,Moderate,117,"PM
2.5",1,2019-11-19
Yadgir,Moderate,103,"PM
2.5",1,2019-11-20
Yadgir,Moderate,155,"PM
2.5",1,2019-11-21
Yadgir,Moderate,111,"PM
2.5",1,2019-11-22
Yadgir,Satisfactory,79,"PM
2.5",1,2019-11-23
Yadgir,Satisfactory,98,"PM
2.5",1,2019-11-24
Yadgir,Moderate,103,"PM
2.5",1,2019-11-25
Yadgir,Moderate,128,"PM
2.5",1,2019-11-26
Yadgir,Moderate,110,"PM
2.5",1,2019-11-27
Yadgir,Satisfactory,82,"PM
2.5",1,2019-11-28
Yadgir,Satisfactory,71,"PM
2.5",1,2019-11-29
Yadgir,Satisfactory,63,"PM
2.5",1,2019-11-30
Yadgir,Satisfactory,63,"PM
10",1,2019-12-01
Yadgir,Good,41,"PM
2.5",1,2019-12-02
Yadgir,Good,50,"PM
2.5",1,2019-12-03
Yadgir,Moderate,107,"PM
2.5",1,2019-12-04
Yadgir,Moderate,130,"PM
2.5",1,2019-12-05
Yadgir,Moderate,148,"PM
2.5",1,2019-12-06
Yadgir,Moderate,151,"PM
2.5",1,2019-12-07
Yadgir,Satisfactory,76,"PM
2.5",1,2019-12-08
Yadgir,Satisfactory,75,"O
3",1,2019-12-09
Yadgir,Satisfactory,64,"O
3",1,2019-12-10
Yadgir,Satisfactory,60,"PM
10",1,2019-12-11
Yadgir,Satisfactory,67,"PM
10",1,2019-12-12
Yadgir,Satisfactory,62,"PM
10",1,2019-12-13
Yadgir,Satisfactory,56,"PM
10",1,2019-12-14
Yadgir,Satisfactory,63,"O
3",1,2019-12-15
Yadgir,Satisfactory,60,"PM
2.5",1,2019-12-16
Yadgir,Satisfactory,73,"O
3",1,2019-12-17
Yadgir,Satisfactory,97,"PM
2.5",1,2019-12-18
Yadgir,Moderate,105,"PM
2.5",1,2019-12-19
Yadgir,Moderate,123,"PM
2.5",1,2019-12-21
Yadgir,Moderate,128,"PM
2.5",1,2019-12-22
Yadgir,Moderate,102,"PM
2.5",1,2019-12-23
Yadgir,Satisfactory,90,"PM
2.5",1,2019-12-24
Yadgir,Satisfactory,83,"PM
2.5",1,2019-12-25
Yadgir,Satisfactory,93,"PM
2.5",1,2019-12-26
Yadgir,Satisfactory,71,"PM
2.5",1,2019-12-27
Yadgir,Moderate,165,"PM
2.5",1,2019-12-28
Yadgir,Moderate,123,"PM
2.5",1,2019-12-29
Yadgir,Moderate,121,"PM
2.5",1,2019-12-30
Yadgir,Satisfactory,84,"PM
2.5",1,2019-12-31
Yadgir,Satisfactory,66,"PM
2.5",1,2020-01-01
Yadgir,Satisfactory,56,"PM
2.5",1,2020-01-02
Yadgir,Satisfactory,52,"PM
10",1,2020-01-03
Yadgir,Satisfactory,79,"PM
2.5",1,2020-01-04
Yadgir,Satisfactory,97,"PM
2.5",1,2020-01-05
Yadgir,Satisfactory,99,"PM
2.5",1,2020-01-06
Yadgir,Satisfactory,69,"PM
2.5",1,2020-01-07
Yadgir,Satisfactory,63,"PM
2.5",1,2020-01-08
Yadgir,Satisfactory,72,"PM
2.5",1,2020-01-09
Yadgir,Moderate,133,"PM
2.5",1,2020-01-10
Yadgir,Moderate,108,"PM
2.5",1,2020-01-11
Yadgir,Moderate,109,"PM
2.5",1,2020-01-12
Yadgir,Moderate,102,"PM
2.5",1,2020-01-13
Yadgir,Satisfactory,92,"PM
2.5",1,2020-01-14
Yadgir,Satisfactory,75,"PM
2.5",1,2020-01-15
Yadgir,Good,50,"PM
2.5",1,2020-01-16
Yadgir,Satisfactory,60,"PM
2.5",1,2020-01-17
Yadgir,Satisfactory,59,"PM
10",1,2020-01-18
Yadgir,Satisfactory,56,"PM
10",1,2020-01-19
Yadgir,Satisfactory,64,"PM
10",1,2020-01-20
Yadgir,Satisfactory,62,"PM
10",1,2020-01-21
Yadgir,Satisfactory,55,"PM
2.5",1,2020-01-22
Yadgir,Satisfactory,59,"PM
10",1,2020-01-23
Yadgir,Satisfactory,70,"PM
10",1,2020-01-24
Yadgir,Satisfactory,68,"PM
10",1,2020-01-25
Yadgir,Satisfactory,86,"PM
10",1,2020-01-26
Yadgir,Satisfactory,93,"PM
2.5",1,2020-01-27
Yadgir,Satisfactory,87,"PM
2.5",1,2020-01-28
Yadgir,Satisfactory,83,"PM
10",1,2020-01-29
Yadgir,Satisfactory,76,"PM
10",1,2020-01-30
Yadgir,Moderate,123,"PM
2.5",1,2020-01-31
Yadgir,Satisfactory,92,"PM
2.5",1,2020-02-01
Yadgir,Satisfactory,73,"PM
2.5",1,2020-02-02
Yadgir,Satisfactory,65,"PM
2.5",1,2020-02-03
Yadgir,Satisfactory,71,"PM
10",1,2020-02-19
Yadgir,Satisfactory,71,"O
3",1,2020-02-20
Yadgir,Satisfactory,61,"O
3",1,2020-02-21
Yadgir,Satisfactory,56,"O
3",1,2020-02-22
Yadgir,Satisfactory,52,"O
3",1,2020-02-23
Yadgir,Satisfactory,65,"O
3",1,2020-02-24
Yadgir,Satisfactory,66,"O
3",1,2020-02-25
Yadgir,Satisfactory,82,"PM
10",1,2020-02-26
Yadgir,Satisfactory,77,"PM
10",1,2020-02-27
Yadgir,Satisfactory,74,"PM
10",1,2020-02-28
Yadgir,Satisfactory,74,"PM
10",1,2020-02-29
Yadgir,Satisfactory,72,"PM
10",1,2020-03-01
Yadgir,Satisfactory,67,"PM
10",1,2020-03-02
Yadgir,Satisfactory,73,"PM
10",1,2020-03-03
Yadgir,Satisfactory,62,"PM
10",1,2020-03-04
Yadgir,Satisfactory,71,"PM
10",1,2020-03-05
Yadgir,Satisfactory,79,"PM
10",1,2020-03-06
Yadgir,Satisfactory,77,"PM
10",1,2020-03-07
Yadgir,Satisfactory,55,"PM
10",1,2020-03-08
Yadgir,Satisfactory,55,"PM
10",1,2020-03-09
Yadgir,Satisfactory,59,"PM
2.5",1,2020-03-10
Yadgir,Satisfactory,61,"PM
10",1,2020-03-11
Yadgir,Satisfactory,55,"PM
10",1,2020-03-12
Yadgir,Good,41,"PM
2.5",1,2020-03-13
Yadgir,Satisfactory,51,"PM
10",1,2020-03-14
Yadgir,Satisfactory,58,"PM
10",1,2020-03-15
Yadgir,Good,45,"PM
10",1,2020-03-16
Yadgir,Good,46,"PM
10",1,2020-03-17
Yadgir,Satisfactory,59,"O
3",1,2020-03-19
Yadgir,Satisfactory,73,"O
3",1,2020-03-20
Yadgir,Satisfactory,65,"PM
10",1,2020-03-21
Yadgir,Satisfactory,66,"PM
10",1,2020-03-22
Yadgir,Satisfactory,59,"O
3",1,2020-03-23
Yadgir,Satisfactory,64,"PM
10",1,2020-03-24
Yadgir,Satisfactory,55,"PM
10",1,2020-03-25
Yadgir,Good,46,"PM
10",1,2020-03-26
Yadgir,Satisfactory,58,"PM
10",1,2020-03-27
Yadgir,Satisfactory,60,"PM
10",1,2020-03-28
Yadgir,Satisfactory,66,"PM
10",1,2020-03-29
Yadgir,Satisfactory,62,"PM
10",1,2020-03-30
Yadgir,Satisfactory,60,"PM
10",1,2020-03-31
Yadgir,Satisfactory,62,"PM
10",1,2020-04-01
Yadgir,Satisfactory,68,"PM
10",1,2020-04-02
Yadgir,Satisfactory,72,"PM
10",1,2020-04-03
Yadgir,Satisfactory,63,"PM
10",1,2020-04-04
Yadgir,Satisfactory,60,"PM
10",1,2020-04-05
Yadgir,Satisfactory,56,"PM
10",1,2020-04-06
Yadgir,Good,42,"PM
10",1,2020-04-07
Yadgir,Good,32,"PM
2.5",1,2020-04-08
Yadgir,Good,37,"PM
10",1,2020-04-11
Yadgir,Good,38,"PM
10",1,2020-04-12
Yadgir,Satisfactory,56,"PM
10",1,2020-04-13
Yadgir,Satisfactory,72,"PM
10",1,2020-04-14
Yadgir,Satisfactory,72,"PM
10",1,2020-04-15
Yadgir,Satisfactory,74,"PM
10",1,2020-04-16
Yadgir,Satisfactory,65,"PM
10",1,2020-04-17
Yadgir,Satisfactory,58,"PM
10",1,2020-04-18
Yadgir,Satisfactory,51,"PM
10",1,2020-05-02
Yadgir,Satisfactory,52,"PM
10",1,2020-05-03
Yadgir,Satisfactory,57,"PM
10",1,2020-05-04
Yadgir,Satisfactory,76,"PM
10",1,2020-05-05
Yadgir,Satisfactory,62,"PM
10",1,2020-05-06
Yadgir,Satisfactory,58,"PM
10",1,2020-05-07
Yadgir,Good,36,"PM
2.5",1,2020-05-12
Yadgir,Good,48,"PM
10",1,2020-05-13
Yadgir,Satisfactory,54,"PM
10",1,2020-05-14
Yadgir,Good,32,"PM
10",1,2020-05-15
Yadgir,Good,28,"PM
2.5",1,2020-05-16
Yadgir,Satisfactory,78,"PM
10",1,2020-05-23
Yadgir,Satisfactory,84,"PM
10",1,2020-05-24
Yadgir,Satisfactory,80,"PM
10",1,2020-05-25
Yadgir,Good,38,"PM
10",1,2020-05-30
Yadgir,Good,35,"PM
10",1,2020-05-31
Yadgir,Good,26,"PM
2.5",1,2020-06-01
Yadgir,Good,39,"PM
10",1,2020-06-10
Yadgir,Good,22,"SO
2",1,2020-06-11
Yadgir,Good,20,"PM
2.5",1,2020-06-12
Yadgir,Good,47,"PM
10",1,2020-06-20
Yadgir,Good,47,"PM
10",1,2020-06-21
Yadgir,Good,46,"PM
10",1,2020-06-22
